gene	raw_counts	median_length_normalized	RPKM
ENSG00000000457	2632	51.3515	4.4906
ENSG00000000460	3444	40.6571	3.5554
ENSG00000000938	1190	25.3204	2.2142
ENSG00000000971	7400	68.1529	5.9599
ENSG00000001460	743	6.5438	0.5722
ENSG00000001461	3494	27.8692	2.4371
ENSG00000004455	9389	123.9160	10.8363
ENSG00000004487	37959	833.4040	72.8806
ENSG00000006555	4	0.0527	0.0046
ENSG00000007341	4110	38.0014	3.3232
ENSG00000007908	14	0.2465	0.0216
ENSG00000007923	6362	92.7024	8.1068
ENSG00000007933	24	0.5175	0.0452
ENSG00000007968	2104	28.9238	2.5294
ENSG00000008118	5	0.1480	0.0129
ENSG00000008128	7325	116.4430	10.1828
ENSG00000008130	8768	114.5840	10.0203
ENSG00000009307	139325	1815.7000	158.7820
ENSG00000009709	2	0.0234	0.0020
ENSG00000009724	6190	109.2120	9.5505
ENSG00000009780	814	21.2246	1.8561
ENSG00000009790	338	3.2732	0.2862
ENSG00000010072	3276	41.6033	3.6382
ENSG00000010165	3186	62.1769	5.4373
ENSG00000010803	17849	301.0230	26.3243
ENSG00000010932	8	0.1771	0.0155
ENSG00000011007	16651	231.6480	20.2575
ENSG00000011009	5446	186.0040	16.2659
ENSG00000011021	18685	203.5690	17.8020
ENSG00000014914	679	11.0906	0.9699
ENSG00000016490	0	0.0000	0.0000
ENSG00000016602	5	0.0967	0.0085
ENSG00000018625	3	0.0357	0.0031
ENSG00000020129	4271	65.1529	5.6976
ENSG00000020633	666	10.8517	0.9490
ENSG00000021852	2	0.0502	0.0044
ENSG00000023572	522	30.1332	2.6351
ENSG00000023902	14950	179.7460	15.7186
ENSG00000023909	582	8.1265	0.7107
ENSG00000024526	702	8.9226	0.7803
ENSG00000025800	36682	357.8930	31.2975
ENSG00000026751	82	1.3293	0.1162
ENSG00000027644	48	0.7057	0.0617
ENSG00000027869	341	10.1831	0.8905
ENSG00000028137	1617	32.1965	2.8156
ENSG00000031698	15340	299.9190	26.2277
ENSG00000033122	12113	75.6448	6.6151
ENSG00000034971	7	0.2583	0.0226
ENSG00000035687	3061	62.6135	5.4755
ENSG00000036549	10845	90.2924	7.8960
ENSG00000037637	9607	80.2016	7.0136
ENSG00000040487	1624	45.3585	3.9666
ENSG00000041988	5931	109.2440	9.5533
ENSG00000042781	45	0.1634	0.0143
ENSG00000043514	4528	110.5930	9.6713
ENSG00000044012	0	0.0000	0.0000
ENSG00000047410	56674	417.5400	36.5136
ENSG00000048707	21190	78.1100	6.8307
ENSG00000049089	2162	39.0677	3.4164
ENSG00000049239	202	1.6634	0.1455
ENSG00000049245	16288	442.6140	38.7063
ENSG00000049246	3686	38.9101	3.4027
ENSG00000049247	417	17.5564	1.5353
ENSG00000049249	53	1.7312	0.1514
ENSG00000050628	250	1.9416	0.1698
ENSG00000052723	8608	109.5290	9.5782
ENSG00000053371	5038	212.1380	18.5513
ENSG00000053372	4192	111.4080	9.7425
ENSG00000054116	4371	98.9511	8.6532
ENSG00000054118	26939	426.6070	37.3065
ENSG00000054267	25392	171.9870	15.0402
ENSG00000054277	737	15.8920	1.3897
ENSG00000054282	3712	53.0631	4.6403
ENSG00000054392	629	10.9793	0.9601
ENSG00000054523	11333	48.0395	4.2010
ENSG00000055070	33185	524.3050	45.8502
ENSG00000055732	0	0.0000	0.0000
ENSG00000057252	6238	66.5237	5.8175
ENSG00000057468	474	10.8818	0.9516
ENSG00000057757	14475	496.6400	43.4309
ENSG00000058085	42	0.4808	0.0421
ENSG00000058453	2539	15.5239	1.3576
ENSG00000058668	45941	354.4490	30.9963
ENSG00000058673	46386	358.6550	31.3641
ENSG00000058799	2869	95.1645	8.3221
