gene	raw_counts	median_length_normalized	RPKM
ENSG00000000457	1029	20.0864	2.0930
ENSG00000000460	802	9.4684	0.9866
ENSG00000000938	18549	394.7720	41.1346
ENSG00000000971	18	0.1656	0.0173
ENSG00000001460	192	1.6949	0.1766
ENSG00000001461	1081	8.6253	0.8987
ENSG00000004455	8473	111.8240	11.6519
ENSG00000004487	13200	289.8170	30.1985
ENSG00000006555	119	1.4715	0.1533
ENSG00000007341	2179	20.1484	2.0994
ENSG00000007908	78	1.3852	0.1443
ENSG00000007923	3476	50.6555	5.2782
ENSG00000007933	0	0.0000	0.0000
ENSG00000007968	19614	269.5770	28.0895
ENSG00000008118	11	0.3206	0.0334
ENSG00000008128	8895	141.3950	14.7331
ENSG00000008130	15197	198.6000	20.6938
ENSG00000009307	142736	1860.1500	193.8250
ENSG00000009709	1	0.0133	0.0014
ENSG00000009724	3474	61.2905	6.3864
ENSG00000009780	1221	31.8435	3.3180
ENSG00000009790	2630	25.4383	2.6506
ENSG00000010072	6478	82.2628	8.5717
ENSG00000010165	1083	21.1371	2.2025
ENSG00000010803	5668	95.5862	9.9599
ENSG00000010932	23	0.4723	0.0492
ENSG00000011007	7804	108.5720	11.3131
ENSG00000011009	2444	83.4832	8.6988
ENSG00000011021	7263	79.1265	8.2449
ENSG00000014914	2039	33.3067	3.4705
ENSG00000016490	0	0.0000	0.0000
ENSG00000016602	0	0.0000	0.0000
ENSG00000018625	2	0.0219	0.0023
ENSG00000020129	1281	19.5455	2.0366
ENSG00000020633	22376	364.4270	37.9728
ENSG00000021852	0	0.0099	0.0010
ENSG00000023572	688	39.7306	4.1398
ENSG00000023902	10398	125.0210	13.0269
ENSG00000023909	2979	41.5772	4.3323
ENSG00000024526	502	6.3764	0.6644
ENSG00000025800	29936	292.0760	30.4339
ENSG00000026751	552	8.9946	0.9372
ENSG00000027644	19	0.2739	0.0285
ENSG00000027869	268	8.0012	0.8337
ENSG00000028137	3494	69.5813	7.2503
ENSG00000031698	3457	67.5819	7.0419
ENSG00000033122	277	1.7319	0.1805
ENSG00000034971	0	0.0000	0.0000
ENSG00000035687	3975	81.3292	8.4744
ENSG00000036549	7333	61.0552	6.3619
ENSG00000037637	10159	84.8073	8.8368
ENSG00000040487	2881	80.4479	8.3826
ENSG00000041988	3038	55.9560	5.8305
ENSG00000042781	0	0.0000	0.0000
ENSG00000043514	1802	44.0042	4.5852
ENSG00000044012	4	0.4556	0.0475
ENSG00000047410	20908	154.0350	16.0502
ENSG00000048707	14687	54.1406	5.6414
ENSG00000049089	4672	84.4168	8.7961
ENSG00000049239	9449	77.7337	8.0997
ENSG00000049245	11308	307.2920	32.0193
ENSG00000049246	241	2.5439	0.2651
ENSG00000049247	67	2.8099	0.2928
ENSG00000049249	129	4.2487	0.4427
ENSG00000050628	55	0.4283	0.0446
ENSG00000052723	8563	108.9620	11.3537
ENSG00000053371	11051	465.3600	48.4898
ENSG00000053372	1473	39.1368	4.0780
ENSG00000054116	3347	75.7721	7.8953
ENSG00000054118	14974	237.1310	24.7087
ENSG00000054267	27905	189.0050	19.6940
ENSG00000054277	540	11.6379	1.2127
ENSG00000054282	1297	18.5373	1.9316
ENSG00000054392	878	15.3303	1.5974
ENSG00000054523	14704	62.3298	6.4947
ENSG00000055070	21400	338.1010	35.2296
ENSG00000055732	2	0.0226	0.0024
ENSG00000057252	5690	60.6781	6.3226
ENSG00000057468	88	2.0193	0.2104
ENSG00000057757	9116	312.7790	32.5911
ENSG00000058085	0	0.0000	0.0000
ENSG00000058453	3503	21.4213	2.2321
ENSG00000058668	9800	75.6115	7.8786
ENSG00000058673	41063	317.4960	33.0826
ENSG00000058799	1222	40.5449	4.2247
ENSG00000058804	2286	33.3846	3.4786
ENSG00000059588	25084	242.9690	25.3170
ENSG00000060642	1865	41.3675	4.3104
ENSG00000060656	1288	14.4139	1.5019
ENSG00000060688	7280	136.1320	14.1847
ENSG00000060718	4	0.0363	0.0038
ENSG00000064703	7652	95.3442	9.9347
ENSG00000064886	118	2.6829	0.2796
ENSG00000065135	17169	401.6560	41.8519
ENSG00000065183	1029	18.5641	1.9343
ENSG00000065243	8763	93.7063	9.7640
ENSG00000065526	53024	299.1410	31.1700
ENSG00000065600	6223	160.1740	16.6899
ENSG00000065978	49935	1940.4800	202.1953
ENSG00000066027	20983	407.3830	42.4487
ENSG00000066056	545	6.1043	0.6361
ENSG00000066135	11840	171.6870	17.8895
ENSG00000066136	2988	37.4256	3.8997
ENSG00000066185	102	3.4825	0.3629
ENSG00000066279	3749	25.8259	2.6910
ENSG00000066294	14494	117.4560	12.2388
ENSG00000066322	5021	153.1510	15.9581
ENSG00000066557	3442	89.5021	9.3260
ENSG00000067208	3965	35.9458	3.7455
ENSG00000067334	11809	147.4930	15.3685
ENSG00000067533	2170	20.6501	2.1517
ENSG00000067606	483	4.7429	0.4942
ENSG00000067704	8066	145.3510	15.1453
ENSG00000069248	6805	100.9260	10.5164
ENSG00000069275	11209	128.4250	13.3817
ENSG00000069424	22880	211.1730	22.0039
ENSG00000069702	759	6.5774	0.6854
ENSG00000069712	47	0.7660	0.0798
ENSG00000069812	26	0.3606	0.0376
ENSG00000070759	2273	49.2694	5.1338
ENSG00000070785	797	19.6352	2.0460
ENSG00000070831	38012	821.5760	85.6070
ENSG00000070886	12	0.1680	0.0175
ENSG00000072694	792	8.4944	0.8851
ENSG00000073754	296	9.0505	0.9430
ENSG00000073756	5885	83.7751	8.7292
ENSG00000074800	61939	1133.8600	118.1464
ENSG00000074964	1330	12.7122	1.3246
ENSG00000075151	12544	111.6180	11.6304
ENSG00000075391	699	4.4367	0.4623
ENSG00000075945	1056	15.7924	1.6455
ENSG00000076258	73	2.1899	0.2282
ENSG00000076321	2620	46.1930	4.8132
ENSG00000076356	261	1.4196	0.1479
