gene	raw_counts	median_length_normalized	RPKM
ENSG00000000457	1874	36.5549	2.8772
ENSG00000000460	2018	23.8190	1.8748
ENSG00000000938	180	3.8289	0.3014
ENSG00000000971	3264	30.0570	2.3657
ENSG00000001460	588	5.1823	0.4079
ENSG00000001461	3458	27.5806	2.1708
ENSG00000004455	27492	362.8170	28.5568
ENSG00000004487	28534	626.4730	49.3089
ENSG00000006555	10	0.1291	0.0102
ENSG00000007341	4117	38.0702	2.9965
ENSG00000007908	4	0.0711	0.0056
ENSG00000007923	4850	70.6670	5.5621
ENSG00000007933	13	0.2815	0.0222
ENSG00000007968	1475	20.2694	1.5954
ENSG00000008118	3	0.0729	0.0057
ENSG00000008128	7416	117.8920	9.2791
ENSG00000008130	4116	53.7909	4.2338
ENSG00000009307	156144	2034.8900	160.1633
ENSG00000009709	0	0.0000	0.0000
ENSG00000009724	1465	25.8396	2.0338
ENSG00000009780	1059	27.6186	2.1738
ENSG00000009790	5436	52.5867	4.1390
ENSG00000010072	2973	37.7533	2.9715
ENSG00000010165	1256	24.5134	1.9294
ENSG00000010803	13242	223.3370	17.5785
ENSG00000010932	15	0.3148	0.0248
ENSG00000011007	11572	160.9950	12.6717
ENSG00000011009	2627	89.7363	7.0630
ENSG00000011021	9780	106.5560	8.3869
ENSG00000014914	21	0.3413	0.0269
ENSG00000016490	0	0.0000	0.0000
ENSG00000016602	2	0.0411	0.0032
ENSG00000018625	1	0.0119	0.0009
ENSG00000020129	4226	64.4588	5.0735
ENSG00000020633	3700	60.2591	4.7429
ENSG00000021852	0	0.0000	0.0000
ENSG00000023572	634	36.5866	2.8797
ENSG00000023902	11259	135.3680	10.6546
ENSG00000023909	1011	14.1083	1.1104
ENSG00000024526	154	1.9509	0.1535
ENSG00000025800	30685	299.3810	23.5639
ENSG00000026751	152	2.4744	0.1948
ENSG00000027644	77	1.1270	0.0887
ENSG00000027869	1039	31.0147	2.4411
ENSG00000028137	894	17.8083	1.4017
ENSG00000031698	10325	201.8630	15.8884
ENSG00000033122	238	1.4886	0.1172
ENSG00000034971	2	0.0720	0.0057
ENSG00000035687	5836	119.3990	9.3977
ENSG00000036549	8649	72.0149	5.6682
ENSG00000037637	18221	152.1140	11.9727
ENSG00000040487	2018	56.3448	4.4348
ENSG00000041988	4081	75.1736	5.9168
ENSG00000042781	12	0.0437	0.0034
ENSG00000043514	2718	66.3748	5.2243
ENSG00000044012	0	0.0000	0.0000
ENSG00000047410	22111	162.8980	12.8215
ENSG00000048707	20558	75.7803	5.9646
ENSG00000049089	1153	20.8302	1.6395
ENSG00000049239	21468	176.6000	13.9000
ENSG00000049245	15611	424.2060	33.3887
ENSG00000049246	150	1.5808	0.1244
ENSG00000049247	20	0.8222	0.0647
ENSG00000049249	66	2.1567	0.1698
ENSG00000050628	48	0.3725	0.0293
ENSG00000052723	6892	87.7055	6.9032
ENSG00000053371	5351	225.3540	17.7373
ENSG00000053372	4431	117.7510	9.2680
ENSG00000054116	5903	133.6410	10.5187
ENSG00000054118	18664	295.5680	23.2638
ENSG00000054267	21869	148.1250	11.6587
ENSG00000054277	1402	30.2152	2.3782
ENSG00000054282	6353	90.8151	7.1479
ENSG00000054392	1781	31.1015	2.4480
ENSG00000054523	2498	10.5895	0.8335
ENSG00000055070	31784	502.1680	39.5250
ENSG00000055732	5	0.0568	0.0045
ENSG00000057252	3795	40.4702	3.1854
ENSG00000057468	34	0.7701	0.0606
ENSG00000057757	12381	424.7690	33.4330
ENSG00000058085	0	0.0000	0.0000
ENSG00000058453	7666	46.8752	3.6895
ENSG00000058668	19259	148.5860	11.6950
ENSG00000058673	45205	349.5230	27.5105
ENSG00000058799	2323	77.0509	6.0646
ENSG00000058804	3752	54.7936	4.3127
ENSG00000059588	42917	415.6980	32.7191
ENSG00000060642	1848	40.9852	3.2259
ENSG00000060656	48	0.5328	0.0419
ENSG00000060688	5638	105.4220	8.2976
ENSG00000060718	14	0.1270	0.0100
ENSG00000064703	10675	133.0130	10.4693
ENSG00000064886	202	4.5869	0.3610
ENSG00000065135	8963	209.6780	16.5035
ENSG00000065183	3765	67.8990	5.3442
ENSG00000065243	16659	178.1360	14.0208
ENSG00000065526	110224	621.8420	48.9444
ENSG00000065600	2252	57.9533	4.5614
ENSG00000065978	67364	2617.7800	206.0422
ENSG00000066027	12039	233.7300	18.3966
ENSG00000066056	3509	39.3200	3.0948
ENSG00000066135	16699	242.1520	19.0594
ENSG00000066136	4632	58.0257	4.5671
ENSG00000066185	115	3.9289	0.3092
ENSG00000066279	1646	11.3388	0.8925
ENSG00000066294	21393	173.3640	13.6453
ENSG00000066322	4174	127.3080	10.0203
ENSG00000066557	3272	85.0995	6.6981
ENSG00000067208	988	8.9558	0.7049
ENSG00000067334	10799	134.8700	10.6154
ENSG00000067533	2632	25.0440	1.9712
ENSG00000067606	3327	32.6810	2.5723
ENSG00000067704	8663	156.1110	12.2873
ENSG00000069248	6553	97.1831	7.6492
ENSG00000069275	30251	346.5930	27.2799
ENSG00000069424	57324	529.0790	41.6431
ENSG00000069702	379	3.2849	0.2586
ENSG00000069712	403	6.5325	0.5142
ENSG00000069812	15	0.2075	0.0163
ENSG00000070759	2264	49.0650	3.8618
ENSG00000070785	2575	63.4670	4.9954
ENSG00000070831	51145	1105.4400	87.0080
ENSG00000070886	10	0.1467	0.0115
ENSG00000072694	22	0.2354	0.0185
ENSG00000073754	17	0.5326	0.0419
ENSG00000073756	4476	63.7115	5.0147
ENSG00000074800	231756	4242.5500	333.9256
ENSG00000074964	18	0.1719	0.0135
ENSG00000075151	15158	134.8730	10.6157
ENSG00000075391	6462	41.0080	3.2277
ENSG00000075945	1828	27.3504	2.1527
ENSG00000076258	417	12.4152	0.9772
ENSG00000076321	4409	77.7400	6.1188
ENSG00000076356	68	0.3692	0.0291
ENSG00000076864	285	3.3733	0.2655
ENSG00000077152	513	36.1549	2.8457
ENSG00000077157	10595	55.1833	4.3434
ENSG00000077254	8254	89.4845	7.0432
ENSG00000077522	2	0.0277	0.0022
ENSG00000077549	22730	489.8710	38.5571
ENSG00000077585	768	25.2646	1.9886
ENSG00000078369	68811	841.0790	66.2003
ENSG00000078618	36026	408.2140	32.1300
ENSG00000078808	19236	307.1480	24.1752
ENSG00000078900	343	4.6277	0.3642
ENSG00000079277	5767	53.6649	4.2239
ENSG00000079335	6172	80.7949	6.3593
ENSG00000079739	6278	113.0790	8.9003
ENSG00000080910	0	0.0000	0.0000
ENSG00000080947	2968	32.6733	2.5717
ENSG00000081019	7794	85.7249	6.7473
ENSG00000081026	133	1.2209	0.0961
ENSG00000081237	57409	506.1350	39.8373
ENSG00000081248	0	0.0000	0.0000
ENSG00000081277	0	0.0000	0.0000
ENSG00000081692	2091	36.3502	2.8611
ENSG00000081721	5368	228.5110	17.9858
ENSG00000081870	1753	47.6618	3.7514
ENSG00000081985	90	1.6008	0.1260
ENSG00000082482	0	0.0000	0.0000
ENSG00000082497	0	0.0000	0.0000
ENSG00000082512	12515	104.0410	8.1890
ENSG00000083444	8846	124.5410	9.8025
ENSG00000084070	16692	379.4890	29.8691
ENSG00000084072	10436	96.9799	7.6332
ENSG00000084073	2183	45.8273	3.6070
ENSG00000084623	42142	1832.2600	144.2152
ENSG00000084628	22	0.5524	0.0435
ENSG00000084636	56	0.4418	0.0348
ENSG00000084652	6083	89.4056	7.0370
ENSG00000085433	4370	72.2549	5.6871
ENSG00000085465	1710	42.9260	3.3786
ENSG00000085491	1181	13.5223	1.0643
ENSG00000085552	781	8.8441	0.6961
ENSG00000085831	206	1.6494	0.1298
ENSG00000085832	18697	185.7020	14.6164
ENSG00000085840	3409	80.9775	6.3736
ENSG00000085998	4914	57.8916	4.5566
ENSG00000085999	1370	31.9804	2.5171
ENSG00000086015	3187	26.9321	2.1198
ENSG00000086619	5800	76.4763	6.0193
ENSG00000088035	1441	21.8486	1.7197
ENSG00000088280	38	0.5897	0.0464
ENSG00000090020	5362	67.3026	5.2973
ENSG00000090104	17047	310.5510	24.4430
ENSG00000090273	13960	366.4670	28.8441
ENSG00000090432	8860	272.7790	21.4701
ENSG00000090621	34720	383.9520	30.2204
ENSG00000090686	19633	155.0480	12.2036
ENSG00000091483	5532	193.6830	15.2445
ENSG00000092607	95	1.8689	0.1471
ENSG00000092621	8210	109.5300	8.6209
ENSG00000092847	25329	147.4210	11.6033
ENSG00000092850	1023	38.8054	3.0543
ENSG00000092853	1068	14.8043	1.1652
ENSG00000092969	55	0.8047	0.0633
ENSG00000092978	3162	26.8372	2.1123
ENSG00000094963	13	0.1563	0.0123
ENSG00000094975	13500	156.5640	12.3230
ENSG00000097021	2984	45.7858	3.6037
ENSG00000097033	24841	279.0230	21.9616
ENSG00000097046	1577	32.8572	2.5862
ENSG00000097096	94	1.0961	0.0863
ENSG00000099260	7	0.0916	0.0072
ENSG00000107404	3931	84.5838	6.6575
ENSG00000116128	1301	15.1952	1.1960
ENSG00000116132	5	0.0440	0.0035
ENSG00000116133	589	9.9444	0.7827
ENSG00000116138	3832	33.5617	2.6416
ENSG00000116141	2	0.0210	0.0017
ENSG00000116147	380	5.3156	0.4184
ENSG00000116151	2753	39.4577	3.1057
ENSG00000116157	6181	274.1210	21.5757
ENSG00000116161	6884	114.4860	9.0110
ENSG00000116171	7199	65.0084	5.1167
ENSG00000116183	25	0.1737	0.0137
ENSG00000116191	8073	81.5834	6.4213
ENSG00000116194	120	2.6116	0.2056
ENSG00000116198	4002	38.1127	2.9998
ENSG00000116199	8128	100.9430	7.9451
ENSG00000116205	1404	18.0742	1.4226
ENSG00000116209	22373	403.7560	31.7791
ENSG00000116212	2319	72.1526	5.6790
ENSG00000116213	6301	62.1435	4.8912
ENSG00000116218	0	0.0000	0.0000
ENSG00000116219	0	0.0000	0.0000
ENSG00000116221	11490	390.9780	30.7733
ENSG00000116237	1212	18.5030	1.4563
ENSG00000116251	81590	1248.8200	98.2933
ENSG00000116254	918	6.9580	0.5477
ENSG00000116260	23763	191.4130	15.0659
ENSG00000116266	6101	77.6151	6.1090
ENSG00000116273	1769	36.0345	2.8362
ENSG00000116285	368	6.5893	0.5186
ENSG00000116288	17470	546.6100	43.0230
ENSG00000116299	76	0.6095	0.0480
ENSG00000116329	4	0.1691	0.0133
ENSG00000116337	32324	355.0480	27.9454
ENSG00000116350	22082	521.1380	41.0181
ENSG00000116353	1547	29.2694	2.3037
ENSG00000116396	903	7.2504	0.5707
ENSG00000116406	3758	37.4168	2.9450
ENSG00000116455	3661	97.8809	7.7041
ENSG00000116459	21821	483.7650	38.0765
ENSG00000116473	5770	75.4877	5.9415
ENSG00000116478	14160	264.9010	20.8501
ENSG00000116489	16886	306.6430	24.1355
ENSG00000116497	10129	82.6632	6.5063
ENSG00000116514	6747	193.8800	15.2601
ENSG00000116521	7897	242.5360	19.0897
ENSG00000116525	1400	26.4312	2.0804
ENSG00000116539	29590	166.9130	13.1375
ENSG00000116544	57	1.0712	0.0843
ENSG00000116560	243387	2458.1200	193.4757
ENSG00000116574	244	4.1860	0.3295
ENSG00000116580	12706	78.3788	6.1691
ENSG00000116584	57996	586.6890	46.1775
ENSG00000116586	2626	136.9830	10.7817
ENSG00000116604	84294	987.8190	77.7499
ENSG00000116641	6722	46.3693	3.6497
ENSG00000116649	15794	624.0990	49.1220
ENSG00000116652	157	10.1343	0.7976
ENSG00000116661	26	0.8435	0.0664
ENSG00000116663	202	8.3777	0.6594
ENSG00000116667	3992	27.3026	2.1490
ENSG00000116668	1478	27.3362	2.1516
ENSG00000116670	4707	103.7400	8.1652
ENSG00000116675	853	9.2570	0.7286
ENSG00000116678	2391	15.6522	1.2320
ENSG00000116679	50963	482.0580	37.9421
ENSG00000116685	2643	60.4212	4.7557
ENSG00000116688	25488	384.0030	30.2244
ENSG00000116690	492	7.2996	0.5745
ENSG00000116691	4332	115.1620	9.0643
ENSG00000116698	37584	338.9160	26.6756
ENSG00000116701	567	14.5318	1.1438
ENSG00000116703	21	1.1800	0.0929
ENSG00000116704	8618	90.3464	7.1110
ENSG00000116711	473	12.3363	0.9710
ENSG00000116717	8032	291.1450	22.9156
ENSG00000116721	0	0.0000	0.0000
ENSG00000116726	0	0.0000	0.0000
ENSG00000116729	7	0.1163	0.0092
ENSG00000116731	24183	166.2630	13.0863
ENSG00000116741	14514	521.8420	41.0735
ENSG00000116745	0	0.0000	0.0000
ENSG00000116747	9227	76.0336	5.9845
ENSG00000116748	6	0.1803	0.0142
ENSG00000116750	2927	60.9994	4.8012
ENSG00000116752	5193	299.8270	23.5990
ENSG00000116754	69383	613.8650	48.3165
ENSG00000116761	312	9.6976	0.7633
ENSG00000116771	193	5.7828	0.4552
ENSG00000116774	35	1.1625	0.0915
ENSG00000116783	466	5.9877	0.4713
ENSG00000116785	0	0.0000	0.0000
ENSG00000116786	36779	669.1990	52.6718
ENSG00000116791	906	16.6474	1.3103
ENSG00000116793	8168	85.4371	6.7246
ENSG00000116809	12978	229.5630	18.0686
ENSG00000116815	694	29.1896	2.2975
ENSG00000116819	1327	45.4760	3.5793
ENSG00000116824	404	18.0655	1.4219
ENSG00000116830	5223	62.6641	4.9322
ENSG00000116833	0	0.0036	0.0003
ENSG00000116852	9825	60.6578	4.7743
ENSG00000116857	9447	180.9790	14.2446
ENSG00000116863	3423	153.6400	12.0928
ENSG00000116871	32679	464.9860	36.5984
ENSG00000116874	3306	64.4489	5.0727
ENSG00000116882	0	0.0000	0.0000
ENSG00000116883	117	4.7944	0.3774
ENSG00000116885	174	4.6357	0.3649
ENSG00000116898	7641	196.5240	15.4681
ENSG00000116903	4234	62.0283	4.8822
ENSG00000116906	6389	151.0080	11.8857
ENSG00000116918	3712	44.3419	3.4901
ENSG00000116922	739	15.6224	1.2296
ENSG00000116954	4111	59.6706	4.6966
ENSG00000116957	2915	85.1328	6.7007
ENSG00000116962	102	1.3070	0.1029
ENSG00000116977	22563	174.2750	13.7169
ENSG00000116981	2	0.1626	0.0128
ENSG00000116983	111	1.7131	0.1348
ENSG00000116984	8794	57.8421	4.5527
ENSG00000116985	863	12.5837	0.9905
ENSG00000116990	9	0.1275	0.0100
ENSG00000116991	74	0.7278	0.0573
ENSG00000116996	0	0.0000	0.0000
ENSG00000117000	24489	289.9310	22.8201
ENSG00000117009	759	9.5733	0.7535
ENSG00000117010	516	12.7302	1.0020
ENSG00000117013	117	2.0901	0.1645
ENSG00000117016	332	3.4366	0.2705
ENSG00000117020	123	1.2275	0.0966
ENSG00000117036	9178	102.6320	8.0780
ENSG00000117054	3352	52.6043	4.1404
ENSG00000117069	0	0.0000	0.0000
ENSG00000117090	143	2.5423	0.2001
ENSG00000117091	1126	33.8524	2.6645
ENSG00000117114	12	0.1162	0.0091
ENSG00000117115	168	2.0996	0.1653
ENSG00000117118	9121	277.8460	21.8689
ENSG00000117122	29	0.7458	0.0587
ENSG00000117133	8559	371.4840	29.2391
