gene	raw_counts	median_length_normalized	RPKM
ENSG00000000457	1266	24.7003	3.3534
ENSG00000000460	1338	15.7916	2.1439
ENSG00000000938	3852	81.9719	11.1287
ENSG00000000971	9229	84.9952	11.5392
ENSG00000001460	398	3.5039	0.4757
ENSG00000001461	2713	21.6354	2.9373
ENSG00000004455	6443	85.0301	11.5439
ENSG00000004487	16628	365.0820	49.5645
ENSG00000006555	18	0.2244	0.0305
ENSG00000007341	2341	21.6425	2.9382
ENSG00000007908	0	0.0000	0.0000
ENSG00000007923	3698	53.8803	7.3149
ENSG00000007933	0	0.0000	0.0000
ENSG00000007968	1424	19.5774	2.6579
ENSG00000008118	14	0.3924	0.0533
ENSG00000008128	5330	84.7257	11.5026
ENSG00000008130	4372	57.1396	7.7574
ENSG00000009307	92558	1206.2300	163.7607
ENSG00000009709	0	0.0000	0.0000
ENSG00000009724	102	1.8012	0.2445
ENSG00000009780	844	21.9972	2.9864
ENSG00000009790	730	7.0589	0.9583
ENSG00000010072	2575	32.7023	4.4398
ENSG00000010165	1389	27.0991	3.6790
ENSG00000010803	5702	96.1702	13.0563
ENSG00000010932	0	0.0000	0.0000
ENSG00000011007	19046	264.9660	35.9725
ENSG00000011009	3718	126.9950	17.2412
ENSG00000011021	5365	58.4538	7.9358
ENSG00000014914	492	8.0364	1.0910
ENSG00000016490	2	0.0449	0.0061
ENSG00000016602	3	0.0685	0.0093
ENSG00000018625	0	0.0000	0.0000
ENSG00000020129	3197	48.7710	6.6213
ENSG00000020633	5788	94.2602	12.7970
ENSG00000021852	0	0.0000	0.0000
ENSG00000023572	273	15.7537	2.1387
ENSG00000023902	11166	134.2480	18.2258
ENSG00000023909	1079	15.0566	2.0441
ENSG00000024526	495	6.2827	0.8529
ENSG00000025800	19178	187.1170	25.4035
ENSG00000026751	99	1.6090	0.2184
ENSG00000027644	3	0.0382	0.0052
ENSG00000027869	361	10.7767	1.4631
ENSG00000028137	5208	103.7130	14.0804
ENSG00000031698	6919	135.2710	18.3648
ENSG00000033122	939	5.8638	0.7961
ENSG00000034971	0	0.0000	0.0000
ENSG00000035687	1805	36.9195	5.0123
ENSG00000036549	7073	58.8901	7.9951
ENSG00000037637	4018	33.5443	4.5541
ENSG00000040487	430	12.0138	1.6310
ENSG00000041988	1629	30.0034	4.0734
ENSG00000042781	0	0.0000	0.0000
ENSG00000043514	1683	41.1136	5.5817
ENSG00000044012	0	0.0000	0.0000
ENSG00000047410	30407	224.0190	30.4135
ENSG00000048707	4765	17.5647	2.3846
ENSG00000049089	1488	26.8822	3.6496
ENSG00000049239	489	4.0221	0.5460
ENSG00000049245	20424	555.0060	75.3491
ENSG00000049246	1485	15.6761	2.1282
ENSG00000049247	122	5.1368	0.6974
ENSG00000049249	138	4.5276	0.6147
ENSG00000050628	103	0.7973	0.1082
ENSG00000052723	8851	112.6250	15.2902
ENSG00000053371	3827	161.1720	21.8811
ENSG00000053372	2263	60.1460	8.1656
ENSG00000054116	2495	56.4823	7.6682
ENSG00000054118	10710	169.6050	23.0260
ENSG00000054267	27210	184.2990	25.0209
ENSG00000054277	705	15.1842	2.0615
ENSG00000054282	2528	36.1357	4.9059
ENSG00000054392	229	3.9895	0.5416
