gene	raw_counts	median_length_normalized	RPKM
ENSG00000000457	375	7.3166	1.9341
ENSG00000000460	694	8.1904	2.1651
ENSG00000000938	8122	172.8480	45.6920
ENSG00000000971	29	0.2638	0.0697
ENSG00000001460	176	1.5504	0.4098
ENSG00000001461	921	7.3440	1.9414
ENSG00000004455	4299	56.7390	14.9989
ENSG00000004487	4625	101.5400	26.8419
ENSG00000006555	7	0.0867	0.0229
ENSG00000007341	1042	9.6315	2.5461
ENSG00000007908	0	0.0000	0.0000
ENSG00000007923	1495	21.7865	5.7592
ENSG00000007933	0	0.0000	0.0000
ENSG00000007968	1196	16.4393	4.3457
ENSG00000008118	0	0.0000	0.0000
ENSG00000008128	3219	51.1725	13.5274
ENSG00000008130	3831	50.0713	13.2363
ENSG00000009307	45157	588.4960	155.5682
ENSG00000009709	0	0.0000	0.0000
ENSG00000009724	23	0.4086	0.1080
ENSG00000009780	506	13.1965	3.4885
ENSG00000009790	7342	71.0268	18.7758
ENSG00000010072	761	9.6585	2.5532
ENSG00000010165	514	10.0247	2.6500
ENSG00000010803	3906	65.8738	17.4137
ENSG00000010932	0	0.0000	0.0000
ENSG00000011007	2411	33.5413	8.8666
ENSG00000011009	1571	53.6571	14.1842
ENSG00000011021	1994	21.7237	5.7426
ENSG00000014914	1947	31.8040	8.4074
ENSG00000016490	0	0.0000	0.0000
ENSG00000016602	0	0.0000	0.0000
ENSG00000018625	0	0.0000	0.0000
ENSG00000020129	703	10.7248	2.8351
ENSG00000020633	534	8.6984	2.2994
ENSG00000021852	0	0.0000	0.0000
ENSG00000023572	196	11.3364	2.9968
ENSG00000023902	6548	78.7214	20.8099
ENSG00000023909	243	3.3891	0.8959
ENSG00000024526	68	0.8686	0.2296
ENSG00000025800	5921	57.7669	15.2706
ENSG00000026751	190	3.0951	0.8182
ENSG00000027644	46	0.6779	0.1792
ENSG00000027869	110	3.2783	0.8666
ENSG00000028137	7503	149.4220	39.4995
ENSG00000031698	4299	84.0597	22.2211
ENSG00000033122	3	0.0187	0.0050
ENSG00000034971	0	0.0000	0.0000
ENSG00000035687	3304	67.5843	17.8658
ENSG00000036549	3450	28.7211	7.5924
ENSG00000037637	1450	12.1065	3.2003
ENSG00000040487	378	10.5566	2.7906
ENSG00000041988	358	6.5997	1.7446
ENSG00000042781	0	0.0000	0.0000
ENSG00000043514	1093	26.6949	7.0568
ENSG00000044012	0	0.0000	0.0000
ENSG00000047410	8394	61.8443	16.3485
ENSG00000048707	2462	9.0740	2.3987
ENSG00000049089	1253	22.6451	5.9862
ENSG00000049239	1986	16.3406	4.3196
ENSG00000049245	6524	177.2910	46.8667
ENSG00000049246	39	0.4155	0.1098
ENSG00000049247	0	0.0000	0.0000
ENSG00000049249	21	0.6940	0.1834
ENSG00000050628	2	0.0155	0.0041
ENSG00000052723	2643	33.6301	8.8901
ENSG00000053371	1660	69.9023	18.4786
ENSG00000053372	1049	27.8710	7.3676
ENSG00000054116	993	22.4796	5.9425
ENSG00000054118	3721	58.9301	15.5781
ENSG00000054267	7900	53.5090	14.1450
ENSG00000054277	1363	29.3753	7.7653
ENSG00000054282	2596	37.1041	9.8084
ENSG00000054392	123	2.1480	0.5678
ENSG00000054523	1373	5.8183	1.5381
ENSG00000055070	6934	109.5570	28.9613
ENSG00000055732	0	0.0000	0.0000
ENSG00000057252	3027	32.2825	8.5338
ENSG00000057468	16	0.3751	0.0991
ENSG00000057757	2455	84.2425	22.2694
ENSG00000058085	0	0.0000	0.0000
ENSG00000058453	279	1.7079	0.4515
ENSG00000058668	3305	25.4974	6.7402
ENSG00000058673	12838	99.2621	26.2398
ENSG00000058799	974	32.3198	8.5437
ENSG00000058804	1306	19.0767	5.0429
ENSG00000059588	6586	63.7970	16.8646
ENSG00000060642	647	14.3542	3.7945
ENSG00000060656	2	0.0224	0.0059
ENSG00000060688	1510	28.2393	7.4650
ENSG00000060718	0	0.0000	0.0000
ENSG00000064703	3203	39.9068	10.5493
ENSG00000064886	26	0.5918	0.1564
ENSG00000065135	4856	113.6010	30.0304
ENSG00000065183	638	11.5093	3.0425
ENSG00000065243	5110	54.6450	14.4453
ENSG00000065526	9035	50.9721	13.4744
ENSG00000065600	729	18.7543	4.9577
ENSG00000065978	29439	1144.0100	302.4185
ENSG00000066027	5134	99.6860	26.3518
ENSG00000066056	1203	13.4840	3.5645
ENSG00000066135	789	11.4462	3.0258
ENSG00000066136	2037	25.5180	6.7456
ENSG00000066185	97	3.3144	0.8761
ENSG00000066279	374	2.5799	0.6820
ENSG00000066294	4672	37.8643	10.0094
ENSG00000066322	2463	75.1330	19.8613
ENSG00000066557	1550	40.3138	10.6569
ENSG00000067208	934	8.4640	2.2374
ENSG00000067334	6919	86.4200	22.8450
ENSG00000067533	1097	10.4368	2.7589
ENSG00000067606	49	0.4852	0.1283
ENSG00000067704	4476	80.6502	21.3198
ENSG00000069248	2349	34.8375	9.2092
ENSG00000069275	6847	78.4516	20.7386
ENSG00000069424	16479	152.0910	40.2050
ENSG00000069702	68	0.5921	0.1565
ENSG00000069712	340	5.5196	1.4591
ENSG00000069812	1	0.0139	0.0037
ENSG00000070759	1038	22.5078	5.9499
ENSG00000070785	611	15.0500	3.9785
ENSG00000070831	17433	376.8020	99.6071
ENSG00000070886	0	0.0000	0.0000
ENSG00000072694	455	4.8779	1.2895
ENSG00000073754	0	0.0000	0.0000
ENSG00000073756	1474	20.9860	5.5476
ENSG00000074800	78784	1442.2300	381.2511
ENSG00000074964	1130	10.8009	2.8552
ENSG00000075151	5138	45.7135	12.0843
ENSG00000075391	589	3.7359	0.9876
ENSG00000075945	829	12.3969	3.2771
ENSG00000076258	114	3.3834	0.8944
ENSG00000076321	1075	18.9593	5.0119
ENSG00000076356	365	1.9843	0.5245
ENSG00000076864	1	0.0118	0.0031
ENSG00000077152	200	14.0751	3.7208
ENSG00000077157	1183	6.1594	1.6282
ENSG00000077254	3925	42.5532	11.2489
ENSG00000077522	0	0.0000	0.0000
ENSG00000077549	10081	217.2620	57.4329
ENSG00000077585	162	5.3339	1.4100
ENSG00000078369	17682	216.1220	57.1315
ENSG00000078618	12330	139.7070	36.9314
ENSG00000078808	4105	65.5501	17.3281
ENSG00000078900	3	0.0405	0.0107
ENSG00000079277	4182	38.9177	10.2879
ENSG00000079335	1669	21.8508	5.7762
ENSG00000079739	83	1.4899	0.3939
ENSG00000080910	0	0.0000	0.0000
ENSG00000080947	96	1.0595	0.2801
ENSG00000081019	3523	38.7450	10.2422
ENSG00000081026	15	0.1395	0.0369
ENSG00000081237	30307	267.1940	70.6324
ENSG00000081248	0	0.0000	0.0000
ENSG00000081277	0	0.0000	0.0000
ENSG00000081692	322	5.6042	1.4815
ENSG00000081721	1722	73.2911	19.3744
ENSG00000081870	1242	33.7724	8.9277
ENSG00000081985	8	0.1415	0.0374
ENSG00000082482	0	0.0000	0.0000
ENSG00000082497	0	0.0000	0.0000
ENSG00000082512	4907	40.7925	10.7835
ENSG00000083444	1987	27.9724	7.3945
ENSG00000084070	16612	377.6590	99.8336
ENSG00000084072	2329	21.6394	5.7204
ENSG00000084073	1059	22.2279	5.8759
ENSG00000084623	8194	356.2420	94.1720
ENSG00000084628	0	0.0000	0.0000
ENSG00000084636	0	0.0000	0.0000
ENSG00000084652	2012	29.5746	7.8180
ENSG00000085433	1517	25.0899	6.6325
ENSG00000085465	214	5.3645	1.4181
ENSG00000085491	3149	36.0644	9.5336
ENSG00000085552	101	1.1411	0.3016
ENSG00000085831	34	0.2724	0.0720
ENSG00000085832	10135	100.6620	26.6099
ENSG00000085840	848	20.1558	5.3282
ENSG00000085998	968	11.4018	3.0141
ENSG00000085999	363	8.4838	2.2427
ENSG00000086015	841	7.1065	1.8786
ENSG00000086619	1608	21.1992	5.6040
ENSG00000088035	569	8.6296	2.2812
ENSG00000088280	10	0.1515	0.0400
ENSG00000090020	1124	14.1038	3.7283
ENSG00000090104	2041	37.1771	9.8277
ENSG00000090273	3356	88.0900	23.2865
ENSG00000090432	1176	36.1970	9.5686
ENSG00000090621	15559	172.0660	45.4853
ENSG00000090686	4419	34.9009	9.2260
ENSG00000091483	1480	51.8357	13.7027
ENSG00000092607	0	0.0000	0.0000
ENSG00000092621	270	3.6016	0.9521
ENSG00000092847	3502	20.3813	5.3878
ENSG00000092850	81	3.0652	0.8103
ENSG00000092853	1117	15.4757	4.0910
ENSG00000092969	0	0.0000	0.0000
ENSG00000092978	1036	8.7930	2.3244
ENSG00000094963	0	0.0000	0.0000
ENSG00000094975	5006	58.0620	15.3486
ENSG00000097021	674	10.3396	2.7333
ENSG00000097033	9848	110.6160	29.2413
ENSG00000097046	967	20.1589	5.3290
ENSG00000097096	10	0.1206	0.0319
ENSG00000099260	0	0.0000	0.0000
ENSG00000107404	1378	29.6426	7.8360
ENSG00000116128	143	1.6670	0.4407
ENSG00000116132	0	0.0000	0.0000
ENSG00000116133	103	1.7395	0.4598
ENSG00000116138	890	7.7974	2.0612
ENSG00000116141	0	0.0000	0.0000
ENSG00000116147	2	0.0280	0.0074
ENSG00000116151	130	1.8596	0.4916
ENSG00000116157	2294	101.7340	26.8933
ENSG00000116161	3278	54.5133	14.4105
ENSG00000116171	6211	56.0926	14.8280
ENSG00000116183	2	0.0137	0.0036
ENSG00000116191	461	4.6558	1.2307
ENSG00000116194	0	0.0000	0.0000
ENSG00000116198	1493	14.2190	3.7588
ENSG00000116199	2084	25.8836	6.8423
ENSG00000116205	614	7.9006	2.0885
ENSG00000116209	9034	163.0230	43.0948
ENSG00000116212	654	20.3488	5.3792
ENSG00000116213	1090	10.7525	2.8424
ENSG00000116218	0	0.0000	0.0000
ENSG00000116219	0	0.0000	0.0000
ENSG00000116221	3121	106.2090	28.0761
ENSG00000116237	613	9.3602	2.4744
ENSG00000116251	14520	222.2510	58.7519
ENSG00000116254	28	0.2123	0.0561
ENSG00000116260	5097	41.0528	10.8523
ENSG00000116266	3722	47.3545	12.5181
ENSG00000116273	379	7.7308	2.0436
ENSG00000116285	12	0.2150	0.0568
ENSG00000116288	4668	146.0640	38.6118
ENSG00000116299	14	0.1129	0.0299
ENSG00000116329	0	0.0000	0.0000
ENSG00000116337	6250	68.6566	18.1493
ENSG00000116350	6785	160.1280	42.3296
ENSG00000116353	365	6.9102	1.8267
ENSG00000116396	57	0.4610	0.1219
ENSG00000116406	2367	23.5690	6.2304
ENSG00000116455	1845	49.3273	13.0396
ENSG00000116459	8533	189.1650	50.0054
ENSG00000116473	5586	73.0761	19.3175
ENSG00000116478	3575	66.8880	17.6818
ENSG00000116489	9471	171.9900	45.4654
ENSG00000116497	3177	25.9259	6.8535
ENSG00000116514	2470	70.9782	18.7630
ENSG00000116521	2191	67.3026	17.7913
ENSG00000116525	324	6.1138	1.6162
ENSG00000116539	5720	32.2639	8.5289
ENSG00000116544	438	8.2683	2.1857
ENSG00000116560	58439	590.2180	156.0233
ENSG00000116574	243	4.1741	1.1034
ENSG00000116580	3569	22.0159	5.8199
ENSG00000116584	5063	51.2124	13.5379
ENSG00000116586	1549	80.7851	21.3554
ENSG00000116604	16469	192.9930	51.0174
ENSG00000116641	1720	11.8677	3.1372
ENSG00000116649	4219	166.7320	44.0754
ENSG00000116652	24	1.5508	0.4100
ENSG00000116661	4	0.1337	0.0354
ENSG00000116663	385	15.9387	4.2134
ENSG00000116667	893	6.1084	1.6147
ENSG00000116668	568	10.5022	2.7762
ENSG00000116670	1217	26.8207	7.0900
ENSG00000116675	10	0.1080	0.0286
ENSG00000116678	289	1.8924	0.5002
ENSG00000116679	9848	93.1542	24.6252
ENSG00000116685	1623	37.0911	9.8050
ENSG00000116688	4330	65.2308	17.2437
ENSG00000116690	0	0.0000	0.0000
ENSG00000116691	1962	52.1634	13.7893
ENSG00000116698	8382	75.5871	19.9814
ENSG00000116701	8602	220.3370	58.2459
ENSG00000116703	0	0.0000	0.0000
ENSG00000116704	952	9.9835	2.6391
ENSG00000116711	231	6.0278	1.5935
ENSG00000116717	1465	53.1049	14.0382
ENSG00000116721	0	0.0000	0.0000
ENSG00000116726	0	0.0000	0.0000
ENSG00000116729	31	0.5152	0.1362
ENSG00000116731	10428	71.6925	18.9518
ENSG00000116741	5888	211.6990	55.9625
ENSG00000116745	0	0.0000	0.0000
ENSG00000116747	4254	35.0505	9.2656
ENSG00000116748	0	0.0000	0.0000
ENSG00000116750	1342	27.9725	7.3945
ENSG00000116752	2078	119.9750	31.7151
ENSG00000116754	47046	416.2410	110.0326
ENSG00000116761	65	2.0066	0.5305
ENSG00000116771	26	0.7948	0.2101
ENSG00000116774	68	2.2517	0.5952
ENSG00000116783	165	2.1217	0.5609
ENSG00000116785	0	0.0000	0.0000
ENSG00000116786	5877	106.9340	28.2678
ENSG00000116791	882	16.2115	4.2855
ENSG00000116793	1817	19.0074	5.0246
ENSG00000116809	3462	61.2408	16.1889
ENSG00000116815	1186	49.9019	13.1915
ENSG00000116819	122	4.1754	1.1038
ENSG00000116824	480	21.4592	5.6727
ENSG00000116830	1994	23.9224	6.3238
ENSG00000116833	10	0.0925	0.0244
ENSG00000116852	1105	6.8193	1.8027
ENSG00000116857	691	13.2327	3.4981
ENSG00000116863	489	21.9366	5.7989
ENSG00000116871	11479	163.3280	43.1756
ENSG00000116874	337	6.5651	1.7355
ENSG00000116882	0	0.0000	0.0000
ENSG00000116883	1129	46.1576	12.2017
ENSG00000116885	11	0.2994	0.0792
ENSG00000116898	2186	56.2219	14.8622
ENSG00000116903	1639	24.0199	6.3496
ENSG00000116906	2646	62.5436	16.5333
ENSG00000116918	4008	47.8707	12.6545
ENSG00000116922	239	5.0471	1.3342
ENSG00000116954	1514	21.9700	5.8078
ENSG00000116957	934	27.2702	7.2088
ENSG00000116962	3431	43.8817	11.6001
ENSG00000116977	8728	67.4154	17.8212
ENSG00000116981	0	0.0000	0.0000
ENSG00000116983	14	0.2162	0.0572
ENSG00000116984	2875	18.9136	4.9998
ENSG00000116985	20	0.2917	0.0771
ENSG00000116990	94	1.3919	0.3679
ENSG00000116991	181	1.7775	0.4699
ENSG00000116996	0	0.0000	0.0000
ENSG00000117000	4836	57.2546	15.1352
ENSG00000117009	117	1.4800	0.3912
ENSG00000117010	375	9.2507	2.4454
ENSG00000117013	118	2.1222	0.5610
ENSG00000117016	72	0.7464	0.1973
ENSG00000117020	327	3.2734	0.8653
ENSG00000117036	1571	17.5675	4.6439
ENSG00000117054	2209	34.6719	9.1655
ENSG00000117069	0	0.0000	0.0000
ENSG00000117090	77	1.3676	0.3615
ENSG00000117091	5707	171.6120	45.3654
ENSG00000117114	0	0.0000	0.0000
ENSG00000117115	656	8.1948	2.1663
ENSG00000117118	2255	68.7080	18.1628
ENSG00000117122	0	0.0000	0.0000
ENSG00000117133	3531	153.2560	40.5129
ENSG00000117139	8638	70.5256	18.6433
ENSG00000117143	1082	23.8083	6.2937
ENSG00000117148	0	0.0000	0.0000
ENSG00000117151	3037	66.5199	17.5844
ENSG00000117152	0	0.0000	0.0000
ENSG00000117153	1293	27.2993	7.2165
ENSG00000117154	0	0.0000	0.0000
ENSG00000117155	1445	13.1409	3.4738
ENSG00000117174	1510	18.2779	4.8317
ENSG00000117215	44	1.2350	0.3265
ENSG00000117222	514	8.7464	2.3121
ENSG00000117226	998	17.4229	4.6057
ENSG00000117228	696	10.4627	2.7658
ENSG00000117242	2136	36.0617	9.5328
ENSG00000117245	544	9.1318	2.4140
ENSG00000117262	141	1.8982	0.5018
ENSG00000117266	133	1.3160	0.3479
ENSG00000117280	1542	29.7908	7.8751
ENSG00000117281	12	0.2255	0.0596
ENSG00000117289	248389	5137.6700	1358.1375
ENSG00000117298	341	3.5162	0.9295
ENSG00000117305	614	7.9384	2.0985
ENSG00000117308	280	5.3128	1.4044
ENSG00000117318	207	8.6383	2.2835
ENSG00000117322	64	0.9891	0.2615
ENSG00000117335	12865	110.8050	29.2912
ENSG00000117360	3578	49.9499	13.2042
ENSG00000117362	3822	82.6580	21.8506
ENSG00000117385	2911	32.2665	8.5296
ENSG00000117394	1696	34.0005	8.9880
ENSG00000117395	1523	32.3561	8.5533
ENSG00000117399	131	4.8194	1.2740
ENSG00000117400	868	30.6001	8.0891
ENSG00000117407	523	14.7622	3.9024
ENSG00000117408	1053	15.5363	4.1070
ENSG00000117410	15186	322.1900	85.1705
ENSG00000117411	714	14.1652	3.7446
ENSG00000117419	1656	46.9690	12.4162
ENSG00000117425	146	2.1210	0.5607
ENSG00000117448	3214	77.2304	20.4157
ENSG00000117450	4396	216.6350	57.2672
ENSG00000117461	2	0.0195	0.0052
ENSG00000117472	0	0.0000	0.0000
ENSG00000117475	1950	38.2903	10.1220
ENSG00000117477	0	0.0000	0.0000
ENSG00000117479	576	11.7616	3.1092
ENSG00000117480	536	14.4805	3.8279
ENSG00000117481	1765	15.6305	4.1319
ENSG00000117500	9561	76.0953	20.1157
ENSG00000117501	0	0.0000	0.0000
ENSG00000117505	4889	90.7007	23.9766
ENSG00000117507	0	0.0000	0.0000
ENSG00000117519	4	0.1060	0.0280
ENSG00000117523	34024	179.8080	47.5319
ENSG00000117525	16	0.4174	0.1103
ENSG00000117528	2456	24.0198	6.3496
ENSG00000117533	2134	31.0221	8.2007
ENSG00000117543	1721	43.4603	11.4887
ENSG00000117560	0	0.0000	0.0000
ENSG00000117569	3124	55.4017	14.6454
ENSG00000117586	273	5.1951	1.3733
ENSG00000117592	13134	416.1490	110.0085
ENSG00000117593	556	11.3041	2.9882
ENSG00000117594	0	0.0000	0.0000
ENSG00000117595	8	0.1252	0.0331
ENSG00000117597	380	5.6666	1.4980
ENSG00000117598	0	0.0000	0.0000
ENSG00000117600	0	0.0000	0.0000
ENSG00000117601	4	0.1702	0.0450
ENSG00000117602	1053	26.8510	7.0980
ENSG00000117614	9154	203.7140	53.8514
ENSG00000117616	17682	194.9040	51.5227
