gene	raw_counts	median_length_normalized	RPKM
ENSG00000000457	435	8.4932	1.1768
ENSG00000000460	1212	14.3072	1.9823
ENSG00000000938	439	9.3366	1.2936
ENSG00000000971	90	0.8288	0.1148
ENSG00000001460	305	2.6897	0.3727
ENSG00000001461	733	5.8477	0.8102
ENSG00000004455	3217	42.4556	5.8824
ENSG00000004487	4538	99.6317	13.8044
ENSG00000006555	8	0.0991	0.0137
ENSG00000007341	1214	11.2233	1.5550
ENSG00000007908	4	0.0711	0.0099
ENSG00000007923	1133	16.5168	2.2885
ENSG00000007933	12	0.2599	0.0360
ENSG00000007968	3087	42.4231	5.8779
ENSG00000008118	0	0.0000	0.0000
ENSG00000008128	5946	94.5273	13.0972
ENSG00000008130	2500	32.6698	4.5265
ENSG00000009307	52155	679.6950	94.1750
ENSG00000009709	0	0.0000	0.0000
ENSG00000009724	28	0.4940	0.0684
ENSG00000009780	198	5.1735	0.7168
ENSG00000009790	1669	16.1485	2.2374
ENSG00000010072	1003	12.7386	1.7650
ENSG00000010165	334	6.5163	0.9029
ENSG00000010803	1777	29.9649	4.1518
ENSG00000010932	10	0.2098	0.0291
ENSG00000011007	3189	44.3613	6.1465
ENSG00000011009	1571	53.6384	7.4318
ENSG00000011021	4130	44.9972	6.2346
ENSG00000014914	23	0.3757	0.0521
ENSG00000016490	0	0.0000	0.0000
ENSG00000016602	16	0.3354	0.0465
ENSG00000018625	0	0.0000	0.0000
ENSG00000020129	3262	49.7523	6.8934
ENSG00000020633	3343	54.4434	7.5434
ENSG00000021852	0	0.0000	0.0000
ENSG00000023572	122	7.0439	0.9760
ENSG00000023902	1947	23.4139	3.2441
ENSG00000023909	3369	47.0128	6.5139
ENSG00000024526	599	7.6032	1.0535
ENSG00000025800	13098	127.7930	17.7064
ENSG00000026751	45	0.7263	0.1006
ENSG00000027644	8	0.1176	0.0163
ENSG00000027869	277	8.2576	1.1441
ENSG00000028137	354	7.0481	0.9766
ENSG00000031698	10374	202.8200	28.1016
ENSG00000033122	0	0.0000	0.0000
ENSG00000034971	0	0.0000	0.0000
ENSG00000035687	1145	23.4280	3.2461
ENSG00000036549	1997	16.6232	2.3032
ENSG00000037637	3847	32.1119	4.4492
ENSG00000040487	480	13.4077	1.8577
ENSG00000041988	896	16.4946	2.2854
ENSG00000042781	5	0.0166	0.0023
ENSG00000043514	338	8.2459	1.1425
ENSG00000044012	0	0.0000	0.0000
ENSG00000047410	7509	55.3246	7.6655
ENSG00000048707	4009	14.7783	2.0476
ENSG00000049089	739	13.3597	1.8510
ENSG00000049239	1506	12.3919	1.7170
ENSG00000049245	2969	80.6873	11.1796
ENSG00000049246	104	1.0994	0.1523
ENSG00000049247	0	0.0000	0.0000
ENSG00000049249	55	1.8214	0.2524
ENSG00000050628	8	0.0622	0.0086
ENSG00000052723	2309	29.3846	4.0714
ENSG00000053371	679	28.5733	3.9590
ENSG00000053372	698	18.5514	2.5704
ENSG00000054116	2837	64.2345	8.9000
ENSG00000054118	7031	111.3510	15.4283
ENSG00000054267	11938	80.8560	11.2030
ENSG00000054277	221	4.7557	0.6589
ENSG00000054282	1981	28.3208	3.9240
ENSG00000054392	179	3.1327	0.4340
ENSG00000054523	658	2.7892	0.3865
ENSG00000055070	10365	163.7660	22.6905
ENSG00000055732	0	0.0000	0.0000
ENSG00000057252	755	8.0506	1.1154
ENSG00000057468	8	0.1837	0.0255
ENSG00000057757	18586	637.6720	88.3524
ENSG00000058085	0	0.0000	0.0000
ENSG00000058453	318	1.9464	0.2697
ENSG00000058668	3165	24.4194	3.3834
ENSG00000058673	24086	186.2340	25.8037
ENSG00000058799	714	23.6979	3.2834
ENSG00000058804	469	6.8563	0.9500
ENSG00000059588	8447	81.8198	11.3365
ENSG00000060642	712	15.7800	2.1864
ENSG00000060656	47	0.5240	0.0726
ENSG00000060688	1235	23.0925	3.1996
ENSG00000060718	0	0.0000	0.0000
ENSG00000064703	1979	24.6586	3.4166
ENSG00000064886	32	0.7357	0.1019
ENSG00000065135	4751	111.1370	15.3985
ENSG00000065183	288	5.1931	0.7195
ENSG00000065243	6681	71.4440	9.8989
ENSG00000065526	27245	153.7070	21.2969
ENSG00000065600	548	14.1081	1.9548
ENSG00000065978	35899	1395.0300	193.2880
ENSG00000066027	3962	76.9143	10.6568
ENSG00000066056	303	3.3936	0.4702
ENSG00000066135	1407	20.4060	2.8274
ENSG00000066136	2014	25.2322	3.4960
ENSG00000066185	275	9.3964	1.3019
ENSG00000066279	1674	11.5302	1.5976
ENSG00000066294	3467	28.0955	3.8928
ENSG00000066322	3475	105.9920	14.6857
ENSG00000066557	1702	44.2562	6.1319
ENSG00000067208	855	7.7551	1.0745
ENSG00000067334	16449	205.4410	28.4648
ENSG00000067533	1023	9.7307	1.3482
ENSG00000067606	487	4.7789	0.6621
ENSG00000067704	1507	27.1535	3.7623
ENSG00000069248	2052	30.4295	4.2162
ENSG00000069275	3911	44.8055	6.2080
ENSG00000069424	6852	63.2413	8.7624
ENSG00000069702	23	0.1966	0.0272
ENSG00000069712	196	3.1730	0.4396
ENSG00000069812	0	0.0000	0.0000
ENSG00000070759	626	13.5616	1.8790
ENSG00000070785	424	10.4594	1.4492
ENSG00000070831	29195	631.0180	87.4306
ENSG00000070886	0	0.0000	0.0000
ENSG00000072694	16	0.1715	0.0238
ENSG00000073754	0	0.0000	0.0000
ENSG00000073756	4897	69.7001	9.6573
ENSG00000074800	20708	379.0790	52.5232
ENSG00000074964	0	0.0000	0.0000
ENSG00000075151	4817	42.8593	5.9384
ENSG00000075391	180	1.1423	0.1583
ENSG00000075945	1001	14.9725	2.0745
ENSG00000076258	113	3.3544	0.4648
ENSG00000076321	713	12.5771	1.7426
ENSG00000076356	135	0.7369	0.1021
ENSG00000076864	3319	39.2399	5.4369
ENSG00000077152	961	67.6883	9.3785
ENSG00000077157	1911	9.9518	1.3789
ENSG00000077254	4897	53.0849	7.3552
ENSG00000077522	0	0.0000	0.0000
ENSG00000077549	5917	127.5260	17.6693
ENSG00000077585	305	10.0272	1.3893
ENSG00000078369	15297	186.9780	25.9066
ENSG00000078618	10753	121.8370	16.8812
ENSG00000078808	3181	50.7973	7.0382
ENSG00000078900	57	0.7696	0.1066
ENSG00000079277	4160	38.7061	5.3629
ENSG00000079335	4327	56.6471	7.8487
ENSG00000079739	749	13.4844	1.8683
ENSG00000080910	0	0.0000	0.0000
ENSG00000080947	28	0.3096	0.0429
ENSG00000081019	5650	62.1443	8.6104
ENSG00000081026	4	0.0367	0.0051
ENSG00000081237	11547	101.7980	14.1046
ENSG00000081248	0	0.0000	0.0000
ENSG00000081277	0	0.0000	0.0000
ENSG00000081692	598	10.3991	1.4408
ENSG00000081721	492	20.9330	2.9004
ENSG00000081870	1419	38.5611	5.3428
ENSG00000081985	4	0.0709	0.0098
ENSG00000082482	0	0.0000	0.0000
ENSG00000082497	0	0.0000	0.0000
ENSG00000082512	1337	11.1108	1.5395
ENSG00000083444	1084	15.2645	2.1150
ENSG00000084070	4090	92.9806	12.8829
ENSG00000084072	736	6.8369	0.9473
ENSG00000084073	1045	21.9460	3.0407
ENSG00000084623	12990	564.8010	78.2559
ENSG00000084628	0	0.0000	0.0000
ENSG00000084636	0	0.0000	0.0000
ENSG00000084652	1503	22.0852	3.0600
ENSG00000085433	713	11.7917	1.6338
ENSG00000085465	492	12.3390	1.7096
ENSG00000085491	322	3.6880	0.5110
ENSG00000085552	8	0.0906	0.0126
ENSG00000085831	1415	11.3389	1.5711
ENSG00000085832	6456	64.1226	8.8845
ENSG00000085840	1469	34.8999	4.8355
ENSG00000085998	1215	14.3124	1.9831
ENSG00000085999	323	7.5480	1.0458
ENSG00000086015	1277	10.7925	1.4953
ENSG00000086619	1270	16.7431	2.3198
ENSG00000088035	521	7.8967	1.0941
ENSG00000088280	12	0.1840	0.0255
ENSG00000090020	2135	26.8032	3.7137
ENSG00000090104	1818	33.1241	4.5895
ENSG00000090273	3490	91.6174	12.6940
ENSG00000090432	2217	68.2549	9.4570
ENSG00000090621	10691	118.2290	16.3812
ENSG00000090686	4261	33.6467	4.6619
ENSG00000091483	984	34.4454	4.7726
ENSG00000092607	4	0.0788	0.0109
ENSG00000092621	453	6.0407	0.8370
ENSG00000092847	2342	13.6296	1.8884
ENSG00000092850	2	0.0758	0.0105
ENSG00000092853	359	4.9728	0.6890
ENSG00000092969	28	0.4052	0.0561
ENSG00000092978	648	5.5030	0.7625
ENSG00000094963	7	0.0841	0.0117
ENSG00000094975	6332	73.4337	10.1746
ENSG00000097021	431	6.6086	0.9157
ENSG00000097033	11365	127.6630	17.6883
ENSG00000097046	640	13.3351	1.8476
ENSG00000097096	38	0.4468	0.0619
ENSG00000099260	0	0.0000	0.0000
ENSG00000107404	527	11.3471	1.5722
ENSG00000116128	1366	15.9590	2.2112
ENSG00000116132	6	0.0546	0.0076
ENSG00000116133	191	3.2256	0.4469
ENSG00000116138	821	7.1893	0.9961
ENSG00000116141	0	0.0000	0.0000
ENSG00000116147	3	0.0394	0.0055
ENSG00000116151	168	2.4072	0.3335
ENSG00000116157	696	30.8853	4.2793
ENSG00000116161	3170	52.7180	7.3043
ENSG00000116171	3338	30.1486	4.1772
ENSG00000116183	0	0.0000	0.0000
ENSG00000116191	628	6.3449	0.8791
ENSG00000116194	0	0.0000	0.0000
ENSG00000116198	2048	19.5039	2.7024
ENSG00000116199	2719	33.7685	4.6788
ENSG00000116205	189	2.4317	0.3369
ENSG00000116209	15581	281.1770	38.9584
ENSG00000116212	542	16.8557	2.3354
ENSG00000116213	892	8.7988	1.2191
ENSG00000116218	0	0.0000	0.0000
ENSG00000116219	2	0.0586	0.0081
ENSG00000116221	5124	174.3580	24.1581
ENSG00000116237	315	4.8114	0.6666
ENSG00000116251	11491	175.8880	24.3701
ENSG00000116254	100	0.7580	0.1050
ENSG00000116260	8228	66.2732	9.1825
ENSG00000116266	3446	43.8412	6.0744
ENSG00000116273	1045	21.2956	2.9506
ENSG00000116285	46	0.8208	0.1137
ENSG00000116288	5230	163.6470	22.6740
ENSG00000116299	214	1.7222	0.2386
ENSG00000116329	0	0.0000	0.0000
ENSG00000116337	11076	121.6560	16.8560
ENSG00000116350	9109	214.9670	29.7847
ENSG00000116353	356	6.7382	0.9336
ENSG00000116396	94	0.7546	0.1046
ENSG00000116406	2609	25.9835	3.6001
ENSG00000116455	748	20.0114	2.7727
ENSG00000116459	6586	146.0010	20.2292
ENSG00000116473	3732	48.8268	6.7652
ENSG00000116478	5177	96.8591	13.4203
ENSG00000116489	9768	177.3860	24.5777
ENSG00000116497	1748	14.2675	1.9768
ENSG00000116514	3256	93.5490	12.9617
ENSG00000116521	1927	59.1888	8.2009
ENSG00000116525	416	7.8467	1.0872
ENSG00000116539	12067	68.0697	9.4314
ENSG00000116544	10	0.1886	0.0261
ENSG00000116560	79134	799.2210	110.7358
ENSG00000116574	107	1.8355	0.2543
ENSG00000116580	4151	25.6041	3.5476
ENSG00000116584	6541	66.1695	9.1681
