gene	raw_counts	median_length_normalized	RPKM
ENSG00000000457	899	17.5323	1.5811
ENSG00000000460	459	5.4197	0.4888
ENSG00000000938	8393	178.6280	16.1088
ENSG00000000971	64	0.5893	0.0531
ENSG00000001460	781	6.8817	0.6206
ENSG00000001461	1965	15.6733	1.4134
ENSG00000004455	9501	125.3860	11.3074
ENSG00000004487	15018	329.7240	29.7348
ENSG00000006555	65	0.8035	0.0725
ENSG00000007341	2286	21.1414	1.9065
ENSG00000007908	0	0.0000	0.0000
ENSG00000007923	1778	25.9054	2.3362
ENSG00000007933	0	0.0000	0.0000
ENSG00000007968	633	8.7011	0.7847
ENSG00000008118	23	0.6454	0.0582
ENSG00000008128	8463	134.5390	12.1328
ENSG00000008130	10269	134.1980	12.1021
ENSG00000009307	102754	1339.1000	120.7612
ENSG00000009709	0	0.0000	0.0000
ENSG00000009724	4050	71.4474	6.4432
ENSG00000009780	1495	38.9771	3.5150
ENSG00000009790	3832	37.0739	3.3434
ENSG00000010072	4662	59.2050	5.3392
ENSG00000010165	1061	20.7093	1.8676
ENSG00000010803	4814	81.1952	7.3223
ENSG00000010932	10	0.2093	0.0189
ENSG00000011007	8867	123.3650	11.1252
ENSG00000011009	3679	125.6530	11.3315
ENSG00000011021	14868	161.9830	14.6078
ENSG00000014914	4166	68.0499	6.1368
ENSG00000016490	0	0.0000	0.0000
ENSG00000016602	0	0.0000	0.0000
ENSG00000018625	16	0.1897	0.0171
ENSG00000020129	419	6.3880	0.5761
ENSG00000020633	121947	1986.1000	179.1087
ENSG00000021852	0	0.0000	0.0000
ENSG00000023572	278	16.0470	1.4471
ENSG00000023902	29985	360.5130	32.5114
ENSG00000023909	347	4.8361	0.4361
ENSG00000024526	39	0.4959	0.0447
ENSG00000025800	34350	335.1390	30.2231
ENSG00000026751	751	12.2365	1.1035
ENSG00000027644	2	0.0294	0.0027
ENSG00000027869	327	9.7619	0.8803
ENSG00000028137	9473	188.6470	17.0124
ENSG00000031698	6862	134.1540	12.0981
ENSG00000033122	105	0.6545	0.0590
ENSG00000034971	0	0.0000	0.0000
ENSG00000035687	1672	34.2158	3.0856
ENSG00000036549	3644	30.3395	2.7360
ENSG00000037637	16032	133.8340	12.0693
ENSG00000040487	6546	182.7950	16.4846
ENSG00000041988	4851	89.3426	8.0570
ENSG00000042781	5	0.0182	0.0016
ENSG00000043514	2047	49.9938	4.5085
ENSG00000044012	0	0.0000	0.0000
ENSG00000047410	5615	41.3694	3.7307
ENSG00000048707	13169	48.5427	4.3776
ENSG00000049089	20564	371.5510	33.5068
ENSG00000049239	5072	41.7249	3.7628
ENSG00000049245	9698	263.5370	23.7660
ENSG00000049246	249	2.6240	0.2366
ENSG00000049247	34	1.4420	0.1300
ENSG00000049249	157	5.1506	0.4645
ENSG00000050628	27	0.2120	0.0191
ENSG00000052723	7259	92.3705	8.3301
ENSG00000053371	12579	529.6980	47.7687
ENSG00000053372	1642	43.6262	3.9343
ENSG00000054116	4708	106.5910	9.6125
ENSG00000054118	31904	505.2310	45.5622
ENSG00000054267	14350	97.1990	8.7655
ENSG00000054277	2213	47.7026	4.3019
ENSG00000054282	1175	16.7968	1.5148
ENSG00000054392	766	13.3797	1.2066
ENSG00000054523	7073	29.9838	2.7040
ENSG00000055070	42243	667.4180	60.1884
ENSG00000055732	743	8.4110	0.7585
ENSG00000057252	4187	44.6451	4.0261
ENSG00000057468	53	1.2091	0.1090
ENSG00000057757	12211	418.9350	37.7800
ENSG00000058085	0	0.0000	0.0000
ENSG00000058453	5285	32.3185	2.9145
ENSG00000058668	4952	38.2085	3.4457
ENSG00000058673	24066	186.0780	16.7807
ENSG00000058799	1058	35.0823	3.1637
ENSG00000058804	1138	16.6162	1.4985
ENSG00000059588	18402	178.2430	16.0742
ENSG00000060642	2061	45.6960	4.1209
ENSG00000060656	389	4.3540	0.3927
ENSG00000060688	9486	177.3720	15.9956
ENSG00000060718	0	0.0000	0.0000
ENSG00000064703	4222	52.6092	4.7444
ENSG00000064886	487	11.0883	1.0000
ENSG00000065135	3651	85.4136	7.7027
ENSG00000065183	222	3.9952	0.3603
ENSG00000065243	3032	32.4173	2.9234
ENSG00000065526	104631	590.2890	53.2328
ENSG00000065600	24443	629.1020	56.7330
ENSG00000065978	90007	3497.6900	315.4246
ENSG00000066027	9204	178.7000	16.1154
ENSG00000066056	443	4.9658	0.4478
ENSG00000066135	12048	174.7050	15.7550
ENSG00000066136	2266	28.3863	2.5599
ENSG00000066185	138	4.7276	0.4263
ENSG00000066279	1809	12.4610	1.1237
ENSG00000066294	16911	137.0450	12.3588
ENSG00000066322	6245	190.4720	17.1770
ENSG00000066557	1354	35.2074	3.1750
ENSG00000067208	2512	22.7785	2.0542
ENSG00000067334	2881	35.9857	3.2452
ENSG00000067533	692	6.5851	0.5938
ENSG00000067606	258	2.5354	0.2286
ENSG00000067704	5486	98.8551	8.9148
ENSG00000069248	4988	73.9836	6.6719
ENSG00000069275	14184	162.5090	14.6552
ENSG00000069424	26619	245.6870	22.1563
ENSG00000069702	545	4.7212	0.4258
ENSG00000069712	12	0.1942	0.0175
ENSG00000069812	155	2.1443	0.1934
ENSG00000070759	1822	39.4841	3.5607
ENSG00000070785	476	11.7414	1.0589
ENSG00000070831	44704	966.2270	87.1353
ENSG00000070886	19	0.2619	0.0236
ENSG00000072694	2591	27.7732	2.5046
ENSG00000073754	0	0.0000	0.0000
ENSG00000073756	167	2.3718	0.2139
ENSG00000074800	62731	1148.3600	103.5598
ENSG00000074964	1000	9.5609	0.8622
ENSG00000075151	7555	67.2252	6.0624
ENSG00000075391	369	2.3435	0.2113
ENSG00000075945	778	11.6448	1.0501
ENSG00000076258	103	3.0564	0.2756
ENSG00000076321	3843	67.7623	6.1109
ENSG00000076356	546	2.9735	0.2682
