gene	raw_counts	median_length_normalized	RPKM
ENSG00000000457	913	17.8179	2.3615
ENSG00000000460	743	8.7685	1.1621
ENSG00000000938	28127	598.6270	79.3390
ENSG00000000971	122	1.1220	0.1487
ENSG00000001460	457	4.0248	0.5334
ENSG00000001461	1580	12.6048	1.6706
ENSG00000004455	22713	299.7470	39.7270
ENSG00000004487	8429	185.0710	24.5283
ENSG00000006555	175	2.1661	0.2871
ENSG00000007341	1411	13.0486	1.7294
ENSG00000007908	0	0.0000	0.0000
ENSG00000007923	2144	31.2366	4.1400
ENSG00000007933	0	0.0000	0.0000
ENSG00000007968	1078	14.8091	1.9627
ENSG00000008118	1	0.0168	0.0022
ENSG00000008128	3217	51.1376	6.7775
ENSG00000008130	8470	110.6880	14.6700
ENSG00000009307	85365	1112.4800	147.4431
ENSG00000009709	0	0.0000	0.0000
ENSG00000009724	58	1.0254	0.1359
ENSG00000009780	1232	32.1224	4.2574
ENSG00000009790	4580	44.3076	5.8723
ENSG00000010072	2230	28.3165	3.7529
ENSG00000010165	499	9.7356	1.2903
ENSG00000010803	6231	105.0890	13.9280
ENSG00000010932	8	0.1679	0.0222
ENSG00000011007	4382	60.9649	8.0800
ENSG00000011009	3028	103.4200	13.7068
ENSG00000011021	4906	53.4454	7.0834
ENSG00000014914	351	5.7297	0.7594
ENSG00000016490	0	0.0000	0.0000
ENSG00000016602	0	0.0000	0.0000
ENSG00000018625	0	0.0000	0.0000
ENSG00000020129	3447	52.5853	6.9694
ENSG00000020633	48418	788.5650	104.5125
ENSG00000021852	0	0.0000	0.0000
ENSG00000023572	306	17.6543	2.3398
ENSG00000023902	8446	101.5470	13.4585
ENSG00000023909	1298	18.1195	2.4015
ENSG00000024526	251	3.1872	0.4224
ENSG00000025800	15922	155.3470	20.5889
ENSG00000026751	1201	19.5636	2.5929
ENSG00000027644	73	1.0665	0.1413
ENSG00000027869	645	19.2536	2.5518
ENSG00000028137	14677	292.2960	38.7395
ENSG00000031698	4277	83.6298	11.0839
ENSG00000033122	6	0.0375	0.0050
ENSG00000034971	0	0.0000	0.0000
ENSG00000035687	3349	68.5237	9.0818
ENSG00000036549	6287	52.3435	6.9373
ENSG00000037637	5587	46.6454	6.1821
ENSG00000040487	4058	113.3120	15.0178
ENSG00000041988	1577	29.0400	3.8488
ENSG00000042781	0	0.0000	0.0000
ENSG00000043514	974	23.7773	3.1513
ENSG00000044012	0	0.0000	0.0000
ENSG00000047410	21510	158.4740	21.0033
ENSG00000048707	8882	32.7408	4.3393
ENSG00000049089	4363	78.8340	10.4483
ENSG00000049239	8994	73.9895	9.8062
ENSG00000049245	11575	314.5250	41.6856
ENSG00000049246	2750	29.0362	3.8483
ENSG00000049247	47	1.9961	0.2645
ENSG00000049249	113	3.7180	0.4928
ENSG00000050628	15	0.1165	0.0154
ENSG00000052723	5771	73.4410	9.7335
ENSG00000053371	10994	462.9750	61.3605
ENSG00000053372	1479	39.3044	5.2092
ENSG00000054116	2620	59.3203	7.8620
ENSG00000054118	5206	82.4457	10.9269
ENSG00000054267	16569	112.2280	14.8742
ENSG00000054277	3253	70.1184	9.2931
ENSG00000054282	2834	40.5031	5.3681
ENSG00000054392	737	12.8603	1.7044
ENSG00000054523	8490	35.9894	4.7699
ENSG00000055070	13231	209.0360	27.7045
ENSG00000055732	7707	87.2796	11.5676
ENSG00000057252	5177	55.2121	7.3175
ENSG00000057468	102	2.3521	0.3117
ENSG00000057757	5589	191.7620	25.4151
ENSG00000058085	0	0.0000	0.0000
ENSG00000058453	3055	18.6823	2.4761
ENSG00000058668	26755	206.4210	27.3581
ENSG00000058673	27319	211.2310	27.9956
ENSG00000058799	2056	68.1950	9.0382
ENSG00000058804	3617	52.8304	7.0019
ENSG00000059588	14663	142.0280	18.8237
ENSG00000060642	1245	27.5999	3.6580
ENSG00000060656	2309	25.8448	3.4253
ENSG00000060688	2526	47.2276	6.2593
ENSG00000060718	2	0.0181	0.0024
ENSG00000064703	6426	80.0694	10.6120
ENSG00000064886	459	10.4425	1.3840
ENSG00000065135	11324	264.9160	35.1106
ENSG00000065183	921	16.6129	2.2018
ENSG00000065243	4548	48.6320	6.4455
ENSG00000065526	41499	234.1230	31.0295
ENSG00000065600	3367	86.6551	11.4848
ENSG00000065978	49389	1919.2700	254.3710
ENSG00000066027	15416	299.3030	39.6682
ENSG00000066056	5105	57.1955	7.5804
ENSG00000066135	3260	47.2738	6.2654
ENSG00000066136	3476	43.5393	5.7705
ENSG00000066185	301	10.2829	1.3629
ENSG00000066279	989	6.8133	0.9030
ENSG00000066294	8983	72.7996	9.6485
ENSG00000066322	6794	207.2250	27.4646
ENSG00000066557	1732	45.0347	5.9687
ENSG00000067208	4047	36.6912	4.8629
ENSG00000067334	14481	180.8660	23.9711
ENSG00000067533	1663	15.8224	2.0970
ENSG00000067606	2271	22.3055	2.9563
ENSG00000067704	14001	252.2960	33.4380
ENSG00000069248	3985	59.0981	7.8326
ENSG00000069275	6831	78.2632	10.3726
ENSG00000069424	34662	319.9200	42.4006
ENSG00000069702	885	7.6741	1.0171
ENSG00000069712	492	7.9758	1.0571
ENSG00000069812	161	2.2384	0.2967
ENSG00000070759	2206	47.8220	6.3381
ENSG00000070785	1164	28.6918	3.8027
ENSG00000070831	25293	546.6710	72.4530
ENSG00000070886	4	0.0560	0.0074
ENSG00000072694	1456	15.6089	2.0687
ENSG00000073754	0	0.0000	0.0000
ENSG00000073756	573	8.1581	1.0812
ENSG00000074800	100804	1845.3300	244.5713
ENSG00000074964	2540	24.2809	3.2181
ENSG00000075151	21056	187.3520	24.8307
ENSG00000075391	2801	17.7753	2.3559
ENSG00000075945	599	8.9553	1.1869
ENSG00000076258	177	5.2857	0.7005
ENSG00000076321	1472	25.9455	3.4387
ENSG00000076356	2187	11.9016	1.5774
ENSG00000076864	494	5.8417	0.7742
ENSG00000077152	291	20.5005	2.7171
ENSG00000077157	4189	21.8200	2.8919
ENSG00000077254	7822	84.7994	11.2389
ENSG00000077522	110	1.5167	0.2010
ENSG00000077549	16277	350.7990	46.4932
ENSG00000077585	1603	52.7688	6.9937
ENSG00000078369	47016	574.6730	76.1643
ENSG00000078618	17107	193.8380	25.6903
ENSG00000078808	16425	262.2730	34.7604
ENSG00000078900	1771	23.9136	3.1694
ENSG00000079277	5689	52.9406	7.0165
ENSG00000079335	6438	84.2816	11.1703
ENSG00000079739	6026	108.5440	14.3860
ENSG00000080910	0	0.0000	0.0000
ENSG00000080947	709	7.8029	1.0341
ENSG00000081019	5622	61.8322	8.1949
ENSG00000081026	207	1.8967	0.2514
ENSG00000081237	36704	323.5880	42.8868
ENSG00000081248	0	0.0000	0.0000
ENSG00000081277	6	0.0725	0.0096
ENSG00000081692	1093	18.9998	2.5181
ENSG00000081721	2386	101.5720	13.4619
ENSG00000081870	1161	31.5738	4.1846
ENSG00000081985	8701	154.1550	20.4309
ENSG00000082482	0	0.0000	0.0000
ENSG00000082497	2	0.0274	0.0036
ENSG00000082512	3570	29.6811	3.9338
ENSG00000083444	10666	150.1630	19.9019
ENSG00000084070	17049	387.5900	51.3693
ENSG00000084072	2722	25.2944	3.3524
ENSG00000084073	3017	63.3396	8.3947
ENSG00000084623	15196	660.6880	87.5644
ENSG00000084628	43	1.0797	0.1431
ENSG00000084636	183	1.4383	0.1906
ENSG00000084652	5546	81.5144	10.8035
ENSG00000085433	5574	92.1671	12.2154
ENSG00000085465	394	9.8825	1.3098
ENSG00000085491	9369	107.3080	14.2220
ENSG00000085552	161	1.8193	0.2411
ENSG00000085831	37	0.2964	0.0393
ENSG00000085832	8075	80.2071	10.6303
ENSG00000085840	1859	44.1628	5.8531
ENSG00000085998	2686	31.6401	4.1934
ENSG00000085999	604	14.0922	1.8677
ENSG00000086015	7213	60.9439	8.0772
ENSG00000086619	1468	19.3527	2.5649
ENSG00000088035	1003	15.2042	2.0151
ENSG00000088280	231	3.5388	0.4690
ENSG00000090020	4881	61.2638	8.1196
ENSG00000090104	6124	111.5550	14.7849
ENSG00000090273	5559	145.9340	19.3414
ENSG00000090432	4726	145.5090	19.2850
ENSG00000090621	24899	275.3490	36.4934
ENSG00000090686	8253	65.1757	8.6381
ENSG00000091483	4050	141.7910	18.7923
ENSG00000092607	6	0.1188	0.0157
ENSG00000092621	569	7.5850	1.0053
ENSG00000092847	9880	57.5026	7.6211
ENSG00000092850	347	13.1517	1.7430
ENSG00000092853	3077	42.6527	5.6530
ENSG00000092969	18	0.2596	0.0344
ENSG00000092978	1536	13.0329	1.7273
ENSG00000094963	0	0.0000	0.0000
ENSG00000094975	20130	233.4510	30.9405
ENSG00000097021	2600	39.8991	5.2880
ENSG00000097033	15836	177.8830	23.5758
ENSG00000097046	1834	38.2128	5.0645
ENSG00000097096	13322	154.8840	20.5276
ENSG00000099260	0	0.0000	0.0000
ENSG00000107404	4102	88.2524	11.6965
ENSG00000116128	5454	63.7111	8.4440
ENSG00000116132	0	0.0000	0.0000
ENSG00000116133	5842	98.6541	13.0751
ENSG00000116138	2579	22.5864	2.9935
ENSG00000116141	16	0.1677	0.0222
ENSG00000116147	10	0.1404	0.0186
ENSG00000116151	503	7.2050	0.9549
ENSG00000116157	6065	269.0050	35.6526
ENSG00000116161	4223	70.2282	9.3077
ENSG00000116171	11970	108.0970	14.3266
ENSG00000116183	0	0.0000	0.0000
ENSG00000116191	5314	53.7002	7.1172
ENSG00000116194	0	0.0000	0.0000
ENSG00000116198	4934	46.9821	6.2268
ENSG00000116199	5160	64.0835	8.4933
ENSG00000116205	900	11.5834	1.5352
ENSG00000116209	23999	433.0840	57.3989
ENSG00000116212	1633	50.7951	6.7321
ENSG00000116213	2568	25.3321	3.3574
ENSG00000116218	14	0.5486	0.0727
ENSG00000116219	2	0.0596	0.0079
ENSG00000116221	6484	220.6360	29.2420
ENSG00000116237	7475	114.1600	15.1302
ENSG00000116251	14829	226.9680	30.0812
ENSG00000116254	1759	13.3375	1.7677
ENSG00000116260	49508	398.7830	52.8527
ENSG00000116266	4290	54.5837	7.2343
ENSG00000116273	906	18.4496	2.4452
ENSG00000116285	136	2.4333	0.3225
ENSG00000116288	8465	264.8740	35.1052
ENSG00000116299	218	1.7610	0.2334
ENSG00000116329	0	0.0000	0.0000
ENSG00000116337	6807	74.7679	9.9094
ENSG00000116350	13115	309.5140	41.0214
ENSG00000116353	906	17.1309	2.2704
ENSG00000116396	1145	9.1941	1.2185
ENSG00000116406	6850	68.2084	9.0400
