gene	raw_counts	median_length_normalized	RPKM
ENSG00000000457	775	15.1158	2.4398
ENSG00000000460	1195	14.1056	2.2768
ENSG00000000938	4351	92.5953	14.9456
ENSG00000000971	62	0.5710	0.0922
ENSG00000001460	265	2.3325	0.3765
ENSG00000001461	1833	14.6174	2.3594
ENSG00000004455	8738	115.3140	18.6125
ENSG00000004487	5107	112.1280	18.0983
ENSG00000006555	107	1.3216	0.2133
ENSG00000007341	2711	25.0640	4.0455
ENSG00000007908	0	0.0000	0.0000
ENSG00000007923	1379	20.0911	3.2429
ENSG00000007933	0	0.0000	0.0000
ENSG00000007968	1033	14.2032	2.2925
ENSG00000008118	2	0.0504	0.0081
ENSG00000008128	3057	48.5988	7.8442
ENSG00000008130	4091	53.4600	8.6288
ENSG00000009307	43050	561.0350	90.5552
ENSG00000009709	0	0.0000	0.0000
ENSG00000009724	8	0.1411	0.0228
ENSG00000009780	816	21.2872	3.4359
ENSG00000009790	2890	27.9541	4.5120
ENSG00000010072	2543	32.2968	5.2130
ENSG00000010165	761	14.8538	2.3975
ENSG00000010803	4699	79.2465	12.7910
ENSG00000010932	7	0.1469	0.0237
ENSG00000011007	5003	69.5969	11.2335
ENSG00000011009	1196	40.8520	6.5938
ENSG00000011021	2810	30.6116	4.9409
ENSG00000014914	44	0.7188	0.1160
ENSG00000016490	6	0.1347	0.0217
ENSG00000016602	0	0.0000	0.0000
ENSG00000018625	0	0.0000	0.0000
ENSG00000020129	1516	23.1245	3.7325
ENSG00000020633	11166	181.8560	29.3530
ENSG00000021852	0	0.0000	0.0000
ENSG00000023572	432	24.9269	4.0233
ENSG00000023902	3909	46.9926	7.5849
ENSG00000023909	995	13.8902	2.2420
ENSG00000024526	384	4.8791	0.7875
ENSG00000025800	9666	94.3095	15.2222
ENSG00000026751	935	15.2339	2.4589
ENSG00000027644	0	0.0000	0.0000
ENSG00000027869	987	29.4697	4.7566
ENSG00000028137	2077	41.3571	6.6753
ENSG00000031698	3142	61.4330	9.9157
ENSG00000033122	32	0.1974	0.0319
ENSG00000034971	0	0.0000	0.0000
ENSG00000035687	2073	42.4176	6.8465
ENSG00000036549	4319	35.9615	5.8044
ENSG00000037637	2219	18.5206	2.9894
ENSG00000040487	469	13.1080	2.1157
ENSG00000041988	934	17.1955	2.7755
ENSG00000042781	0	0.0000	0.0000
ENSG00000043514	875	21.3803	3.4509
ENSG00000044012	0	0.0000	0.0000
ENSG00000047410	13490	99.3881	16.0420
ENSG00000048707	5617	20.7043	3.3418
ENSG00000049089	3546	64.0756	10.3423
ENSG00000049239	4060	33.4030	5.3915
ENSG00000049245	10076	273.8000	44.1933
ENSG00000049246	1736	18.3229	2.9575
ENSG00000049247	25	1.0622	0.1714
ENSG00000049249	44	1.4418	0.2327
ENSG00000050628	0	0.0000	0.0000
ENSG00000052723	6183	78.6798	12.6995
ENSG00000053371	2252	94.8214	15.3049
ENSG00000053372	924	24.5507	3.9627
ENSG00000054116	1818	41.1530	6.6424
ENSG00000054118	4752	75.2534	12.1464
ENSG00000054267	16234	109.9600	17.7483
ENSG00000054277	936	20.1822	3.2575
ENSG00000054282	3583	51.2196	8.2672
ENSG00000054392	395	6.8985	1.1135
ENSG00000054523	1944	8.2398	1.3300
