gene	raw_counts	median_length_normalized	RPKM
ENSG00000000457	1879	36.6673	3.3362
ENSG00000000460	3300	38.9540	3.5443
ENSG00000000938	1025	21.8116	1.9845
ENSG00000000971	29	0.2671	0.0243
ENSG00000001460	1335	11.7577	1.0698
ENSG00000001461	5743	45.8037	4.1675
ENSG00000004455	18629	245.8490	22.3689
ENSG00000004487	17533	384.9500	35.0252
ENSG00000006555	59	0.7291	0.0663
ENSG00000007341	2624	24.2589	2.2072
ENSG00000007908	0	0.0000	0.0000
ENSG00000007923	7238	105.4700	9.5963
ENSG00000007933	0	0.0000	0.0000
ENSG00000007968	9365	128.7160	11.7114
ENSG00000008118	0	0.0000	0.0000
ENSG00000008128	7630	121.2910	11.0359
ENSG00000008130	8053	105.2350	9.5750
ENSG00000009307	105361	1373.0800	124.9319
ENSG00000009709	0	0.0000	0.0000
ENSG00000009724	32	0.5712	0.0520
ENSG00000009780	1034	26.9750	2.4544
ENSG00000009790	5751	55.6346	5.0620
ENSG00000010072	1744	22.1492	2.0153
ENSG00000010165	7066	137.9050	12.5474
ENSG00000010803	7956	134.1770	12.2083
ENSG00000010932	36	0.7555	0.0687
ENSG00000011007	12466	173.4280	15.7796
ENSG00000011009	5362	183.1310	16.6624
ENSG00000011021	7024	76.5288	6.9631
ENSG00000014914	64	1.0523	0.0957
ENSG00000016490	0	0.0000	0.0000
ENSG00000016602	0	0.0000	0.0000
ENSG00000018625	0	0.0000	0.0000
ENSG00000020129	7072	107.8680	9.8145
ENSG00000020633	11335	184.6090	16.7969
ENSG00000021852	0	0.0000	0.0000
ENSG00000023572	594	34.3118	3.1219
ENSG00000023902	5668	68.1432	6.2001
ENSG00000023909	6402	89.3498	8.1296
ENSG00000024526	9748	123.8320	11.2671
ENSG00000025800	26895	262.4040	23.8752
ENSG00000026751	504	8.2152	0.7475
ENSG00000027644	15	0.2205	0.0201
ENSG00000027869	480	14.3264	1.3035
ENSG00000028137	4341	86.4565	7.8664
ENSG00000031698	18783	367.2450	33.4143
ENSG00000033122	0	0.0000	0.0000
ENSG00000034971	0	0.0000	0.0000
ENSG00000035687	4374	89.4853	8.1419
ENSG00000036549	8122	67.6273	6.1532
ENSG00000037637	6161	51.4346	4.6798
ENSG00000040487	1234	34.4456	3.1341
ENSG00000041988	1297	23.8875	2.1734
ENSG00000042781	0	0.0000	0.0000
ENSG00000043514	2544	62.1303	5.6530
ENSG00000044012	0	0.0000	0.0000
ENSG00000047410	30743	226.4960	20.6080
ENSG00000048707	9702	35.7634	3.2540
ENSG00000049089	596	10.7697	0.9799
ENSG00000049239	6543	53.8288	4.8977
ENSG00000049245	11000	298.9030	27.1961
ENSG00000049246	6765	71.4196	6.4982
ENSG00000049247	2	0.0841	0.0077
ENSG00000049249	22	0.7189	0.0654
ENSG00000050628	10	0.0777	0.0071
ENSG00000052723	10165	129.3470	11.7688
ENSG00000053371	6851	288.5070	26.2502
ENSG00000053372	6612	175.7190	15.9880
ENSG00000054116	5061	114.5730	10.4246
ENSG00000054118	20802	329.4210	29.9729
ENSG00000054267	13666	92.5648	8.4221
ENSG00000054277	1372	29.5592	2.6895
ENSG00000054282	3828	54.7147	4.9783
ENSG00000054392	582	10.1653	0.9249
ENSG00000054523	4028	17.0760	1.5537
ENSG00000055070	18292	288.9970	26.2948
ENSG00000055732	2	0.0226	0.0021
ENSG00000057252	1916	20.4300	1.8589
ENSG00000057468	11	0.2526	0.0230
ENSG00000057757	16043	550.4370	50.0823
ENSG00000058085	0	0.0000	0.0000
ENSG00000058453	1536	9.3896	0.8543
ENSG00000058668	39604	305.5560	27.8015
ENSG00000058673	30372	234.8370	21.3670
ENSG00000058799	2806	93.0916	8.4701
ENSG00000058804	11897	173.7600	15.8098
ENSG00000059588	25268	244.7490	22.2688
ENSG00000060642	2874	63.7416	5.7996
ENSG00000060656	312	3.4918	0.3177
ENSG00000060688	6798	127.1180	11.5660
ENSG00000060718	0	0.0000	0.0000
ENSG00000064703	5899	73.5097	6.6884
ENSG00000064886	67	1.5247	0.1387
ENSG00000065135	13727	321.1150	29.2171
ENSG00000065183	3821	68.9005	6.2690
ENSG00000065243	11398	121.8720	11.0887
ENSG00000065526	37686	212.6100	19.3446
ENSG00000065600	2336	60.1187	5.4700
ENSG00000065978	105490	4099.3600	372.9860
ENSG00000066027	10666	207.0790	18.8414
ENSG00000066056	1152	12.9069	1.1744
ENSG00000066135	4712	68.3277	6.2169
ENSG00000066136	6225	77.9875	7.0958
ENSG00000066185	225	7.6957	0.7002
ENSG00000066279	13492	92.9436	8.4566
ENSG00000066294	12853	104.1530	9.4765
ENSG00000066322	15495	472.5870	42.9990
ENSG00000066557	5388	140.1060	12.7477
ENSG00000067208	1958	17.7550	1.6155
ENSG00000067334	30065	375.5010	34.1655
ENSG00000067533	6810	64.7866	5.8947
ENSG00000067606	1545	15.1761	1.3808
ENSG00000067704	14028	252.7890	23.0003
ENSG00000069248	11058	164.0030	14.9220
ENSG00000069275	35852	410.7650	37.3740
ENSG00000069424	44062	406.6740	37.0018
ENSG00000069702	1039	9.0055	0.8194
ENSG00000069712	894	14.5114	1.3203
ENSG00000069812	10	0.1387	0.0126
ENSG00000070759	2473	53.5951	4.8764
ENSG00000070785	3256	80.2494	7.3016
ENSG00000070831	33665	727.6350	66.2049
ENSG00000070886	4	0.0560	0.0051
ENSG00000072694	42	0.4503	0.0410
ENSG00000073754	80	2.4410	0.2221
ENSG00000073756	4889	69.5897	6.3317
ENSG00000074800	123473	2260.3100	205.6571
ENSG00000074964	2	0.0190	0.0017
ENSG00000075151	15342	136.5070	12.4203
ENSG00000075391	262	1.6631	0.1513
ENSG00000075945	4634	69.3209	6.3073
ENSG00000076258	580	17.2924	1.5734
ENSG00000076321	2284	40.2762	3.6646
ENSG00000076356	102	0.5566	0.0506
ENSG00000076864	8849	104.6270	9.5196
ENSG00000077152	4965	349.6320	31.8117
ENSG00000077157	4979	25.9337	2.3596
ENSG00000077254	10945	118.6630	10.7967
ENSG00000077522	0	0.0000	0.0000
ENSG00000077549	22540	485.7710	44.1985
ENSG00000077585	234	7.7060	0.7011
ENSG00000078369	43162	527.5670	48.0014
ENSG00000078618	34922	395.7010	36.0034
ENSG00000078808	14956	238.8190	21.7293
ENSG00000078900	906	12.2365	1.1134
ENSG00000079277	5623	52.3197	4.7604
ENSG00000079335	3781	49.4952	4.5034
ENSG00000079739	1077	19.4023	1.7653
ENSG00000080910	0	0.0000	0.0000
ENSG00000080947	319	3.5078	0.3192
ENSG00000081019	7155	78.6922	7.1599
ENSG00000081026	90	0.8235	0.0749
ENSG00000081237	22137	195.1670	17.7575
ENSG00000081248	0	0.0000	0.0000
ENSG00000081277	0	0.0000	0.0000
ENSG00000081692	2334	40.5666	3.6910
ENSG00000081721	2283	97.1867	8.8427
ENSG00000081870	2921	79.4150	7.2257
ENSG00000081985	317	5.6227	0.5116
ENSG00000082482	0	0.0000	0.0000
ENSG00000082497	2	0.0274	0.0025
ENSG00000082512	3404	28.2972	2.5747
ENSG00000083444	5795	81.5928	7.4238
ENSG00000084070	30225	687.1370	62.5201
ENSG00000084072	6345	58.9612	5.3647
ENSG00000084073	6179	129.7320	11.8038
ENSG00000084623	36938	1606.0100	146.1252
ENSG00000084628	6	0.1507	0.0137
ENSG00000084636	18	0.1404	0.0128
ENSG00000084652	6745	99.1291	9.0194
ENSG00000085433	2190	36.2141	3.2950
ENSG00000085465	333	8.3514	0.7599
ENSG00000085491	2676	30.6483	2.7886
ENSG00000085552	14	0.1586	0.0144
ENSG00000085831	833	6.6740	0.6072
ENSG00000085832	32609	323.8850	29.4691
ENSG00000085840	9653	229.3170	20.8647
ENSG00000085998	5420	63.8500	5.8095
ENSG00000085999	3534	82.5171	7.5079
ENSG00000086015	6168	52.1140	4.7417
ENSG00000086619	2069	27.2867	2.4827
ENSG00000088035	2193	33.2614	3.0263
ENSG00000088280	8	0.1226	0.0112
ENSG00000090020	3046	38.2403	3.4793
ENSG00000090104	5374	97.9026	8.9078
ENSG00000090273	13239	347.5430	31.6217
ENSG00000090432	4613	142.0320	12.9230
ENSG00000090621	49224	544.3560	49.5289
ENSG00000090686	16588	131.0000	11.9192
ENSG00000091483	8613	301.5740	27.4391
ENSG00000092607	0	0.0000	0.0000
ENSG00000092621	3267	43.5783	3.9650
ENSG00000092847	9680	56.3377	5.1260
ENSG00000092850	16	0.6183	0.0563
ENSG00000092853	5498	76.2027	6.9334
ENSG00000092969	12	0.1747	0.0159
ENSG00000092978	1913	16.2349	1.4772
ENSG00000094963	24	0.2885	0.0263
ENSG00000094975	7597	88.1070	8.0165
ENSG00000097021	3589	55.0661	5.0103
ENSG00000097033	16373	183.9140	16.7336
ENSG00000097046	4863	101.3480	9.2213
ENSG00000097096	37	0.4305	0.0392
ENSG00000099260	0	0.0000	0.0000
ENSG00000107404	5205	111.9940	10.1899
ENSG00000116128	2816	32.8969	2.9932
ENSG00000116132	0	0.0000	0.0000
ENSG00000116133	4084	68.9788	6.2761
ENSG00000116138	4501	39.4266	3.5873
ENSG00000116141	0	0.0000	0.0000
ENSG00000116147	14	0.2017	0.0184
ENSG00000116151	662	9.4946	0.8639
ENSG00000116157	2208	97.9166	8.9091
ENSG00000116161	9762	162.3430	14.7710
ENSG00000116171	8472	76.5115	6.9615
ENSG00000116183	6	0.0412	0.0037
ENSG00000116191	4243	42.8760	3.9011
ENSG00000116194	0	0.0000	0.0000
ENSG00000116198	5084	48.4106	4.4047
ENSG00000116199	9426	117.0630	10.6511
ENSG00000116205	2762	35.5580	3.2353
ENSG00000116209	26112	471.2250	42.8751
ENSG00000116212	3027	94.1767	8.5688
ENSG00000116213	3621	35.7132	3.2494
ENSG00000116218	0	0.0000	0.0000
ENSG00000116219	7	0.2605	0.0237
ENSG00000116221	22933	780.3800	71.0039
ENSG00000116237	6030	92.0837	8.3784
ENSG00000116251	44568	682.1660	62.0677
ENSG00000116254	318	2.4107	0.2193
ENSG00000116260	11598	93.4232	8.5002
ENSG00000116266	8788	111.8020	10.1724
ENSG00000116273	2463	50.1907	4.5667
ENSG00000116285	50	0.8958	0.0815
ENSG00000116288	17471	546.6670	49.7392
ENSG00000116299	120	0.9700	0.0883
ENSG00000116329	0	0.0000	0.0000
ENSG00000116337	19306	212.0570	19.2943
ENSG00000116350	13779	325.1880	29.5876
ENSG00000116353	2002	37.8759	3.4462
ENSG00000116396	984	7.8979	0.7186
ENSG00000116406	9623	95.8221	8.7185
ENSG00000116455	6129	163.8640	14.9094
ENSG00000116459	25203	558.7360	50.8374
ENSG00000116473	10478	137.0800	12.4724
ENSG00000116478	20196	377.8320	34.3776
ENSG00000116489	21648	393.1280	35.7693
ENSG00000116497	7081	57.7916	5.2582
ENSG00000116514	5103	146.6280	13.3411
ENSG00000116521	10390	319.0990	29.0336
ENSG00000116525	999	18.8515	1.7152
ENSG00000116539	14951	84.3350	7.6733
ENSG00000116544	435	8.2052	0.7466
ENSG00000116560	116523	1176.8500	107.0768
ENSG00000116574	835	14.3218	1.3031
ENSG00000116580	9926	61.2325	5.5713
ENSG00000116584	16704	168.9780	15.3747
ENSG00000116586	3222	168.0300	15.2884
ENSG00000116604	40999	480.4520	43.7145
ENSG00000116641	3730	25.7299	2.3411
ENSG00000116649	26732	1056.3100	96.1096
ENSG00000116652	92	5.9165	0.5383
ENSG00000116661	16	0.5144	0.0468
ENSG00000116663	1393	57.6869	5.2487
ENSG00000116667	215	1.4673	0.1335
ENSG00000116668	2056	38.0353	3.4607
ENSG00000116670	5449	120.0910	10.9266
ENSG00000116675	7321	79.4982	7.2332
ENSG00000116678	4870	31.8790	2.9006
ENSG00000116679	15023	142.1040	12.9295
ENSG00000116685	6965	159.2190	14.4867
ENSG00000116688	29013	437.1180	39.7718
ENSG00000116690	0	0.0000	0.0000
ENSG00000116691	5726	152.2360	13.8514
ENSG00000116698	29374	264.8810	24.1006
ENSG00000116701	205	5.2442	0.4771
ENSG00000116703	0	0.0000	0.0000
ENSG00000116704	4496	47.1324	4.2884
ENSG00000116711	1159	30.2424	2.7516
ENSG00000116717	10316	373.9580	34.0251
ENSG00000116721	0	0.0000	0.0000
