gene	raw_counts	median_length_normalized	RPKM
ENSG00000000457	941	18.3595	2.0066
ENSG00000000460	651	7.6789	0.8393
ENSG00000000938	3495	74.3774	8.1290
ENSG00000000971	362	3.3363	0.3646
ENSG00000001460	353	3.1110	0.3400
ENSG00000001461	1103	8.7963	0.9614
ENSG00000004455	7466	98.5291	10.7687
ENSG00000004487	10485	230.2080	25.1605
ENSG00000006555	171	2.1216	0.2319
ENSG00000007341	1436	13.2770	1.4511
ENSG00000007908	0	0.0000	0.0000
ENSG00000007923	2449	35.6792	3.8995
ENSG00000007933	0	0.0000	0.0000
ENSG00000007968	9175	126.1030	13.7823
ENSG00000008118	0	0.0000	0.0000
ENSG00000008128	5545	88.1433	9.6336
ENSG00000008130	4825	63.0518	6.8912
ENSG00000009307	134187	1748.7500	191.1287
ENSG00000009709	0	0.0000	0.0000
ENSG00000009724	57	1.0021	0.1095
ENSG00000009780	1414	36.8853	4.0314
ENSG00000009790	3681	35.6123	3.8922
ENSG00000010072	4551	57.7933	6.3165
ENSG00000010165	816	15.9274	1.7408
ENSG00000010803	6214	104.7930	11.4533
ENSG00000010932	3	0.0630	0.0069
ENSG00000011007	17743	246.8370	26.9779
ENSG00000011009	5362	183.1130	20.0132
ENSG00000011021	5239	57.0777	6.2383
ENSG00000014914	196	3.2008	0.3498
ENSG00000016490	0	0.0000	0.0000
ENSG00000016602	6	0.1228	0.0134
ENSG00000018625	0	0.0000	0.0000
ENSG00000020129	1012	15.4395	1.6874
ENSG00000020633	30917	503.5340	55.0335
ENSG00000021852	0	0.0000	0.0000
ENSG00000023572	213	12.2941	1.3437
ENSG00000023902	19815	238.2380	26.0380
ENSG00000023909	1686	23.5363	2.5724
ENSG00000024526	345	4.3786	0.4786
ENSG00000025800	22382	218.3770	23.8674
ENSG00000026751	463	7.5428	0.8244
ENSG00000027644	8	0.1176	0.0129
ENSG00000027869	1097	32.7667	3.5812
ENSG00000028137	9044	180.1060	19.6846
ENSG00000031698	3907	76.3884	8.3488
ENSG00000033122	1	0.0062	0.0007
ENSG00000034971	0	0.0000	0.0000
ENSG00000035687	2936	60.0709	6.5654
ENSG00000036549	9931	82.6853	9.0370
ENSG00000037637	4861	40.5811	4.4353
ENSG00000040487	916	25.5722	2.7949
ENSG00000041988	1552	28.5933	3.1251
ENSG00000042781	0	0.0000	0.0000
ENSG00000043514	2192	53.5327	5.8508
ENSG00000044012	0	0.0000	0.0000
ENSG00000047410	31135	229.3820	25.0702
ENSG00000048707	7308	26.9375	2.9441
ENSG00000049089	1419	25.6382	2.8021
ENSG00000049239	11992	98.6545	10.7824
ENSG00000049245	12812	348.1630	38.0523
ENSG00000049246	244	2.5764	0.2816
