gene	raw_counts	median_length_normalized	RPKM
ENSG00000000457	1054	20.5570	2.5817
ENSG00000000460	1039	12.2609	1.5398
ENSG00000000938	1048	22.3065	2.8014
ENSG00000000971	137	1.2598	0.1582
ENSG00000001460	560	4.9309	0.6193
ENSG00000001461	841	6.7075	0.8424
ENSG00000004455	2047	27.0151	3.3927
ENSG00000004487	10947	240.3420	30.1837
ENSG00000006555	107	1.3247	0.1664
ENSG00000007341	694	6.4159	0.8057
ENSG00000007908	4	0.0711	0.0089
ENSG00000007923	1589	23.1535	2.9078
ENSG00000007933	0	0.0000	0.0000
ENSG00000007968	9044	124.3030	15.6108
ENSG00000008118	4	0.1121	0.0141
ENSG00000008128	6446	102.4640	12.8681
ENSG00000008130	5059	66.1167	8.3034
ENSG00000009307	97726	1273.5800	159.9451
ENSG00000009709	0	0.0000	0.0000
ENSG00000009724	4	0.0706	0.0089
ENSG00000009780	1025	26.7420	3.3585
ENSG00000009790	1361	13.1701	1.6540
ENSG00000010072	3457	43.8955	5.5127
ENSG00000010165	497	9.7021	1.2184
ENSG00000010803	9233	155.7230	19.5567
ENSG00000010932	12	0.2420	0.0304
ENSG00000011007	9551	132.8680	16.6864
ENSG00000011009	2564	87.5760	10.9984
ENSG00000011021	6549	71.3549	8.9612
ENSG00000014914	21	0.3437	0.0432
ENSG00000016490	0	0.0000	0.0000
ENSG00000016602	0	0.0000	0.0000
ENSG00000018625	0	0.0000	0.0000
ENSG00000020129	627	9.5711	1.2020
ENSG00000020633	4341	70.7023	8.8793
ENSG00000021852	0	0.0000	0.0000
ENSG00000023572	343	19.8075	2.4876
ENSG00000023902	15332	184.3390	23.1505
ENSG00000023909	493	6.8746	0.8634
ENSG00000024526	1353	17.1861	2.1583
ENSG00000025800	17652	172.2290	21.6297
ENSG00000026751	253	4.1188	0.5173
ENSG00000027644	0	0.0000	0.0000
ENSG00000027869	304	9.0649	1.1384
ENSG00000028137	1795	35.7430	4.4888
ENSG00000031698	3716	72.6575	9.1248
ENSG00000033122	4	0.0250	0.0031
ENSG00000034971	0	0.0000	0.0000
ENSG00000035687	1936	39.6167	4.9753
ENSG00000036549	6333	52.7321	6.6225
ENSG00000037637	6971	58.1942	7.3084
ENSG00000040487	591	16.5030	2.0726
ENSG00000041988	1381	25.4290	3.1936
ENSG00000042781	0	0.0000	0.0000
ENSG00000043514	1346	32.8665	4.1276
ENSG00000044012	0	0.0000	0.0000
ENSG00000047410	21982	161.9470	20.3384
ENSG00000048707	8089	29.8161	3.7445
ENSG00000049089	635	11.4777	1.4414
ENSG00000049239	658	5.4090	0.6793
ENSG00000049245	12479	339.1120	42.5879
ENSG00000049246	74	0.7827	0.0983
ENSG00000049247	0	0.0000	0.0000
ENSG00000049249	72	2.3638	0.2969
ENSG00000050628	23	0.1787	0.0224
ENSG00000052723	6189	78.7601	9.8912
ENSG00000053371	940	39.5823	4.9710
ENSG00000053372	925	24.5748	3.0863
ENSG00000054116	1803	40.8113	5.1254
ENSG00000054118	8640	136.8310	17.1842
ENSG00000054267	26916	182.3110	22.8959
ENSG00000054277	564	12.1649	1.5277
ENSG00000054282	2036	29.1010	3.6547
ENSG00000054392	52	0.9069	0.1139
ENSG00000054523	1025	4.3445	0.5456
ENSG00000055070	16245	256.6550	32.2324
ENSG00000055732	0	0.0000	0.0000
ENSG00000057252	7621	81.2699	10.2064
ENSG00000057468	26	0.6035	0.0758
ENSG00000057757	6793	233.0470	29.2676
ENSG00000058085	0	0.0000	0.0000
ENSG00000058453	184	1.1241	0.1412
ENSG00000058668	1547	11.9374	1.4992
ENSG00000058673	39303	303.8920	38.1647
ENSG00000058799	2214	73.4277	9.2215
ENSG00000058804	2120	30.9677	3.8891
ENSG00000059588	5246	50.8126	6.3814
ENSG00000060642	576	12.7803	1.6050
ENSG00000060656	12	0.1296	0.0163
ENSG00000060688	5626	105.1980	13.2115
ENSG00000060718	0	0.0000	0.0000
ENSG00000064703	5820	72.5210	9.1077
ENSG00000064886	38	0.8595	0.1079
ENSG00000065135	10724	250.8750	31.5065
ENSG00000065183	437	7.8860	0.9904
ENSG00000065243	23488	251.1560	31.5419
ENSG00000065526	44035	248.4320	31.1998
ENSG00000065600	2146	55.2437	6.9379
ENSG00000065978	65626	2550.2200	320.2737
ENSG00000066027	11203	217.5000	27.3151
ENSG00000066056	1815	20.3300	2.5532
ENSG00000066135	3042	44.1172	5.5405
ENSG00000066136	2732	34.2303	4.2989
ENSG00000066185	19	0.6387	0.0802
ENSG00000066279	8323	57.3367	7.2007
ENSG00000066294	1324	10.7291	1.3474
ENSG00000066322	6003	183.0960	22.9944
ENSG00000066557	6820	177.3500	22.2727
ENSG00000067208	820	7.4353	0.9338
ENSG00000067334	13241	165.3740	20.7688
ENSG00000067533	2862	27.2292	3.4196
ENSG00000067606	30	0.2947	0.0370
ENSG00000067704	2762	49.7753	6.2511
ENSG00000069248	6660	98.7758	12.4049
ENSG00000069275	15753	180.4830	22.6663
ENSG00000069424	9606	88.6594	11.1344
ENSG00000069702	363	3.1457	0.3951
ENSG00000069712	100	1.6236	0.2039
ENSG00000069812	0	0.0000	0.0000
ENSG00000070759	926	20.0725	2.5208
ENSG00000070785	262	6.4568	0.8109
ENSG00000070831	35965	777.3410	97.6237
ENSG00000070886	4	0.0560	0.0070
ENSG00000072694	2	0.0214	0.0027
ENSG00000073754	105	3.2044	0.4024
ENSG00000073756	5248	74.6988	9.3812
ENSG00000074800	43606	798.2540	100.2501
ENSG00000074964	2	0.0191	0.0024
ENSG00000075151	6627	58.9683	7.4056
ENSG00000075391	47	0.2983	0.0375
ENSG00000075945	2982	44.6065	5.6020
ENSG00000076258	63	1.8764	0.2356
ENSG00000076321	3044	53.6606	6.7391
ENSG00000076356	18	0.0980	0.0123
ENSG00000076864	947	11.1982	1.4063
ENSG00000077152	1857	130.8080	16.4278
ENSG00000077157	2696	14.0417	1.7634
ENSG00000077254	5260	57.0282	7.1620
ENSG00000077522	9	0.1246	0.0156
ENSG00000077549	8712	187.7680	23.5812
ENSG00000077585	503	16.5682	2.0807
ENSG00000078369	26389	322.5500	40.5080
ENSG00000078618	3190	36.1482	4.5397
ENSG00000078808	3402	54.3181	6.8216
ENSG00000078900	18	0.2430	0.0305
ENSG00000079277	4656	43.3241	5.4409
ENSG00000079335	11934	156.2370	19.6213
ENSG00000079739	1895	34.1306	4.2863
ENSG00000080910	0	0.0000	0.0000
ENSG00000080947	148	1.6301	0.2047
ENSG00000081019	10538	115.9090	14.5566
ENSG00000081026	1090	9.9944	1.2552
ENSG00000081237	78241	689.7940	86.6290
ENSG00000081248	0	0.0000	0.0000
ENSG00000081277	0	0.0000	0.0000
ENSG00000081692	355	6.1692	0.7748
ENSG00000081721	5736	244.1720	30.6647
ENSG00000081870	3283	89.2370	11.2070
ENSG00000081985	45	0.8027	0.1008
ENSG00000082482	0	0.0000	0.0000
ENSG00000082497	0	0.0000	0.0000
ENSG00000082512	2856	23.7444	2.9820
ENSG00000083444	535	7.5367	0.9465
ENSG00000084070	6897	156.8020	19.6923
ENSG00000084072	1311	12.1794	1.5296
ENSG00000084073	5530	116.1130	14.5822
ENSG00000084623	11584	503.6540	63.2523
ENSG00000084628	4	0.1004	0.0126
ENSG00000084636	5	0.0393	0.0049
ENSG00000084652	4434	65.1625	8.1835
ENSG00000085433	4249	70.2471	8.8221
ENSG00000085465	720	18.0646	2.2687
ENSG00000085491	5005	57.3317	7.2001
ENSG00000085552	0	0.0000	0.0000
ENSG00000085831	30	0.2403	0.0302
ENSG00000085832	21407	212.6270	26.7032
ENSG00000085840	4853	115.2880	14.4786
ENSG00000085998	416	4.9001	0.6154
ENSG00000085999	711	16.6133	2.0864
ENSG00000086015	2300	19.4335	2.4406
ENSG00000086619	3616	47.6791	5.9879
ENSG00000088035	397	6.0222	0.7563
ENSG00000088280	34	0.5170	0.0649
ENSG00000090020	5637	70.7511	8.8854
ENSG00000090104	4437	80.8382	10.1522
ENSG00000090273	5186	136.1280	17.0958
ENSG00000090432	4097	126.1430	15.8419
ENSG00000090621	13785	152.4450	19.1450
ENSG00000090686	7990	63.1009	7.9246
ENSG00000091483	2065	72.2997	9.0799
ENSG00000092607	35	0.6810	0.0855
ENSG00000092621	97	1.2940	0.1625
ENSG00000092847	14913	86.7950	10.9003
