gene	raw_counts	median_length_normalized	RPKM
ENSG00000000457	1238	24.1452	2.0992
ENSG00000000460	1740	20.5400	1.7858
ENSG00000000938	33924	721.9970	62.7711
ENSG00000000971	2418	22.2709	1.9363
ENSG00000001460	483	4.2591	0.3703
ENSG00000001461	3333	26.5836	2.3112
ENSG00000004455	19640	259.2000	22.5351
ENSG00000004487	11726	257.4430	22.3824
ENSG00000006555	49	0.6069	0.0528
ENSG00000007341	2755	25.4739	2.2147
ENSG00000007908	20	0.3555	0.0309
ENSG00000007923	2596	37.8251	3.2885
ENSG00000007933	9	0.1949	0.0169
ENSG00000007968	15828	217.5350	18.9127
ENSG00000008118	77	2.1588	0.1877
ENSG00000008128	8028	127.6200	11.0954
ENSG00000008130	22689	296.5150	25.7793
ENSG00000009307	100135	1304.9800	113.4561
ENSG00000009709	0	0.0000	0.0000
ENSG00000009724	1906	33.6335	2.9241
ENSG00000009780	837	21.8362	1.8985
ENSG00000009790	5177	50.0760	4.3537
ENSG00000010072	2966	37.6666	3.2748
ENSG00000010165	2199	42.9097	3.7306
ENSG00000010803	6144	103.6180	9.0087
ENSG00000010932	13	0.2776	0.0241
ENSG00000011007	6282	87.3960	7.5983
ENSG00000011009	3856	131.7100	11.4510
ENSG00000011021	5570	60.6814	5.2757
ENSG00000014914	876	14.3119	1.2443
ENSG00000016490	0	0.0000	0.0000
ENSG00000016602	6	0.1241	0.0108
ENSG00000018625	1	0.0144	0.0013
ENSG00000020129	2299	35.0600	3.0481
ENSG00000020633	7383	120.2490	10.4545
ENSG00000021852	2	0.0550	0.0048
ENSG00000023572	542	31.2694	2.7186
ENSG00000023902	12617	151.6980	13.1888
ENSG00000023909	3657	51.0389	4.4374
ENSG00000024526	1370	17.4084	1.5135
ENSG00000025800	16763	163.5530	14.2195
ENSG00000026751	390	6.3551	0.5525
ENSG00000027644	51	0.7530	0.0655
ENSG00000027869	604	18.0430	1.5687
ENSG00000028137	27226	542.2080	47.1401
ENSG00000031698	9094	177.8090	15.4589
ENSG00000033122	233	1.4545	0.1265
ENSG00000034971	0	0.0000	0.0000
ENSG00000035687	3244	66.3565	5.7691
ENSG00000036549	4237	35.2769	3.0670
ENSG00000037637	8622	71.9820	6.2582
ENSG00000040487	2160	60.3206	5.2443
ENSG00000041988	1984	36.5447	3.1772
ENSG00000042781	7	0.0255	0.0022
ENSG00000043514	1226	29.9443	2.6034
ENSG00000044012	0	0.0000	0.0000
ENSG00000047410	23132	170.4210	14.8165
ENSG00000048707	14375	52.9887	4.6069
ENSG00000049089	6575	118.7920	10.3279
ENSG00000049239	12387	101.9030	8.8596
ENSG00000049245	12921	351.1120	30.5260
ENSG00000049246	117	1.2302	0.1070
ENSG00000049247	15	0.6214	0.0540
ENSG00000049249	437	14.3581	1.2483
ENSG00000050628	108	0.8353	0.0726
ENSG00000052723	4244	53.9980	4.6946
ENSG00000053371	5064	213.2360	18.5389
ENSG00000053372	2164	57.5035	4.9994
ENSG00000054116	3181	72.0081	6.2605
ENSG00000054118	15237	241.2920	20.9781
ENSG00000054267	23976	162.3960	14.1189
ENSG00000054277	1440	31.0362	2.6983
ENSG00000054282	3056	43.6771	3.7973
ENSG00000054392	800	13.9611	1.2138
ENSG00000054523	16726	70.8991	6.1640
ENSG00000055070	21659	342.1960	29.7509
ENSG00000055732	2	0.0226	0.0020
ENSG00000057252	6115	65.2116	5.6696
ENSG00000057468	73	1.6819	0.1462
ENSG00000057757	7717	264.7690	23.0193
ENSG00000058085	4	0.0459	0.0040
ENSG00000058453	2069	12.6529	1.1001
ENSG00000058668	15925	122.8690	10.6823
ENSG00000058673	32984	255.0300	22.1725
ENSG00000058799	2328	77.2180	6.7134
ENSG00000058804	2811	41.0573	3.5696
ENSG00000059588	18581	179.9770	15.6474
ENSG00000060642	1426	31.6334	2.7502
ENSG00000060656	56	0.6219	0.0541
ENSG00000060688	4061	75.9397	6.6023
ENSG00000060718	1	0.0048	0.0004
ENSG00000064703	3489	43.4803	3.7802
ENSG00000064886	97	2.2118	0.1923
ENSG00000065135	11975	280.1400	24.3557
ENSG00000065183	1323	23.8524	2.0737
ENSG00000065243	9094	97.2407	8.4542
ENSG00000065526	66123	373.0410	32.4325
ENSG00000065600	2207	56.7986	4.9381
ENSG00000065978	63197	2455.8500	213.5142
ENSG00000066027	8773	170.3300	14.8086
ENSG00000066056	2224	24.9201	2.1666
ENSG00000066135	8992	130.4000	11.3371
ENSG00000066136	3366	42.1672	3.6661
ENSG00000066185	140	4.7850	0.4160
ENSG00000066279	7402	50.9893	4.4331
ENSG00000066294	12277	99.4890	8.6497
ENSG00000066322	7077	215.8580	18.7669
ENSG00000066557	2615	68.0049	5.9124
ENSG00000067208	2290	20.7646	1.8053
ENSG00000067334	12866	160.6880	13.9703
ENSG00000067533	1467	13.9552	1.2133
ENSG00000067606	1934	18.9955	1.6515
ENSG00000067704	5918	106.6400	9.2714
ENSG00000069248	5035	74.6795	6.4927
ENSG00000069275	15499	177.5810	15.4390
ENSG00000069424	33252	306.9030	26.6825
ENSG00000069702	310	2.6857	0.2335
ENSG00000069712	364	5.9018	0.5131
ENSG00000069812	38	0.5271	0.0458
ENSG00000070759	2054	44.5292	3.8714
ENSG00000070785	1810	44.6211	3.8794
ENSG00000070831	39810	860.4520	74.8085
ENSG00000070886	4	0.0560	0.0049
ENSG00000072694	201	2.1511	0.1870
ENSG00000073754	124	3.7858	0.3291
ENSG00000073756	25254	359.4720	31.2528
ENSG00000074800	177260	3244.9300	282.1172
ENSG00000074964	2052	19.6136	1.7052
ENSG00000075151	15898	141.4540	12.2981
ENSG00000075391	1034	6.5595	0.5703
ENSG00000075945	1448	21.6602	1.8831
ENSG00000076258	279	8.3246	0.7237
ENSG00000076321	2495	43.9929	3.8248
ENSG00000076356	564	3.0694	0.2669
ENSG00000076864	7007	82.8479	7.2029
ENSG00000077152	2373	167.0850	14.5265
ENSG00000077157	9058	47.1756	4.1015
ENSG00000077254	7257	78.6766	6.8402
ENSG00000077522	8	0.1126	0.0098
ENSG00000077549	25753	555.0250	48.2544
ENSG00000077585	985	32.4269	2.8192
ENSG00000078369	45119	551.4840	47.9465
ENSG00000078618	25645	290.5780	25.2632
ENSG00000078808	20520	327.6620	28.4873
ENSG00000078900	1319	17.8074	1.5482
ENSG00000079277	5782	53.8065	4.6780
ENSG00000079335	7146	93.5559	8.1338
ENSG00000079739	6438	115.9550	10.0813
ENSG00000080910	0	0.0000	0.0000
ENSG00000080947	985	10.8428	0.9427
ENSG00000081019	5316	58.4672	5.0832
ENSG00000081026	177	1.6209	0.1409
ENSG00000081237	84968	749.0990	65.1274
ENSG00000081248	0	0.0000	0.0000
ENSG00000081277	0	0.0000	0.0000
ENSG00000081692	1211	21.0491	1.8300
ENSG00000081721	2568	109.3180	9.5042
ENSG00000081870	2056	55.8945	4.8595
ENSG00000081985	60	1.0638	0.0925
ENSG00000082482	0	0.0000	0.0000
ENSG00000082497	2	0.0274	0.0024
ENSG00000082512	2308	19.1842	1.6679
ENSG00000083444	7965	112.1450	9.7500
ENSG00000084070	18337	416.8760	36.2436
ENSG00000084072	4382	40.7238	3.5406
ENSG00000084073	1913	40.1680	3.4922
ENSG00000084623	22091	960.4680	83.5040
ENSG00000084628	2	0.0502	0.0044
ENSG00000084636	17	0.1319	0.0115
ENSG00000084652	7175	105.4540	9.1683
ENSG00000085433	2643	43.7063	3.7999
ENSG00000085465	514	12.8983	1.1214
ENSG00000085491	2864	32.8068	2.8523
ENSG00000085552	2257	25.5743	2.2235
ENSG00000085831	793	6.3514	0.5522
ENSG00000085832	14482	143.8430	12.5059
ENSG00000085840	5115	121.5130	10.5644
ENSG00000085998	2754	32.4475	2.8210
ENSG00000085999	2215	51.7117	4.4959
ENSG00000086015	5699	48.1553	4.1867
ENSG00000086619	2008	26.4826	2.3024
ENSG00000088035	1237	18.7586	1.6309
ENSG00000088280	30	0.4532	0.0394
ENSG00000090020	5644	70.8492	6.1597
ENSG00000090104	4164	75.8569	6.5951
ENSG00000090273	8571	224.9890	19.5608
ENSG00000090432	4223	130.0310	11.3050
ENSG00000090621	22814	252.2930	21.9346
ENSG00000090686	17291	136.5520	11.8719
ENSG00000091483	5703	199.6930	17.3615
ENSG00000092607	37	0.7302	0.0635
ENSG00000092621	796	10.6179	0.9231
ENSG00000092847	17543	102.1030	8.8769
ENSG00000092850	247	9.3650	0.8142
ENSG00000092853	3500	48.5167	4.2181
ENSG00000092969	11	0.1600	0.0139
ENSG00000092978	1889	16.0287	1.3936
ENSG00000094963	8	0.0962	0.0084
ENSG00000094975	25401	294.5850	25.6115
ENSG00000097021	2761	42.3680	3.6835
ENSG00000097033	16068	180.4810	15.6912
ENSG00000097046	2171	45.2492	3.9340
ENSG00000097096	100	1.1643	0.1012
ENSG00000099260	6	0.0760	0.0066
ENSG00000107404	3427	73.7312	6.4103
ENSG00000116128	6617	77.3069	6.7211
ENSG00000116132	1	0.0091	0.0008
ENSG00000116133	3086	52.1236	4.5317
ENSG00000116138	2132	18.6745	1.6236
ENSG00000116141	2	0.0209	0.0018
ENSG00000116147	143	2.0060	0.1744
ENSG00000116151	811	11.6226	1.0105
ENSG00000116157	3258	144.4820	12.5614
ENSG00000116161	5002	83.1761	7.2314
ENSG00000116171	9788	88.3917	7.6849
ENSG00000116183	8	0.0548	0.0048
ENSG00000116191	3583	36.2098	3.1481
ENSG00000116194	162	3.5295	0.3069
ENSG00000116198	3235	30.8097	2.6786
ENSG00000116199	5473	67.9704	5.9094
ENSG00000116205	1038	13.3673	1.1622
ENSG00000116209	28145	507.9130	44.1584
ENSG00000116212	1576	49.0394	4.2635
ENSG00000116213	5338	52.6526	4.5777
ENSG00000116218	0	0.0000	0.0000
ENSG00000116219	7	0.2680	0.0233
ENSG00000116221	9307	316.6960	27.5338
ENSG00000116237	2523	38.5349	3.3503
ENSG00000116251	25178	385.3740	33.5048
ENSG00000116254	465	3.5231	0.3063
ENSG00000116260	36999	298.0280	25.9108
ENSG00000116266	6291	80.0441	6.9591
ENSG00000116273	4419	90.0424	7.8284
ENSG00000116285	191	3.4233	0.2976
ENSG00000116288	12836	401.6180	34.9171
ENSG00000116299	112	0.9033	0.0785
ENSG00000116329	0	0.0000	0.0000
ENSG00000116337	26464	290.6830	25.2722
ENSG00000116350	18672	440.6650	38.3118
ENSG00000116353	719	13.5950	1.1820
ENSG00000116396	869	6.9733	0.6063
ENSG00000116406	5703	56.7892	4.9373
ENSG00000116455	3506	93.7426	8.1501
ENSG00000116459	14430	319.9020	27.8126
ENSG00000116473	5920	77.4511	6.7337
ENSG00000116478	11781	220.3890	19.1608
ENSG00000116489	21304	386.8790	33.6357
ENSG00000116497	4100	33.4638	2.9094
ENSG00000116514	21030	604.3020	52.5386
ENSG00000116521	4379	134.4750	11.6914
ENSG00000116525	1597	30.1445	2.6208
ENSG00000116539	26439	149.1350	12.9660
ENSG00000116544	66	1.2449	0.1082
ENSG00000116560	124521	1257.6200	109.3387
ENSG00000116574	3295	56.5224	4.9141
ENSG00000116580	9519	58.7195	5.1051
ENSG00000116584	33210	335.9500	29.2078
ENSG00000116586	4560	237.8250	20.6767
ENSG00000116604	48962	573.7750	49.8846
ENSG00000116641	2590	17.8682	1.5535
ENSG00000116649	10192	402.7290	35.0136
ENSG00000116652	25	1.5955	0.1387
ENSG00000116661	26	0.8234	0.0716
ENSG00000116663	1793	74.2678	6.4569
ENSG00000116667	474	3.2449	0.2821
ENSG00000116668	1571	29.0668	2.5271
ENSG00000116670	5126	112.9640	9.8212
ENSG00000116675	4194	45.5445	3.9597
