gene	raw_counts	median_length_normalized	RPKM
ENSG00000000457	436	8.5021	1.2262
ENSG00000000460	2611	30.8218	4.4453
ENSG00000000938	2746	58.4322	8.4275
ENSG00000000971	282	2.5963	0.3745
ENSG00000001460	967	8.5176	1.2285
ENSG00000001461	1913	15.2548	2.2001
ENSG00000004455	8366	110.4030	15.9230
ENSG00000004487	8872	194.7800	28.0924
ENSG00000006555	32	0.3964	0.0572
ENSG00000007341	1374	12.7016	1.8319
ENSG00000007908	16	0.2844	0.0410
ENSG00000007923	2878	41.9429	6.0493
ENSG00000007933	42	0.9096	0.1312
ENSG00000007968	874	12.0141	1.7328
ENSG00000008118	0	0.0000	0.0000
ENSG00000008128	2555	40.6153	5.8578
ENSG00000008130	4894	63.9570	9.2243
ENSG00000009307	45574	593.9220	85.6593
ENSG00000009709	0	0.0000	0.0000
ENSG00000009724	19	0.3352	0.0483
ENSG00000009780	674	17.5887	2.5368
ENSG00000009790	4066	39.3293	5.6723
ENSG00000010072	1018	12.9280	1.8646
ENSG00000010165	1073	20.9409	3.0202
ENSG00000010803	12319	207.7610	29.9647
ENSG00000010932	0	0.0000	0.0000
ENSG00000011007	5190	72.2094	10.4145
ENSG00000011009	3276	111.8720	16.1350
ENSG00000011021	4054	44.1624	6.3694
ENSG00000014914	338	5.5210	0.7963
ENSG00000016490	0	0.0000	0.0000
ENSG00000016602	0	0.0000	0.0000
ENSG00000018625	0	0.0000	0.0000
ENSG00000020129	2735	41.7214	6.0173
ENSG00000020633	2219	36.1448	5.2130
ENSG00000021852	0	0.0000	0.0000
ENSG00000023572	544	31.4142	4.5307
ENSG00000023902	10362	124.5880	17.9689
ENSG00000023909	150	2.0884	0.3012
ENSG00000024526	256	3.2500	0.4687
ENSG00000025800	6703	65.4005	9.4325
ENSG00000026751	327	5.3267	0.7683
ENSG00000027644	10	0.1470	0.0212
ENSG00000027869	376	11.2162	1.6177
ENSG00000028137	2635	52.4663	7.5670
ENSG00000031698	5636	110.1930	15.8927
ENSG00000033122	0	0.0000	0.0000
ENSG00000034971	0	0.0000	0.0000
ENSG00000035687	2893	59.1849	8.5360
ENSG00000036549	2828	23.5417	3.3953
ENSG00000037637	2642	22.0572	3.1812
ENSG00000040487	564	15.7569	2.2726
ENSG00000041988	750	13.8139	1.9923
ENSG00000042781	0	0.0000	0.0000
ENSG00000043514	984	24.0208	3.4644
ENSG00000044012	0	0.0000	0.0000
ENSG00000047410	6907	50.8883	7.3394
ENSG00000048707	3907	14.4004	2.0769
ENSG00000049089	1421	25.6721	3.7026
ENSG00000049239	3078	25.3217	3.6521
ENSG00000049245	11128	302.3860	43.6121
ENSG00000049246	114	1.2006	0.1732
ENSG00000049247	289	12.1722	1.7555
ENSG00000049249	42	1.3774	0.1987
ENSG00000050628	2	0.0155	0.0022
ENSG00000052723	3591	45.6909	6.5898
ENSG00000053371	6186	260.5040	37.5715
ENSG00000053372	2443	64.9291	9.3645
ENSG00000054116	2826	63.9653	9.2255
ENSG00000054118	4942	78.2684	11.2884
