gene	raw_counts	median_length_normalized	RPKM
ENSG00000000457	1770	34.5359	4.3229
ENSG00000000460	2443	28.8347	3.6093
ENSG00000000938	15514	330.1680	41.3275
ENSG00000000971	329	3.0287	0.3791
ENSG00000001460	456	4.0133	0.5023
ENSG00000001461	2435	19.4213	2.4310
ENSG00000004455	12011	158.5070	19.8405
ENSG00000004487	8367	183.6910	22.9928
ENSG00000006555	93	1.1564	0.1447
ENSG00000007341	1813	16.7603	2.0979
ENSG00000007908	43	0.7630	0.0955
ENSG00000007923	2930	42.6992	5.3447
ENSG00000007933	46	0.9962	0.1247
ENSG00000007968	1525	20.9542	2.6229
ENSG00000008118	13	0.3505	0.0439
ENSG00000008128	2666	42.3752	5.3041
ENSG00000008130	5262	68.7684	8.6078
ENSG00000009307	81606	1063.5000	133.1195
ENSG00000009709	0	0.0000	0.0000
ENSG00000009724	6	0.1059	0.0133
ENSG00000009780	630	16.4325	2.0569
ENSG00000009790	6821	65.9808	8.2589
ENSG00000010072	1460	18.5466	2.3215
ENSG00000010165	1925	37.5644	4.7020
ENSG00000010803	6001	101.2000	12.6674
ENSG00000010932	3	0.0630	0.0079
ENSG00000011007	5344	74.3489	9.3063
ENSG00000011009	2739	93.5619	11.7112
ENSG00000011021	2583	28.1428	3.5227
ENSG00000014914	1370	22.3749	2.8007
ENSG00000016490	0	0.0000	0.0000
ENSG00000016602	14	0.2878	0.0360
ENSG00000018625	14	0.1667	0.0209
ENSG00000020129	3263	49.7686	6.2296
ENSG00000020633	16353	266.3340	33.3373
ENSG00000021852	2	0.0539	0.0067
ENSG00000023572	486	28.0647	3.5129
ENSG00000023902	9982	120.0140	15.0223
ENSG00000023909	1288	17.9808	2.2507
ENSG00000024526	962	12.2149	1.5290
ENSG00000025800	10752	104.9080	13.1315
ENSG00000026751	1014	16.5109	2.0667
ENSG00000027644	5	0.0798	0.0100
ENSG00000027869	496	14.8109	1.8539
ENSG00000028137	8621	171.6930	21.4910
ENSG00000031698	7074	138.3070	17.3121
ENSG00000033122	427	2.6645	0.3335
ENSG00000034971	0	0.0000	0.0000
ENSG00000035687	4272	87.4021	10.9402
ENSG00000036549	5810	48.3737	6.0550
ENSG00000037637	4116	34.3642	4.3014
ENSG00000040487	1550	43.2777	5.4171
ENSG00000041988	903	16.6343	2.0821
ENSG00000042781	0	0.0000	0.0000
ENSG00000043514	876	21.3898	2.6774
ENSG00000044012	0	0.0000	0.0000
ENSG00000047410	15595	114.8920	14.3812
ENSG00000048707	5266	19.4116	2.4298
ENSG00000049089	272	4.9133	0.6150
ENSG00000049239	5806	47.7632	5.9786
ENSG00000049245	9918	269.5140	33.7354
ENSG00000049246	354	3.7378	0.4679
ENSG00000049247	2479	104.2560	13.0498
ENSG00000049249	143	4.7018	0.5885
ENSG00000050628	306	2.3771	0.2975
ENSG00000052723	5960	75.8397	9.4929
ENSG00000053371	5528	232.7770	29.1369
ENSG00000053372	2583	68.6517	8.5932
ENSG00000054116	2624	59.3930	7.4343
ENSG00000054118	9263	146.6830	18.3604
ENSG00000054267	12540	84.9381	10.6318
ENSG00000054277	1948	41.9905	5.2560
ENSG00000054282	5971	85.3427	10.6824
ENSG00000054392	316	5.5086	0.6895
ENSG00000054523	1879	7.9641	0.9969
ENSG00000055070	11211	177.1210	22.1704
ENSG00000055732	8	0.0906	0.0113
ENSG00000057252	2162	23.0533	2.8856
ENSG00000057468	41	0.9486	0.1187
ENSG00000057757	5635	193.3250	24.1987
ENSG00000058085	0	0.0000	0.0000
ENSG00000058453	1142	6.9815	0.8739
ENSG00000058668	17366	133.9860	16.7712
ENSG00000058673	22300	172.4240	21.5825
ENSG00000058799	3394	112.5670	14.0901
ENSG00000058804	4063	59.3426	7.4280
ENSG00000059588	6891	66.7476	8.3549
ENSG00000060642	1485	32.9287	4.1217
ENSG00000060656	8	0.0896	0.0112
ENSG00000060688	2557	47.8173	5.9853
ENSG00000060718	5	0.0454	0.0057
ENSG00000064703	4574	57.0002	7.1348
ENSG00000064886	286	6.5065	0.8144
ENSG00000065135	11714	274.0370	34.3015
ENSG00000065183	1541	27.7908	3.4786
ENSG00000065243	6696	71.5998	8.9622
ENSG00000065526	29254	165.0410	20.6583
ENSG00000065600	2206	56.7666	7.1055
ENSG00000065978	63283	2459.1800	307.8180
ENSG00000066027	17987	349.2250	43.7128
ENSG00000066056	1411	15.8048	1.9783
ENSG00000066135	2025	29.3705	3.6763
ENSG00000066136	4570	57.2430	7.1652
ENSG00000066185	182	6.2169	0.7782
ENSG00000066279	3243	22.3392	2.7962
ENSG00000066294	14120	114.4290	14.3231
ENSG00000066322	6341	193.4140	24.2099
ENSG00000066557	2433	63.2677	7.9193
ENSG00000067208	1049	9.5135	1.1908
ENSG00000067334	13405	167.4230	20.9566
ENSG00000067533	1895	18.0329	2.2572
ENSG00000067606	1412	13.8641	1.7354
ENSG00000067704	9165	165.1510	20.6721
ENSG00000069248	4496	66.6854	8.3471
ENSG00000069275	19287	220.9750	27.6596
ENSG00000069424	18638	172.0260	21.5326
ENSG00000069702	570	4.9366	0.6179
ENSG00000069712	487	7.9070	0.9897
ENSG00000069812	2	0.0277	0.0035
ENSG00000070759	3041	65.9240	8.2518
ENSG00000070785	1901	46.8607	5.8656
ENSG00000070831	28986	626.5050	78.4203
ENSG00000070886	0	0.0000	0.0000
ENSG00000072694	1034	11.0885	1.3880
ENSG00000073754	91	2.7695	0.3467
ENSG00000073756	7873	112.0690	14.0278
ENSG00000074800	181771	3327.5100	416.5083
ENSG00000074964	345	3.2959	0.4126
ENSG00000075151	10017	89.1292	11.1564
ENSG00000075391	36	0.2285	0.0286
ENSG00000075945	3798	56.8145	7.1115
ENSG00000076258	374	11.1434	1.3948
ENSG00000076321	1542	27.1827	3.4025
ENSG00000076356	2155	11.7292	1.4682
ENSG00000076864	548	6.4834	0.8115
ENSG00000077152	1316	92.6601	11.5983
ENSG00000077157	3690	19.2192	2.4057
ENSG00000077254	6884	74.6281	9.3413
ENSG00000077522	3	0.0415	0.0052
ENSG00000077549	24087	519.1190	64.9787
ENSG00000077585	332	10.9197	1.3668
ENSG00000078369	25862	316.1070	39.5674
ENSG00000078618	28668	324.8380	40.6603
ENSG00000078808	10044	160.3800	20.0749
ENSG00000078900	543	7.3276	0.9172
ENSG00000079277	4194	39.0216	4.8844
ENSG00000079335	3142	41.1279	5.1480
ENSG00000079739	593	10.6751	1.3362
ENSG00000080910	0	0.0000	0.0000
ENSG00000080947	128	1.4038	0.1757
ENSG00000081019	7656	84.2109	10.5408
ENSG00000081026	637	5.8364	0.7306
ENSG00000081237	23328	205.6620	25.7429
ENSG00000081248	6	0.0730	0.0091
ENSG00000081277	0	0.0000	0.0000
ENSG00000081692	1122	19.4932	2.4400
ENSG00000081721	2313	98.4495	12.3230
ENSG00000081870	2339	63.5864	7.9592
ENSG00000081985	3183	56.3936	7.0588
ENSG00000082482	2	0.0384	0.0048
ENSG00000082497	5	0.0686	0.0086
ENSG00000082512	4912	40.8301	5.1107
ENSG00000083444	2090	29.4250	3.6832
ENSG00000084070	15925	362.0530	45.3185
ENSG00000084072	3465	32.2020	4.0308
ENSG00000084073	2188	45.9387	5.7502
ENSG00000084623	22058	959.0320	120.0430
ENSG00000084628	0	0.0000	0.0000
ENSG00000084636	43	0.3376	0.0423
ENSG00000084652	3741	54.9841	6.8824
ENSG00000085433	2357	38.9691	4.8778
ENSG00000085465	426	10.6901	1.3381
ENSG00000085491	5089	58.2917	7.2964
ENSG00000085552	105	1.1863	0.1485
ENSG00000085831	18	0.1447	0.0181
ENSG00000085832	15813	157.0650	19.6600
ENSG00000085840	2727	64.7805	8.1087
ENSG00000085998	2066	24.3429	3.0470
ENSG00000085999	949	22.1700	2.7751
ENSG00000086015	3407	28.7847	3.6030
ENSG00000086619	1363	17.9752	2.2500
ENSG00000088035	1297	19.6723	2.4624
ENSG00000088280	12	0.1872	0.0234
ENSG00000090020	4996	62.7173	7.8504
ENSG00000090104	9582	174.5560	21.8494
ENSG00000090273	7734	203.0350	25.4141
ENSG00000090432	1968	60.5981	7.5851
ENSG00000090621	22936	253.6390	31.7483
ENSG00000090686	10544	83.2647	10.4223
ENSG00000091483	4562	159.7170	19.9919
ENSG00000092607	0	0.0000	0.0000
ENSG00000092621	1013	13.5123	1.6913
ENSG00000092847	7145	41.5853	5.2053
ENSG00000092850	15	0.5617	0.0703
ENSG00000092853	1995	27.6583	3.4620
ENSG00000092969	18	0.2638	0.0330
ENSG00000092978	990	8.4014	1.0516
ENSG00000094963	78	0.9397	0.1176
ENSG00000094975	9100	105.5310	13.2094
ENSG00000097021	2555	39.2083	4.9077
ENSG00000097033	13668	153.5300	19.2175
ENSG00000097046	1680	35.0092	4.3821
ENSG00000097096	15	0.1736	0.0217
ENSG00000099260	25	0.3164	0.0396
ENSG00000107404	2400	51.6297	6.4625
ENSG00000116128	2469	28.8477	3.6109
ENSG00000116132	6	0.0546	0.0068
ENSG00000116133	3644	61.5323	7.7021
ENSG00000116138	2331	20.4191	2.5559
ENSG00000116141	10	0.1050	0.0131
ENSG00000116147	4	0.0560	0.0070
ENSG00000116151	209	2.9975	0.3752
ENSG00000116157	4055	179.8350	22.5101
ENSG00000116161	6623	110.1350	13.7858
ENSG00000116171	10327	93.2643	11.6740
ENSG00000116183	0	0.0000	0.0000
ENSG00000116191	5045	50.9849	6.3818
ENSG00000116194	4	0.0873	0.0109
ENSG00000116198	3337	31.7749	3.9773
ENSG00000116199	4899	60.8376	7.6151
ENSG00000116205	1739	22.3862	2.8021
ENSG00000116209	21602	389.8330	48.7958
ENSG00000116212	1290	40.1290	5.0230
ENSG00000116213	1547	15.2616	1.9103
ENSG00000116218	0	0.0000	0.0000
ENSG00000116219	0	0.0000	0.0000
ENSG00000116221	8403	285.9420	35.7917
ENSG00000116237	1885	28.7933	3.6041
ENSG00000116251	42839	655.6980	82.0744
ENSG00000116254	59	0.4472	0.0560
ENSG00000116260	7555	60.8576	7.6176
ENSG00000116266	6314	80.3284	10.0548
ENSG00000116273	795	16.2035	2.0282
ENSG00000116285	317	5.6751	0.7104
ENSG00000116288	13647	427.0020	53.4483
ENSG00000116299	78	0.6317	0.0791
ENSG00000116329	2	0.0846	0.0106
ENSG00000116337	11340	124.5610	15.5915
ENSG00000116350	8539	201.5070	25.2228
ENSG00000116353	954	18.0366	2.2576
ENSG00000116396	759	6.0950	0.7629
ENSG00000116406	4286	42.6814	5.3425
ENSG00000116455	2589	69.2260	8.6651
ENSG00000116459	20000	443.3930	55.5000
ENSG00000116473	8160	106.7440	13.3613
ENSG00000116478	12632	236.3170	29.5800
ENSG00000116489	11127	202.0610	25.2922
ENSG00000116497	6644	54.2255	6.7875
ENSG00000116514	7138	205.1200	25.6750
ENSG00000116521	6449	198.0690	24.7925
ENSG00000116525	711	13.4284	1.6809
ENSG00000116539	13243	74.7027	9.3506
ENSG00000116544	1197	22.5647	2.8244
ENSG00000116560	51043	515.5150	64.5276
ENSG00000116574	4633	79.4694	9.9473
ENSG00000116580	7181	44.2957	5.5445
ENSG00000116584	18194	184.0540	23.0382
ENSG00000116586	3911	203.9820	25.5326
ENSG00000116604	27078	317.3240	39.7198
ENSG00000116641	169	1.1664	0.1460
ENSG00000116649	11064	437.2110	54.7262
ENSG00000116652	19	1.2470	0.1561
ENSG00000116661	23	0.7544	0.0944
ENSG00000116663	1223	50.6328	6.3377
ENSG00000116667	2177	14.8878	1.8635
ENSG00000116668	1769	32.7336	4.0973
ENSG00000116670	3215	70.8636	8.8701
ENSG00000116675	3604	39.1393	4.8991
ENSG00000116678	3073	20.1158	2.5179
ENSG00000116679	10290	97.3371	12.1838
ENSG00000116685	3149	71.9829	9.0102
ENSG00000116688	4414	66.5088	8.3250
ENSG00000116690	42	0.6238	0.0781
ENSG00000116691	3813	101.3860	12.6906
ENSG00000116698	16195	146.0440	18.2805
ENSG00000116701	11195	286.7690	35.8951
ENSG00000116703	5	0.2599	0.0325
ENSG00000116704	2385	25.0064	3.1301
ENSG00000116711	430	11.2240	1.4049
ENSG00000116717	20607	746.9910	93.5016
ENSG00000116721	0	0.0000	0.0000
ENSG00000116726	0	0.0000	0.0000
ENSG00000116729	56	0.9253	0.1158
ENSG00000116731	18278	125.6600	15.7290
ENSG00000116741	3967	142.6410	17.8545
ENSG00000116745	0	0.0000	0.0000
ENSG00000116747	5373	44.2739	5.5418
ENSG00000116748	2	0.0601	0.0075
ENSG00000116750	2766	57.6360	7.2144
ENSG00000116752	5103	294.6100	36.8767
ENSG00000116754	31838	281.6880	35.2592
ENSG00000116761	195	6.0505	0.7574
ENSG00000116771	102	3.0708	0.3844
ENSG00000116774	327	10.8265	1.3552
ENSG00000116783	162	2.0846	0.2609
ENSG00000116785	0	0.0000	0.0000
ENSG00000116786	11676	212.4530	26.5930
ENSG00000116791	1008	18.5205	2.3182
ENSG00000116793	3298	34.4948	4.3178
ENSG00000116809	3599	63.6623	7.9687
ENSG00000116815	2133	89.7285	11.2314
ENSG00000116819	190	6.5039	0.8141
ENSG00000116824	630	28.1626	3.5252
ENSG00000116830	4667	55.9998	7.0096
ENSG00000116833	36	0.3464	0.0434
ENSG00000116852	2622	16.1859	2.0260
ENSG00000116857	2467	47.2662	5.9163
ENSG00000116863	1021	45.8306	5.7367
ENSG00000116871	16834	239.5260	29.9817
ENSG00000116874	1382	26.9392	3.3720
ENSG00000116882	0	0.0000	0.0000
ENSG00000116883	77	3.1380	0.3928
ENSG00000116885	138	3.6765	0.4602
ENSG00000116898	5174	133.0710	16.6567
ENSG00000116903	3307	48.4524	6.0648
ENSG00000116906	5894	139.3220	17.4391
ENSG00000116918	3941	47.0734	5.8922
ENSG00000116922	908	19.1905	2.4021
ENSG00000116954	1465	21.2638	2.6616
ENSG00000116957	1838	53.6846	6.7198
ENSG00000116962	566	7.2381	0.9060
ENSG00000116977	8691	67.1294	8.4026
ENSG00000116981	0	0.0000	0.0000
ENSG00000116983	60	0.9267	0.1160
ENSG00000116984	4559	29.9855	3.7533
ENSG00000116985	11	0.1604	0.0201
ENSG00000116990	233	3.4515	0.4320
ENSG00000116991	1053	10.3350	1.2936
ENSG00000116996	0	0.0000	0.0000
ENSG00000117000	7224	85.5253	10.7053
ENSG00000117009	379	4.7834	0.5987
ENSG00000117010	773	19.0707	2.3871
ENSG00000117013	219	3.9211	0.4908
ENSG00000117016	200	2.0767	0.2599
ENSG00000117020	173	1.7334	0.2170
ENSG00000117036	2081	23.2733	2.9131
ENSG00000117054	7491	117.5540	14.7144
ENSG00000117069	4	0.0704	0.0088
ENSG00000117090	358	6.3643	0.7966
ENSG00000117091	14373	432.2180	54.1011
ENSG00000117114	134	1.2989	0.1626
ENSG00000117115	4043	50.5233	6.3241
ENSG00000117118	6562	199.8970	25.0213
ENSG00000117122	11	0.2830	0.0354
ENSG00000117133	5880	255.2010	31.9438
ENSG00000117139	13231	108.0240	13.5215
ENSG00000117143	2012	44.3011	5.5452
ENSG00000117148	0	0.0000	0.0000
ENSG00000117151	4606	100.9010	12.6299
ENSG00000117152	0	0.0000	0.0000
ENSG00000117153	2184	46.1160	5.7724
ENSG00000117154	0	0.0000	0.0000
ENSG00000117155	2246	20.4228	2.5563
ENSG00000117174	3405	41.2074	5.1580
ENSG00000117215	36	1.0105	0.1265
ENSG00000117222	1587	27.0234	3.3825
ENSG00000117226	1586	27.6770	3.4644
ENSG00000117228	270	4.0603	0.5082
ENSG00000117242	4262	71.9444	9.0054
ENSG00000117245	860	14.4289	1.8061
ENSG00000117262	241	3.2289	0.4042
ENSG00000117266	1444	14.2851	1.7881
ENSG00000117280	1307	25.2524	3.1609
ENSG00000117281	246	4.6136	0.5775
ENSG00000117289	189173	3912.8500	489.7757
ENSG00000117298	6540	67.5167	8.4511
ENSG00000117305	1440	18.6222	2.3310
ENSG00000117308	758	14.3833	1.8004
ENSG00000117318	1008	42.0651	5.2653
ENSG00000117322	218	3.3406	0.4182
ENSG00000117335	13928	119.9600	15.0156
ENSG00000117360	4135	57.7260	7.2256
ENSG00000117362	5638	121.9330	15.2625
ENSG00000117385	4850	53.7646	6.7298
ENSG00000117394	8048	161.3520	20.1965
ENSG00000117395	2990	63.5204	7.9509
ENSG00000117399	3209	118.1110	14.7841
ENSG00000117400	559	19.6856	2.4641
ENSG00000117407	59	1.6629	0.2081
ENSG00000117408	2906	42.8788	5.3672
ENSG00000117410	17869	379.1190	47.4547
ENSG00000117411	663	13.1583	1.6470
ENSG00000117419	4267	121.0400	15.1507
ENSG00000117425	667	9.7124	1.2157
ENSG00000117448	11584	278.3730	34.8442
ENSG00000117450	25580	1260.5300	157.7824
ENSG00000117461	355	3.4725	0.4347
ENSG00000117472	0	0.0000	0.0000
ENSG00000117475	4169	81.8455	10.2447
ENSG00000117477	22	0.6276	0.0786
ENSG00000117479	693	14.1564	1.7720
ENSG00000117480	290	7.8444	0.9819
ENSG00000117481	3679	32.5828	4.0784
ENSG00000117500	12189	97.0180	12.1439
ENSG00000117501	1	0.0170	0.0021
ENSG00000117505	17051	316.3040	39.5922
ENSG00000117507	0	0.0000	0.0000
ENSG00000117519	249	6.5931	0.8253
ENSG00000117523	51143	270.2760	33.8308
ENSG00000117525	618	16.1242	2.0183
ENSG00000117528	6560	64.1498	8.0297
ENSG00000117533	3855	56.0456	7.0153
ENSG00000117543	6100	154.0510	19.2828
ENSG00000117560	54	2.1401	0.2679
ENSG00000117569	3402	60.3292	7.5515
ENSG00000117586	933	17.7598	2.2230
ENSG00000117592	31898	1010.7000	126.5099
ENSG00000117593	1721	34.9905	4.3798
ENSG00000117594	0	0.0000	0.0000
ENSG00000117595	92	1.4399	0.1802
ENSG00000117597	1038	15.4938	1.9394
ENSG00000117598	4	0.0657	0.0082
ENSG00000117600	0	0.0000	0.0000
ENSG00000117601	6	0.2552	0.0319
ENSG00000117602	2004	51.1167	6.3983
ENSG00000117614	15012	334.0870	41.8180
ENSG00000117616	7574	83.4850	10.4499
ENSG00000117620	3416	41.0545	5.1388
ENSG00000117625	6363	52.4921	6.5705
ENSG00000117632	23641	283.1940	35.4477
ENSG00000117640	5004	64.5328	8.0776
ENSG00000117643	163	1.3568	0.1698
ENSG00000117650	1202	29.7790	3.7275
ENSG00000117676	11642	148.3930	18.5745
ENSG00000117682	1430	19.1653	2.3989
ENSG00000117691	2462	143.1140	17.9137
ENSG00000117697	1995	36.5722	4.5778
ENSG00000117707	7	0.0590	0.0074
ENSG00000117713	28794	233.5650	29.2356
ENSG00000117724	5233	33.6538	4.2125
ENSG00000117748	5018	186.4150	23.3338
ENSG00000117751	2481	66.0174	8.2635
ENSG00000117758	2983	58.1635	7.2804
ENSG00000117791	19	0.5502	0.0689
ENSG00000117834	40	0.6673	0.0835
ENSG00000117859	8878	67.9587	8.5065
ENSG00000117862	6312	153.8460	19.2570
ENSG00000118193	1618	16.6809	2.0880
ENSG00000118194	0	0.0000	0.0000
ENSG00000118197	1921	32.2367	4.0351
ENSG00000118200	153	1.4745	0.1846
ENSG00000118217	14116	134.1780	16.7953
ENSG00000118292	1234	68.5056	8.5749
ENSG00000118298	0	0.0000	0.0000
ENSG00000118454	1995	32.5578	4.0753
ENSG00000118473	33	0.2379	0.0298
ENSG00000118655	1376	26.1906	3.2783
ENSG00000118729	0	0.0000	0.0000
ENSG00000118733	0	0.0000	0.0000
ENSG00000118873	4017	26.6003	3.3296
ENSG00000119280	162	2.3542	0.2947
ENSG00000119283	0	0.0000	0.0000
ENSG00000119285	5386	44.6379	5.5874
ENSG00000119535	50476	449.2860	56.2375
ENSG00000120332	2	0.0300	0.0037
ENSG00000120333	1911	55.2618	6.9172
ENSG00000120334	1304	19.9037	2.4914
ENSG00000120337	4	0.1494	0.0187
ENSG00000120341	0	0.0000	0.0000
ENSG00000120370	1636	29.4978	3.6923
ENSG00000120656	2252	72.2691	9.0460
ENSG00000120937	0	0.0000	0.0000
ENSG00000120942	2171	32.6232	4.0835
ENSG00000120948	11727	190.2910	23.8189
ENSG00000120949	99	1.9786	0.2477
ENSG00000120952	0	0.0000	0.0000
ENSG00000121310	768	5.0104	0.6272
ENSG00000121446	0	0.0000	0.0000
ENSG00000121454	0	0.0000	0.0000
ENSG00000121481	3664	67.4692	8.4452
ENSG00000121486	1464	21.8692	2.7374
ENSG00000121634	0	0.0000	0.0000
ENSG00000121644	2713	39.8625	4.9896
ENSG00000121753	30	0.2875	0.0360
ENSG00000121764	5	0.1496	0.0187
ENSG00000121766	1753	69.5346	8.7037
ENSG00000121769	17	1.2427	0.1555
ENSG00000121774	26964	563.6300	70.5501
ENSG00000121775	2868	62.1042	7.7737
ENSG00000121848	3776	74.4715	9.3217
ENSG00000121851	3561	148.2050	18.5510
ENSG00000121900	1	0.0529	0.0066
ENSG00000121903	171	2.4937	0.3121
ENSG00000121904	8	0.0328	0.0041
ENSG00000121905	7	0.2637	0.0330
ENSG00000121931	1980	41.0094	5.1332
ENSG00000121933	95	1.5847	0.1984
ENSG00000121940	3342	50.1675	6.2795
ENSG00000121957	3293	62.1245	7.7762
ENSG00000122176	32	0.7244	0.0907
ENSG00000122180	0	0.0000	0.0000
ENSG00000122188	412	9.6645	1.2097
ENSG00000122218	11379	136.9470	17.1418
ENSG00000122223	6528	168.5830	21.1017
ENSG00000122224	3734	38.7658	4.8524
ENSG00000122406	219512	5742.3700	718.7788
ENSG00000122417	4237	29.0708	3.6388
ENSG00000122420	6	0.0955	0.0119
ENSG00000122432	194	3.9471	0.4941
ENSG00000122435	2143	38.8899	4.8679
ENSG00000122477	87	4.3134	0.5399
ENSG00000122481	1744	47.2268	5.9114
ENSG00000122482	6473	63.8807	7.9960
ENSG00000122483	1974	26.2867	3.2903
ENSG00000122484	2590	59.6036	7.4606
ENSG00000122497	761	15.3342	1.9194
ENSG00000123080	2629	59.4286	7.4387
ENSG00000123091	12841	308.4890	38.6139
ENSG00000123472	3421	45.3751	5.6797
ENSG00000123473	2538	26.1064	3.2678
ENSG00000123684	8090	68.9560	8.6313
ENSG00000123685	33	0.9097	0.1139
ENSG00000123689	1148	99.4053	12.4427
ENSG00000123836	1287	9.8337	1.2309
ENSG00000123838	4	0.1221	0.0153
ENSG00000123843	0	0.0000	0.0000
ENSG00000125459	872	12.2041	1.5276
ENSG00000125462	11	0.0972	0.0122
ENSG00000125703	1888	45.5130	5.6969
