gene	raw_counts	median_length_normalized	RPKM
ENSG00000000457	294	5.7445	1.0299
ENSG00000000460	149	1.7532	0.3143
ENSG00000000938	2828	60.1964	10.7926
ENSG00000000971	10	0.0921	0.0165
ENSG00000001460	70	0.6166	0.1106
ENSG00000001461	231	1.8419	0.3302
ENSG00000004455	706	9.3210	1.6711
ENSG00000004487	5228	114.7880	20.5803
ENSG00000006555	21	0.2601	0.0466
ENSG00000007341	676	6.2474	1.1201
ENSG00000007908	4	0.0735	0.0132
ENSG00000007923	306	4.4591	0.7995
ENSG00000007933	140	3.0396	0.5450
ENSG00000007968	14574	200.3030	35.9122
ENSG00000008118	4	0.1121	0.0201
ENSG00000008128	3691	58.6770	10.5201
ENSG00000008130	4739	61.9294	11.1033
ENSG00000009307	42917	559.2970	100.2759
ENSG00000009709	0	0.0000	0.0000
ENSG00000009724	7	0.1150	0.0206
ENSG00000009780	618	16.1102	2.8884
ENSG00000009790	839	8.1174	1.4554
ENSG00000010072	1437	18.2489	3.2718
ENSG00000010165	111	2.1624	0.3877
ENSG00000010803	950	16.0272	2.8735
ENSG00000010932	8	0.1763	0.0316
ENSG00000011007	3908	54.3638	9.7468
ENSG00000011009	1595	54.4690	9.7657
ENSG00000011021	3123	34.0232	6.1000
ENSG00000014914	10	0.1634	0.0293
ENSG00000016490	0	0.0000	0.0000
ENSG00000016602	0	0.0000	0.0000
ENSG00000018625	26	0.3144	0.0564
ENSG00000020129	504	7.6888	1.3785
ENSG00000020633	6550	106.6760	19.1259
ENSG00000021852	2	0.0447	0.0080
ENSG00000023572	268	15.4950	2.7781
ENSG00000023902	4879	58.6581	10.5168
ENSG00000023909	1975	27.5661	4.9423
ENSG00000024526	459	5.8343	1.0460
ENSG00000025800	10377	101.2430	18.1519
ENSG00000026751	66	1.0689	0.1916
ENSG00000027644	4	0.0588	0.0105
ENSG00000027869	45	1.3312	0.2387
ENSG00000028137	1554	30.9469	5.5485
ENSG00000031698	2912	56.9288	10.2067
ENSG00000033122	9	0.0549	0.0098
ENSG00000034971	32	1.1445	0.2052
ENSG00000035687	984	20.1307	3.6092
ENSG00000036549	2264	18.8489	3.3794
ENSG00000037637	4516	37.6996	6.7591
ENSG00000040487	116	3.2338	0.5798
ENSG00000041988	962	17.7227	3.1775
ENSG00000042781	116	0.4236	0.0760
ENSG00000043514	345	8.4217	1.5099
ENSG00000044012	0	0.0000	0.0000
ENSG00000047410	8325	61.3365	10.9970
ENSG00000048707	4858	17.9087	3.2108
ENSG00000049089	422	7.6208	1.3663
ENSG00000049239	423	3.4782	0.6236
ENSG00000049245	5167	140.4030	25.1728
ENSG00000049246	94	0.9896	0.1774
ENSG00000049247	15	0.6153	0.1103
ENSG00000049249	141	4.6353	0.8311
ENSG00000050628	32	0.2480	0.0445
ENSG00000052723	3735	47.5277	8.5212
ENSG00000053371	369	15.5441	2.7869
ENSG00000053372	138	3.6786	0.6595
ENSG00000054116	980	22.1802	3.9767
ENSG00000054118	4682	74.1432	13.2931
ENSG00000054267	15407	104.3560	18.7100
ENSG00000054277	318	6.8624	1.2303
ENSG00000054282	295	4.2205	0.7567
ENSG00000054392	64	1.1194	0.2007
ENSG00000054523	3631	15.3929	2.7598
ENSG00000055070	9345	147.6490	26.4720
ENSG00000055732	63	0.7110	0.1275
ENSG00000057252	2328	24.8237	4.4506
ENSG00000057468	80	1.8454	0.3309
ENSG00000057757	10459	358.8500	64.3380
ENSG00000058085	18	0.2056	0.0368
ENSG00000058453	111	0.6764	0.1213
ENSG00000058668	1967	15.1745	2.7206
ENSG00000058673	21437	165.7520	29.7175
ENSG00000058799	914	30.3083	5.4339
ENSG00000058804	488	7.1254	1.2775
ENSG00000059588	2718	26.3266	4.7201
ENSG00000060642	1630	36.1372	6.4790
ENSG00000060656	47	0.5315	0.0953
ENSG00000060688	2637	49.3136	8.8414
ENSG00000060718	4	0.0345	0.0062
ENSG00000064703	2565	31.9605	5.7302
ENSG00000064886	81	1.8519	0.3320
ENSG00000065135	4737	110.8090	19.8669
ENSG00000065183	191	3.4446	0.6176
ENSG00000065243	6563	70.1749	12.5816
ENSG00000065526	24517	138.3160	24.7985
ENSG00000065600	306	7.8874	1.4141
ENSG00000065978	34844	1354.0400	242.7648
ENSG00000066027	8573	166.4480	29.8424
ENSG00000066056	155	1.7323	0.3106
ENSG00000066135	1488	21.5719	3.8676
ENSG00000066136	714	8.9385	1.6026
ENSG00000066185	13	0.4442	0.0796
ENSG00000066279	3311	22.8084	4.0893
ENSG00000066294	1416	11.4767	2.0577
ENSG00000066322	3407	103.9120	18.6303
ENSG00000066557	3460	89.9733	16.1312
ENSG00000067208	591	5.3540	0.9599
ENSG00000067334	8425	105.2280	18.8662
ENSG00000067533	944	8.9800	1.6100
ENSG00000067606	137	1.3464	0.2414
ENSG00000067704	664	11.9601	2.1443
ENSG00000069248	2546	37.7524	6.7686
ENSG00000069275	6684	76.5865	13.7311
ENSG00000069424	2684	24.7768	4.4422
ENSG00000069702	57	0.4939	0.0886
ENSG00000069712	81	1.3093	0.2348
ENSG00000069812	1	0.0139	0.0025
ENSG00000070759	405	8.7694	1.5723
ENSG00000070785	108	2.6586	0.4767
ENSG00000070831	30980	669.5970	120.0517
ENSG00000070886	0	0.0000	0.0000
ENSG00000072694	2	0.0214	0.0038
ENSG00000073754	4	0.1221	0.0219
ENSG00000073756	6081	86.5544	15.5183
ENSG00000074800	8874	162.4450	29.1246
ENSG00000074964	5	0.0478	0.0086
ENSG00000075151	4190	37.2834	6.6845
ENSG00000075391	40	0.2550	0.0457
ENSG00000075945	584	8.7296	1.5651
ENSG00000076258	23	0.6853	0.1229
ENSG00000076321	1086	19.1399	3.4316
ENSG00000076356	59	0.3207	0.0575
ENSG00000076864	7345	86.8487	15.5710
ENSG00000077152	661	46.5258	8.3416
ENSG00000077157	1724	8.9787	1.6098
ENSG00000077254	3666	39.7483	7.1265
ENSG00000077522	23	0.3150	0.0565
ENSG00000077549	4462	96.1710	17.2424
ENSG00000077585	219	7.1988	1.2907
ENSG00000078369	8480	103.6550	18.5842
ENSG00000078618	2652	30.0464	5.3870
ENSG00000078808	2032	32.4405	5.8162
ENSG00000078900	73	0.9842	0.1764
ENSG00000079277	3679	34.2367	6.1383
ENSG00000079335	9316	121.9620	21.8664
ENSG00000079739	859	15.4657	2.7728
ENSG00000080910	7	0.4059	0.0728
ENSG00000080947	92	1.0173	0.1824
ENSG00000081019	5844	64.2736	11.5236
ENSG00000081026	88	0.8066	0.1446
ENSG00000081237	33096	291.7870	52.3142
ENSG00000081248	0	0.0000	0.0000
ENSG00000081277	0	0.0000	0.0000
ENSG00000081692	150	2.6021	0.4665
ENSG00000081721	741	31.5556	5.6576
ENSG00000081870	1080	29.3701	5.2658
ENSG00000081985	28	0.4937	0.0885
ENSG00000082482	0	0.0000	0.0000
ENSG00000082497	87	1.1884	0.2131
ENSG00000082512	1044	8.6826	1.5567
ENSG00000083444	375	5.2782	0.9463
ENSG00000084070	3203	72.8118	13.0544
ENSG00000084072	923	8.5774	1.5378
ENSG00000084073	1427	29.9530	5.3702
ENSG00000084623	6269	272.5720	48.8692
ENSG00000084628	10	0.2511	0.0450
ENSG00000084636	0	0.0000	0.0000
ENSG00000084652	1733	25.4709	4.5667
ENSG00000085433	1001	16.5584	2.9687
ENSG00000085465	941	23.6121	4.2334
ENSG00000085491	491	5.6203	1.0077
ENSG00000085552	6	0.0680	0.0122
ENSG00000085831	197	1.5762	0.2826
ENSG00000085832	12484	124.0000	22.2319
ENSG00000085840	1443	34.2901	6.1479
ENSG00000085998	170	2.0006	0.3587
ENSG00000085999	180	4.2142	0.7556
ENSG00000086015	835	7.0563	1.2651
ENSG00000086619	1136	14.9782	2.6854
ENSG00000088035	182	2.7558	0.4941
ENSG00000088280	32	0.4933	0.0884
ENSG00000090020	3098	38.8815	6.9710
ENSG00000090104	12766	232.5550	41.6947
ENSG00000090273	1600	41.9951	7.5293
ENSG00000090432	1393	42.8937	7.6904
ENSG00000090621	6905	76.3582	13.6902
ENSG00000090686	3917	30.9346	5.5463
ENSG00000091483	575	20.1246	3.6081
ENSG00000092607	107	2.1085	0.3780
ENSG00000092621	115	1.5306	0.2744
ENSG00000092847	4528	26.3567	4.7255
ENSG00000092850	50	1.8974	0.3402
ENSG00000092853	376	5.2184	0.9356
ENSG00000092969	36	0.5224	0.0937
ENSG00000092978	690	5.8527	1.0493
ENSG00000094963	3	0.0351	0.0063
ENSG00000094975	19690	228.3540	40.9415
ENSG00000097021	132	2.0190	0.3620
