gene	raw_counts	median_length_normalized	RPKM
ENSG00000000457	441	8.6051	1.1512
ENSG00000000460	370	4.3681	0.5844
ENSG00000000938	5451	116.0010	15.5187
ENSG00000000971	77	0.7090	0.0949
ENSG00000001460	115	1.0094	0.1350
ENSG00000001461	851	6.7835	0.9075
ENSG00000004455	2783	36.7285	4.9135
ENSG00000004487	10838	237.9460	31.8324
ENSG00000006555	17	0.2165	0.0290
ENSG00000007341	899	8.3120	1.1120
ENSG00000007908	55	0.9777	0.1308
ENSG00000007923	1144	16.6662	2.2296
ENSG00000007933	42	0.9090	0.1216
ENSG00000007968	19789	271.9790	36.3853
ENSG00000008118	140	3.9204	0.5245
ENSG00000008128	5146	81.8092	10.9445
ENSG00000008130	7268	94.9775	12.7061
ENSG00000009307	85270	1111.2400	148.6625
ENSG00000009709	111	1.3212	0.1768
ENSG00000009724	26	0.4639	0.0621
ENSG00000009780	1109	28.9218	3.8691
ENSG00000009790	3417	33.0586	4.4226
ENSG00000010072	3771	47.8876	6.4064
ENSG00000010165	555	10.8332	1.4493
ENSG00000010803	5746	96.9056	12.9640
ENSG00000010932	33	0.6919	0.0926
ENSG00000011007	14676	204.1720	27.3142
ENSG00000011009	1992	68.0410	9.1025
ENSG00000011021	2972	32.3791	4.3317
ENSG00000014914	842	13.7495	1.8394
ENSG00000016490	2	0.0449	0.0060
ENSG00000016602	0	0.0000	0.0000
ENSG00000018625	4	0.0475	0.0064
ENSG00000020129	739	11.2666	1.5073
ENSG00000020633	20637	336.1130	44.9653
ENSG00000021852	0	0.0000	0.0000
ENSG00000023572	284	16.3834	2.1918
ENSG00000023902	11872	142.7400	19.0958
ENSG00000023909	870	12.1422	1.6244
ENSG00000024526	388	4.9294	0.6595
ENSG00000025800	27512	268.4260	35.9101
ENSG00000026751	909	14.8069	1.9809
ENSG00000027644	29	0.4207	0.0563
ENSG00000027869	232	6.9355	0.9278
ENSG00000028137	18079	360.0370	48.1658
ENSG00000031698	3300	64.5146	8.6308
ENSG00000033122	0	0.0011	0.0001
ENSG00000034971	0	0.0000	0.0000
ENSG00000035687	1250	25.5679	3.4205
ENSG00000036549	5305	44.1655	5.9085
ENSG00000037637	10711	89.4200	11.9626
ENSG00000040487	429	11.9695	1.6013
ENSG00000041988	1207	22.2264	2.9735
ENSG00000042781	0	0.0000	0.0000
ENSG00000043514	832	20.3120	2.7173
ENSG00000044012	0	0.0000	0.0000
ENSG00000047410	13892	102.3510	13.6926
ENSG00000048707	8405	30.9810	4.1446
ENSG00000049089	519	9.3845	1.2555
ENSG00000049239	1987	16.3473	2.1869
ENSG00000049245	13429	364.9120	48.8179
ENSG00000049246	147	1.5549	0.2080
ENSG00000049247	8	0.3365	0.0450
ENSG00000049249	312	10.2452	1.3706
ENSG00000050628	21	0.1631	0.0218
ENSG00000052723	6959	88.5458	11.8457
