gene	raw_counts	median_length_normalized	RPKM
ENSG00000000457	1884	36.7635	3.3915
ENSG00000000460	1566	18.4860	1.7054
ENSG00000000938	2056	43.7506	4.0360
ENSG00000000971	1499	13.8039	1.2734
ENSG00000001460	641	5.6455	0.5208
ENSG00000001461	2364	18.8563	1.7395
ENSG00000004455	15684	206.9910	19.0952
ENSG00000004487	23785	522.2020	48.1738
ENSG00000006555	22	0.2679	0.0247
ENSG00000007341	3758	34.7474	3.2055
ENSG00000007908	0	0.0000	0.0000
ENSG00000007923	3994	58.1953	5.3686
ENSG00000007933	0	0.0000	0.0000
ENSG00000007968	1730	23.7779	2.1935
ENSG00000008118	0	0.0000	0.0000
ENSG00000008128	8999	143.0570	13.1972
ENSG00000008130	4657	60.8615	5.6146
ENSG00000009307	115210	1501.4400	138.5097
ENSG00000009709	0	0.0000	0.0000
ENSG00000009724	868	15.3206	1.4133
ENSG00000009780	972	25.3449	2.3381
ENSG00000009790	4422	42.7805	3.9466
ENSG00000010072	2640	33.5295	3.0931
ENSG00000010165	1012	19.7598	1.8229
ENSG00000010803	12301	207.4670	19.1391
ENSG00000010932	21	0.4494	0.0414
ENSG00000011007	8085	112.4790	10.3763
ENSG00000011009	3373	115.2020	10.6275
ENSG00000011021	11274	122.8280	11.3311
ENSG00000014914	90	1.4692	0.1355
ENSG00000016490	0	0.0000	0.0000
ENSG00000016602	4	0.0822	0.0076
ENSG00000018625	0	0.0000	0.0000
ENSG00000020129	2448	37.3435	3.4450
ENSG00000020633	5558	90.5131	8.3500
ENSG00000021852	0	0.0000	0.0000
ENSG00000023572	289	16.6990	1.5405
ENSG00000023902	16677	200.5070	18.4970
ENSG00000023909	1466	20.4648	1.8879
ENSG00000024526	69	0.8713	0.0804
ENSG00000025800	20132	196.4240	18.1203
ENSG00000026751	190	3.0951	0.2855
ENSG00000027644	119	1.7477	0.1612
ENSG00000027869	584	17.4271	1.6077
ENSG00000028137	2348	46.7584	4.3135
ENSG00000031698	6214	121.4930	11.2079
ENSG00000033122	161	1.0054	0.0928
ENSG00000034971	18	0.6644	0.0613
ENSG00000035687	4577	93.6323	8.6377
ENSG00000036549	5536	46.0900	4.2519
ENSG00000037637	12262	102.3640	9.4432
ENSG00000040487	3029	84.5719	7.8019
ENSG00000041988	3127	57.6027	5.3139
ENSG00000042781	16	0.0583	0.0054
ENSG00000043514	2152	52.5679	4.8495
ENSG00000044012	1	0.1223	0.0112
ENSG00000047410	15626	115.1250	10.6204
ENSG00000048707	20670	76.1948	7.0291
ENSG00000049089	3191	57.6519	5.3185
ENSG00000049239	15852	130.4050	12.0300
ENSG00000049245	12046	327.3450	30.1980
ENSG00000049246	1893	19.9831	1.8435
ENSG00000049247	348	14.6411	1.3507
ENSG00000049249	134	4.3967	0.4056
ENSG00000050628	1288	10.0054	0.9230
ENSG00000052723	3490	44.4155	4.0974
ENSG00000053371	3541	149.1220	13.7567
ENSG00000053372	4577	121.6390	11.2214
ENSG00000054116	4943	111.8950	10.3224
ENSG00000054118	14611	231.3780	21.3449
ENSG00000054267	19374	131.2280	12.1059
ENSG00000054277	655	14.1239	1.3030
ENSG00000054282	4096	58.5548	5.4018
ENSG00000054392	2265	39.5456	3.6481
ENSG00000054523	10295	43.6419	4.0260
ENSG00000055070	27648	436.8160	40.2969
ENSG00000055732	2	0.0226	0.0021
ENSG00000057252	3082	32.8629	3.0317
ENSG00000057468	41	0.9375	0.0865
ENSG00000057757	10233	351.0770	32.3873
ENSG00000058085	0	0.0000	0.0000
ENSG00000058453	3786	23.1534	2.1359
ENSG00000058668	24159	186.3900	17.1948
ENSG00000058673	30445	235.4010	21.7161
ENSG00000058799	2327	77.2026	7.1220
ENSG00000058804	2127	31.0647	2.8658
ENSG00000059588	19572	189.5800	17.4890
ENSG00000060642	1598	35.4447	3.2698
ENSG00000060656	111	1.2384	0.1142
ENSG00000060688	3665	68.5256	6.3216
ENSG00000060718	0	0.0000	0.0000
ENSG00000064703	4374	54.5032	5.0280
ENSG00000064886	58	1.3105	0.1209
ENSG00000065135	9330	218.2640	20.1351
ENSG00000065183	1440	25.9738	2.3961
ENSG00000065243	9744	104.1890	9.6116
ENSG00000065526	77927	439.6360	40.5570
ENSG00000065600	2083	53.6211	4.9466
ENSG00000065978	68621	2666.6300	246.0004
ENSG00000066027	12405	240.8430	22.2181
ENSG00000066056	2070	23.1951	2.1398
ENSG00000066135	12350	179.0930	16.5216
ENSG00000066136	5319	66.6362	6.1473
ENSG00000066185	90	3.0652	0.2828
ENSG00000066279	892	6.1468	0.5671
ENSG00000066294	17173	139.1620	12.8379
ENSG00000066322	6142	187.3410	17.2824
ENSG00000066557	2287	59.4619	5.4854
ENSG00000067208	1090	9.8809	0.9115
ENSG00000067334	10169	127.0000	11.7160
