gene	raw_counts	median_length_normalized	RPKM
ENSG00000000457	1441	28.1121	2.7864
ENSG00000000460	3309	39.0532	3.8708
ENSG00000000938	9859	209.8220	20.7968
ENSG00000000971	139	1.2793	0.1268
ENSG00000001460	751	6.6135	0.6555
ENSG00000001461	3832	30.5645	3.0295
ENSG00000004455	19897	262.5850	26.0265
ENSG00000004487	19253	422.7170	41.8981
ENSG00000006555	29	0.3567	0.0354
ENSG00000007341	2186	20.2122	2.0034
ENSG00000007908	124	2.1991	0.2180
ENSG00000007923	5175	75.4148	7.4748
ENSG00000007933	15	0.3185	0.0316
ENSG00000007968	1354	18.6106	1.8446
ENSG00000008118	0	0.0000	0.0000
ENSG00000008128	7448	118.4020	11.7356
ENSG00000008130	9092	118.8210	11.7771
ENSG00000009307	126841	1653.0100	163.8403
ENSG00000009709	0	0.0000	0.0000
ENSG00000009724	1660	29.2912	2.9032
ENSG00000009780	1680	43.8206	4.3433
ENSG00000009790	3280	31.7313	3.1451
ENSG00000010072	1867	23.7042	2.3495
ENSG00000010165	3060	59.7247	5.9197
ENSG00000010803	9369	158.0090	15.6613
ENSG00000010932	19	0.3945	0.0391
ENSG00000011007	8257	114.8750	11.3860
ENSG00000011009	5104	174.3140	17.2774
ENSG00000011021	6961	75.8379	7.5168
ENSG00000014914	1341	21.9002	2.1707
ENSG00000016490	0	0.0000	0.0000
ENSG00000016602	0	0.0069	0.0007
ENSG00000018625	3	0.0357	0.0035
ENSG00000020129	4017	61.2774	6.0736
ENSG00000020633	5692	92.7001	9.1881
ENSG00000021852	0	0.0000	0.0000
ENSG00000023572	697	40.2163	3.9861
ENSG00000023902	11664	140.2320	13.8993
ENSG00000023909	403	5.6215	0.5572
ENSG00000024526	193	2.4455	0.2424
ENSG00000025800	14583	142.2870	14.1030
ENSG00000026751	462	7.5313	0.7465
ENSG00000027644	27	0.4009	0.0397
ENSG00000027869	438	13.0768	1.2961
ENSG00000028137	5998	119.4430	11.8387
ENSG00000031698	12319	240.8570	23.8728
ENSG00000033122	119	0.7404	0.0734
ENSG00000034971	5	0.1800	0.0178
ENSG00000035687	5918	121.0640	11.9995
ENSG00000036549	4655	38.7560	3.8414
ENSG00000037637	4719	39.3930	3.9045
ENSG00000040487	1235	34.4829	3.4178
ENSG00000041988	2897	53.3595	5.2888
ENSG00000042781	7	0.0259	0.0026
ENSG00000043514	2327	56.8365	5.6334
ENSG00000044012	2	0.2513	0.0249
ENSG00000047410	20981	154.5720	15.3206
ENSG00000048707	11931	43.9798	4.3591
ENSG00000049089	1962	35.4440	3.5131
ENSG00000049239	6218	51.1538	5.0702
ENSG00000049245	13610	369.8410	36.6573
ENSG00000049246	864	9.1181	0.9038
ENSG00000049247	141	5.9153	0.5863
ENSG00000049249	84	2.7601	0.2736
ENSG00000050628	8	0.0622	0.0062
ENSG00000052723	4419	56.2251	5.5728
ENSG00000053371	4754	200.1890	19.8420
ENSG00000053372	4644	123.4170	12.2327
ENSG00000054116	3822	86.5210	8.5756
ENSG00000054118	10456	165.5780	16.4115
ENSG00000054267	15351	103.9750	10.3056
ENSG00000054277	2584	55.6894	5.5197
ENSG00000054282	9240	132.0710	13.0904
ENSG00000054392	680	11.8743	1.1769
ENSG00000054523	2516	10.6645	1.0570
ENSG00000055070	23358	369.0370	36.5776
ENSG00000055732	2	0.0226	0.0022
ENSG00000057252	7313	77.9834	7.7294
ENSG00000057468	86	1.9789	0.1961
ENSG00000057757	6638	227.7360	22.5723
ENSG00000058085	1	0.0089	0.0009
ENSG00000058453	2421	14.8068	1.4676
ENSG00000058668	1926	14.8624	1.4731
ENSG00000058673	21526	166.4420	16.4971
ENSG00000058799	2486	82.4719	8.1743
ENSG00000058804	3487	50.9297	5.0480
ENSG00000059588	18994	183.9780	18.2353
ENSG00000060642	2536	56.2401	5.5743
ENSG00000060656	106	1.1882	0.1178
ENSG00000060688	4003	74.8432	7.4182
ENSG00000060718	0	0.0000	0.0000
ENSG00000064703	3054	38.0553	3.7719
ENSG00000064886	48	1.0856	0.1076
ENSG00000065135	11157	260.9930	25.8687
ENSG00000065183	2238	40.3498	3.9993
ENSG00000065243	7098	75.8954	7.5225
ENSG00000065526	30964	174.6890	17.3146
ENSG00000065600	5871	151.0970	14.9762
ENSG00000065978	102530	3984.3400	394.9136
ENSG00000066027	9302	180.6000	17.9004
ENSG00000066056	5344	59.8724	5.9343
ENSG00000066135	5553	80.5247	7.9813
ENSG00000066136	4875	61.0733	6.0534
ENSG00000066185	134	4.5745	0.4534
ENSG00000066279	2236	15.4065	1.5270
ENSG00000066294	4188	33.9408	3.3641
ENSG00000066322	9148	279.0300	27.6565
ENSG00000066557	2357	61.3027	6.0761
ENSG00000067208	2018	18.2922	1.8131
ENSG00000067334	9844	122.9430	12.1857
ENSG00000067533	2057	19.5745	1.9402
ENSG00000067606	280	2.7524	0.2728
ENSG00000067704	10385	187.1430	18.5490
ENSG00000069248	5868	87.0350	8.6266
ENSG00000069275	16435	188.2970	18.6634
ENSG00000069424	30447	281.0140	27.8531
ENSG00000069702	389	3.3735	0.3344
ENSG00000069712	449	7.2842	0.7220
ENSG00000069812	17	0.2356	0.0234
ENSG00000070759	3543	76.7986	7.6120
ENSG00000070785	3034	74.7867	7.4126
ENSG00000070831	38928	841.3830	83.3948
ENSG00000070886	43	0.5974	0.0592
ENSG00000072694	190	2.0392	0.2021
ENSG00000073754	30	0.9157	0.0908
ENSG00000073756	680	9.6762	0.9591
ENSG00000074800	331846	6074.8100	602.1131
ENSG00000074964	212	2.0289	0.2011
ENSG00000075151	14975	133.2470	13.2069
ENSG00000075391	234	1.4848	0.1472
ENSG00000075945	6469	96.7694	9.5914
ENSG00000076258	262	7.8137	0.7745
ENSG00000076321	1764	31.1079	3.0833
ENSG00000076356	233	1.2701	0.1259
ENSG00000076864	239	2.8305	0.2806
ENSG00000077152	1901	133.8760	13.2693
ENSG00000077157	4816	25.0826	2.4861
ENSG00000077254	6233	67.5729	6.6976
ENSG00000077522	5	0.0692	0.0069
ENSG00000077549	28669	617.8760	61.2416
ENSG00000077585	335	11.0281	1.0931
ENSG00000078369	54354	664.3700	65.8499
ENSG00000078618	30813	349.1470	34.6062
ENSG00000078808	16873	269.4290	26.7048
ENSG00000078900	169	2.2823	0.2262
ENSG00000079277	8696	80.9139	8.0199
ENSG00000079335	5956	77.9668	7.7278
ENSG00000079739	2196	39.5612	3.9212
ENSG00000080910	0	0.0000	0.0000
ENSG00000080947	1616	17.7942	1.7637
ENSG00000081019	4696	51.6472	5.1191
ENSG00000081026	1006	9.2220	0.9140
ENSG00000081237	31121	274.3740	27.1950
ENSG00000081248	0	0.0000	0.0000
ENSG00000081277	0	0.0000	0.0000
ENSG00000081692	1955	33.9805	3.3680
ENSG00000081721	3672	156.3040	15.4923
ENSG00000081870	2840	77.1928	7.6511
ENSG00000081985	188	3.3352	0.3306
ENSG00000082482	0	0.0000	0.0000
ENSG00000082497	0	0.0000	0.0000
ENSG00000082512	7675	63.8000	6.3236
ENSG00000083444	8388	118.0960	11.7053
ENSG00000084070	59819	1359.9400	134.7919
