gene	raw_counts	median_length_normalized	RPKM
ENSG00000000457	948	18.5034	2.5930
ENSG00000000460	626	7.3911	1.0358
ENSG00000000938	13910	296.0350	41.4854
ENSG00000000971	363	3.3384	0.4678
ENSG00000001460	325	2.8652	0.4015
ENSG00000001461	1692	13.4920	1.8907
ENSG00000004455	2696	35.5763	4.9856
ENSG00000004487	8186	179.7310	25.1870
ENSG00000006555	232	2.8786	0.4034
ENSG00000007341	1279	11.8222	1.6567
ENSG00000007908	0	0.0000	0.0000
ENSG00000007923	1721	25.0723	3.5136
ENSG00000007933	0	0.0000	0.0000
ENSG00000007968	13071	179.6510	25.1757
ENSG00000008118	18	0.5045	0.0707
ENSG00000008128	4570	72.6469	10.1805
ENSG00000008130	7104	92.8331	13.0094
ENSG00000009307	64833	844.9180	118.4044
ENSG00000009709	0	0.0000	0.0000
ENSG00000009724	30	0.5312	0.0744
ENSG00000009780	858	22.3835	3.1367
ENSG00000009790	2761	26.7079	3.7428
ENSG00000010072	4363	55.4098	7.7650
ENSG00000010165	735	14.3388	2.0094
ENSG00000010803	3981	67.1450	9.4095
ENSG00000010932	2	0.0420	0.0059
ENSG00000011007	8725	121.3800	17.0098
ENSG00000011009	2924	99.8739	13.9961
ENSG00000011021	5871	63.9646	8.9638
ENSG00000014914	1891	30.8856	4.3282
ENSG00000016490	0	0.0000	0.0000
ENSG00000016602	3	0.0570	0.0080
ENSG00000018625	0	0.0000	0.0000
ENSG00000020129	313	4.7734	0.6689
ENSG00000020633	44941	731.9390	102.5718
ENSG00000021852	0	0.0000	0.0000
ENSG00000023572	296	17.1032	2.3968
ENSG00000023902	17748	213.3910	29.9040
ENSG00000023909	1568	21.8878	3.0673
ENSG00000024526	1594	20.2436	2.8369
ENSG00000025800	13224	129.0200	18.0805
ENSG00000026751	3865	62.9557	8.8224
ENSG00000027644	27	0.4007	0.0561
ENSG00000027869	1125	33.5840	4.7064
ENSG00000028137	17396	346.4340	48.5483
ENSG00000031698	6235	121.9090	17.0840
ENSG00000033122	98	0.6137	0.0860
ENSG00000034971	1	0.0360	0.0050
ENSG00000035687	3136	64.1536	8.9903
ENSG00000036549	3731	31.0645	4.3533
ENSG00000037637	7046	58.8186	8.2427
ENSG00000040487	834	23.3004	3.2653
ENSG00000041988	1203	22.1486	3.1038
ENSG00000042781	0	0.0000	0.0000
ENSG00000043514	715	17.4722	2.4485
ENSG00000044012	0	0.0000	0.0000
ENSG00000047410	20153	148.4740	20.8068
ENSG00000048707	7449	27.4579	3.8479
ENSG00000049089	444	8.0306	1.1254
ENSG00000049239	8844	72.7583	10.1961
ENSG00000049245	13039	354.3120	49.6523
ENSG00000049246	798	8.4210	1.1801
ENSG00000049247	2	0.0841	0.0118
ENSG00000049249	400	13.1252	1.8393
ENSG00000050628	106	0.8235	0.1154
ENSG00000052723	6503	82.7547	11.5970
ENSG00000053371	858	36.1112	5.0605
ENSG00000053372	538	14.2945	2.0032
ENSG00000054116	2093	47.3867	6.6406
ENSG00000054118	9984	158.1030	22.1561
ENSG00000054267	19965	135.2250	18.9500
ENSG00000054277	1860	40.0856	5.6175
ENSG00000054282	1583	22.6318	3.1716
ENSG00000054392	58	1.0123	0.1419
ENSG00000054523	5834	24.7302	3.4656
ENSG00000055070	11529	182.1490	25.5258
ENSG00000055732	2	0.0226	0.0032
ENSG00000057252	7031	74.9740	10.5066
ENSG00000057468	0	0.0000	0.0000
ENSG00000057757	4621	158.5590	22.2199
ENSG00000058085	4	0.0459	0.0064
ENSG00000058453	347	2.1229	0.2975
ENSG00000058668	12690	97.9087	13.7206
ENSG00000058673	26370	203.8890	28.5724
ENSG00000058799	2810	93.2057	13.0616
ENSG00000058804	1744	25.4664	3.5688
ENSG00000059588	4009	38.8342	5.4421
ENSG00000060642	612	13.5639	1.9008
ENSG00000060656	31	0.3470	0.0486
ENSG00000060688	3627	67.8187	9.5039
ENSG00000060718	0	0.0000	0.0000
ENSG00000064703	4567	56.9058	7.9746
ENSG00000064886	137	3.1156	0.4366
ENSG00000065135	8193	191.6570	26.8582
ENSG00000065183	1268	22.8740	3.2055
ENSG00000065243	11037	118.0150	16.5383
ENSG00000065526	50250	283.4910	39.7276
ENSG00000065600	2591	66.6812	9.3445
ENSG00000065978	24577	955.0650	133.8400
ENSG00000066027	10622	206.2350	28.9012
ENSG00000066056	1343	15.0520	2.1093
ENSG00000066135	1922	27.8784	3.9068
ENSG00000066136	3348	41.9407	5.8775
ENSG00000066185	95	3.2460	0.4549
ENSG00000066279	3907	26.9130	3.7715
ENSG00000066294	6280	50.8908	7.1317
ENSG00000066322	6760	206.1740	28.8926
ENSG00000066557	3683	95.7805	13.4224
ENSG00000067208	1196	10.8416	1.5193
ENSG00000067334	10835	135.3290	18.9646
ENSG00000067533	1248	11.8740	1.6640
ENSG00000067606	229	2.2449	0.3146
ENSG00000067704	4073	73.4046	10.2867
ENSG00000069248	5436	80.6271	11.2988
ENSG00000069275	18343	210.1610	29.4514
ENSG00000069424	7752	71.5484	10.0266
ENSG00000069702	3187	27.6216	3.8708
ENSG00000069712	443	7.1923	1.0079
ENSG00000069812	0	0.0000	0.0000
ENSG00000070759	1627	35.2780	4.9438
ENSG00000070785	336	8.2774	1.1600
ENSG00000070831	21425	463.0690	64.8932
ENSG00000070886	0	0.0000	0.0000
ENSG00000072694	128	1.3722	0.1923
ENSG00000073754	158	4.8241	0.6760
ENSG00000073756	13024	185.3920	25.9803
ENSG00000074800	39622	725.3300	101.6456
ENSG00000074964	661	6.3167	0.8852
ENSG00000075151	12038	107.1120	15.0103
ENSG00000075391	901	5.7200	0.8016
ENSG00000075945	5410	80.9284	11.3411
ENSG00000076258	60	1.8002	0.2523
ENSG00000076321	2909	51.2863	7.1871
ENSG00000076356	242	1.3160	0.1844
ENSG00000076864	782	9.2417	1.2951
ENSG00000077152	1046	73.6704	10.3240
ENSG00000077157	1668	8.6872	1.2174
ENSG00000077254	6245	67.7058	9.4881
ENSG00000077522	283	3.9151	0.5487
ENSG00000077549	11399	245.6580	34.4259
ENSG00000077585	1883	61.9609	8.6830
ENSG00000078369	39275	480.0570	67.2738
ENSG00000078618	8403	95.2145	13.3431
ENSG00000078808	7003	111.8180	15.6699
ENSG00000078900	34	0.4590	0.0643
ENSG00000079277	4476	41.6526	5.8371
ENSG00000079335	5192	67.9702	9.5251
ENSG00000079739	2845	51.2447	7.1813
ENSG00000080910	0	0.0000	0.0000
ENSG00000080947	55	0.6071	0.0851
ENSG00000081019	14295	157.2270	22.0333
ENSG00000081026	411	3.7681	0.5280
ENSG00000081237	75640	666.8610	93.4519
ENSG00000081248	0	0.0000	0.0000
ENSG00000081277	0	0.0000	0.0000
ENSG00000081692	720	12.5145	1.7537
ENSG00000081721	2208	94.0034	13.1733
ENSG00000081870	2013	54.7220	7.6686
ENSG00000081985	240	4.2478	0.5953
