gene	raw_counts	median_length_normalized	RPKM
ENSG00000000457	685	13.3715	3.3213
ENSG00000000460	1025	12.1031	3.0063
ENSG00000000938	6119	130.2220	32.3458
ENSG00000000971	6232	57.3964	14.2567
ENSG00000001460	214	1.8822	0.4675
ENSG00000001461	1358	10.8301	2.6901
ENSG00000004455	3385	44.6787	11.0977
ENSG00000004487	8052	176.7850	43.9116
ENSG00000006555	114	1.4124	0.3508
ENSG00000007341	2073	19.1716	4.7620
ENSG00000007908	35	0.6302	0.1565
ENSG00000007923	1246	18.1519	4.5088
ENSG00000007933	247	5.3393	1.3262
ENSG00000007968	2422	33.2817	8.2668
ENSG00000008118	9	0.2489	0.0618
ENSG00000008128	2457	39.0634	9.7030
ENSG00000008130	4425	57.8334	14.3652
ENSG00000009307	39201	510.8670	126.8943
ENSG00000009709	4	0.0475	0.0118
ENSG00000009724	38	0.6617	0.1644
ENSG00000009780	924	24.0901	5.9837
ENSG00000009790	2859	27.6554	6.8693
ENSG00000010072	860	10.9201	2.7124
ENSG00000010165	413	8.0507	1.9997
ENSG00000010803	1833	30.9181	7.6798
ENSG00000010932	21	0.4384	0.1089
ENSG00000011007	2908	40.4558	10.0488
ENSG00000011009	1055	36.0282	8.9491
ENSG00000011021	2487	27.0936	6.7298
ENSG00000014914	434	7.0873	1.7604
ENSG00000016490	1	0.0225	0.0056
ENSG00000016602	3	0.0652	0.0162
ENSG00000018625	94	1.1153	0.2770
ENSG00000020129	651	9.9288	2.4662
ENSG00000020633	4110	66.9433	16.6280
ENSG00000021852	0	0.0004	0.0001
ENSG00000023572	99	5.7190	1.4205
ENSG00000023902	2432	29.2377	7.2624
ENSG00000023909	1882	26.2629	6.5235
ENSG00000024526	291	3.6980	0.9186
ENSG00000025800	7088	69.1573	17.1780
ENSG00000026751	158	2.5745	0.6395
ENSG00000027644	7	0.1078	0.0268
ENSG00000027869	951	28.3945	7.0529
ENSG00000028137	2083	41.4827	10.3039
ENSG00000031698	3221	62.9750	15.6423
ENSG00000033122	4208	26.2791	6.5275
ENSG00000034971	41	1.4609	0.3628
ENSG00000035687	1536	31.4146	7.8031
ENSG00000036549	2481	20.6602	5.1318
ENSG00000037637	2390	19.9520	4.9559
ENSG00000040487	210	5.8623	1.4561
ENSG00000041988	987	18.1780	4.5153
ENSG00000042781	118	0.4308	0.1070
ENSG00000043514	748	18.2758	4.5395
ENSG00000044012	0	0.0000	0.0000
ENSG00000047410	15033	110.7510	27.5094
ENSG00000048707	4859	17.9099	4.4486
ENSG00000049089	504	9.1130	2.2636
ENSG00000049239	4890	40.2302	9.9928
ENSG00000049245	6706	182.2330	45.2647
ENSG00000049246	534	5.6382	1.4005
ENSG00000049247	417	17.5412	4.3570
ENSG00000049249	391	12.8306	3.1870
ENSG00000050628	1126	8.7459	2.1724
ENSG00000052723	3361	42.7711	10.6239
ENSG00000053371	1148	48.3324	12.0052
ENSG00000053372	792	21.0478	5.2281
ENSG00000054116	1111	25.1597	6.2494
ENSG00000054118	5200	82.3406	20.4526
ENSG00000054267	14902	100.9330	25.0708
ENSG00000054277	702	15.1221	3.7562
ENSG00000054282	1871	26.7444	6.6430
ENSG00000054392	291	5.0775	1.2612
ENSG00000054523	4333	18.3661	4.5619
ENSG00000055070	5916	93.4649	23.2158
ENSG00000055732	44	0.5035	0.1251
ENSG00000057252	1864	19.8764	4.9371
ENSG00000057468	172	3.9602	0.9837
ENSG00000057757	2513	86.2287	21.4183
ENSG00000058085	29	0.3271	0.0812
ENSG00000058453	388	2.3701	0.5887
ENSG00000058668	20776	160.2890	39.8142
ENSG00000058673	17583	135.9520	33.7692
ENSG00000058799	781	25.9071	6.4350
ENSG00000058804	1227	17.9219	4.4516
ENSG00000059588	6129	59.3648	14.7456
ENSG00000060642	754	16.7158	4.1520
ENSG00000060656	29	0.3297	0.0819
ENSG00000060688	2831	52.9422	13.1503
ENSG00000060718	63	0.5690	0.1413
ENSG00000064703	2325	28.9679	7.1953
ENSG00000064886	115	2.6246	0.6519
ENSG00000065135	6361	148.8080	36.9624
ENSG00000065183	557	10.0426	2.4945
ENSG00000065243	4947	52.9008	13.1400
ENSG00000065526	27836	157.0390	39.0069
ENSG00000065600	961	24.7272	6.1420
ENSG00000065978	23113	898.1690	223.0961
ENSG00000066027	9418	182.8460	45.4170
ENSG00000066056	447	5.0115	1.2448
ENSG00000066135	987	14.3109	3.5547
ENSG00000066136	1980	24.8002	6.1601
ENSG00000066185	117	3.9977	0.9930
ENSG00000066279	1927	13.2722	3.2967
ENSG00000066294	14086	114.1450	28.3525
ENSG00000066322	1690	51.5429	12.8027
ENSG00000066557	2003	52.0874	12.9380
ENSG00000067208	1006	9.1168	2.2645
ENSG00000067334	7768	97.0226	24.0994
ENSG00000067533	2015	19.1686	4.7613
ENSG00000067606	188	1.8473	0.4589
ENSG00000067704	3036	54.7134	13.5903
ENSG00000069248	2296	34.0461	8.4567
ENSG00000069275	9749	111.7020	27.7458
ENSG00000069424	4466	41.2171	10.2379
ENSG00000069702	175	1.5187	0.3772
ENSG00000069712	416	6.7553	1.6780
ENSG00000069812	5	0.0762	0.0189
ENSG00000070759	1304	28.2613	7.0198
ENSG00000070785	763	18.7995	4.6696
ENSG00000070831	17084	369.2470	91.7173
ENSG00000070886	0	0.0000	0.0000
ENSG00000072694	100	1.0677	0.2652
ENSG00000073754	42	1.2952	0.3217
ENSG00000073756	21998	313.1210	77.7762
ENSG00000074800	27084	495.8090	123.1540
ENSG00000074964	112	1.0721	0.2663
ENSG00000075151	6266	55.7576	13.8496
ENSG00000075391	3354	21.2843	5.2868
ENSG00000075945	2145	32.0848	7.9695
ENSG00000076258	93	2.7624	0.6862
ENSG00000076321	826	14.5665	3.6182
ENSG00000076356	167	0.9095	0.2259
ENSG00000076864	83	0.9764	0.2425
ENSG00000077152	499	35.1446	8.7295
ENSG00000077157	2583	13.4508	3.3410
ENSG00000077254	7039	76.3143	18.9557
ENSG00000077522	11	0.1554	0.0386
ENSG00000077549	9731	209.7230	52.0930
ENSG00000077585	203	6.6779	1.6587
ENSG00000078369	16449	201.0530	49.9395
ENSG00000078618	11571	131.1130	32.5671
ENSG00000078808	3171	50.6404	12.5786
ENSG00000078900	73	0.9885	0.2455
ENSG00000079277	3063	28.5011	7.0794
ENSG00000079335	4049	53.0014	13.1650
ENSG00000079739	1676	30.1818	7.4968
ENSG00000080910	21	1.2975	0.3223
ENSG00000080947	155	1.7079	0.4242
ENSG00000081019	3893	42.8174	10.6354
ENSG00000081026	876	8.0293	1.9944
ENSG00000081237	24786	218.5190	54.2780
ENSG00000081248	20	0.2488	0.0618
ENSG00000081277	0	0.0000	0.0000
ENSG00000081692	464	8.0617	2.0024
ENSG00000081721	1079	45.9449	11.4123
ENSG00000081870	813	22.0975	5.4888
ENSG00000081985	360	6.3820	1.5852
ENSG00000082482	9	0.1806	0.0448
ENSG00000082497	192	2.6278	0.6527
ENSG00000082512	1447	12.0298	2.9881
ENSG00000083444	1254	17.6572	4.3859
ENSG00000084070	5573	126.6890	31.4682
ENSG00000084072	2557	23.7567	5.9009
ENSG00000084073	1302	27.3278	6.7879
ENSG00000084623	7838	340.7610	84.6417
ENSG00000084628	24	0.6003	0.1491
ENSG00000084636	13	0.1029	0.0256
ENSG00000084652	2808	41.2732	10.2519
ENSG00000085433	1481	24.4813	6.0809
ENSG00000085465	450	11.2858	2.8033
ENSG00000085491	2123	24.3213	6.0412
ENSG00000085552	207	2.3408	0.5814
ENSG00000085831	70	0.5602	0.1392
ENSG00000085832	10868	107.9480	26.8132
ENSG00000085840	1346	31.9680	7.9405
ENSG00000085998	868	10.2271	2.5403
ENSG00000085999	454	10.5950	2.6317
ENSG00000086015	1148	9.6978	2.4089
ENSG00000086619	1453	19.1573	4.7585
ENSG00000088035	789	11.9664	2.9724
ENSG00000088280	8	0.1255	0.0312
ENSG00000090020	3538	44.4144	11.0321
ENSG00000090104	1274	23.2074	5.7645
ENSG00000090273	2560	67.2083	16.6939
ENSG00000090432	1053	32.4179	8.0523
ENSG00000090621	11848	131.0240	32.5451
ENSG00000090686	4894	38.6470	9.5995
ENSG00000091483	1800	63.0079	15.6506
ENSG00000092607	163	3.2162	0.7989
ENSG00000092621	207	2.7631	0.6863
ENSG00000092847	6396	37.2275	9.2469
ENSG00000092850	130	4.9115	1.2199
ENSG00000092853	919	12.7422	3.1650
ENSG00000092969	62	0.8969	0.2228
ENSG00000092978	1191	10.1044	2.5098
ENSG00000094963	27	0.3281	0.0815
ENSG00000094975	9303	107.8930	26.7996
ENSG00000097021	787	12.0726	2.9987
ENSG00000097033	9644	108.3230	26.9062
ENSG00000097046	862	17.9564	4.4602
ENSG00000097096	774	8.9932	2.2338
ENSG00000099260	8	0.0993	0.0247
ENSG00000107404	811	17.4524	4.3350
ENSG00000116128	2755	32.1857	7.9946
ENSG00000116132	7	0.0637	0.0158
ENSG00000116133	653	11.0336	2.7406
ENSG00000116138	1412	12.3684	3.0722
ENSG00000116141	95	1.0018	0.2489
ENSG00000116147	10	0.1410	0.0350
ENSG00000116151	457	6.5475	1.6263
ENSG00000116157	1709	75.8119	18.8310
ENSG00000116161	2774	46.1322	11.4588
ENSG00000116171	2547	23.0036	5.7139
ENSG00000116183	32	0.2186	0.0543
ENSG00000116191	2644	26.7212	6.6373
ENSG00000116194	2	0.0437	0.0108
ENSG00000116198	2030	19.3292	4.8012
ENSG00000116199	3008	37.3607	9.2800
ENSG00000116205	504	6.4863	1.6111
ENSG00000116209	8906	160.7280	39.9232
ENSG00000116212	565	17.5765	4.3659
ENSG00000116213	878	8.6560	2.1501
ENSG00000116218	1	0.0507	0.0126
ENSG00000116219	0	0.0000	0.0000
ENSG00000116221	2592	88.1996	21.9079
ENSG00000116237	698	10.6557	2.6467
ENSG00000116251	7507	114.9050	28.5412
ENSG00000116254	21	0.1617	0.0402
ENSG00000116260	7559	60.8874	15.1238
ENSG00000116266	4280	54.4572	13.5266
ENSG00000116273	1602	32.6373	8.1068
ENSG00000116285	58	1.0392	0.2581
ENSG00000116288	3379	105.7200	26.2598
ENSG00000116299	238	1.9233	0.4777
ENSG00000116329	17	0.7198	0.1788
ENSG00000116337	8634	94.8401	23.5573
ENSG00000116350	11209	264.5190	65.7037
ENSG00000116353	319	6.0290	1.4975
ENSG00000116396	540	4.3311	1.0758
ENSG00000116406	2369	23.5928	5.8602
ENSG00000116455	1393	37.2560	9.2540
ENSG00000116459	5155	114.2900	28.3885
ENSG00000116473	3880	50.7643	12.6094
ENSG00000116478	3631	67.9219	16.8711
ENSG00000116489	10949	198.8310	49.3877
ENSG00000116497	3890	31.7465	7.8855
ENSG00000116514	3918	112.5870	27.9655
ENSG00000116521	1441	44.2633	10.9945
ENSG00000116525	657	12.3972	3.0793
ENSG00000116539	13995	78.9422	19.6085
ENSG00000116544	45	0.8408	0.2089
ENSG00000116560	66251	669.1120	166.2008
ENSG00000116574	558	9.5643	2.3757
ENSG00000116580	5359	33.0608	8.2120
ENSG00000116584	5804	58.7142	14.5840
ENSG00000116586	1131	58.9784	14.6496
ENSG00000116604	19360	226.8730	56.3529
ENSG00000116641	4663	32.1628	7.9889
ENSG00000116649	3085	121.8880	30.2759
ENSG00000116652	11	0.6911	0.1717
ENSG00000116661	2	0.0643	0.0160
ENSG00000116663	473	19.5809	4.8637
ENSG00000116667	1101	7.5270	1.8696
ENSG00000116668	1177	21.7706	5.4076
ENSG00000116670	719	15.8540	3.9380
ENSG00000116675	3574	38.8047	9.6387
ENSG00000116678	8409	55.0450	13.6726
ENSG00000116679	15419	145.8450	36.2265
ENSG00000116685	1269	29.0064	7.2049
ENSG00000116688	3905	58.8373	14.6146
ENSG00000116690	26	0.3826	0.0950
ENSG00000116691	1532	40.7345	10.1180
ENSG00000116698	10131	91.3571	22.6922
ENSG00000116701	4869	124.7230	30.9800
ENSG00000116703	50	2.8185	0.7001
ENSG00000116704	2750	28.8281	7.1606
ENSG00000116711	907	23.6710	5.8796
ENSG00000116717	12774	463.0380	115.0139
ENSG00000116721	0	0.0033	0.0008
ENSG00000116726	0	0.0000	0.0000
ENSG00000116729	242	4.0273	1.0003
ENSG00000116731	15293	105.1420	26.1162
ENSG00000116741	8196	294.6790	73.1952
