gene	raw_counts	median_length_normalized	RPKM
ENSG00000000457	1903	37.1340	3.5439
ENSG00000000460	2625	30.9810	2.9567
ENSG00000000938	50321	1070.9500	102.2067
ENSG00000000971	37	0.3402	0.0325
ENSG00000001460	694	6.1162	0.5837
ENSG00000001461	5602	44.6795	4.2640
ENSG00000004455	39822	525.5440	50.1554
ENSG00000004487	12138	266.4940	25.4329
ENSG00000006555	44	0.5445	0.0520
ENSG00000007341	3774	34.9006	3.3308
ENSG00000007908	5	0.0825	0.0079
ENSG00000007923	5577	81.2642	7.7555
ENSG00000007933	8	0.1730	0.0165
ENSG00000007968	3169	43.5534	4.1565
ENSG00000008118	0	0.0000	0.0000
ENSG00000008128	5123	81.4307	7.7713
ENSG00000008130	19032	248.7200	23.7366
ENSG00000009307	80466	1048.6500	100.0777
ENSG00000009709	0	0.0000	0.0000
ENSG00000009724	970	17.1070	1.6326
ENSG00000009780	1142	29.7886	2.8429
ENSG00000009790	12029	116.3600	11.1048
ENSG00000010072	2365	30.0384	2.8667
ENSG00000010165	3042	59.3594	5.6650
ENSG00000010803	6747	113.7980	10.8603
ENSG00000010932	11	0.2392	0.0228
ENSG00000011007	6111	85.0230	8.1142
ENSG00000011009	4390	149.9250	14.3081
ENSG00000011021	6168	67.2018	6.4134
ENSG00000014914	1211	19.7802	1.8877
ENSG00000016490	0	0.0000	0.0000
ENSG00000016602	1	0.0206	0.0020
ENSG00000018625	1	0.0152	0.0015
ENSG00000020129	5325	81.2296	7.7522
ENSG00000020633	6939	113.0140	10.7855
ENSG00000021852	0	0.0000	0.0000
ENSG00000023572	465	26.8445	2.5619
ENSG00000023902	10631	127.8200	12.1986
ENSG00000023909	662	9.2417	0.8820
ENSG00000024526	372	4.7234	0.4508
ENSG00000025800	12477	121.7310	11.6175
ENSG00000026751	164	2.6653	0.2544
ENSG00000027644	13	0.1896	0.0181
ENSG00000027869	159	4.7416	0.4525
ENSG00000028137	17212	342.7810	32.7134
ENSG00000031698	10392	203.1860	19.3911
ENSG00000033122	120	0.7492	0.0715
ENSG00000034971	0	0.0000	0.0000
ENSG00000035687	4688	95.9179	9.1539
ENSG00000036549	6083	50.6444	4.8333
ENSG00000037637	7237	60.4145	5.7657
ENSG00000040487	3705	103.4590	9.8736
ENSG00000041988	3427	63.1169	6.0236
ENSG00000042781	0	0.0002	0.0000
ENSG00000043514	1252	30.5715	2.9176
ENSG00000044012	2	0.3099	0.0296
ENSG00000047410	22669	167.0100	15.9387
ENSG00000048707	18644	68.7259	6.5589
ENSG00000049089	6508	117.5940	11.2226
ENSG00000049239	15241	125.3800	11.9657
ENSG00000049245	8621	234.2590	22.3566
ENSG00000049246	133	1.4001	0.1336
ENSG00000049247	11	0.4818	0.0460
ENSG00000049249	79	2.6003	0.2482
ENSG00000050628	14	0.1088	0.0104
ENSG00000052723	3988	50.7419	4.8426
ENSG00000053371	9271	390.4310	37.2608
ENSG00000053372	3479	92.4656	8.8245
ENSG00000054116	4839	109.5480	10.4547
ENSG00000054118	15206	240.8030	22.9810
ENSG00000054267	11073	75.0025	7.1579
ENSG00000054277	2891	62.3009	5.9457
ENSG00000054282	4237	60.5681	5.7803
ENSG00000054392	711	12.4071	1.1841
ENSG00000054523	11394	48.2974	4.6093
ENSG00000055070	22434	354.4480	33.8268
ENSG00000055732	0	0.0000	0.0000
ENSG00000057252	7557	80.5878	7.6909
ENSG00000057468	20	0.4550	0.0434
ENSG00000057757	7191	246.7060	23.5445
ENSG00000058085	0	0.0000	0.0000
ENSG00000058453	2375	14.5256	1.3863
ENSG00000058668	32851	253.4570	24.1887
ENSG00000058673	27318	211.2240	20.1582
ENSG00000058799	2736	90.7559	8.6613
ENSG00000058804	3026	44.2021	4.2184
ENSG00000059588	20064	194.3460	18.5474
ENSG00000060642	1795	39.8084	3.7991
ENSG00000060656	41	0.4607	0.0440
ENSG00000060688	4115	76.9531	7.3440
ENSG00000060718	2	0.0181	0.0017
ENSG00000064703	3205	39.9319	3.8109
ENSG00000064886	96	2.1833	0.2084
ENSG00000065135	12140	284.0000	27.1036
ENSG00000065183	2132	38.4458	3.6691
ENSG00000065243	6629	70.8842	6.7648
ENSG00000065526	51785	292.1500	27.8814
ENSG00000065600	3547	91.2996	8.7132
ENSG00000065978	61109	2374.7000	226.6301
ENSG00000066027	8889	172.5740	16.4697
ENSG00000066056	1988	22.2683	2.1252
ENSG00000066135	10359	150.2230	14.3365
ENSG00000066136	5325	66.7069	6.3662
ENSG00000066185	236	8.0551	0.7688
ENSG00000066279	3986	27.4566	2.6203
ENSG00000066294	29040	235.3330	22.4591
ENSG00000066322	8430	257.1140	24.5377
ENSG00000066557	1898	49.3464	4.7094
ENSG00000067208	2233	20.2477	1.9323
ENSG00000067334	10484	130.9400	12.4963
ENSG00000067533	1166	11.0944	1.0588
ENSG00000067606	705	6.9255	0.6609
ENSG00000067704	11055	199.2150	19.0121
ENSG00000069248	4819	71.4691	6.8207
ENSG00000069275	13085	149.9190	14.3076
ENSG00000069424	72153	665.9460	63.5547
ENSG00000069702	123	1.0703	0.1021
ENSG00000069712	567	9.1984	0.8779
ENSG00000069812	2	0.0277	0.0026
ENSG00000070759	3865	83.7746	7.9950
ENSG00000070785	2740	67.5389	6.4456
ENSG00000070831	32043	692.5720	66.0957
ENSG00000070886	13	0.1885	0.0180
ENSG00000072694	148	1.5896	0.1517
