gene	raw_counts	median_length_normalized	RPKM
ENSG00000000457	2227	43.4511	3.6157
ENSG00000000460	6430	75.8968	6.3156
ENSG00000000938	5860	124.7180	10.3782
ENSG00000000971	224	2.0631	0.1717
ENSG00000001460	652	5.7424	0.4778
ENSG00000001461	3673	29.2957	2.4378
ENSG00000004455	25896	341.7520	28.4385
ENSG00000004487	18669	409.8880	34.1082
ENSG00000006555	19	0.2353	0.0196
ENSG00000007341	3473	32.1181	2.6727
ENSG00000007908	149	2.6506	0.2206
ENSG00000007923	6809	99.2120	8.2558
ENSG00000007933	39	0.8522	0.0709
ENSG00000007968	4275	58.7543	4.8892
ENSG00000008118	4	0.1121	0.0093
ENSG00000008128	6059	96.3131	8.0146
ENSG00000008130	6520	85.2033	7.0901
ENSG00000009307	116662	1520.3500	126.5142
ENSG00000009709	4	0.0475	0.0040
ENSG00000009724	1098	19.3700	1.6118
ENSG00000009780	1150	29.9930	2.4958
ENSG00000009790	11003	106.4370	8.8570
ENSG00000010072	1613	20.4822	1.7044
ENSG00000010165	3843	75.0010	6.2411
ENSG00000010803	18514	312.2410	25.9827
ENSG00000010932	46	0.9729	0.0810
ENSG00000011007	5157	71.7455	5.9702
ENSG00000011009	4479	152.9760	12.7297
ENSG00000011021	5581	60.8090	5.0601
ENSG00000014914	1601	26.1612	2.1770
ENSG00000016490	53	1.1886	0.0989
ENSG00000016602	4	0.0885	0.0074
ENSG00000018625	11	0.1269	0.0106
ENSG00000020129	6109	93.1879	7.7545
ENSG00000020633	2281	37.1540	3.0917
ENSG00000021852	0	0.0000	0.0000
ENSG00000023572	744	42.9315	3.5725
ENSG00000023902	18507	222.5140	18.5162
ENSG00000023909	1479	20.6442	1.7179
ENSG00000024526	650	8.2515	0.6866
ENSG00000025800	15855	154.6950	12.8727
ENSG00000026751	264	4.2963	0.3575
ENSG00000027644	15	0.2233	0.0186
ENSG00000027869	202	6.0179	0.5008
ENSG00000028137	4202	83.6856	6.9638
ENSG00000031698	12051	235.6240	19.6071
ENSG00000033122	140	0.8737	0.0727
ENSG00000034971	0	0.0000	0.0000
ENSG00000035687	6318	129.2650	10.7566
ENSG00000036549	5687	47.3526	3.9404
ENSG00000037637	6134	51.2085	4.2612
ENSG00000040487	997	27.8306	2.3159
ENSG00000041988	4227	77.8632	6.4793
ENSG00000042781	2	0.0073	0.0006
ENSG00000043514	2170	53.0026	4.4105
ENSG00000044012	0	0.0000	0.0000
ENSG00000047410	20224	149.0000	12.3988
ENSG00000048707	12887	47.5044	3.9530
ENSG00000049089	4072	73.5736	6.1223
ENSG00000049239	5141	42.2909	3.5192
ENSG00000049245	9474	257.4400	21.4225
ENSG00000049246	318	3.3605	0.2796
ENSG00000049247	118	4.9591	0.4126
ENSG00000049249	170	5.5762	0.4640
ENSG00000050628	18	0.1425	0.0119
ENSG00000052723	4391	55.8697	4.6491
ENSG00000053371	5542	233.3600	19.4188
ENSG00000053372	7303	194.0840	16.1504
ENSG00000054116	5984	135.4770	11.2735
ENSG00000054118	17549	277.9080	23.1258
ENSG00000054267	16698	113.0990	9.4114
ENSG00000054277	2506	54.0046	4.4939
ENSG00000054282	12543	179.2920	14.9195
ENSG00000054392	873	15.2346	1.2677
ENSG00000054523	939	3.9803	0.3312
ENSG00000055070	23037	363.9760	30.2878
ENSG00000055732	2	0.0226	0.0019
ENSG00000057252	5585	59.5534	4.9557
ENSG00000057468	59	1.3570	0.1129
ENSG00000057757	7193	246.7990	20.5370
ENSG00000058085	0	0.0000	0.0000
ENSG00000058453	2649	16.1999	1.3481
ENSG00000058668	7898	60.9334	5.0705
ENSG00000058673	27014	208.8690	17.3807
ENSG00000058799	3307	109.6810	9.1269
ENSG00000058804	3724	54.3961	4.5265
ENSG00000059588	23895	231.4490	19.2597
ENSG00000060642	1692	37.5302	3.1230
ENSG00000060656	14	0.1567	0.0130
ENSG00000060688	5235	97.8868	8.1455
ENSG00000060718	0	0.0000	0.0000
ENSG00000064703	3497	43.5740	3.6260
ENSG00000064886	102	2.3184	0.1929
ENSG00000065135	10457	244.6330	20.3568
ENSG00000065183	3694	66.6093	5.5428
ENSG00000065243	8180	87.4698	7.2787
ENSG00000065526	27962	157.7520	13.1271
ENSG00000065600	6072	156.2810	13.0047
ENSG00000065978	93059	3616.2700	300.9232
ENSG00000066027	6176	119.9150	9.9786
ENSG00000066056	10758	120.5310	10.0298
ENSG00000066135	7527	109.1510	9.0829
ENSG00000066136	5279	66.1355	5.5034
ENSG00000066185	381	13.0200	1.0834
ENSG00000066279	3250	22.3874	1.8629
ENSG00000066294	10195	82.6160	6.8748
ENSG00000066322	8555	260.9300	21.7130
ENSG00000066557	1929	50.1682	4.1747
ENSG00000067208	1776	16.1051	1.3402
ENSG00000067334	5515	68.8788	5.7316
ENSG00000067533	2499	23.7757	1.9785
ENSG00000067606	262	2.5733	0.2141
ENSG00000067704	12921	232.8380	19.3753
ENSG00000069248	6304	93.5009	7.7805
ENSG00000069275	25672	294.1390	24.4764
ENSG00000069424	37288	344.1540	28.6383
ENSG00000069702	160	1.3844	0.1152
ENSG00000069712	610	9.8966	0.8235
ENSG00000069812	1	0.0139	0.0012
ENSG00000070759	3092	67.0214	5.5771
ENSG00000070785	4065	100.1840	8.3367
ENSG00000070831	54191	1171.2700	97.4656
ENSG00000070886	0	0.0000	0.0000
ENSG00000072694	344	3.6875	0.3069
ENSG00000073754	141	4.3041	0.3582
ENSG00000073756	1216	17.3154	1.4409
ENSG00000074800	198870	3640.5300	302.9419
ENSG00000074964	356	3.4007	0.2830
ENSG00000075151	21877	194.6580	16.1982
ENSG00000075391	771	4.8933	0.4072
ENSG00000075945	5104	76.3534	6.3536
ENSG00000076258	423	12.5987	1.0484
ENSG00000076321	2175	38.3521	3.1914
ENSG00000076356	382	2.0807	0.1731
ENSG00000076864	2318	27.4132	2.2812
ENSG00000077152	2677	188.5540	15.6903
ENSG00000077157	6285	32.7362	2.7241
ENSG00000077254	7005	75.9391	6.3192
ENSG00000077522	0	0.0000	0.0000
ENSG00000077549	37977	818.4640	68.1074
ENSG00000077585	613	20.1606	1.6776
ENSG00000078369	73808	902.1540	75.0715
ENSG00000078618	31397	355.7630	29.6043
ENSG00000078808	14572	232.6750	19.3617
ENSG00000078900	84	1.1285	0.0939
ENSG00000079277	6874	63.9671	5.3229
ENSG00000079335	4500	58.9139	4.9024
ENSG00000079739	804	14.4892	1.2057
ENSG00000080910	0	0.0000	0.0000
ENSG00000080947	1472	16.2021	1.3482
ENSG00000081019	6428	70.6954	5.8828
ENSG00000081026	469	4.2958	0.3575
ENSG00000081237	35373	311.8540	25.9505
ENSG00000081248	0	0.0000	0.0000
ENSG00000081277	0	0.0000	0.0000
ENSG00000081692	2173	37.7761	3.1435
ENSG00000081721	3937	167.5890	13.9457
ENSG00000081870	3729	101.3710	8.4355
ENSG00000081985	377	6.6782	0.5557
ENSG00000082482	0	0.0000	0.0000
ENSG00000082497	2	0.0274	0.0023
ENSG00000082512	5936	49.3443	4.1061
ENSG00000083444	5575	78.4901	6.5314
ENSG00000084070	28985	658.9400	54.8328
ENSG00000084072	6389	59.3712	4.9405
ENSG00000084073	1591	33.4099	2.7802
ENSG00000084623	35252	1532.7200	127.5428
ENSG00000084628	10	0.2511	0.0209
ENSG00000084636	46	0.3611	0.0300
ENSG00000084652	5431	79.8264	6.6426
ENSG00000085433	3153	52.1283	4.3378
ENSG00000085465	467	11.7175	0.9751
ENSG00000085491	4631	53.0473	4.4143
ENSG00000085552	58	0.6521	0.0543
ENSG00000085831	116	0.9262	0.0771
ENSG00000085832	12120	120.3820	10.0174
ENSG00000085840	5519	131.1120	10.9103
ENSG00000085998	4978	58.6417	4.8798
ENSG00000085999	2664	62.2139	5.1770
ENSG00000086015	3335	28.1805	2.3450
ENSG00000086619	2165	28.5491	2.3757
ENSG00000088035	1084	16.4325	1.3674
ENSG00000088280	17	0.2606	0.0217
ENSG00000090020	4840	60.7588	5.0560
ENSG00000090104	8910	162.3160	13.5069
ENSG00000090273	14592	383.0460	31.8747
ENSG00000090432	1655	50.9631	4.2408
ENSG00000090621	40094	443.3820	36.8955
ENSG00000090686	17364	137.1250	11.4107
ENSG00000091483	9329	326.6600	27.1825
ENSG00000092607	4	0.0788	0.0066
ENSG00000092621	1868	24.9264	2.0742
ENSG00000092847	20904	121.6660	10.1243
ENSG00000092850	240	9.1112	0.7582
ENSG00000092853	2788	38.6407	3.2154
ENSG00000092969	4	0.0580	0.0048
ENSG00000092978	2070	17.5710	1.4621
ENSG00000094963	39	0.4711	0.0392
ENSG00000094975	6979	80.9406	6.7354
ENSG00000097021	2923	44.8568	3.7327
ENSG00000097033	14643	164.4780	13.6868
ENSG00000097046	2483	51.7438	4.3058
ENSG00000097096	23	0.2707	0.0225
ENSG00000099260	5	0.0633	0.0053
ENSG00000107404	4392	94.4928	7.8631
ENSG00000116128	3961	46.2749	3.8507
ENSG00000116132	14	0.1273	0.0106
ENSG00000116133	461	7.7843	0.6478
ENSG00000116138	2392	20.9534	1.7436
ENSG00000116141	21	0.2213	0.0184
ENSG00000116147	6	0.0840	0.0070
ENSG00000116151	766	10.9715	0.9130
ENSG00000116157	14057	623.4480	51.8794
ENSG00000116161	10270	170.7910	14.2122
ENSG00000116171	9301	83.9983	6.9898
ENSG00000116183	5	0.0343	0.0029
ENSG00000116191	2889	29.1908	2.4291
ENSG00000116194	216	4.7191	0.3927
ENSG00000116198	3800	36.1901	3.0115
ENSG00000116199	5678	70.5153	5.8678
ENSG00000116205	3121	40.1795	3.3435
ENSG00000116209	23465	423.4500	35.2368
ENSG00000116212	2056	63.9581	5.3222
ENSG00000116213	2918	28.7793	2.3948
ENSG00000116218	0	0.0000	0.0000
ENSG00000116219	2	0.0744	0.0062
ENSG00000116221	18899	643.0980	53.5145
ENSG00000116237	3122	47.6854	3.9681
ENSG00000116251	65351	1000.2800	83.2366
ENSG00000116254	94	0.7157	0.0596
ENSG00000116260	17526	141.1750	11.7477
ENSG00000116266	5130	65.2718	5.4315
ENSG00000116273	855	17.4192	1.4495
ENSG00000116285	89	1.6020	0.1333
ENSG00000116288	23362	730.9750	60.8271
ENSG00000116299	57	0.4622	0.0385
ENSG00000116329	1	0.0248	0.0021
ENSG00000116337	35582	390.8430	32.5235
ENSG00000116350	13471	317.9120	26.4546
ENSG00000116353	2189	41.4116	3.4460
ENSG00000116396	1487	11.9377	0.9934
ENSG00000116406	4129	41.1109	3.4210
ENSG00000116455	5219	139.5380	11.6115
ENSG00000116459	30361	673.0910	56.0103
ENSG00000116473	7243	94.7514	7.8846
ENSG00000116478	21699	405.9360	33.7794
ENSG00000116489	10455	189.8690	15.7997
ENSG00000116497	10766	87.8651	7.3116
ENSG00000116514	3105	89.2356	7.4256
ENSG00000116521	9948	305.5170	25.4232
ENSG00000116525	828	15.6360	1.3011
ENSG00000116539	19579	110.4410	9.1902
ENSG00000116544	2656	50.0867	4.1679
ENSG00000116560	104406	1054.4700	87.7461
ENSG00000116574	799	13.7088	1.1408
ENSG00000116580	12236	75.4788	6.2809
ENSG00000116584	39774	402.3510	33.4811
ENSG00000116586	9590	500.1680	41.6208
ENSG00000116604	28867	338.2900	28.1504
ENSG00000116641	3814	26.3074	2.1891
ENSG00000116649	25642	1013.2500	84.3164
ENSG00000116652	44	2.8115	0.2340
ENSG00000116661	35	1.1183	0.0931
ENSG00000116663	1110	45.9724	3.8255
ENSG00000116667	2489	17.0221	1.4165
ENSG00000116668	1014	18.7553	1.5607
ENSG00000116670	5109	112.5930	9.3693
ENSG00000116675	810	8.7983	0.7321
ENSG00000116678	1334	8.7358	0.7269
ENSG00000116679	32992	312.0710	25.9685
ENSG00000116685	4033	92.1926	7.6717
ENSG00000116688	11268	169.7690	14.1271
ENSG00000116690	395	5.8636	0.4879
ENSG00000116691	5901	156.8890	13.0553
ENSG00000116698	23014	207.5320	17.2695
ENSG00000116701	8959	229.4790	19.0958
ENSG00000116703	41	2.2733	0.1892
ENSG00000116704	3264	34.2203	2.8476
ENSG00000116711	962	25.1040	2.0890
ENSG00000116717	2113	76.5814	6.3726
ENSG00000116721	0	0.0000	0.0000
ENSG00000116726	0	0.0000	0.0000
ENSG00000116729	12	0.1994	0.0166
ENSG00000116731	13126	90.2392	7.5091
ENSG00000116741	31434	1130.1800	94.0463
ENSG00000116745	0	0.0000	0.0000
ENSG00000116747	6056	49.9023	4.1526
ENSG00000116748	4	0.1202	0.0100
ENSG00000116750	4789	99.8063	8.3052
ENSG00000116752	3685	212.7510	17.7037
ENSG00000116754	38706	342.4460	28.4962
ENSG00000116761	231	7.1748	0.5970
ENSG00000116771	1307	39.1996	3.2619
ENSG00000116774	63	2.0861	0.1736
ENSG00000116783	399	5.1296	0.4268
ENSG00000116785	0	0.0000	0.0000
ENSG00000116786	16271	296.0490	24.6354
ENSG00000116791	1322	24.2958	2.0217
ENSG00000116793	3542	37.0538	3.0834
ENSG00000116809	8712	154.1000	12.8232
ENSG00000116815	6348	267.0210	22.2198
ENSG00000116819	388	13.2823	1.1053
ENSG00000116824	434	19.3740	1.6122
ENSG00000116830	9181	110.1560	9.1665
ENSG00000116833	124	1.1946	0.0994
ENSG00000116852	4856	29.9797	2.4947
ENSG00000116857	4057	77.7178	6.4672
ENSG00000116863	1858	83.4111	6.9409
ENSG00000116871	15644	222.6000	18.5234
ENSG00000116874	2841	55.3871	4.6090
ENSG00000116882	0	0.0000	0.0000
ENSG00000116883	1426	58.3342	4.8542
ENSG00000116885	243	6.4546	0.5371
ENSG00000116898	12815	329.6060	27.4277
ENSG00000116903	2090	30.6175	2.5478
ENSG00000116906	7369	174.1810	14.4942
ENSG00000116918	6587	78.6742	6.5468
ENSG00000116922	1041	22.0042	1.8311
ENSG00000116954	1784	25.8883	2.1543
ENSG00000116957	4608	134.5850	11.1993
ENSG00000116962	5202	66.5382	5.5369
ENSG00000116977	19751	152.5570	12.6948
ENSG00000116981	0	0.0000	0.0000
ENSG00000116983	53	0.8225	0.0684
ENSG00000116984	10113	66.5189	5.5353
ENSG00000116985	250	3.6496	0.3037
ENSG00000116990	92	1.3572	0.1129
ENSG00000116991	7851	77.0619	6.4126
ENSG00000116996	0	0.0000	0.0000
ENSG00000117000	10843	128.3710	10.6822
ENSG00000117009	1761	22.2109	1.8482
ENSG00000117010	327	8.0628	0.6709
ENSG00000117013	135	2.4169	0.2011
ENSG00000117016	374	3.8753	0.3225
ENSG00000117020	284	2.8411	0.2364
ENSG00000117036	1985	22.1976	1.8471
ENSG00000117054	7058	110.7690	9.2175
ENSG00000117069	0	0.0000	0.0000
ENSG00000117090	258	4.5940	0.3823
ENSG00000117091	7563	227.4390	18.9261
ENSG00000117114	89	0.8591	0.0715
ENSG00000117115	778	9.7186	0.8087
ENSG00000117118	13808	420.6470	35.0036
ENSG00000117122	66	1.6926	0.1409
ENSG00000117133	7907	343.1930	28.5583
ENSG00000117139	27844	227.3340	18.9173
ENSG00000117143	2215	48.7643	4.0579
ENSG00000117148	61	2.4584	0.2046
ENSG00000117151	3177	69.5905	5.7909
ENSG00000117152	0	0.0000	0.0000
ENSG00000117153	3845	81.1898	6.7561
ENSG00000117154	2	0.0486	0.0040
ENSG00000117155	779	7.0862	0.5897
ENSG00000117174	4385	53.0676	4.4159
ENSG00000117215	4	0.1123	0.0093
ENSG00000117222	2290	38.9941	3.2448
ENSG00000117226	1264	22.0533	1.8351
ENSG00000117228	115	1.7266	0.1437
ENSG00000117242	7500	126.6090	10.5356
ENSG00000117245	4213	70.6872	5.8821
ENSG00000117262	621	8.3333	0.6934
ENSG00000117266	1351	13.3633	1.1120
ENSG00000117280	1651	31.9055	2.6550
ENSG00000117281	423	7.9456	0.6612
ENSG00000117289	176748	3655.8500	304.2169
ENSG00000117298	2900	29.9385	2.4913
ENSG00000117305	3544	45.8331	3.8139
ENSG00000117308	1267	24.0271	1.9994
ENSG00000117318	709	29.5804	2.4615
ENSG00000117322	117	1.7988	0.1497
ENSG00000117335	15182	130.7630	10.8812
ENSG00000117360	10478	146.2620	12.1710
ENSG00000117362	21583	466.7680	38.8414
ENSG00000117385	9112	101.0080	8.4053
ENSG00000117394	9218	184.8120	15.3788
ENSG00000117395	7900	167.8540	13.9678
ENSG00000117399	6127	225.4660	18.7619
ENSG00000117400	6120	215.6800	17.9475
ENSG00000117407	1866	52.6527	4.3814
ENSG00000117408	4722	69.6669	5.7972
ENSG00000117410	21004	445.6350	37.0829
ENSG00000117411	4580	90.9121	7.5651
ENSG00000117419	8863	251.4100	20.9207
ENSG00000117425	1023	14.9037	1.2402
ENSG00000117448	20068	482.2440	40.1293
ENSG00000117450	20531	1011.7000	84.1870
ENSG00000117461	188	1.8386	0.1530
ENSG00000117472	2	0.0655	0.0055
ENSG00000117475	2361	46.3534	3.8572
ENSG00000117477	32	0.9159	0.0762
ENSG00000117479	924	18.8856	1.5715
ENSG00000117480	4307	116.3750	9.6839
ENSG00000117481	9190	81.3945	6.7731
ENSG00000117500	7218	57.4516	4.7808
ENSG00000117501	4	0.0733	0.0061
ENSG00000117505	10993	203.9330	16.9700
ENSG00000117507	4	0.1170	0.0097
ENSG00000117519	214	5.6843	0.4730
ENSG00000117523	60607	320.2880	26.6523
ENSG00000117525	46	1.2122	0.1009
ENSG00000117528	2513	24.5739	2.0449
ENSG00000117533	2332	33.9017	2.8211
ENSG00000117543	7687	194.1130	16.1528
ENSG00000117560	43	1.7035	0.1417
ENSG00000117569	5230	92.7543	7.7184
ENSG00000117586	125	2.3808	0.1981
ENSG00000117592	37118	1176.1100	97.8680
ENSG00000117593	4132	84.0016	6.9901
ENSG00000117594	12	0.5727	0.0476
ENSG00000117595	7	0.1173	0.0098
ENSG00000117597	939	14.0153	1.1663
ENSG00000117598	0	0.0000	0.0000
ENSG00000117600	10	0.1354	0.0113
ENSG00000117601	3	0.1265	0.0105
ENSG00000117602	2097	53.4898	4.4511
