gene	raw_counts	median_length_normalized	RPKM
ENSG00000000457	292	5.6993	1.3538
ENSG00000000460	402	4.7505	1.1285
ENSG00000000938	2002	42.6095	10.1216
ENSG00000000971	8	0.0759	0.0180
ENSG00000001460	210	1.8542	0.4405
ENSG00000001461	605	4.8281	1.1469
ENSG00000004455	2388	31.5182	7.4869
ENSG00000004487	4739	104.0490	24.7160
ENSG00000006555	55	0.6803	0.1616
ENSG00000007341	953	8.8167	2.0943
ENSG00000007908	21	0.3690	0.0877
ENSG00000007923	638	9.2984	2.2088
ENSG00000007933	276	5.9671	1.4174
ENSG00000007968	1079	14.8283	3.5224
ENSG00000008118	26	0.7287	0.1731
ENSG00000008128	3684	58.5617	13.9109
ENSG00000008130	2052	26.8108	6.3687
ENSG00000009307	44435	579.0820	137.5568
ENSG00000009709	0	0.0000	0.0000
ENSG00000009724	21	0.3703	0.0880
ENSG00000009780	2320	60.4924	14.3695
ENSG00000009790	2184	21.1240	5.0178
ENSG00000010072	1929	24.4932	5.8182
ENSG00000010165	184	3.5868	0.8520
ENSG00000010803	1822	30.7344	7.3008
ENSG00000010932	7	0.1419	0.0337
ENSG00000011007	5554	77.2693	18.3548
ENSG00000011009	1425	48.6817	11.5640
ENSG00000011021	3703	40.3431	9.5832
ENSG00000014914	181	2.9516	0.7011
ENSG00000016490	6	0.1347	0.0320
ENSG00000016602	1	0.0214	0.0051
ENSG00000018625	81	0.9701	0.2305
ENSG00000020129	196	2.9833	0.7087
ENSG00000020633	15166	246.9990	58.6728
ENSG00000021852	0	0.0077	0.0018
ENSG00000023572	113	6.5019	1.5444
ENSG00000023902	6723	80.8290	19.2003
ENSG00000023909	332	4.6353	1.1011
ENSG00000024526	35	0.4504	0.1070
ENSG00000025800	7800	76.1051	18.0782
ENSG00000026751	268	4.3627	1.0363
ENSG00000027644	0	0.0000	0.0000
ENSG00000027869	124	3.7162	0.8828
ENSG00000028137	5121	101.9810	24.2250
ENSG00000031698	2455	47.9909	11.3999
ENSG00000033122	50	0.3140	0.0746
ENSG00000034971	23	0.8272	0.1965
ENSG00000035687	894	18.2886	4.3443
ENSG00000036549	2291	19.0748	4.5311
ENSG00000037637	2534	21.1544	5.0251
ENSG00000040487	496	13.8459	3.2890
ENSG00000041988	636	11.7159	2.7830
ENSG00000042781	141	0.5140	0.1221
ENSG00000043514	629	15.3722	3.6516
ENSG00000044012	2	0.2513	0.0597
ENSG00000047410	8673	63.9006	15.1791
ENSG00000048707	3807	14.0344	3.3338
ENSG00000049089	794	14.3443	3.4074
ENSG00000049239	2956	24.3206	5.7772
ENSG00000049245	8557	232.5140	55.2320
ENSG00000049246	176	1.8608	0.4420
ENSG00000049247	19	0.8160	0.1938
ENSG00000049249	46	1.5026	0.3569
ENSG00000050628	19	0.1464	0.0348
ENSG00000052723	3068	39.0375	9.2731
ENSG00000053371	2503	105.3970	25.0363
ENSG00000053372	414	10.9996	2.6129
ENSG00000054116	1153	26.0978	6.1994
ENSG00000054118	3913	61.9666	14.7197
ENSG00000054267	15270	103.4260	24.5680
ENSG00000054277	1027	22.1299	5.2568
ENSG00000054282	811	11.5874	2.7525
ENSG00000054392	315	5.5019	1.3069
ENSG00000054523	3061	12.9765	3.0825
ENSG00000055070	9949	157.1960	37.3407
ENSG00000055732	25	0.2837	0.0674
ENSG00000057252	2363	25.2039	5.9870
ENSG00000057468	150	3.4544	0.8206
ENSG00000057757	3025	103.7980	24.6564
ENSG00000058085	26	0.2936	0.0697
ENSG00000058453	705	4.3128	1.0245
ENSG00000058668	2465	19.0186	4.5177
ENSG00000058673	15157	117.1900	27.8376
ENSG00000058799	1087	36.0531	8.5641
ENSG00000058804	1070	15.6261	3.7119
ENSG00000059588	8406	81.4228	19.3414
ENSG00000060642	364	8.0645	1.9156
ENSG00000060656	22	0.2497	0.0593
ENSG00000060688	2823	52.7913	12.5402
ENSG00000060718	49	0.4490	0.1067
ENSG00000064703	4150	51.7127	12.2840
ENSG00000064886	181	4.1272	0.9804
ENSG00000065135	5518	129.0950	30.6655
ENSG00000065183	293	5.2770	1.2535
ENSG00000065243	3613	38.6380	9.1782
ENSG00000065526	36748	207.3210	49.2476
ENSG00000065600	846	21.7618	5.1694
ENSG00000065978	28974	1125.9300	267.4563
ENSG00000066027	9099	176.6590	41.9641
ENSG00000066056	305	3.4181	0.8120
ENSG00000066135	914	13.2577	3.1493
ENSG00000066136	1653	20.7084	4.9191
ENSG00000066185	17	0.5900	0.1402
ENSG00000066279	626	4.3095	1.0237
ENSG00000066294	4214	34.1462	8.1112
ENSG00000066322	3273	99.8414	23.7166
ENSG00000066557	3012	78.3395	18.6089
ENSG00000067208	1013	9.1860	2.1821
ENSG00000067334	5780	72.1918	17.1486
ENSG00000067533	1398	13.3005	3.1594
ENSG00000067606	68	0.6693	0.1590
ENSG00000067704	4126	74.3491	17.6611
ENSG00000069248	2827	41.9229	9.9585
ENSG00000069275	4637	53.1303	12.6207
ENSG00000069424	3332	30.7549	7.3056
ENSG00000069702	1875	16.2528	3.8607
ENSG00000069712	210	3.4125	0.8106
ENSG00000069812	4	0.0555	0.0132
ENSG00000070759	617	13.3699	3.1759
ENSG00000070785	337	8.2941	1.9702
ENSG00000070831	26303	568.5160	135.0469
ENSG00000070886	0	0.0028	0.0007
ENSG00000072694	1675	17.9560	4.2653
ENSG00000073754	2	0.0537	0.0128
ENSG00000073756	1708	24.3188	5.7768
ENSG00000074800	22752	416.5000	98.9366
ENSG00000074964	236	2.2564	0.5360
ENSG00000075151	5213	46.3825	11.0178
ENSG00000075391	399	2.5323	0.6015
ENSG00000075945	662	9.9081	2.3536
ENSG00000076258	67	1.9984	0.4747
ENSG00000076321	1204	21.2210	5.0409
ENSG00000076356	66	0.3588	0.0852
ENSG00000076864	65	0.7660	0.1820
ENSG00000077152	370	26.0282	6.1828
ENSG00000077157	1643	8.5583	2.0330
ENSG00000077254	3497	37.9157	9.0066
ENSG00000077522	23	0.3165	0.0752
ENSG00000077549	6558	141.3440	33.5752
ENSG00000077585	787	25.9114	6.1551
ENSG00000078369	13500	165.0110	39.1972
ENSG00000078618	3054	34.6076	8.2208
ENSG00000078808	2158	34.4573	8.1851
ENSG00000078900	71	0.9617	0.2284
ENSG00000079277	2712	25.2321	5.9937
ENSG00000079335	5210	68.2063	16.2019
ENSG00000079739	640	11.5327	2.7395
ENSG00000080910	6	0.3806	0.0905
ENSG00000080947	398	4.3841	1.0414
ENSG00000081019	5857	64.4199	15.3025
ENSG00000081026	85	0.7778	0.1848
ENSG00000081237	35206	310.3880	73.7304
ENSG00000081248	1	0.0122	0.0029
ENSG00000081277	0	0.0000	0.0000
ENSG00000081692	321	5.5838	1.3264
ENSG00000081721	3352	142.6830	33.8932
ENSG00000081870	1178	32.0225	7.6067
ENSG00000081985	24	0.4205	0.0999
ENSG00000082482	6	0.1151	0.0273
ENSG00000082497	106	1.4500	0.3444
ENSG00000082512	2171	18.0479	4.2871
ENSG00000083444	804	11.3197	2.6889
ENSG00000084070	4862	110.5230	26.2538
ENSG00000084072	1309	12.1632	2.8893
ENSG00000084073	2206	46.3197	11.0029
ENSG00000084623	10170	442.1570	105.0312
ENSG00000084628	15	0.3847	0.0914
ENSG00000084636	6	0.0471	0.0112
ENSG00000084652	1847	27.1450	6.4481
ENSG00000085433	3780	62.5037	14.8473
ENSG00000085465	180	4.5201	1.0737
ENSG00000085491	2584	29.5959	7.0303
ENSG00000085552	2	0.0227	0.0054
ENSG00000085831	28	0.2207	0.0524
ENSG00000085832	4741	47.0887	11.1856
ENSG00000085840	503	11.9471	2.8379
ENSG00000085998	662	7.7944	1.8515
ENSG00000085999	200	4.6781	1.1113
ENSG00000086015	2199	18.5820	4.4140
ENSG00000086619	2111	27.8319	6.6113
ENSG00000088035	587	8.9001	2.1141
ENSG00000088280	22	0.3354	0.0797
ENSG00000090020	2651	33.2813	7.9057
ENSG00000090104	6119	111.4760	26.4802
ENSG00000090273	3376	88.6248	21.0521
ENSG00000090432	1661	51.1461	12.1494
ENSG00000090621	9599	106.1540	25.2162
ENSG00000090686	4031	31.8301	7.5610
