gene	raw_counts	median_length_normalized	RPKM
ENSG00000000457	909	17.7438	1.8956
ENSG00000000460	1104	13.0266	1.3917
ENSG00000000938	13171	280.3180	29.9469
ENSG00000000971	150	1.3827	0.1477
ENSG00000001460	438	3.8603	0.4124
ENSG00000001461	2197	17.5230	1.8720
ENSG00000004455	9767	128.9000	13.7706
ENSG00000004487	12069	264.9870	28.3091
ENSG00000006555	6	0.0743	0.0079
ENSG00000007341	1979	18.3035	1.9554
ENSG00000007908	1	0.0178	0.0019
ENSG00000007923	3353	48.8580	5.2196
ENSG00000007933	19	0.4112	0.0439
ENSG00000007968	6647	91.3539	9.7595
ENSG00000008118	1	0.0306	0.0033
ENSG00000008128	5779	91.8618	9.8138
ENSG00000008130	9336	122.0030	13.0338
ENSG00000009307	80370	1047.3900	111.8948
ENSG00000009709	0	0.0054	0.0006
ENSG00000009724	530	9.3484	0.9987
ENSG00000009780	720	18.7643	2.0046
ENSG00000009790	5708	55.2175	5.8990
ENSG00000010072	1303	16.5523	1.7683
ENSG00000010165	2050	40.0021	4.2735
ENSG00000010803	7311	123.3090	13.1733
ENSG00000010932	30	0.6312	0.0674
ENSG00000011007	5185	72.1376	7.7066
ENSG00000011009	3001	102.5040	10.9507
ENSG00000011021	5084	55.3886	5.9173
ENSG00000014914	686	11.2132	1.1979
ENSG00000016490	0	0.0000	0.0000
ENSG00000016602	4	0.0921	0.0098
ENSG00000018625	12	0.1453	0.0155
ENSG00000020129	1966	29.9856	3.2034
ENSG00000020633	7136	116.2230	12.4163
ENSG00000021852	0	0.0000	0.0000
ENSG00000023572	448	25.8661	2.7633
ENSG00000023902	10251	123.2470	13.1667
ENSG00000023909	1288	17.9693	1.9197
ENSG00000024526	280	3.5537	0.3797
ENSG00000025800	11021	107.5340	11.4880
ENSG00000026751	196	3.1883	0.3406
ENSG00000027644	11	0.1566	0.0167
ENSG00000027869	117	3.4861	0.3724
ENSG00000028137	13565	270.1530	28.8610
ENSG00000031698	9299	181.8150	19.4237
ENSG00000033122	85	0.5331	0.0569
ENSG00000034971	0	0.0000	0.0000
ENSG00000035687	2692	55.0704	5.8833
ENSG00000036549	3290	27.3925	2.9264
ENSG00000037637	6582	54.9462	5.8700
ENSG00000040487	1162	32.4583	3.4676
ENSG00000041988	2495	45.9467	4.9086
ENSG00000042781	2	0.0073	0.0008
ENSG00000043514	1206	29.4490	3.1461
ENSG00000044012	0	0.0000	0.0000
ENSG00000047410	9638	71.0085	7.5860
ENSG00000048707	6399	23.5885	2.5200
ENSG00000049089	3883	70.1510	7.4944
ENSG00000049239	3549	29.1952	3.1190
ENSG00000049245	11548	313.8070	33.5246
ENSG00000049246	122	1.2925	0.1381
ENSG00000049247	84	3.5143	0.3755
ENSG00000049249	118	3.8779	0.4143
ENSG00000050628	8	0.0622	0.0066
ENSG00000052723	2660	33.8431	3.6155
ENSG00000053371	4123	173.6380	18.5501
ENSG00000053372	3191	84.8016	9.0595
ENSG00000054116	3415	77.3100	8.2592
ENSG00000054118	10996	174.1370	18.6034
