gene	raw_counts	median_length_normalized	RPKM
ENSG00000000457	764	14.9061	1.2291
ENSG00000000460	1348	15.9152	1.3123
ENSG00000000938	51026	1085.9600	89.5422
ENSG00000000971	964	8.8786	0.7321
ENSG00000001460	838	7.3850	0.6089
ENSG00000001461	4884	38.9535	3.2119
ENSG00000004455	48418	638.9800	52.6868
ENSG00000004487	14894	327.0090	26.9634
ENSG00000006555	31	0.3884	0.0320
ENSG00000007341	1831	16.9282	1.3958
ENSG00000007908	4	0.0711	0.0059
ENSG00000007923	6435	93.7661	7.7314
ENSG00000007933	12	0.2599	0.0214
ENSG00000007968	2800	38.4779	3.1727
ENSG00000008118	0	0.0000	0.0000
ENSG00000008128	4711	74.8830	6.1744
ENSG00000008130	14254	186.2770	15.3594
ENSG00000009307	60349	786.4730	64.8483
ENSG00000009709	0	0.0000	0.0000
ENSG00000009724	414	7.3119	0.6029
ENSG00000009780	715	18.6523	1.5380
ENSG00000009790	9080	87.8407	7.2429
ENSG00000010072	1587	20.1583	1.6621
ENSG00000010165	3331	64.9992	5.3595
ENSG00000010803	11409	192.4100	15.8651
ENSG00000010932	28	0.5893	0.0486
ENSG00000011007	9271	128.9720	10.6344
ENSG00000011009	7087	242.0290	19.9564
ENSG00000011021	4344	47.3309	3.9027
ENSG00000014914	606	9.9042	0.8166
ENSG00000016490	0	0.0000	0.0000
ENSG00000016602	0	0.0000	0.0000
ENSG00000018625	0	0.0000	0.0000
ENSG00000020129	7963	121.4650	10.0153
ENSG00000020633	6500	105.8570	8.7284
ENSG00000021852	6	0.1649	0.0136
ENSG00000023572	763	44.0554	3.6326
ENSG00000023902	21246	255.4450	21.0626
ENSG00000023909	566	7.9019	0.6516
ENSG00000024526	69	0.8814	0.0727
ENSG00000025800	11723	114.3770	9.4309
ENSG00000026751	307	4.9957	0.4119
ENSG00000027644	8	0.1176	0.0097
ENSG00000027869	1033	30.8344	2.5424
ENSG00000028137	31492	627.1600	51.7122
ENSG00000031698	17363	339.4740	27.9912
ENSG00000033122	13	0.0807	0.0067
ENSG00000034971	0	0.0000	0.0000
ENSG00000035687	3362	68.7851	5.6716
ENSG00000036549	2147	17.8747	1.4738
ENSG00000037637	7811	65.2113	5.3770
ENSG00000040487	2562	71.5417	5.8989
ENSG00000041988	3747	69.0088	5.6901
ENSG00000042781	0	0.0000	0.0000
ENSG00000043514	973	23.7633	1.9594
ENSG00000044012	0	0.0000	0.0000
ENSG00000047410	10292	75.8238	6.2520
ENSG00000048707	9995	36.8438	3.0379
ENSG00000049089	7512	135.7250	11.1911
ENSG00000049239	12921	106.2920	8.7643
ENSG00000049245	13448	365.4440	30.1325
ENSG00000049246	105	1.1077	0.0913
ENSG00000049247	5	0.2092	0.0172
ENSG00000049249	52	1.7207	0.1419
ENSG00000050628	104	0.8076	0.0666
ENSG00000052723	1774	22.5730	1.8612
ENSG00000053371	13760	579.4340	47.7770
ENSG00000053372	6824	181.3590	14.9538
ENSG00000054116	10064	227.8270	18.7854
ENSG00000054118	12192	193.0770	15.9200
ENSG00000054267	5174	35.0470	2.8898
ENSG00000054277	6724	144.9060	11.9482
ENSG00000054282	3379	48.2967	3.9823
ENSG00000054392	1303	22.7500	1.8758
ENSG00000054523	2431	10.3035	0.8496
ENSG00000055070	34507	545.1940	44.9537
ENSG00000055732	0	0.0000	0.0000
ENSG00000057252	3610	38.4989	3.1744
ENSG00000057468	10	0.2223	0.0183
ENSG00000057757	6968	239.0710	19.7125
ENSG00000058085	0	0.0000	0.0000
ENSG00000058453	2428	14.8466	1.2242
ENSG00000058668	25390	195.8910	16.1521
ENSG00000058673	14278	110.3990	9.1029
ENSG00000058799	3678	122.0160	10.0608
ENSG00000058804	4108	59.9947	4.9468
ENSG00000059588	14909	144.4090	11.9072
ENSG00000060642	2152	47.7295	3.9355
ENSG00000060656	115	1.2918	0.1065
ENSG00000060688	3812	71.2872	5.8780
ENSG00000060718	0	0.0000	0.0000
ENSG00000064703	1753	21.8447	1.8012
ENSG00000064886	142	3.2300	0.2663
ENSG00000065135	6791	158.8750	13.1000
ENSG00000065183	1817	32.7670	2.7018
ENSG00000065243	1697	18.1511	1.4966
ENSG00000065526	35664	201.2060	16.5903
ENSG00000065600	4590	118.1440	9.7415
ENSG00000065978	89698	3485.6900	287.4111
ENSG00000066027	7083	137.5240	11.3395
ENSG00000066056	8629	96.6749	7.9713
ENSG00000066135	7371	106.8820	8.8129
ENSG00000066136	5480	68.6461	5.6602
ENSG00000066185	451	15.3977	1.2696
ENSG00000066279	826	5.6922	0.4693
ENSG00000066294	7551	61.1929	5.0456
ENSG00000066322	11460	349.5420	28.8213
ENSG00000066557	475	12.3502	1.0183
ENSG00000067208	450	4.0803	0.3364
ENSG00000067334	5015	62.6390	5.1649
ENSG00000067533	731	6.9579	0.5737
ENSG00000067606	2211	21.7165	1.7906
ENSG00000067704	10532	189.7970	15.6496
ENSG00000069248	3284	48.7113	4.0165
ENSG00000069275	17015	194.9470	16.0743
ENSG00000069424	90360	833.9880	68.7661
ENSG00000069702	159	1.3799	0.1138
ENSG00000069712	119	1.9384	0.1598
ENSG00000069812	24	0.3325	0.0274
ENSG00000070759	3327	72.1104	5.9458
ENSG00000070785	2344	57.7644	4.7629
ENSG00000070831	47261	1021.4900	84.2261
ENSG00000070886	4	0.0560	0.0046
ENSG00000072694	794	8.5074	0.7015
ENSG00000073754	11	0.3359	0.0277
ENSG00000073756	4503	64.1004	5.2854
ENSG00000074800	436505	7990.6900	658.8689
ENSG00000074964	2964	28.3310	2.3360
ENSG00000075151	13407	119.2890	9.8359
ENSG00000075391	898	5.7016	0.4701
ENSG00000075945	1321	19.7627	1.6295
ENSG00000076258	519	15.4768	1.2761
ENSG00000076321	980	17.2821	1.4250
ENSG00000076356	766	4.1708	0.3439
ENSG00000076864	391	4.6279	0.3816
ENSG00000077152	1233	86.8188	7.1586
ENSG00000077157	3385	17.6326	1.4539
ENSG00000077254	2260	24.5022	2.0203
ENSG00000077522	0	0.0000	0.0000
ENSG00000077549	50007	1077.7300	88.8637
ENSG00000077585	635	20.8877	1.7223
ENSG00000078369	80129	979.4090	80.7567
ENSG00000078618	19324	218.9660	18.0547
ENSG00000078808	32997	526.8830	43.4439
ENSG00000078900	2605	35.1683	2.8998
ENSG00000079277	10018	93.2222	7.6866
ENSG00000079335	1263	16.5305	1.3630
ENSG00000079739	10069	181.3590	14.9539
ENSG00000080910	0	0.0000	0.0000
