gene	raw_counts	median_length_normalized	RPKM
ENSG00000000457	203	3.9529	0.9740
ENSG00000000460	570	6.7306	1.6583
ENSG00000000938	9537	202.9720	50.0103
ENSG00000000971	76	0.6982	0.1720
ENSG00000001460	126	1.1065	0.2726
ENSG00000001461	295	2.3526	0.5797
ENSG00000004455	5495	72.5235	17.8691
ENSG00000004487	3339	73.3159	18.0643
ENSG00000006555	52	0.6441	0.1587
ENSG00000007341	762	7.0457	1.7360
ENSG00000007908	22	0.3871	0.0954
ENSG00000007923	2112	30.7806	7.5841
ENSG00000007933	195	4.2235	1.0406
ENSG00000007968	2278	31.3121	7.7150
ENSG00000008118	3	0.0886	0.0218
ENSG00000008128	3334	53.0008	13.0589
ENSG00000008130	4247	55.4982	13.6742
ENSG00000009307	43247	563.6040	138.8668
ENSG00000009709	0	0.0000	0.0000
ENSG00000009724	45	0.7953	0.1960
ENSG00000009780	894	23.3088	5.7430
ENSG00000009790	3605	34.8719	8.5921
ENSG00000010072	977	12.4130	3.0584
ENSG00000010165	72	1.4036	0.3458
ENSG00000010803	2086	35.1758	8.6670
ENSG00000010932	23	0.4740	0.1168
ENSG00000011007	1693	23.5492	5.8023
ENSG00000011009	2413	82.4080	20.3046
ENSG00000011021	5398	58.8155	14.4916
ENSG00000014914	7808	127.5550	31.4284
ENSG00000016490	0	0.0000	0.0000
ENSG00000016602	0	0.0000	0.0000
ENSG00000018625	43	0.5079	0.1251
ENSG00000020129	844	12.8806	3.1737
ENSG00000020633	14469	235.6450	58.0606
ENSG00000021852	2	0.0682	0.0168
ENSG00000023572	109	6.2995	1.5522
ENSG00000023902	7819	94.0042	23.1617
ENSG00000023909	305	4.2533	1.0480
ENSG00000024526	197	2.5036	0.6169
ENSG00000025800	7927	77.3428	19.0565
ENSG00000026751	325	5.2930	1.3041
ENSG00000027644	6	0.0882	0.0217
ENSG00000027869	236	7.0577	1.7390
ENSG00000028137	3839	76.4474	18.8359
ENSG00000031698	3781	73.9218	18.2136
ENSG00000033122	21	0.1313	0.0324
ENSG00000034971	8	0.2770	0.0682
ENSG00000035687	871	17.8164	4.3898
ENSG00000036549	1525	12.6978	3.1286
ENSG00000037637	2196	18.3307	4.5165
ENSG00000040487	1201	33.5343	8.2625
ENSG00000041988	826	15.2213	3.7504
ENSG00000042781	138	0.5038	0.1241
ENSG00000043514	741	18.0853	4.4560
ENSG00000044012	0	0.0000	0.0000
ENSG00000047410	6530	48.1076	11.8533
ENSG00000048707	3162	11.6552	2.8717
ENSG00000049089	1348	24.3611	6.0024
ENSG00000049239	692	5.6939	1.4029
