gene	raw_counts	median_length_normalized	RPKM
ENSG00000000457	809	15.7828	1.9227
ENSG00000000460	612	7.2269	0.8804
ENSG00000000938	8143	173.2970	21.1114
ENSG00000000971	0	0.0000	0.0000
ENSG00000001460	151	1.3271	0.1617
ENSG00000001461	565	4.5023	0.5485
ENSG00000004455	2542	33.5501	4.0871
ENSG00000004487	7134	156.6260	19.0806
ENSG00000006555	44	0.5434	0.0662
ENSG00000007341	1109	10.2566	1.2495
ENSG00000007908	0	0.0000	0.0000
ENSG00000007923	881	12.8319	1.5632
ENSG00000007933	0	0.0000	0.0000
ENSG00000007968	4335	59.5749	7.2576
ENSG00000008118	0	0.0000	0.0000
ENSG00000008128	4777	75.9390	9.2511
ENSG00000008130	6495	84.8799	10.3403
ENSG00000009307	144465	1882.6800	229.3529
ENSG00000009709	0	0.0000	0.0000
ENSG00000009724	0	0.0000	0.0000
ENSG00000009780	965	25.1711	3.0664
ENSG00000009790	2728	26.3853	3.2143
ENSG00000010072	3922	49.8095	6.0679
ENSG00000010165	402	7.8441	0.9556
ENSG00000010803	8061	135.9460	16.5613
ENSG00000010932	0	0.0000	0.0000
ENSG00000011007	6874	95.6249	11.6493
ENSG00000011009	1822	62.2404	7.5823
ENSG00000011021	5280	57.5216	7.0074
ENSG00000014914	1183	19.3195	2.3535
ENSG00000016490	0	0.0000	0.0000
ENSG00000016602	2	0.0411	0.0050
ENSG00000018625	2	0.0238	0.0029
ENSG00000020129	267	4.0663	0.4954
ENSG00000020633	5861	95.4528	11.6283
ENSG00000021852	0	0.0000	0.0000
ENSG00000023572	419	24.1832	2.9460
ENSG00000023902	19526	234.7620	28.5992
ENSG00000023909	536	7.4743	0.9105
ENSG00000024526	147	1.8686	0.2276
ENSG00000025800	21540	210.1580	25.6019
ENSG00000026751	255	4.1599	0.5068
ENSG00000027644	30	0.4444	0.0541
ENSG00000027869	263	7.8448	0.9557
ENSG00000028137	23974	477.4380	58.1626
ENSG00000031698	4385	85.7291	10.4437
ENSG00000033122	13	0.0812	0.0099
ENSG00000034971	0	0.0000	0.0000
ENSG00000035687	2758	56.4146	6.8726
ENSG00000036549	6635	55.2443	6.7300
ENSG00000037637	7934	66.2354	8.0690
ENSG00000040487	481	13.4445	1.6378
ENSG00000041988	459	8.4632	1.0310
ENSG00000042781	0	0.0000	0.0000
ENSG00000043514	934	22.8092	2.7787
ENSG00000044012	0	0.0000	0.0000
ENSG00000047410	13962	102.8630	12.5310
ENSG00000048707	5180	19.0956	2.3263
ENSG00000049089	793	14.3305	1.7458
ENSG00000049239	1870	15.3820	1.8739
ENSG00000049245	15414	418.8680	51.0275
ENSG00000049246	78	0.8225	0.1002
ENSG00000049247	11	0.4627	0.0564
ENSG00000049249	21	0.7036	0.0857
ENSG00000050628	12	0.0932	0.0114
ENSG00000052723	5560	70.7552	8.6196
ENSG00000053371	1469	61.8568	7.5355
ENSG00000053372	643	17.0928	2.0823
ENSG00000054116	1471	33.3073	4.0576
ENSG00000054118	14626	231.6190	28.2164
ENSG00000054267	26224	177.6230	21.6384
ENSG00000054277	408	8.7911	1.0710
ENSG00000054282	2266	32.3957	3.9465
