gene	raw_counts	median_length_normalized	RPKM
ENSG00000000457	710	13.8543	1.7968
ENSG00000000460	193	2.2767	0.2953
ENSG00000000938	6324	134.5960	17.4565
ENSG00000000971	2	0.0184	0.0024
ENSG00000001460	70	0.6166	0.0800
ENSG00000001461	383	3.0553	0.3963
ENSG00000004455	1339	17.6715	2.2919
ENSG00000004487	12784	280.6720	36.4017
ENSG00000006555	22	0.2669	0.0346
ENSG00000007341	676	6.2519	0.8108
ENSG00000007908	0	0.0000	0.0000
ENSG00000007923	1418	20.6586	2.6793
ENSG00000007933	0	0.0000	0.0000
ENSG00000007968	2698	37.0762	4.8086
ENSG00000008118	4	0.1121	0.0145
ENSG00000008128	10580	168.1840	21.8127
ENSG00000008130	4658	60.8752	7.8952
ENSG00000009307	137811	1795.9800	232.9290
ENSG00000009709	0	0.0000	0.0000
ENSG00000009724	30	0.5293	0.0686
ENSG00000009780	1278	33.3220	4.3217
ENSG00000009790	3394	32.8310	4.2580
ENSG00000010072	3342	42.4431	5.5046
ENSG00000010165	481	9.3966	1.2187
ENSG00000010803	4257	71.8010	9.3122
ENSG00000010932	1	0.0210	0.0027
ENSG00000011007	8746	121.6710	15.7801
ENSG00000011009	1860	63.5383	8.2406
ENSG00000011021	9663	105.2790	13.6542
ENSG00000014914	2850	46.5552	6.0380
ENSG00000016490	0	0.0000	0.0000
ENSG00000016602	0	0.0000	0.0000
ENSG00000018625	0	0.0040	0.0005
ENSG00000020129	161	2.4543	0.3183
ENSG00000020633	3345	54.4782	7.0655
ENSG00000021852	0	0.0000	0.0000
ENSG00000023572	322	18.5681	2.4082
ENSG00000023902	24782	297.9510	38.6427
ENSG00000023909	420	5.8653	0.7607
ENSG00000024526	409	5.1933	0.6735
ENSG00000025800	32708	319.1190	41.3881
ENSG00000026751	475	7.7443	1.0044
ENSG00000027644	6	0.0821	0.0107
ENSG00000027869	109	3.2687	0.4239
ENSG00000028137	18299	364.4210	47.2636
ENSG00000031698	4572	89.3900	11.5934
ENSG00000033122	0	0.0000	0.0000
ENSG00000034971	0	0.0000	0.0000
ENSG00000035687	1358	27.7818	3.6031
ENSG00000036549	5278	43.9449	5.6994
