gene	raw_counts	median_length_normalized	RPKM
ENSG00000000457	1036	20.2227	2.1098
ENSG00000000460	950	11.2170	1.1702
ENSG00000000938	9423	200.5550	20.9231
ENSG00000000971	16	0.1472	0.0154
ENSG00000001460	572	5.0359	0.5254
ENSG00000001461	1588	12.6688	1.3217
ENSG00000004455	26235	346.2250	36.1203
ENSG00000004487	10513	230.8100	24.0795
ENSG00000006555	20	0.2472	0.0258
ENSG00000007341	2208	20.4209	2.1304
ENSG00000007908	1	0.0235	0.0024
ENSG00000007923	2124	30.9450	3.2284
ENSG00000007933	1	0.0217	0.0023
ENSG00000007968	2428	33.3751	3.4819
ENSG00000008118	7	0.1962	0.0205
ENSG00000008128	3889	61.8251	6.4500
ENSG00000008130	12576	164.3490	17.1459
ENSG00000009307	84991	1107.6100	115.5529
ENSG00000009709	0	0.0000	0.0000
ENSG00000009724	895	15.7857	1.6469
ENSG00000009780	1260	32.8672	3.4289
ENSG00000009790	3599	34.8162	3.6322
ENSG00000010072	2160	27.4274	2.8614
ENSG00000010165	671	13.1038	1.3671
ENSG00000010803	6764	114.0760	11.9011
ENSG00000010932	45	0.9460	0.0987
ENSG00000011007	4585	63.7843	6.6544
ENSG00000011009	2458	83.9622	8.7594
ENSG00000011021	4339	47.2718	4.9317
ENSG00000014914	5005	81.7661	8.5303
ENSG00000016490	0	0.0000	0.0000
ENSG00000016602	2	0.0411	0.0043
ENSG00000018625	4	0.0438	0.0046
ENSG00000020129	820	12.5001	1.3041
ENSG00000020633	33690	548.6960	57.2433
ENSG00000021852	9	0.2473	0.0258
ENSG00000023572	573	33.0939	3.4526
ENSG00000023902	12648	152.0650	15.8644
ENSG00000023909	947	13.2105	1.3782
ENSG00000024526	129	1.6369	0.1708
ENSG00000025800	14554	141.9970	14.8140
ENSG00000026751	212	3.4577	0.3607
ENSG00000027644	206	3.0290	0.3160
ENSG00000027869	227	6.7655	0.7058
ENSG00000028137	6485	129.1570	13.4744
ENSG00000031698	5331	104.2260	10.8735
ENSG00000033122	172	1.0749	0.1121
ENSG00000034971	0	0.0000	0.0000
ENSG00000035687	2714	55.5226	5.7925
ENSG00000036549	3586	29.8596	3.1151
ENSG00000037637	6848	57.1691	5.9642
ENSG00000040487	2693	75.1824	7.8435
ENSG00000041988	2248	41.3964	4.3187
ENSG00000042781	16	0.0570	0.0059
ENSG00000043514	546	13.3367	1.3914
ENSG00000044012	0	0.0000	0.0000
ENSG00000047410	9596	70.7006	7.3759
ENSG00000048707	12156	44.8093	4.6748
ENSG00000049089	5016	90.6249	9.4545
ENSG00000049239	20437	168.1250	17.5398
ENSG00000049245	16901	459.2680	47.9137
ENSG00000049246	200	2.1081	0.2199
ENSG00000049247	617	25.9546	2.7078
ENSG00000049249	168	5.5245	0.5764
ENSG00000050628	1060	8.2385	0.8595
ENSG00000052723	4552	57.9296	6.0436
ENSG00000053371	9140	384.8850	40.1536
ENSG00000053372	2807	74.6056	7.7833
ENSG00000054116	3868	87.5717	9.1360
ENSG00000054118	30972	490.4760	51.1694
ENSG00000054267	15937	107.9460	11.2616
ENSG00000054277	1803	38.8557	4.0537
ENSG00000054282	2526	36.1084	3.7671
ENSG00000054392	555	9.6934	1.0113
ENSG00000054523	10838	45.9436	4.7931
ENSG00000055070	21374	337.6960	35.2305
ENSG00000055732	11	0.1229	0.0128
ENSG00000057252	8559	91.2713	9.5220
ENSG00000057468	56	1.2872	0.1343
ENSG00000057757	6879	236.0050	24.6215
ENSG00000058085	0	0.0000	0.0000
ENSG00000058453	1635	9.9951	1.0427
ENSG00000058668	9548	73.6617	7.6848
ENSG00000058673	23202	179.3980	18.7159
ENSG00000058799	1045	34.6762	3.6176
ENSG00000058804	2226	32.5056	3.3912
ENSG00000059588	21999	213.0870	22.2306
ENSG00000060642	1608	35.6656	3.7209
ENSG00000060656	630	7.0503	0.7355
ENSG00000060688	2611	48.8180	5.0930
ENSG00000060718	0	0.0000	0.0000
ENSG00000064703	4080	50.8342	5.3033
ENSG00000064886	125	2.8392	0.2962
ENSG00000065135	10981	256.8860	26.7999
ENSG00000065183	605	10.9106	1.1383
ENSG00000065243	4799	51.3188	5.3539
ENSG00000065526	80386	453.5110	47.3130
ENSG00000065600	4885	125.7210	13.1160
ENSG00000065978	82441	3203.6700	334.2261
ENSG00000066027	14442	280.3960	29.2527
ENSG00000066056	195	2.1900	0.2285
ENSG00000066135	7707	111.7560	11.6591
ENSG00000066136	4544	56.9248	5.9387
ENSG00000066185	225	7.6715	0.8003
ENSG00000066279	1353	9.3237	0.9727
ENSG00000066294	30765	249.3090	26.0094
ENSG00000066322	3593	109.5900	11.4332
ENSG00000066557	1702	44.2628	4.6178
ENSG00000067208	3418	30.9927	3.2333
ENSG00000067334	3662	45.7344	4.7713
ENSG00000067533	915	8.7098	0.9087
ENSG00000067606	324	3.1865	0.3324
ENSG00000067704	8533	153.7630	16.0415
ENSG00000069248	3172	47.0411	4.9076
ENSG00000069275	14352	164.4320	17.1546
ENSG00000069424	9739	89.8916	9.3780
ENSG00000069702	1187	10.2854	1.0730
ENSG00000069712	45	0.7255	0.0757
ENSG00000069812	2307	32.0009	3.3385
ENSG00000070759	1616	35.0231	3.6538
ENSG00000070785	889	21.9195	2.2868
ENSG00000070831	59767	1291.7900	134.7673
ENSG00000070886	5	0.0700	0.0073
ENSG00000072694	5468	58.6215	6.1157
ENSG00000073754	10	0.3054	0.0319
ENSG00000073756	469	6.6781	0.6967
ENSG00000074800	276630	5064.0200	528.3092
ENSG00000074964	1167	11.1557	1.1638
ENSG00000075151	8332	74.1409	7.7348
ENSG00000075391	1345	8.5367	0.8906
ENSG00000075945	471	7.0479	0.7353
ENSG00000076258	157	4.6881	0.4891
ENSG00000076321	1207	21.2783	2.2199
ENSG00000076356	1127	6.1321	0.6397
ENSG00000076864	262	3.1020	0.3236
ENSG00000077152	656	46.2310	4.8231
ENSG00000077157	7639	39.7863	4.1507
ENSG00000077254	2840	30.7903	3.2122
ENSG00000077522	72	0.9911	0.1034
ENSG00000077549	23898	515.0380	53.7319
ENSG00000077585	383	12.6183	1.3164
ENSG00000078369	63846	780.3840	81.4145
ENSG00000078618	18008	204.0520	21.2879
ENSG00000078808	20112	321.1380	33.5030
ENSG00000078900	326	4.3959	0.4586
ENSG00000079277	7408	68.9300	7.1912
ENSG00000079335	8080	105.7830	11.0359
ENSG00000079739	2428	43.7358	4.5628
ENSG00000080910	0	0.0000	0.0000
ENSG00000080947	697	7.6761	0.8008
ENSG00000081019	5362	58.9781	6.1530
ENSG00000081026	259	2.3707	0.2473
ENSG00000081237	29426	259.4300	27.0653
ENSG00000081248	0	0.0000	0.0000
ENSG00000081277	0	0.0000	0.0000
ENSG00000081692	888	15.4392	1.6107
ENSG00000081721	3773	160.5930	16.7540
ENSG00000081870	1169	31.7659	3.3140
ENSG00000081985	84	1.4829	0.1547
ENSG00000082482	0	0.0000	0.0000
ENSG00000082497	0	0.0000	0.0000
ENSG00000082512	1763	14.6554	1.5289
ENSG00000083444	13350	187.9600	19.6091
ENSG00000084070	19030	432.6340	45.1350
ENSG00000084072	3830	35.5889	3.7129
ENSG00000084073	1620	34.0168	3.5488
ENSG00000084623	22941	997.4150	104.0564
ENSG00000084628	12	0.3013	0.0314
ENSG00000084636	10	0.0798	0.0083
ENSG00000084652	7400	108.7560	11.3461
ENSG00000085433	3037	50.2231	5.2396
ENSG00000085465	450	11.2905	1.1779
ENSG00000085491	3788	43.3836	4.5260
ENSG00000085552	977	11.0683	1.1547
ENSG00000085831	68	0.5481	0.0572
ENSG00000085832	6336	62.9364	6.5659
ENSG00000085840	2551	60.5927	6.3214
ENSG00000085998	1503	17.7110	1.8477
ENSG00000085999	904	21.1186	2.2032
ENSG00000086015	4216	35.6215	3.7162
ENSG00000086619	844	11.1305	1.1612
ENSG00000088035	598	9.0752	0.9468
ENSG00000088280	14	0.2089	0.0218
ENSG00000090020	2171	27.2512	2.8430
ENSG00000090104	6686	121.7980	12.7067
ENSG00000090273	9539	250.4150	26.1248
ENSG00000090432	3877	119.3720	12.4536
ENSG00000090621	47265	522.6870	54.5299
ENSG00000090686	22127	174.7390	18.2298
ENSG00000091483	3766	131.8610	13.7565
ENSG00000092607	40	0.7838	0.0818
ENSG00000092621	2847	37.9792	3.9622
ENSG00000092847	23534	136.9750	14.2901
ENSG00000092850	153	5.7902	0.6041
ENSG00000092853	3459	47.9453	5.0019
ENSG00000092969	8	0.1165	0.0122
ENSG00000092978	1433	12.1614	1.2687
ENSG00000094963	0	0.0000	0.0000
ENSG00000094975	6120	70.9726	7.4043
ENSG00000097021	5941	91.1493	9.5093
ENSG00000097033	13580	152.5420	15.9141
ENSG00000097046	965	20.1131	2.0983
ENSG00000097096	16	0.1823	0.0190
ENSG00000099260	34	0.4287	0.0447
ENSG00000107404	4358	93.7642	9.7821
ENSG00000116128	2884	33.6913	3.5149
ENSG00000116132	0	0.0000	0.0000
ENSG00000116133	1570	26.5184	2.7666
ENSG00000116138	2514	22.0172	2.2970
ENSG00000116141	10	0.1050	0.0110
ENSG00000116147	41	0.5748	0.0600
ENSG00000116151	694	9.9453	1.0376
ENSG00000116157	4436	196.7580	20.5270
ENSG00000116161	8583	142.7380	14.8913
ENSG00000116171	8334	75.2639	7.8520
ENSG00000116183	104	0.7139	0.0745
ENSG00000116191	1825	18.4462	1.9244
ENSG00000116194	202	4.4212	0.4612
ENSG00000116198	1429	13.6050	1.4194
ENSG00000116199	8281	102.8500	10.7299
ENSG00000116205	672	8.6456	0.9020
ENSG00000116209	22032	397.5960	41.4797
ENSG00000116212	782	24.3107	2.5362
ENSG00000116213	1152	11.3664	1.1858
ENSG00000116218	200	8.0160	0.8363
ENSG00000116219	0	0.0000	0.0000
ENSG00000116221	5975	203.3250	21.2121
ENSG00000116237	4552	69.5215	7.2529
ENSG00000116251	32009	489.9350	51.1130
ENSG00000116254	37	0.2796	0.0292
ENSG00000116260	27030	217.7260	22.7145
ENSG00000116266	4357	55.4263	5.7824
ENSG00000116273	7799	158.9010	16.5776
ENSG00000116285	473	8.4709	0.8837
ENSG00000116288	13124	410.6370	42.8402
ENSG00000116299	131	1.0607	0.1107
ENSG00000116329	0	0.0000	0.0000
ENSG00000116337	3294	36.1845	3.7750
ENSG00000116350	9839	232.1950	24.2240
ENSG00000116353	1022	19.3251	2.0161
ENSG00000116396	1727	13.8649	1.4465
ENSG00000116406	1679	16.7208	1.7444
ENSG00000116455	1745	46.6520	4.8670
ENSG00000116459	13166	291.8790	30.4506
ENSG00000116473	4537	59.3569	6.1925
ENSG00000116478	9728	181.9830	18.9856
ENSG00000116489	13563	246.2970	25.6952
ENSG00000116497	2185	17.8341	1.8606
ENSG00000116514	21275	611.3610	63.7809
ENSG00000116521	3852	118.2930	12.3410
ENSG00000116525	962	18.1691	1.8955
ENSG00000116539	17034	96.0862	10.0243
ENSG00000116544	364	6.8605	0.7157
ENSG00000116560	65993	666.5030	69.5337
ENSG00000116574	2059	35.3140	3.6842
