gene	raw_counts	median_length_normalized	RPKM
ENSG00000000457	890	17.3642	1.3936
ENSG00000000460	1262	14.8997	1.1958
ENSG00000000938	52091	1108.6400	88.9770
ENSG00000000971	86	0.7920	0.0636
ENSG00000001460	513	4.5173	0.3625
ENSG00000001461	2709	21.6040	1.7339
ENSG00000004455	77372	1021.0900	81.9510
ENSG00000004487	10878	238.8390	19.1687
ENSG00000006555	56	0.6890	0.0553
ENSG00000007341	2666	24.6558	1.9788
ENSG00000007908	69	1.2266	0.0984
ENSG00000007923	3484	50.7620	4.0741
ENSG00000007933	8	0.1689	0.0136
ENSG00000007968	2584	35.5168	2.8505
ENSG00000008118	36	1.0022	0.0804
ENSG00000008128	4000	63.5926	5.1038
ENSG00000008130	14892	194.6110	15.6191
ENSG00000009307	107239	1397.5500	112.1648
ENSG00000009709	0	0.0000	0.0000
ENSG00000009724	1862	32.8457	2.6361
ENSG00000009780	961	25.0567	2.0110
ENSG00000009790	7273	70.3521	5.6463
ENSG00000010072	2517	31.9602	2.5651
ENSG00000010165	1238	24.1619	1.9392
ENSG00000010803	12929	218.0490	17.5002
ENSG00000010932	9	0.1953	0.0157
ENSG00000011007	6080	84.5867	6.7888
ENSG00000011009	5780	197.4100	15.8438
ENSG00000011021	4791	52.1973	4.1892
ENSG00000014914	4761	77.7741	6.2420
ENSG00000016490	0	0.0000	0.0000
ENSG00000016602	0	0.0000	0.0000
ENSG00000018625	3	0.0343	0.0028
ENSG00000020129	3278	50.0014	4.0130
ENSG00000020633	11029	179.6180	14.4158
ENSG00000021852	0	0.0000	0.0000
ENSG00000023572	513	29.6305	2.3781
ENSG00000023902	6182	74.3208	5.9648
ENSG00000023909	575	8.0288	0.6444
ENSG00000024526	160	2.0276	0.1627
ENSG00000025800	7181	70.0596	5.6228
ENSG00000026751	780	12.7085	1.0200
ENSG00000027644	14	0.2131	0.0171
ENSG00000027869	265	7.9236	0.6359
ENSG00000028137	23873	475.4350	38.1575
ENSG00000031698	11602	226.8350	18.2053
ENSG00000033122	87	0.5411	0.0434
ENSG00000034971	2	0.0720	0.0058
ENSG00000035687	4507	92.2068	7.4003
ENSG00000036549	3050	25.3969	2.0383
ENSG00000037637	4323	36.0892	2.8964
ENSG00000040487	6263	174.8850	14.0359
ENSG00000041988	3653	67.2866	5.4003
ENSG00000042781	2	0.0073	0.0006
ENSG00000043514	857	20.9388	1.6805
ENSG00000044012	0	0.0000	0.0000
ENSG00000047410	18315	134.9350	10.8296
ENSG00000048707	9015	33.2316	2.6671
ENSG00000049089	21935	396.3250	31.8083
ENSG00000049239	19874	163.4930	13.1216
ENSG00000049245	11683	317.4660	25.4792
ENSG00000049246	241	2.5474	0.2044
ENSG00000049247	90	3.8060	0.3055
ENSG00000049249	353	11.5954	0.9306
ENSG00000050628	3	0.0208	0.0017
ENSG00000052723	4203	53.4841	4.2925
ENSG00000053371	28514	1200.7500	96.3696
ENSG00000053372	3708	98.5478	7.9093
ENSG00000054116	5332	120.7110	9.6880
ENSG00000054118	7151	113.2490	9.0891
ENSG00000054267	9890	66.9850	5.3761
ENSG00000054277	4170	89.8787	7.2135
ENSG00000054282	3498	49.9975	4.0127
ENSG00000054392	798	13.9392	1.1187
ENSG00000054523	4129	17.5029	1.4047
ENSG00000055070	22278	351.9840	28.2496
ENSG00000055732	8	0.0941	0.0076
ENSG00000057252	3345	35.6684	2.8627
ENSG00000057468	102	2.3331	0.1873
ENSG00000057757	5535	189.9130	15.2420
ENSG00000058085	0	0.0000	0.0000
ENSG00000058453	3910	23.9115	1.9191
ENSG00000058668	16804	129.6470	10.4052
ENSG00000058673	23765	183.7470	14.7472
ENSG00000058799	2565	85.0862	6.8289
ENSG00000058804	3387	49.4682	3.9702
ENSG00000059588	17910	173.4820	13.9233
ENSG00000060642	1618	35.8897	2.8804
ENSG00000060656	515	5.7600	0.4623
