gene	raw_counts	median_length_normalized	RPKM
ENSG00000000457	2670	52.0892	6.6944
ENSG00000000460	2499	29.4940	3.7905
ENSG00000000938	1791	38.1081	4.8975
ENSG00000000971	1511	13.9158	1.7884
ENSG00000001460	1135	10.0016	1.2854
ENSG00000001461	2531	20.1817	2.5937
ENSG00000004455	21869	288.6160	37.0920
ENSG00000004487	13642	299.5170	38.4930
ENSG00000006555	141	1.7511	0.2250
ENSG00000007341	3406	31.4982	4.0481
ENSG00000007908	0	0.0000	0.0000
ENSG00000007923	2824	41.1473	5.2881
ENSG00000007933	0	0.0000	0.0000
ENSG00000007968	755	10.3810	1.3341
ENSG00000008118	0	0.0000	0.0000
ENSG00000008128	2318	36.8419	4.7348
ENSG00000008130	3665	47.8897	6.1546
ENSG00000009307	76920	1002.4300	128.8299
ENSG00000009709	0	0.0000	0.0000
ENSG00000009724	26	0.4587	0.0590
ENSG00000009780	660	17.1992	2.2104
ENSG00000009790	9919	95.9556	12.3319
ENSG00000010072	4191	53.2167	6.8393
ENSG00000010165	1496	29.1928	3.7518
ENSG00000010803	12158	205.0400	26.3512
ENSG00000010932	0	0.0000	0.0000
ENSG00000011007	15229	211.8610	27.2277
ENSG00000011009	1903	64.9923	8.3526
ENSG00000011021	3537	38.5372	4.9527
ENSG00000014914	26	0.4247	0.0546
ENSG00000016490	0	0.0000	0.0000
ENSG00000016602	0	0.0000	0.0000
ENSG00000018625	0	0.0000	0.0000
ENSG00000020129	3021	46.0842	5.9226
ENSG00000020633	2359	38.4269	4.9385
ENSG00000021852	0	0.0000	0.0000
ENSG00000023572	329	18.9769	2.4389
ENSG00000023902	6485	77.9673	10.0201
ENSG00000023909	854	11.9150	1.5313
ENSG00000024526	188	2.3882	0.3069
ENSG00000025800	9919	96.7733	12.4370
ENSG00000026751	435	7.0884	0.9110
ENSG00000027644	18	0.2647	0.0340
ENSG00000027869	2549	76.0983	9.7800
ENSG00000028137	840	16.7265	2.1496
ENSG00000031698	7218	141.1220	18.1366
ENSG00000033122	15	0.0937	0.0120
ENSG00000034971	0	0.0000	0.0000
ENSG00000035687	3883	79.4433	10.2098
