gene	raw_counts	median_length_normalized	RPKM
ENSG00000000457	751	14.6595	2.1031
ENSG00000000460	154	1.8222	0.2614
ENSG00000000938	1069	22.7557	3.2646
ENSG00000000971	34	0.3131	0.0449
ENSG00000001460	159	1.4006	0.2009
ENSG00000001461	258	2.0542	0.2947
ENSG00000004455	758	10.0067	1.4356
ENSG00000004487	7928	174.0710	24.9728
ENSG00000006555	18	0.2187	0.0314
ENSG00000007341	536	4.9559	0.7110
ENSG00000007908	0	0.0000	0.0000
ENSG00000007923	809	11.7853	1.6908
ENSG00000007933	0	0.0000	0.0000
ENSG00000007968	211	2.9000	0.4160
ENSG00000008118	23	0.6446	0.0925
ENSG00000008128	3667	58.3001	8.3640
ENSG00000008130	1609	21.0239	3.0162
ENSG00000009307	84831	1105.5200	158.6027
ENSG00000009709	0	0.0000	0.0000
ENSG00000009724	27	0.4764	0.0683
ENSG00000009780	783	20.4082	2.9279
ENSG00000009790	436	4.2216	0.6056
ENSG00000010072	2939	37.3205	5.3541
ENSG00000010165	317	6.1829	0.8870
ENSG00000010803	2182	36.8032	5.2799
ENSG00000010932	0	0.0000	0.0000
ENSG00000011007	8253	114.8160	16.4719
ENSG00000011009	1536	52.4526	7.5250
ENSG00000011021	4008	43.6685	6.2649
ENSG00000014914	126	2.0584	0.2953
ENSG00000016490	0	0.0000	0.0000
ENSG00000016602	0	0.0000	0.0000
ENSG00000018625	0	0.0000	0.0000
ENSG00000020129	91	1.3854	0.1988
ENSG00000020633	7101	115.6500	16.5916
ENSG00000021852	0	0.0000	0.0000
ENSG00000023572	330	19.0600	2.7344
ENSG00000023902	11736	141.1040	20.2433
ENSG00000023909	124	1.7304	0.2483
ENSG00000024526	8	0.1016	0.0146
ENSG00000025800	21233	207.1690	29.7212
ENSG00000026751	284	4.6192	0.6627
ENSG00000027644	3	0.0441	0.0063
ENSG00000027869	366	10.9271	1.5677
ENSG00000028137	8270	164.7010	23.6287
ENSG00000031698	3299	64.5099	9.2548
ENSG00000033122	0	0.0000	0.0000
ENSG00000034971	0	0.0000	0.0000
ENSG00000035687	767	15.6825	2.2499
ENSG00000036549	3186	26.5302	3.8061
ENSG00000037637	9591	80.0682	11.4869
ENSG00000040487	164	4.5793	0.6570
ENSG00000041988	2281	42.0216	6.0286
ENSG00000042781	0	0.0000	0.0000
ENSG00000043514	543	13.2602	1.9024
ENSG00000044012	0	0.0000	0.0000
ENSG00000047410	9016	66.4263	9.5298
ENSG00000048707	7108	26.2000	3.7587
ENSG00000049089	564	10.1814	1.4607
ENSG00000049239	459	3.7726	0.5412
ENSG00000049245	12017	326.5410	46.8467
ENSG00000049246	961	10.1457	1.4555
ENSG00000049247	341	14.3589	2.0600
ENSG00000049249	827	27.1454	3.8944
ENSG00000050628	4	0.0311	0.0045
ENSG00000052723	6328	80.5271	11.5527
ENSG00000053371	567	23.8658	3.4239
ENSG00000053372	298	7.9210	1.1364
