gene	raw_counts	median_length_normalized	RPKM
ENSG00000000457	1859	36.2669	4.1700
ENSG00000000460	1906	22.5035	2.5875
ENSG00000000938	40039	852.1410	97.9801
ENSG00000000971	2347	21.6176	2.4856
ENSG00000001460	474	4.1749	0.4800
ENSG00000001461	2619	20.8842	2.4013
ENSG00000004455	40354	532.5570	61.2340
ENSG00000004487	8566	188.0770	21.6253
ENSG00000006555	19	0.2353	0.0271
ENSG00000007341	1849	17.0976	1.9659
ENSG00000007908	0	0.0000	0.0000
ENSG00000007923	3655	53.2549	6.1233
ENSG00000007933	6	0.1299	0.0149
ENSG00000007968	839	11.5351	1.3263
ENSG00000008118	0	0.0000	0.0000
ENSG00000008128	2065	32.8241	3.7741
ENSG00000008130	13307	173.9060	19.9958
ENSG00000009307	79259	1032.9100	118.7654
ENSG00000009709	0	0.0000	0.0000
ENSG00000009724	3	0.0478	0.0055
ENSG00000009780	794	20.7173	2.3821
ENSG00000009790	8343	80.7044	9.2795
ENSG00000010072	956	12.1432	1.3962
ENSG00000010165	3212	62.6885	7.2080
ENSG00000010803	3944	66.5228	7.6489
ENSG00000010932	0	0.0000	0.0000
ENSG00000011007	3795	52.8010	6.0711
ENSG00000011009	3640	124.3270	14.2952
ENSG00000011021	3196	34.8197	4.0036
ENSG00000014914	1580	25.8098	2.9676
ENSG00000016490	0	0.0000	0.0000
ENSG00000016602	0	0.0000	0.0000
ENSG00000018625	0	0.0000	0.0000
ENSG00000020129	4430	67.5674	7.7690
ENSG00000020633	3775	61.4817	7.0692
ENSG00000021852	0	0.0000	0.0000
ENSG00000023572	748	43.1948	4.9666
ENSG00000023902	6056	72.8164	8.3725
ENSG00000023909	1239	17.2983	1.9890
ENSG00000024526	849	10.7912	1.2408
ENSG00000025800	9865	96.2496	11.0669
ENSG00000026751	309	5.0358	0.5790
ENSG00000027644	1	0.0147	0.0017
ENSG00000027869	46	1.3702	0.1575
ENSG00000028137	31016	617.6920	71.0229
ENSG00000031698	9059	177.1240	20.3659
ENSG00000033122	3	0.0177	0.0020
ENSG00000034971	0	0.0000	0.0000
ENSG00000035687	6259	128.0490	14.7232
ENSG00000036549	5213	43.4053	4.9908
ENSG00000037637	5124	42.7754	4.9184
ENSG00000040487	1895	52.9185	6.0846
ENSG00000041988	872	16.0577	1.8463
ENSG00000042781	0	0.0000	0.0000
ENSG00000043514	1486	36.2892	4.1726
ENSG00000044012	0	0.0000	0.0000
ENSG00000047410	13691	100.8680	11.5979
ENSG00000048707	5743	21.1693	2.4341
ENSG00000049089	1195	21.5970	2.4832
ENSG00000049239	6308	51.8961	5.9671
ENSG00000049245	14466	393.1000	45.1990
ENSG00000049246	2374	25.0677	2.8823
ENSG00000049247	19	0.8093	0.0931
ENSG00000049249	49	1.6003	0.1840
ENSG00000050628	46	0.3574	0.0411
ENSG00000052723	5761	73.3107	8.4293
ENSG00000053371	7332	308.7690	35.5026
ENSG00000053372	3385	89.9663	10.3444
ENSG00000054116	3681	83.3414	9.5827
ENSG00000054118	9484	150.1940	17.2695
ENSG00000054267	11515	77.9961	8.9681
ENSG00000054277	7534	162.3630	18.6687
ENSG00000054282	3879	55.4515	6.3759
ENSG00000054392	371	6.4718	0.7441
ENSG00000054523	2208	9.3596	1.0762
ENSG00000055070	10337	163.3230	18.7790
ENSG00000055732	0	0.0000	0.0000
ENSG00000057252	8952	95.4590	10.9760
ENSG00000057468	17	0.3904	0.0449
ENSG00000057757	3913	134.2680	15.4382
ENSG00000058085	0	0.0000	0.0000
ENSG00000058453	930	5.6852	0.6537
ENSG00000058668	15176	117.0870	13.4628
ENSG00000058673	20197	156.1650	17.9561
ENSG00000058799	3475	115.2760	13.2546
ENSG00000058804	4074	59.4972	6.8410
ENSG00000059588	10368	100.4230	11.5467
ENSG00000060642	1592	35.3128	4.0603
ENSG00000060656	8	0.0896	0.0103
ENSG00000060688	3678	68.7759	7.9079
ENSG00000060718	2	0.0181	0.0021
ENSG00000064703	2701	33.6574	3.8700
ENSG00000064886	261	5.9420	0.6832
ENSG00000065135	13653	319.3970	36.7246
ENSG00000065183	2509	45.2390	5.2016
ENSG00000065243	6917	73.9579	8.5038
ENSG00000065526	21906	123.5830	14.2097
ENSG00000065600	3159	81.2968	9.3476
ENSG00000065978	66245	2574.2900	295.9950
ENSG00000066027	9664	187.6350	21.5744
ENSG00000066056	1109	12.4265	1.4288
ENSG00000066135	2670	38.7140	4.4514
ENSG00000066136	5528	69.2534	7.9628
ENSG00000066185	208	7.0979	0.8161
ENSG00000066279	2396	16.5025	1.8975
ENSG00000066294	15997	129.6380	14.9059
ENSG00000066322	7750	236.3870	27.1801
ENSG00000066557	2867	74.5635	8.5734
ENSG00000067208	2283	20.7014	2.3803
ENSG00000067334	16197	202.2910	23.2596
ENSG00000067533	1936	18.4187	2.1178
ENSG00000067606	597	5.8670	0.6746
ENSG00000067704	12091	217.8890	25.0531
ENSG00000069248	4158	61.6621	7.0900
ENSG00000069275	15039	172.3110	19.8125
ENSG00000069424	46712	431.1350	49.5724
ENSG00000069702	24	0.2080	0.0239
ENSG00000069712	644	10.4454	1.2010
ENSG00000069812	0	0.0000	0.0000
ENSG00000070759	1912	41.4364	4.7644
ENSG00000070785	1861	45.8633	5.2734
ENSG00000070831	21938	474.1680	54.5203
ENSG00000070886	0	0.0000	0.0000
ENSG00000072694	1565	16.7773	1.9291
ENSG00000073754	0	0.0000	0.0000
ENSG00000073756	45988	654.6010	75.2667
ENSG00000074800	249678	4570.6200	525.5345
ENSG00000074964	1595	15.2426	1.7526
ENSG00000075151	15799	140.5810	16.1642
ENSG00000075391	92	0.5870	0.0675
ENSG00000075945	986	14.7529	1.6963
ENSG00000076258	355	10.5669	1.2150
ENSG00000076321	1443	25.4368	2.9247
ENSG00000076356	109	0.5932	0.0682
ENSG00000076864	14	0.1603	0.0184
ENSG00000077152	1226	86.3230	9.9255
ENSG00000077157	4137	21.5463	2.4774
ENSG00000077254	6706	72.7018	8.3593
ENSG00000077522	0	0.0000	0.0000
ENSG00000077549	22862	492.7160	56.6530
ENSG00000077585	446	14.6867	1.6887
ENSG00000078369	34209	418.1370	48.0779
ENSG00000078618	23547	266.8060	30.6777
ENSG00000078808	13228	211.2190	24.2861
ENSG00000078900	789	10.6466	1.2242
ENSG00000079277	10973	102.1100	11.7407
ENSG00000079335	4433	58.0335	6.6728
ENSG00000079739	6820	122.8350	14.1237
ENSG00000080910	0	0.0000	0.0000
ENSG00000080947	131	1.4396	0.1655
ENSG00000081019	5081	55.8897	6.4263
ENSG00000081026	33	0.3017	0.0347
ENSG00000081237	89025	784.8640	90.2446
ENSG00000081248	0	0.0000	0.0000
ENSG00000081277	0	0.0000	0.0000
ENSG00000081692	1642	28.5407	3.2816
ENSG00000081721	2119	90.2089	10.3723
ENSG00000081870	2255	61.2907	7.0473
ENSG00000081985	11	0.1949	0.0224
ENSG00000082482	0	0.0000	0.0000
ENSG00000082497	0	0.0000	0.0000
ENSG00000082512	1783	14.8254	1.7046
ENSG00000083444	10655	150.0180	17.2492
ENSG00000084070	34394	781.9200	89.9060
ENSG00000084072	4660	43.3042	4.9792
ENSG00000084073	3983	83.6397	9.6170
ENSG00000084623	23227	1009.8900	116.1181
ENSG00000084628	0	0.0000	0.0000
ENSG00000084636	2	0.0157	0.0018
ENSG00000084652	4618	67.8699	7.8038
ENSG00000085433	2320	38.3655	4.4113
ENSG00000085465	203	5.0890	0.5852
ENSG00000085491	13911	159.3330	18.3202
ENSG00000085552	2	0.0227	0.0026
ENSG00000085831	6	0.0481	0.0055
ENSG00000085832	18935	188.0710	21.6246
ENSG00000085840	1994	47.3750	5.4472
ENSG00000085998	2097	24.7066	2.8408
