gene	raw_counts	median_length_normalized	RPKM
ENSG00000000457	1288	25.1223	2.2762
ENSG00000000460	4426	52.2450	4.7337
ENSG00000000938	2434	51.7965	4.6931
ENSG00000000971	258	2.3778	0.2154
ENSG00000001460	499	4.3942	0.3981
ENSG00000001461	2401	19.1493	1.7350
ENSG00000004455	12208	161.1090	14.5974
ENSG00000004487	22849	501.6560	45.4531
ENSG00000006555	28	0.3508	0.0318
ENSG00000007341	1901	17.5767	1.5926
ENSG00000007908	253	4.4935	0.4071
ENSG00000007923	3767	54.8860	4.9730
ENSG00000007933	13	0.2795	0.0253
ENSG00000007968	2547	35.0037	3.1715
ENSG00000008118	13	0.3692	0.0334
ENSG00000008128	11013	175.0710	15.8625
ENSG00000008130	7248	94.7261	8.5827
ENSG00000009307	147242	1918.8800	173.8621
ENSG00000009709	0	0.0000	0.0000
ENSG00000009724	2265	39.9685	3.6214
ENSG00000009780	1343	35.0275	3.1737
ENSG00000009790	4028	38.9658	3.5305
ENSG00000010072	3713	47.1532	4.2724
ENSG00000010165	998	19.4749	1.7645
ENSG00000010803	15815	266.7180	24.1662
ENSG00000010932	12	0.2580	0.0234
ENSG00000011007	12047	167.5980	15.1854
ENSG00000011009	4027	137.5420	12.4621
ENSG00000011021	7129	77.6663	7.0370
ENSG00000014914	446	7.2808	0.6597
ENSG00000016490	0	0.0000	0.0000
ENSG00000016602	0	0.0000	0.0000
ENSG00000018625	1	0.0132	0.0012
ENSG00000020129	3073	46.8721	4.2469
ENSG00000020633	9123	148.5800	13.4622
ENSG00000021852	0	0.0000	0.0000
ENSG00000023572	267	15.4349	1.3985
ENSG00000023902	19258	231.5410	20.9790
ENSG00000023909	163	2.2815	0.2067
ENSG00000024526	101	1.2883	0.1167
ENSG00000025800	28481	277.8820	25.1778
ENSG00000026751	409	6.6601	0.6034
ENSG00000027644	8	0.1198	0.0109
ENSG00000027869	225	6.7066	0.6077
ENSG00000028137	3493	69.5627	6.3028
ENSG00000031698	7701	150.5710	13.6427
ENSG00000033122	130	0.8094	0.0733
