gene	raw_counts	median_length_normalized	RPKM
ENSG00000000457	421	8.2188	2.1549
ENSG00000000460	462	5.4536	1.4299
ENSG00000000938	431	9.1762	2.4060
ENSG00000000971	81	0.7450	0.1953
ENSG00000001460	204	1.7977	0.4714
ENSG00000001461	518	4.1345	1.0841
ENSG00000004455	2706	35.7079	9.3625
ENSG00000004487	6381	140.0970	36.7331
ENSG00000006555	4	0.0495	0.0130
ENSG00000007341	904	8.3577	2.1914
ENSG00000007908	6	0.1067	0.0280
ENSG00000007923	1388	20.2262	5.3032
ENSG00000007933	8	0.1733	0.0454
ENSG00000007968	2172	29.8583	7.8288
ENSG00000008118	0	0.0000	0.0000
ENSG00000008128	3343	53.1390	13.9329
ENSG00000008130	2511	32.8104	8.6028
ENSG00000009307	40680	530.1470	139.0033
ENSG00000009709	0	0.0000	0.0000
ENSG00000009724	0	0.0000	0.0000
ENSG00000009780	201	5.2417	1.3743
ENSG00000009790	1077	10.4196	2.7320
ENSG00000010072	1478	18.7646	4.9200
ENSG00000010165	701	13.6729	3.5850
ENSG00000010803	2098	35.3895	9.2790
ENSG00000010932	0	0.0000	0.0000
ENSG00000011007	4890	68.0312	17.8376
ENSG00000011009	1244	42.4973	11.1427
ENSG00000011021	3027	32.9775	8.6466
ENSG00000014914	22	0.3594	0.0942
ENSG00000016490	8	0.1796	0.0471
ENSG00000016602	0	0.0000	0.0000
ENSG00000018625	2	0.0264	0.0069
ENSG00000020129	474	7.2298	1.8957
ENSG00000020633	4339	70.6608	18.5271
ENSG00000021852	0	0.0000	0.0000
ENSG00000023572	168	9.6928	2.5414
ENSG00000023902	2002	24.0660	6.3100
ENSG00000023909	1164	16.2451	4.2594
ENSG00000024526	412	5.2334	1.3722
ENSG00000025800	10537	102.8060	26.9556
ENSG00000026751	94	1.5341	0.4022
ENSG00000027644	4	0.0588	0.0154
ENSG00000027869	57	1.6911	0.4434
ENSG00000028137	437	8.7021	2.2817
ENSG00000031698	3778	73.8699	19.3685
ENSG00000033122	13	0.0812	0.0213
ENSG00000034971	0	0.0000	0.0000
ENSG00000035687	1037	21.2084	5.5608
