gene	raw_counts	median_length_normalized	RPKM
ENSG00000000457	894	17.4331	1.6611
ENSG00000000460	2880	33.9958	3.2393
ENSG00000000938	2149	45.7398	4.3583
ENSG00000000971	70	0.6446	0.0614
ENSG00000001460	178	1.5660	0.1492
ENSG00000001461	1220	9.7270	0.9268
ENSG00000004455	6857	90.4908	8.6225
ENSG00000004487	17787	390.5180	37.2107
ENSG00000006555	25	0.3151	0.0300
ENSG00000007341	2342	21.6541	2.0633
ENSG00000007908	96	1.7137	0.1633
ENSG00000007923	2600	37.8805	3.6095
ENSG00000007933	4	0.0869	0.0083
ENSG00000007968	1367	18.7828	1.7897
ENSG00000008118	0	0.0000	0.0000
ENSG00000008128	7409	117.7830	11.2231
ENSG00000008130	7193	94.0012	8.9570
ENSG00000009307	148056	1929.4800	183.8520
ENSG00000009709	0	0.0000	0.0000
ENSG00000009724	3490	61.5752	5.8672
ENSG00000009780	1352	35.2695	3.3607
ENSG00000009790	4023	38.9213	3.7086
ENSG00000010072	5198	66.0091	6.2897
ENSG00000010165	776	15.1426	1.4429
ENSG00000010803	19565	329.9710	31.4416
ENSG00000010932	57	1.1953	0.1139
ENSG00000011007	17922	249.3280	23.7574
ENSG00000011009	3516	120.0760	11.4415
ENSG00000011021	4816	52.4743	5.0000
ENSG00000014914	488	7.9747	0.7599
ENSG00000016490	0	0.0000	0.0000
ENSG00000016602	1	0.0222	0.0021
ENSG00000018625	2	0.0194	0.0018
ENSG00000020129	3684	56.1881	5.3539
ENSG00000020633	7683	125.1250	11.9226
ENSG00000021852	0	0.0000	0.0000
ENSG00000023572	251	14.4681	1.3786
ENSG00000023902	14444	173.6630	16.5476
ENSG00000023909	126	1.7544	0.1672
ENSG00000024526	97	1.2351	0.1177
ENSG00000025800	19494	190.1940	18.1227
ENSG00000026751	330	5.3769	0.5123
ENSG00000027644	9	0.1276	0.0122
ENSG00000027869	427	12.7631	1.2161
ENSG00000028137	2298	45.7549	4.3598
ENSG00000031698	6525	127.5670	12.1553
ENSG00000033122	223	1.3936	0.1328
ENSG00000034971	2	0.0720	0.0069
ENSG00000035687	2920	59.7346	5.6919
ENSG00000036549	5208	43.3643	4.1320
ENSG00000037637	4663	38.9245	3.7090
ENSG00000040487	835	23.3086	2.2210
ENSG00000041988	2623	48.3062	4.6029
ENSG00000042781	4	0.0146	0.0014
ENSG00000043514	1491	36.4194	3.4702
ENSG00000044012	0	0.0000	0.0000
ENSG00000047410	28532	210.2030	20.0293
ENSG00000048707	17272	63.6682	6.0667
ENSG00000049089	2824	51.0246	4.8619
ENSG00000049239	2363	19.4381	1.8522
ENSG00000049245	16356	444.4450	42.3492
ENSG00000049246	156	1.6486	0.1571
ENSG00000049247	32	1.3303	0.1268
ENSG00000049249	91	2.9847	0.2844
ENSG00000050628	4	0.0311	0.0030
ENSG00000052723	5945	75.6547	7.2088
ENSG00000053371	6725	283.1940	26.9844
ENSG00000053372	1584	42.1028	4.0118
ENSG00000054116	3345	75.7235	7.2154
ENSG00000054118	13664	216.3840	20.6183
ENSG00000054267	27653	187.3020	17.8472
ENSG00000054277	919	19.7963	1.8863
ENSG00000054282	8064	115.2670	10.9833
ENSG00000054392	539	9.4020	0.8959
ENSG00000054523	1947	8.2520	0.7863
ENSG00000055070	34043	537.8630	51.2507
ENSG00000055732	0	0.0000	0.0000
ENSG00000057252	6812	72.6401	6.9216
ENSG00000057468	25	0.5775	0.0550
ENSG00000057757	7169	245.9470	23.4353
ENSG00000058085	2	0.0229	0.0022
ENSG00000058453	1873	11.4553	1.0915
ENSG00000058668	17632	136.0340	12.9621
ENSG00000058673	29236	226.0480	21.5391
ENSG00000058799	2338	77.5537	7.3898
ENSG00000058804	1675	24.4701	2.3317
ENSG00000059588	20518	198.7420	18.9373
ENSG00000060642	1450	32.1665	3.0650
ENSG00000060656	31	0.3507	0.0334
ENSG00000060688	3920	73.2900	6.9835
ENSG00000060718	0	0.0000	0.0000
ENSG00000064703	6110	76.1351	7.2546
ENSG00000064886	109	2.4728	0.2356
ENSG00000065135	14577	341.0190	32.4942
ENSG00000065183	1031	18.5900	1.7714
ENSG00000065243	7961	85.1275	8.1114
ENSG00000065526	48274	272.3440	25.9505
ENSG00000065600	1931	49.6887	4.7346
ENSG00000065978	95654	3717.1400	354.1903
ENSG00000066027	11028	214.1000	20.4006
ENSG00000066056	11159	125.0290	11.9135
ENSG00000066135	6250	90.6278	8.6355
ENSG00000066136	2903	36.3606	3.4647
ENSG00000066185	248	8.4861	0.8086
ENSG00000066279	906	6.2401	0.5946
ENSG00000066294	5002	40.5329	3.8622
ENSG00000066322	4921	150.0840	14.3009
ENSG00000066557	3678	95.6533	9.1144
ENSG00000067208	801	7.2643	0.6922
ENSG00000067334	6646	83.0033	7.9090
ENSG00000067533	1930	18.3632	1.7497
ENSG00000067606	260	2.5563	0.2436
ENSG00000067704	8391	151.2070	14.4078
ENSG00000069248	5804	86.0827	8.2024
ENSG00000069275	11711	134.1730	12.7848
ENSG00000069424	31687	292.4620	27.8674
ENSG00000069702	429	3.7221	0.3547
ENSG00000069712	147	2.3846	0.2272
ENSG00000069812	18	0.2497	0.0238
ENSG00000070759	3765	81.6043	7.7757
ENSG00000070785	977	24.0736	2.2939
ENSG00000070831	74396	1607.9800	153.2178
ENSG00000070886	3	0.0373	0.0036
ENSG00000072694	106	1.1397	0.1086
ENSG00000073754	16	0.4886	0.0466
ENSG00000073756	554	7.8888	0.7517
ENSG00000074800	188799	3456.1800	329.3240
ENSG00000074964	60	0.5695	0.0543
ENSG00000075151	14056	125.0700	11.9174
ENSG00000075391	451	2.8615	0.2727
ENSG00000075945	2459	36.7886	3.5054
ENSG00000076258	175	5.2213	0.4975
ENSG00000076321	2867	50.5437	4.8161
ENSG00000076356	943	5.1344	0.4892
ENSG00000076864	129	1.5299	0.1458
ENSG00000077152	338	23.7972	2.2675
ENSG00000077157	5077	26.4452	2.5198
ENSG00000077254	5081	55.0799	5.2483
ENSG00000077522	2	0.0277	0.0026
ENSG00000077549	25120	541.3740	51.5852
ENSG00000077585	716	23.5599	2.2449
ENSG00000078369	62365	762.2900	72.6353
ENSG00000078618	23032	260.9710	24.8668
ENSG00000078808	13614	217.3860	20.7138
ENSG00000078900	39	0.5231	0.0499
ENSG00000079277	5793	53.9012	5.1360
ENSG00000079335	7000	91.6397	8.7320
ENSG00000079739	512	9.2152	0.8781
ENSG00000080910	0	0.0000	0.0000
ENSG00000080947	1108	12.1993	1.1624
ENSG00000081019	7962	87.5750	8.3446
ENSG00000081026	425	3.9005	0.3717
ENSG00000081237	28262	249.1620	23.7416
ENSG00000081248	0	0.0000	0.0000
ENSG00000081277	0	0.0000	0.0000
ENSG00000081692	1001	17.3944	1.6574
ENSG00000081721	6542	278.4650	26.5338
ENSG00000081870	1662	45.1925	4.3062
ENSG00000081985	403	7.1389	0.6802
ENSG00000082482	0	0.0000	0.0000
ENSG00000082497	4	0.0549	0.0052
ENSG00000082512	5945	49.4200	4.7090
ENSG00000083444	3262	45.9206	4.3756
