gene	raw_counts	median_length_normalized	RPKM
ENSG00000000457	1290	25.1777	1.8760
ENSG00000000460	2356	27.8037	2.0717
ENSG00000000938	1720	36.6149	2.7282
ENSG00000000971	2398	22.0852	1.6456
ENSG00000001460	353	3.1070	0.2315
ENSG00000001461	1472	11.7358	0.8744
ENSG00000004455	4270	56.3533	4.1989
ENSG00000004487	17895	392.8850	29.2740
ENSG00000006555	33	0.4142	0.0309
ENSG00000007341	2018	18.6584	1.3902
ENSG00000007908	48	0.8533	0.0636
ENSG00000007923	2106	30.6816	2.2861
ENSG00000007933	1	0.0217	0.0016
ENSG00000007968	2349	32.2853	2.4056
ENSG00000008118	0	0.0000	0.0000
ENSG00000008128	22280	354.1830	26.3903
ENSG00000008130	7513	98.1835	7.3157
ENSG00000009307	125037	1629.5000	121.4142
ENSG00000009709	0	0.0000	0.0000
ENSG00000009724	1427	25.1677	1.8753
ENSG00000009780	787	20.5247	1.5293
ENSG00000009790	2107	20.3780	1.5184
ENSG00000010072	5000	63.5010	4.7315
ENSG00000010165	2497	48.7273	3.6307
ENSG00000010803	10108	170.4700	12.7017
ENSG00000010932	55	1.1469	0.0855
ENSG00000011007	20772	288.9800	21.5319
ENSG00000011009	8220	280.7280	20.9171
ENSG00000011021	9055	98.6473	7.3502
ENSG00000014914	529	8.6373	0.6436
ENSG00000016490	0	0.0000	0.0000
ENSG00000016602	0	0.0000	0.0000
ENSG00000018625	1	0.0078	0.0006
ENSG00000020129	1322	20.1611	1.5022
ENSG00000020633	8757	142.6170	10.6264
ENSG00000021852	0	0.0000	0.0000
ENSG00000023572	580	33.5081	2.4967
ENSG00000023902	55867	671.6910	50.0478
ENSG00000023909	255	3.5521	0.2647
ENSG00000024526	171	2.1765	0.1622
ENSG00000025800	48116	469.4560	34.9793
ENSG00000026751	434	7.0678	0.5266
ENSG00000027644	278	4.0833	0.3042
ENSG00000027869	2351	70.1863	5.2296
ENSG00000028137	3200	63.7339	4.7488
ENSG00000031698	8449	165.2010	12.3092
ENSG00000033122	169	1.0555	0.0786
ENSG00000034971	6	0.2160	0.0161
ENSG00000035687	1903	38.9266	2.9004
ENSG00000036549	4237	35.2809	2.6288
ENSG00000037637	23173	193.4490	14.4139
ENSG00000040487	1013	28.2885	2.1078
ENSG00000041988	3855	70.9995	5.2902
ENSG00000042781	4	0.0146	0.0011
ENSG00000043514	1521	37.1495	2.7680
ENSG00000044012	0	0.0000	0.0000
ENSG00000047410	21328	157.1330	11.7080
ENSG00000048707	8610	31.7389	2.3649
ENSG00000049089	7927	143.2260	10.6718
ENSG00000049239	3750	30.8475	2.2985
ENSG00000049245	16109	437.7440	32.6164
ENSG00000049246	596	6.2891	0.4686
ENSG00000049247	348	14.6461	1.0913
ENSG00000049249	650	21.3463	1.5905
ENSG00000050628	74	0.5771	0.0430
ENSG00000052723	5508	70.0918	5.2226
ENSG00000053371	3111	130.9920	9.7602
ENSG00000053372	1616	42.9405	3.1995
ENSG00000054116	3936	89.0960	6.6386
ENSG00000054118	15969	252.8800	18.8422
ENSG00000054267	39219	265.6370	19.7927
ENSG00000054277	664	14.3000	1.0655
ENSG00000054282	8244	117.8450	8.7807
ENSG00000054392	854	14.9060	1.1106
ENSG00000054523	5609	23.7771	1.7716
ENSG00000055070	72942	1152.4400	85.8685
