gene	raw_counts	median_length_normalized	RPKM
ENSG00000000457	450	8.7781	0.9662
ENSG00000000460	542	6.3964	0.7041
ENSG00000000938	50518	1075.1500	118.3460
ENSG00000000971	225	2.0717	0.2280
ENSG00000001460	262	2.3082	0.2541
ENSG00000001461	2505	19.9801	2.1993
ENSG00000004455	21143	279.0280	30.7137
ENSG00000004487	6564	144.1230	15.8642
ENSG00000006555	8	0.1044	0.0115
ENSG00000007341	1584	14.6433	1.6119
ENSG00000007908	0	0.0000	0.0000
ENSG00000007923	2307	33.6227	3.7010
ENSG00000007933	0	0.0000	0.0000
ENSG00000007968	571	7.8457	0.8636
ENSG00000008118	0	0.0000	0.0000
ENSG00000008128	5814	92.4254	10.1736
ENSG00000008130	18936	247.4670	27.2397
ENSG00000009307	63128	822.6890	90.5569
ENSG00000009709	0	0.0000	0.0000
ENSG00000009724	701	12.3634	1.3609
ENSG00000009780	866	22.5960	2.4872
ENSG00000009790	7737	74.8469	8.2387
ENSG00000010072	1152	14.6331	1.6107
ENSG00000010165	454	8.8603	0.9753
ENSG00000010803	2437	41.0947	4.5235
ENSG00000010932	5	0.1007	0.0111
ENSG00000011007	4214	58.6216	6.4527
ENSG00000011009	4315	147.3540	16.2199
ENSG00000011021	2911	31.7134	3.4908
ENSG00000014914	1565	25.5696	2.8146
ENSG00000016490	2	0.0449	0.0049
ENSG00000016602	0	0.0000	0.0000
ENSG00000018625	2	0.0225	0.0025
ENSG00000020129	2892	44.1074	4.8551
ENSG00000020633	5916	96.3579	10.6065
ENSG00000021852	0	0.0000	0.0000
ENSG00000023572	345	19.9092	2.1915
ENSG00000023902	8020	96.4211	10.6135
ENSG00000023909	305	4.2600	0.4689
ENSG00000024526	6	0.0762	0.0084
ENSG00000025800	11070	108.0080	11.8889
ENSG00000026751	196	3.1946	0.3517
ENSG00000027644	19	0.2780	0.0306
ENSG00000027869	81	2.4295	0.2674
ENSG00000028137	11699	232.9800	25.6450
ENSG00000031698	9707	189.7800	20.8899
ENSG00000033122	21	0.1285	0.0141
ENSG00000034971	0	0.0000	0.0000
ENSG00000035687	2196	44.9285	4.9455
ENSG00000036549	1847	15.3739	1.6923
ENSG00000037637	2967	24.7697	2.7265
ENSG00000040487	2238	62.4940	6.8790
ENSG00000041988	1888	34.7770	3.8281
ENSG00000042781	0	0.0000	0.0000
ENSG00000043514	464	11.3403	1.2483
ENSG00000044012	0	0.0000	0.0000
ENSG00000047410	3724	27.4371	3.0201
ENSG00000048707	3553	13.0968	1.4416
ENSG00000049089	6411	115.8260	12.7494
ENSG00000049239	4512	37.1171	4.0856
ENSG00000049245	10442	283.7410	31.2326
ENSG00000049246	833	8.7922	0.9678
ENSG00000049247	304	12.7762	1.4063
ENSG00000049249	103	3.3739	0.3714
ENSG00000050628	9	0.0699	0.0077
ENSG00000052723	2928	37.2525	4.1005
ENSG00000053371	7124	300.0020	33.0224
ENSG00000053372	1716	45.6141	5.0209
ENSG00000054116	3784	85.6607	9.4290
ENSG00000054118	4378	69.3338	7.6319
ENSG00000054267	5725	38.7747	4.2681
ENSG00000054277	2566	55.2928	6.0863
ENSG00000054282	3343	47.7905	5.2605
ENSG00000054392	556	9.7121	1.0691
ENSG00000054523	3643	15.4413	1.6997
ENSG00000055070	23493	371.1740	40.8567
ENSG00000055732	2	0.0219	0.0024
ENSG00000057252	3660	39.0323	4.2965
