gene	raw_counts	median_length_normalized	RPKM
ENSG00000000457	2940	57.3681	4.6809
ENSG00000000460	1580	18.6523	1.5219
ENSG00000000938	10496	223.3730	18.2260
ENSG00000000971	2237	20.6030	1.6811
ENSG00000001460	500	4.4039	0.3593
ENSG00000001461	2717	21.6723	1.7683
ENSG00000004455	22200	292.9850	23.9059
ENSG00000004487	12646	277.6530	22.6549
ENSG00000006555	33	0.4054	0.0331
ENSG00000007341	2367	21.8878	1.7859
ENSG00000007908	3	0.0495	0.0040
ENSG00000007923	5083	74.0723	6.0439
ENSG00000007933	0	0.0000	0.0000
ENSG00000007968	4457	61.2577	4.9983
ENSG00000008118	11	0.3042	0.0248
ENSG00000008128	7865	125.0340	10.2021
ENSG00000008130	17645	230.5910	18.8149
ENSG00000009307	89302	1163.8000	94.9594
ENSG00000009709	0	0.0000	0.0000
ENSG00000009724	1145	20.2065	1.6487
ENSG00000009780	884	23.0400	1.8799
ENSG00000009790	1977	19.1285	1.5608
ENSG00000010072	3461	43.9573	3.5867
ENSG00000010165	1136	22.1793	1.8097
ENSG00000010803	12386	208.8920	17.0444
ENSG00000010932	24	0.4947	0.0404
ENSG00000011007	10058	139.9330	11.4177
ENSG00000011009	4960	169.4060	13.8226
ENSG00000011021	7068	77.0067	6.2833
ENSG00000014914	98	1.5999	0.1305
ENSG00000016490	0	0.0000	0.0000
ENSG00000016602	2	0.0417	0.0034
ENSG00000018625	0	0.0000	0.0000
ENSG00000020129	4089	62.3742	5.0894
ENSG00000020633	20085	327.1110	26.6904
ENSG00000021852	0	0.0000	0.0000
ENSG00000023572	384	22.1555	1.8077
ENSG00000023902	37973	456.5580	37.2525
ENSG00000023909	898	12.5300	1.0224
ENSG00000024526	199	2.5224	0.2058
ENSG00000025800	22552	220.0340	17.9535
ENSG00000026751	361	5.8857	0.4802
ENSG00000027644	51	0.7461	0.0609
ENSG00000027869	3524	105.2280	8.5860
ENSG00000028137	13829	275.4090	22.4719
ENSG00000031698	5893	115.2150	9.4009
ENSG00000033122	171	1.0663	0.0870
ENSG00000034971	0	0.0000	0.0000
ENSG00000035687	2140	43.7881	3.5729
ENSG00000036549	4134	34.4224	2.8087
ENSG00000037637	13324	111.2310	9.0758
ENSG00000040487	2506	69.9866	5.7105
ENSG00000041988	3291	60.6218	4.9464
ENSG00000042781	10	0.0358	0.0029
ENSG00000043514	1271	31.0466	2.5332
ENSG00000044012	0	0.0000	0.0000
ENSG00000047410	14500	106.8270	8.7164
ENSG00000048707	13603	50.1440	4.0915
ENSG00000049089	2546	45.9969	3.7531
ENSG00000049239	10353	85.1698	6.9494
ENSG00000049245	7914	215.0620	17.5478
ENSG00000049246	90	0.9513	0.0776
ENSG00000049247	15	0.6354	0.0519
ENSG00000049249	503	16.5035	1.3466
ENSG00000050628	16	0.1243	0.0101
ENSG00000052723	3563	45.3436	3.6998
ENSG00000053371	7730	325.5350	26.5618
ENSG00000053372	5398	143.4620	11.7057
ENSG00000054116	4122	93.3082	7.6134
ENSG00000054118	20339	322.0890	26.2806
