gene	raw_counts	median_length_normalized	RPKM
ENSG00000000457	505	9.8606	1.2006
ENSG00000000460	588	6.9408	0.8451
ENSG00000000938	35098	746.9810	90.9528
ENSG00000000971	8	0.0737	0.0090
ENSG00000001460	270	2.3770	0.2894
ENSG00000001461	1228	9.7946	1.1926
ENSG00000004455	32663	431.0660	52.4868
ENSG00000004487	11045	242.4960	29.5265
ENSG00000006555	13	0.1610	0.0196
ENSG00000007341	912	8.4375	1.0274
ENSG00000007908	0	0.0000	0.0000
ENSG00000007923	3339	48.6571	5.9245
ENSG00000007933	0	0.0000	0.0000
ENSG00000007968	1159	15.9304	1.9397
ENSG00000008118	0	0.0000	0.0000
ENSG00000008128	2071	32.9284	4.0094
ENSG00000008130	9246	120.8260	14.7118
ENSG00000009307	43657	568.9440	69.2749
ENSG00000009709	0	0.0000	0.0000
ENSG00000009724	14	0.2503	0.0305
ENSG00000009780	780	20.3411	2.4767
ENSG00000009790	3780	36.5701	4.4528
ENSG00000010072	935	11.8737	1.4457
ENSG00000010165	1149	22.4210	2.7300
ENSG00000010803	8427	142.1210	17.3047
ENSG00000010932	9	0.1889	0.0230
ENSG00000011007	3947	54.9095	6.6858
ENSG00000011009	6292	214.8940	26.1656
ENSG00000011021	2187	23.8225	2.9006
ENSG00000014914	9116	148.9220	18.1329
ENSG00000016490	0	0.0000	0.0000
ENSG00000016602	0	0.0000	0.0000
ENSG00000018625	29	0.3509	0.0427
ENSG00000020129	4788	73.0370	8.8930
ENSG00000020633	35884	584.4220	71.1596
ENSG00000021852	0	0.0000	0.0000
ENSG00000023572	830	47.9407	5.8373
ENSG00000023902	15928	191.4980	23.3169
ENSG00000023909	543	7.5735	0.9222
ENSG00000024526	123	1.5596	0.1899
ENSG00000025800	9944	97.0190	11.8131
ENSG00000026751	114	1.8595	0.2264
ENSG00000027644	0	0.0000	0.0000
ENSG00000027869	200	5.9753	0.7275
ENSG00000028137	19599	390.3090	47.5242
ENSG00000031698	7185	140.4880	17.1059
ENSG00000033122	0	0.0000	0.0000
ENSG00000034971	0	0.0000	0.0000
ENSG00000035687	3833	78.4258	9.5492
ENSG00000036549	2690	22.3949	2.7268
ENSG00000037637	5289	44.1496	5.3757
ENSG00000040487	6718	187.5890	22.8409
ENSG00000041988	1477	27.2073	3.3128
ENSG00000042781	0	0.0000	0.0000
ENSG00000043514	568	13.8724	1.6891
ENSG00000044012	0	0.0000	0.0000
ENSG00000047410	5355	39.4538	4.8039
ENSG00000048707	3480	12.8295	1.5621
ENSG00000049089	5748	103.8550	12.6454
ENSG00000049239	7736	63.6391	7.7487
ENSG00000049245	10107	274.6370	33.4399
ENSG00000049246	265	2.8007	0.3410
ENSG00000049247	13	0.5468	0.0666
ENSG00000049249	65	2.1235	0.2586
ENSG00000050628	0	0.0000	0.0000
ENSG00000052723	3961	50.4080	6.1377
ENSG00000053371	33368	1405.1500	171.0913
ENSG00000053372	4200	111.6200	13.5910
ENSG00000054116	3115	70.5083	8.5851
ENSG00000054118	7619	120.6620	14.6918
ENSG00000054267	5185	35.1204	4.2763
ENSG00000054277	7582	163.3970	19.8953
ENSG00000054282	1939	27.7158	3.3747
ENSG00000054392	522	9.1115	1.1094
ENSG00000054523	2676	11.3436	1.3812
ENSG00000055070	11202	176.9920	21.5506
ENSG00000055732	9	0.1019	0.0124
ENSG00000057252	2904	30.9721	3.7712
ENSG00000057468	10	0.2315	0.0282
ENSG00000057757	5009	171.8400	20.9234
ENSG00000058085	0	0.0000	0.0000
ENSG00000058453	2246	13.7365	1.6726
ENSG00000058668	13173	101.6310	12.3747
ENSG00000058673	8299	64.1660	7.8129
ENSG00000058799	2179	72.2963	8.8028
