gene	raw_counts	median_length_normalized	RPKM
ENSG00000000457	691	13.4901	1.0892
ENSG00000000460	584	6.8905	0.5563
ENSG00000000938	69285	1474.5600	119.0582
ENSG00000000971	78	0.7183	0.0580
ENSG00000001460	378	3.3326	0.2691
ENSG00000001461	1685	13.4372	1.0849
ENSG00000004455	5817	76.7647	6.1981
ENSG00000004487	9416	206.7360	16.6921
ENSG00000006555	165	2.0415	0.1648
ENSG00000007341	2311	21.3668	1.7252
ENSG00000007908	3	0.0538	0.0043
ENSG00000007923	2729	39.7589	3.2102
ENSG00000007933	18	0.3895	0.0315
ENSG00000007968	9848	135.3440	10.9278
ENSG00000008118	253	7.0949	0.5729
ENSG00000008128	16040	254.9840	20.5878
ENSG00000008130	17116	223.6820	18.0604
ENSG00000009307	171786	2238.7400	180.7591
ENSG00000009709	0	0.0000	0.0000
ENSG00000009724	3334	58.8158	4.7489
ENSG00000009780	1617	42.1683	3.4047
ENSG00000009790	13746	132.9760	10.7367
ENSG00000010072	5214	66.2115	5.3460
ENSG00000010165	605	11.7989	0.9527
ENSG00000010803	2283	38.5093	3.1093
ENSG00000010932	34	0.7126	0.0575
ENSG00000011007	14124	196.4870	15.8647
ENSG00000011009	5558	189.8320	15.3273
ENSG00000011021	7874	85.7838	6.9263
ENSG00000014914	4095	66.8981	5.4014
ENSG00000016490	0	0.0000	0.0000
ENSG00000016602	0	0.0000	0.0000
ENSG00000018625	8	0.0969	0.0078
ENSG00000020129	1111	16.9390	1.3677
ENSG00000020633	72272	1177.0700	95.0382
ENSG00000021852	0	0.0000	0.0000
ENSG00000023572	186	10.7144	0.8651
ENSG00000023902	57035	685.7420	55.3678
ENSG00000023909	591	8.2480	0.6660
ENSG00000024526	46	0.5803	0.0469
ENSG00000025800	23054	224.9340	18.1615
ENSG00000026751	2910	47.4053	3.8276
ENSG00000027644	25	0.3664	0.0296
ENSG00000027869	723	21.5748	1.7420
ENSG00000028137	55639	1108.0500	89.4659
ENSG00000031698	11336	221.6450	17.8959
ENSG00000033122	368	2.2970	0.1855
ENSG00000034971	1	0.0341	0.0028
ENSG00000035687	2012	41.1604	3.3234
ENSG00000036549	4660	38.8028	3.1330
ENSG00000037637	8100	67.6171	5.4595
ENSG00000040487	3147	87.8805	7.0956
ENSG00000041988	3477	64.0336	5.1702
ENSG00000042781	18	0.0663	0.0054
ENSG00000043514	1489	36.3683	2.9364
ENSG00000044012	1	0.1256	0.0101
ENSG00000047410	24320	179.1710	14.4666
ENSG00000048707	25538	94.1383	7.6009
ENSG00000049089	3542	63.9913	5.1668
ENSG00000049239	10204	83.9407	6.7775
ENSG00000049245	18477	502.0820	40.5388
ENSG00000049246	787	8.3063	0.6707
ENSG00000049247	576	24.2451	1.9576
ENSG00000049249	708	23.2391	1.8764
ENSG00000050628	61	0.4746	0.0383
ENSG00000052723	4176	53.1334	4.2901
ENSG00000053371	3244	136.5960	11.0289
ENSG00000053372	1198	31.8494	2.5716
ENSG00000054116	3569	80.7926	6.5233
ENSG00000054118	17645	279.4260	22.5613
ENSG00000054267	27638	187.1950	15.1144
ENSG00000054277	1150	24.7940	2.0019
ENSG00000054282	1325	18.9360	1.5289
ENSG00000054392	333	5.8119	0.4693
ENSG00000054523	9317	39.4928	3.1887
ENSG00000055070	52134	823.6950	66.5063
ENSG00000055732	32	0.3652	0.0295
ENSG00000057252	13350	142.3610	11.4944
ENSG00000057468	45	1.0386	0.0839
ENSG00000057757	9022	309.5250	24.9915
ENSG00000058085	16	0.1791	0.0145
ENSG00000058453	4748	29.0333	2.3442
ENSG00000058668	3670	28.3165	2.2863
ENSG00000058673	40702	314.7050	25.4098
ENSG00000058799	3682	122.1240	9.8605
ENSG00000058804	1338	19.5472	1.5783
ENSG00000059588	8363	81.0087	6.5408
ENSG00000060642	947	21.0012	1.6957
ENSG00000060656	335	3.7478	0.3026
ENSG00000060688	5655	105.7490	8.5384
ENSG00000060718	10	0.0943	0.0076
ENSG00000064703	4467	55.6574	4.4939
ENSG00000064886	1097	24.9709	2.0162
ENSG00000065135	11187	261.7060	21.1305
ENSG00000065183	889	16.0269	1.2940
ENSG00000065243	5723	61.1903	4.9406
ENSG00000065526	75279	424.6970	34.2907
ENSG00000065600	3444	88.6534	7.1580
ENSG00000065978	74272	2886.2400	233.0390
ENSG00000066027	11136	216.2050	17.4567
ENSG00000066056	794	8.8998	0.7186
ENSG00000066135	9978	144.6940	11.6828
ENSG00000066136	3516	44.0454	3.5563
ENSG00000066185	50	1.7025	0.1375
ENSG00000066279	505	3.4806	0.2810
ENSG00000066294	17150	138.9830	11.2217
ENSG00000066322	7495	228.5910	18.4568
ENSG00000066557	4639	120.6310	9.7399
ENSG00000067208	1779	16.1316	1.3025
ENSG00000067334	11877	148.3390	11.9771
ENSG00000067533	1441	13.7099	1.1070
ENSG00000067606	572	5.6226	0.4540
ENSG00000067704	5874	105.8420	8.5458
ENSG00000069248	7548	111.9420	9.0384
ENSG00000069275	9852	112.8750	9.1137
ENSG00000069424	51947	479.4560	38.7120
ENSG00000069702	893	7.7408	0.6250
ENSG00000069712	46	0.7417	0.0599
ENSG00000069812	87	1.2064	0.0974
ENSG00000070759	1744	37.7939	3.0515
ENSG00000070785	576	14.2054	1.1470
ENSG00000070831	57177	1235.8200	99.7822
ENSG00000070886	11	0.1523	0.0123
ENSG00000072694	3313	35.5197	2.8679
ENSG00000073754	7	0.2093	0.0169
ENSG00000073756	13404	190.7930	15.4049
ENSG00000074800	172724	3161.9000	255.2964
ENSG00000074964	5371	51.3317	4.1446
ENSG00000075151	7909	70.3691	5.6817
ENSG00000075391	563	3.5732	0.2885
ENSG00000075945	1128	16.8686	1.3620
ENSG00000076258	96	2.8506	0.2302
ENSG00000076321	4117	72.5872	5.8608
ENSG00000076356	1566	8.5217	0.6881
ENSG00000076864	1176	13.9100	1.1231
ENSG00000077152	149	10.5249	0.8498
ENSG00000077157	5352	27.8747	2.2506
ENSG00000077254	4591	49.7683	4.0184
ENSG00000077522	24	0.3301	0.0267
ENSG00000077549	32722	705.2050	56.9393
ENSG00000077585	3692	121.4930	9.8095
ENSG00000078369	40385	493.6250	39.8560
ENSG00000078618	10348	117.2560	9.4674
ENSG00000078808	20220	322.8710	26.0691
ENSG00000078900	370	4.9978	0.4035
ENSG00000079277	11996	111.6270	9.0129
ENSG00000079335	8393	109.8780	8.8717
ENSG00000079739	2039	36.7253	2.9653
ENSG00000080910	0	0.0000	0.0000
ENSG00000080947	1843	20.2916	1.6384
ENSG00000081019	5099	56.0788	4.5279
ENSG00000081026	206	1.8892	0.1525
ENSG00000081237	98814	871.1730	70.3398
ENSG00000081248	3	0.0352	0.0028
ENSG00000081277	2	0.0242	0.0019
ENSG00000081692	782	13.5979	1.0979
ENSG00000081721	4186	178.1580	14.3847
ENSG00000081870	780	21.1990	1.7116
ENSG00000081985	5553	98.3955	7.9446
ENSG00000082482	0	0.0000	0.0000
ENSG00000082497	16	0.2171	0.0175
ENSG00000082512	4179	34.7426	2.8052
ENSG00000083444	8516	119.8940	9.6804
ENSG00000084070	32406	736.7170	59.4836
ENSG00000084072	2512	23.3454	1.8849
ENSG00000084073	2119	44.4975	3.5928
ENSG00000084623	17444	758.4450	61.2379
ENSG00000084628	15	0.3656	0.0295
ENSG00000084636	24	0.1885	0.0152
ENSG00000084652	10252	150.6770	12.1659
ENSG00000085433	2268	37.4960	3.0275
ENSG00000085465	1449	36.3641	2.9361
ENSG00000085491	3169	36.2954	2.9305
ENSG00000085552	303	3.4329	0.2772
ENSG00000085831	317	2.5386	0.2050
ENSG00000085832	10151	100.8280	8.1410
ENSG00000085840	1425	33.8540	2.7334
ENSG00000085998	1619	19.0757	1.5402
ENSG00000085999	630	14.7217	1.1886
ENSG00000086015	2810	23.7425	1.9170
ENSG00000086619	2218	29.2412	2.3610
ENSG00000088035	482	7.3023	0.5896
ENSG00000088280	187	2.8704	0.2318
ENSG00000090020	8359	104.9290	8.4721
ENSG00000090104	8710	158.6670	12.8110
ENSG00000090273	7172	188.2770	15.2018
ENSG00000090432	8983	276.5750	22.3311
ENSG00000090621	43120	476.8560	38.5020
ENSG00000090686	9677	76.4246	6.1706
ENSG00000091483	1912	66.9384	5.4047
ENSG00000092607	32	0.6306	0.0509
ENSG00000092621	771	10.2807	0.8301
ENSG00000092847	32949	191.7750	15.4842
ENSG00000092850	83	3.1638	0.2554
ENSG00000092853	1292	17.9052	1.4457
ENSG00000092969	10	0.1464	0.0118
ENSG00000092978	1531	12.9952	1.0493
ENSG00000094963	1	0.0066	0.0005
ENSG00000094975	10646	123.4610	9.9684
ENSG00000097021	1261	19.3439	1.5619
ENSG00000097033	22401	251.6250	20.3166
ENSG00000097046	844	17.5910	1.4203
ENSG00000097096	42	0.4909	0.0396
ENSG00000099260	5	0.0649	0.0052
ENSG00000107404	4187	90.0861	7.2737
ENSG00000116128	3045	35.5773	2.8726
ENSG00000116132	1	0.0120	0.0010
ENSG00000116133	323	5.4537	0.4403
ENSG00000116138	1737	15.2111	1.2282
ENSG00000116141	10	0.1029	0.0083
ENSG00000116147	4	0.0515	0.0042
ENSG00000116151	311	4.4523	0.3595
ENSG00000116157	1850	82.0544	6.6252
ENSG00000116161	3080	51.2151	4.1352
ENSG00000116171	7058	63.7391	5.1464
ENSG00000116183	15	0.1023	0.0083
ENSG00000116191	1387	14.0167	1.1317
ENSG00000116194	99	2.1686	0.1751
ENSG00000116198	2129	20.2767	1.6372
ENSG00000116199	4666	57.9463	4.6787
ENSG00000116205	329	4.2341	0.3419
ENSG00000116209	19623	354.1240	28.5925
ENSG00000116212	1324	41.1929	3.3260
ENSG00000116213	4632	45.6816	3.6884
ENSG00000116218	61	2.4285	0.1961
ENSG00000116219	6	0.2149	0.0173
ENSG00000116221	6983	237.6370	19.1872
ENSG00000116237	1393	21.2700	1.7174
ENSG00000116251	18132	277.5250	22.4078
ENSG00000116254	71	0.5353	0.0432
ENSG00000116260	77530	624.5010	50.4231
ENSG00000116266	4470	56.8757	4.5922
ENSG00000116273	2925	59.6036	4.8125
ENSG00000116285	187	3.3497	0.2705
ENSG00000116288	7531	235.6540	19.0270
ENSG00000116299	325	2.6224	0.2117
ENSG00000116329	2	0.0840	0.0068
ENSG00000116337	32762	359.8590	29.0556
ENSG00000116350	31862	751.9410	60.7128
ENSG00000116353	317	5.9929	0.4839
ENSG00000116396	1596	12.8139	1.0346
ENSG00000116406	1816	18.0783	1.4597
ENSG00000116455	2200	58.8239	4.7495
ENSG00000116459	13647	302.5600	24.4291
ENSG00000116473	4751	62.1497	5.0181
ENSG00000116478	11715	219.1560	17.6949
ENSG00000116489	29363	533.2310	43.0539
ENSG00000116497	2804	22.8874	1.8480
ENSG00000116514	25136	722.3000	58.3196
ENSG00000116521	6554	201.3010	16.2533
ENSG00000116525	6379	120.4130	9.7223
ENSG00000116539	17776	100.2680	8.0958
ENSG00000116544	213	4.0176	0.3244
ENSG00000116560	207372	2094.3800	169.1034
ENSG00000116574	7744	132.8480	10.7264
ENSG00000116580	13603	83.9155	6.7755
ENSG00000116584	47180	477.2730	38.5358
ENSG00000116586	3718	193.9090	15.6565
ENSG00000116604	133686	1566.6300	126.4919
ENSG00000116641	253	1.7449	0.1409
ENSG00000116649	6896	272.4840	22.0007
ENSG00000116652	60	3.8434	0.3103
ENSG00000116661	60	1.9306	0.1559
ENSG00000116663	2872	118.9600	9.6050
ENSG00000116667	286	1.9556	0.1579
ENSG00000116668	568	10.5069	0.8483
ENSG00000116670	7317	161.2650	13.0208
ENSG00000116675	168	1.8276	0.1476
ENSG00000116678	1173	7.6782	0.6199
ENSG00000116679	13737	129.9390	10.4914
ENSG00000116685	5840	133.4850	10.7778
