gene	raw_counts	median_length_normalized	RPKM
ENSG00000000457	1319	25.7388	2.9338
ENSG00000000460	1143	13.4880	1.5374
ENSG00000000938	6837	145.5110	16.5859
ENSG00000000971	99	0.9093	0.1036
ENSG00000001460	321	2.8297	0.3225
ENSG00000001461	1498	11.9475	1.3618
ENSG00000004455	3722	49.1265	5.5996
ENSG00000004487	15826	347.4710	39.6061
ENSG00000006555	18	0.2230	0.0254
ENSG00000007341	1656	15.3113	1.7452
ENSG00000007908	15	0.2676	0.0305
ENSG00000007923	1242	18.0936	2.0624
ENSG00000007933	12	0.2599	0.0296
ENSG00000007968	28508	391.8040	44.6594
ENSG00000008118	43	1.1943	0.1361
ENSG00000008128	8933	142.0070	16.1866
ENSG00000008130	7890	103.1060	11.7525
ENSG00000009307	123047	1603.5700	182.7809
ENSG00000009709	0	0.0000	0.0000
ENSG00000009724	2884	50.8817	5.7997
ENSG00000009780	746	19.4461	2.2165
ENSG00000009790	4960	47.9791	5.4688
ENSG00000010072	3074	39.0366	4.4495
ENSG00000010165	786	15.3487	1.7495
ENSG00000010803	4133	69.6998	7.9446
ENSG00000010932	20	0.4250	0.0484
ENSG00000011007	6367	88.5745	10.0961
ENSG00000011009	3499	119.5070	13.6219
ENSG00000011021	9301	101.3320	11.5503
ENSG00000014914	207	3.3849	0.3858
ENSG00000016490	0	0.0000	0.0000
ENSG00000016602	3	0.0597	0.0068
ENSG00000018625	16	0.1866	0.0213
ENSG00000020129	330	5.0287	0.5732
ENSG00000020633	17795	289.8130	33.0340
ENSG00000021852	0	0.0000	0.0000
ENSG00000023572	175	10.1270	1.1543
ENSG00000023902	11056	132.9220	15.1510
ENSG00000023909	2838	39.6009	4.5139
ENSG00000024526	487	6.1919	0.7058
ENSG00000025800	22003	214.6750	24.4695
ENSG00000026751	380	6.1868	0.7052
ENSG00000027644	9	0.1274	0.0145
ENSG00000027869	160	4.7643	0.5430
ENSG00000028137	4926	98.1097	11.1829
ENSG00000031698	5985	117.0170	13.3381
ENSG00000033122	233	1.4542	0.1658
ENSG00000034971	0	0.0000	0.0000
ENSG00000035687	1840	37.6446	4.2909
ENSG00000036549	3725	31.0111	3.5348
ENSG00000037637	10831	90.4150	10.3059
ENSG00000040487	780	21.7859	2.4833
ENSG00000041988	2417	44.5160	5.0741
