gene	raw_counts	median_length_normalized	RPKM
ENSG00000000457	995	19.4087	2.4018
ENSG00000000460	380	4.4873	0.5553
ENSG00000000938	22104	470.4280	58.2146
ENSG00000000971	838	7.7144	0.9546
ENSG00000001460	159	1.4043	0.1738
ENSG00000001461	1043	8.3220	1.0298
ENSG00000004455	2279	30.0813	3.7225
ENSG00000004487	12094	265.5290	32.8587
ENSG00000006555	159	1.9661	0.2433
ENSG00000007341	1371	12.6774	1.5688
ENSG00000007908	2	0.0356	0.0044
ENSG00000007923	1341	19.5345	2.4174
ENSG00000007933	0	0.0000	0.0000
ENSG00000007968	11438	157.1960	19.4527
ENSG00000008118	126	3.5329	0.4372
ENSG00000008128	5432	86.3461	10.6852
ENSG00000008130	8562	111.8940	13.8466
ENSG00000009307	89220	1162.7300	143.8860
ENSG00000009709	5	0.0594	0.0074
ENSG00000009724	79	1.3985	0.1731
ENSG00000009780	1003	26.1645	3.2378
ENSG00000009790	2745	26.5551	3.2861
ENSG00000010072	2418	30.7018	3.7993
ENSG00000010165	588	11.4804	1.4207
ENSG00000010803	4368	73.6706	9.1166
ENSG00000010932	0	0.0000	0.0000
ENSG00000011007	19740	274.6310	33.9851
ENSG00000011009	2803	95.7240	11.8457
ENSG00000011021	4043	44.0462	5.4506
ENSG00000014914	994	16.2407	2.0098
ENSG00000016490	0	0.0000	0.0000
ENSG00000016602	0	0.0000	0.0000
ENSG00000018625	4	0.0476	0.0059
ENSG00000020129	595	9.0791	1.1235
ENSG00000020633	24147	393.2720	48.6667
ENSG00000021852	2	0.0550	0.0068
ENSG00000023572	276	15.9069	1.9685
ENSG00000023902	12154	146.1310	18.0835
ENSG00000023909	1130	15.7771	1.9524
ENSG00000024526	544	6.9050	0.8545
ENSG00000025800	24326	237.3380	29.3702
ENSG00000026751	1155	18.8093	2.3276
ENSG00000027644	6	0.0882	0.0109
ENSG00000027869	499	14.9013	1.8440
ENSG00000028137	30770	612.7880	75.8314
ENSG00000031698	4708	92.0446	11.3903
ENSG00000033122	510	3.1868	0.3944
ENSG00000034971	0	0.0000	0.0000
ENSG00000035687	2569	52.5548	6.5036
ENSG00000036549	6494	54.0668	6.6907
ENSG00000037637	8793	73.4071	9.0840
ENSG00000040487	466	13.0235	1.6116
ENSG00000041988	1140	20.9958	2.5982
ENSG00000042781	4	0.0134	0.0017
ENSG00000043514	1161	28.3579	3.5092
ENSG00000044012	0	0.0000	0.0000
ENSG00000047410	29302	215.8790	26.7146
ENSG00000048707	12127	44.7045	5.5321
ENSG00000049089	910	16.4336	2.0336
ENSG00000049239	2159	17.7635	2.1982
ENSG00000049245	16463	447.3580	55.3597
ENSG00000049246	643	6.7922	0.8405
ENSG00000049247	4	0.1677	0.0208
ENSG00000049249	605	19.8717	2.4591
ENSG00000050628	37	0.2839	0.0351
ENSG00000052723	6687	85.0935	10.5302
ENSG00000053371	1209	50.9068	6.2996
ENSG00000053372	777	20.6534	2.5558
ENSG00000054116	1581	35.7845	4.4283
ENSG00000054118	13545	214.5070	26.5448
ENSG00000054267	36609	247.9640	30.6850
ENSG00000054277	883	19.0399	2.3561
ENSG00000054282	901	12.8763	1.5934
ENSG00000054392	143	2.4951	0.3088
ENSG00000054523	13914	58.9806	7.2987
ENSG00000055070	14237	224.9380	27.8356
ENSG00000055732	8	0.0897	0.0111
ENSG00000057252	5827	62.1409	7.6898
ENSG00000057468	164	3.7713	0.4667
ENSG00000057757	5227	179.3370	22.1926
ENSG00000058085	4	0.0459	0.0057
ENSG00000058453	370	2.2654	0.2803
ENSG00000058668	13224	102.0270	12.6257
ENSG00000058673	30512	235.9210	29.1948
ENSG00000058799	1384	45.9191	5.6824
ENSG00000058804	1994	29.1207	3.6036
ENSG00000059588	8085	78.3114	9.6909
ENSG00000060642	1986	44.0435	5.4503
ENSG00000060656	324	3.6213	0.4481
ENSG00000060688	4302	80.4388	9.9542
ENSG00000060718	142	1.2915	0.1598
ENSG00000064703	4377	54.5351	6.7486
ENSG00000064886	122	2.7809	0.3441
ENSG00000065135	17676	413.4990	51.1697
ENSG00000065183	1259	22.7026	2.8094
ENSG00000065243	12385	132.4260	16.3875
ENSG00000065526	76036	428.9680	53.0840
ENSG00000065600	676	17.3895	2.1519
ENSG00000065978	70915	2755.7800	341.0229
ENSG00000066027	24122	468.3310	57.9550
ENSG00000066056	1718	19.2454	2.3816
ENSG00000066135	2573	37.3186	4.6181
ENSG00000066136	4178	52.3444	6.4775
ENSG00000066185	31	1.0483	0.1297
ENSG00000066279	6237	42.9640	5.3167
ENSG00000066294	8468	68.6259	8.4923
ENSG00000066322	2877	87.7393	10.8576
ENSG00000066557	5747	149.4420	18.4932
ENSG00000067208	579	5.2516	0.6499
ENSG00000067334	12670	158.2480	19.5828
ENSG00000067533	2098	19.9638	2.4705
ENSG00000067606	370	3.6362	0.4500
ENSG00000067704	2969	53.4957	6.6200
ENSG00000069248	5920	87.8017	10.8653
ENSG00000069275	19352	221.7270	27.4383
ENSG00000069424	12449	114.9010	14.2187
ENSG00000069702	814	7.0513	0.8726
ENSG00000069712	219	3.5488	0.4392
ENSG00000069812	20	0.2774	0.0343
ENSG00000070759	1406	30.4829	3.7722
