gene	raw_counts	median_length_normalized	RPKM
ENSG00000000457	905	17.6514	2.1252
ENSG00000000460	2003	23.6446	2.8468
ENSG00000000938	58408	1243.0800	149.6647
ENSG00000000971	460	4.2374	0.5102
ENSG00000001460	333	2.9348	0.3533
ENSG00000001461	1937	15.4469	1.8598
ENSG00000004455	15806	208.5990	25.1149
ENSG00000004487	8272	181.6110	21.8656
ENSG00000006555	45	0.5559	0.0669
ENSG00000007341	2057	19.0159	2.2895
ENSG00000007908	2	0.0356	0.0043
ENSG00000007923	2909	42.3915	5.1039
ENSG00000007933	0	0.0000	0.0000
ENSG00000007968	6362	87.4394	10.5275
ENSG00000008118	0	0.0000	0.0000
ENSG00000008128	3708	58.9517	7.0977
ENSG00000008130	10792	141.0300	16.9797
ENSG00000009307	85723	1117.1600	134.5035
ENSG00000009709	0	0.0000	0.0000
ENSG00000009724	2	0.0353	0.0042
ENSG00000009780	962	25.0928	3.0211
ENSG00000009790	6277	60.7211	7.3107
ENSG00000010072	2247	28.5344	3.4355
ENSG00000010165	908	17.7270	2.1343
ENSG00000010803	6328	106.7270	12.8498
ENSG00000010932	16	0.3358	0.0404
ENSG00000011007	6526	90.7852	10.9304
ENSG00000011009	3384	115.5740	13.9149
ENSG00000011021	6998	76.2379	9.1789
ENSG00000014914	2040	33.3230	4.0120
ENSG00000016490	0	0.0000	0.0000
ENSG00000016602	0	0.0000	0.0000
ENSG00000018625	0	0.0000	0.0000
ENSG00000020129	2888	44.0563	5.3043
ENSG00000020633	14440	235.1870	28.3161
ENSG00000021852	4	0.1099	0.0132
ENSG00000023572	268	15.4704	1.8626
ENSG00000023902	13825	166.2240	20.0130
ENSG00000023909	743	10.3671	1.2482
ENSG00000024526	657	8.3460	1.0048
ENSG00000025800	15229	148.5830	17.8892
ENSG00000026751	822	13.3929	1.6125
ENSG00000027644	5	0.0735	0.0089
ENSG00000027869	812	24.2552	2.9203
ENSG00000028137	35124	699.5040	84.2190
ENSG00000031698	7489	146.4260	17.6295
ENSG00000033122	0	0.0000	0.0000
ENSG00000034971	0	0.0000	0.0000
ENSG00000035687	3784	77.4171	9.3209
ENSG00000036549	5014	41.7431	5.0258
ENSG00000037637	6429	53.6673	6.4614
ENSG00000040487	903	25.2130	3.0356
