gene	raw_counts	median_length_normalized	RPKM
ENSG00000000457	2324	45.3525	3.9165
ENSG00000000460	1661	19.6075	1.6932
ENSG00000000938	52840	1124.5700	97.1138
ENSG00000000971	44	0.4070	0.0352
ENSG00000001460	736	6.4820	0.5598
ENSG00000001461	3534	28.1825	2.4337
ENSG00000004455	7751	102.2880	8.8333
ENSG00000004487	8890	195.1790	16.8550
ENSG00000006555	119	1.4796	0.1278
ENSG00000007341	2967	27.4316	2.3689
ENSG00000007908	6	0.1000	0.0086
ENSG00000007923	4077	59.4020	5.1297
ENSG00000007933	0	0.0000	0.0000
ENSG00000007968	12181	167.4080	14.4568
ENSG00000008118	73	2.0340	0.1756
ENSG00000008128	10671	169.6270	14.6484
ENSG00000008130	35799	467.8410	40.4011
ENSG00000009307	134521	1753.0900	151.3910
ENSG00000009709	6	0.0713	0.0062
ENSG00000009724	3379	59.6149	5.1481
ENSG00000009780	2588	67.4955	5.8287
ENSG00000009790	17629	170.5400	14.7272
ENSG00000010072	5454	69.2626	5.9813
ENSG00000010165	2312	45.1231	3.8967
ENSG00000010803	6804	114.7580	9.9101
ENSG00000010932	14	0.2952	0.0255
ENSG00000011007	11106	154.5030	13.3423
ENSG00000011009	7200	245.9080	21.2357
ENSG00000011021	11401	124.2170	10.7269
ENSG00000014914	6609	107.9680	9.3237
ENSG00000016490	0	0.0000	0.0000
ENSG00000016602	1	0.0230	0.0020
ENSG00000018625	8	0.0989	0.0085
ENSG00000020129	2117	32.2979	2.7891
ENSG00000020633	16195	263.7630	22.7776
ENSG00000021852	0	0.0004	0.0000
ENSG00000023572	977	56.3803	4.8688
ENSG00000023902	38031	457.2460	39.4862
ENSG00000023909	1304	18.1999	1.5717
ENSG00000024526	1147	14.5691	1.2581
ENSG00000025800	22666	221.1430	19.0971
ENSG00000026751	1080	17.5938	1.5193
ENSG00000027644	18	0.2619	0.0226
ENSG00000027869	604	18.0406	1.5579
ENSG00000028137	45572	907.5740	78.3749
ENSG00000031698	11679	228.3470	19.7192
ENSG00000033122	286	1.7859	0.1542
ENSG00000034971	2	0.0720	0.0062
ENSG00000035687	9286	189.9700	16.4051
ENSG00000036549	4127	34.3609	2.9673
ENSG00000037637	10106	84.3673	7.2857
ENSG00000040487	5756	160.7240	13.8796
ENSG00000041988	4360	80.3003	6.9345
ENSG00000042781	6	0.0228	0.0020
ENSG00000043514	2127	51.9336	4.4848
ENSG00000044012	0	0.0000	0.0000
ENSG00000047410	38353	282.5590	24.4008
ENSG00000048707	30350	111.8780	9.6614
ENSG00000049089	2160	39.0332	3.3708
ENSG00000049239	18071	148.6580	12.8376
ENSG00000049245	31651	860.0810	74.2736
ENSG00000049246	880	9.2946	0.8027
ENSG00000049247	79	3.3068	0.2856
ENSG00000049249	110	3.5998	0.3109
ENSG00000050628	22	0.1709	0.0148
ENSG00000052723	9790	124.5740	10.7578
ENSG00000053371	2889	121.6440	10.5048
ENSG00000053372	1949	51.8104	4.4742
ENSG00000054116	7044	159.4610	13.7705
ENSG00000054118	28134	445.5370	38.4750
ENSG00000054267	26256	177.8400	15.3576
ENSG00000054277	6810	146.7610	12.6737
ENSG00000054282	2535	36.2371	3.1293
ENSG00000054392	34	0.5917	0.0511
ENSG00000054523	23373	99.0768	8.5559
ENSG00000055070	22500	355.4850	30.6984
ENSG00000055732	2271	25.7131	2.2205
ENSG00000057252	13230	141.0830	12.1834
ENSG00000057468	42	0.9562	0.0826
ENSG00000057757	11150	382.5320	33.0341
ENSG00000058085	2	0.0229	0.0020
ENSG00000058453	525	3.2113	0.2773
ENSG00000058668	22805	175.9470	15.1942
ENSG00000058673	59968	463.6710	40.0411
ENSG00000058799	5475	181.6280	15.6847
ENSG00000058804	4177	61.0019	5.2679
ENSG00000059588	4410	42.7188	3.6890
ENSG00000060642	1319	29.2552	2.5264
ENSG00000060656	85	0.9527	0.0823
ENSG00000060688	8642	161.6000	13.9552
ENSG00000060718	0	0.0000	0.0000
ENSG00000064703	5395	67.2203	5.8049
ENSG00000064886	458	10.4170	0.8996
ENSG00000065135	18432	431.1820	37.2353
ENSG00000065183	2221	40.0466	3.4583
ENSG00000065243	16366	174.9950	15.1120
ENSG00000065526	52891	298.3900	25.7679
ENSG00000065600	12842	330.5160	28.5422
ENSG00000065978	62141	2414.8000	208.5338
ENSG00000066027	18401	357.2510	30.8509
ENSG00000066056	69	0.7686	0.0664
ENSG00000066135	10284	149.1280	12.8782
ENSG00000066136	4766	59.7074	5.1561
ENSG00000066185	45	1.5353	0.1326
ENSG00000066279	7404	51.0075	4.4048
ENSG00000066294	4738	38.3946	3.3156
ENSG00000066322	8315	253.6230	21.9020
ENSG00000066557	5606	145.7760	12.5887
ENSG00000067208	3892	35.2907	3.0476
ENSG00000067334	12941	161.6300	13.9578
ENSG00000067533	1904	18.1162	1.5644
ENSG00000067606	1596	15.6740	1.3536
ENSG00000067704	16471	296.8170	25.6321
ENSG00000069248	12768	189.3580	16.3523
ENSG00000069275	33759	386.7930	33.4021
ENSG00000069424	43928	405.4400	35.0124
ENSG00000069702	934	8.0934	0.6989
ENSG00000069712	627	10.1648	0.8778
ENSG00000069812	15	0.2053	0.0177
ENSG00000070759	3387	73.4234	6.3406
ENSG00000070785	1397	34.4344	2.9736
ENSG00000070831	59241	1280.4300	110.5733
ENSG00000070886	6	0.0840	0.0073
ENSG00000072694	86	0.9214	0.0796
ENSG00000073754	43	1.3131	0.1134
ENSG00000073756	2480	35.2987	3.0483
ENSG00000074800	121161	2217.9800	191.5372
ENSG00000074964	1318	12.5970	1.0878
ENSG00000075151	20282	180.4660	15.5844
ENSG00000075391	1427	9.0548	0.7819
ENSG00000075945	2375	35.5213	3.0675
ENSG00000076258	235	6.9984	0.6044
ENSG00000076321	3346	58.9859	5.0938
ENSG00000076356	1797	9.7795	0.8445
ENSG00000076864	930	10.9931	0.9493
ENSG00000077152	1769	124.5490	10.7556
ENSG00000077157	13302	69.2829	5.9830
ENSG00000077254	8475	91.8844	7.9348
ENSG00000077522	852	11.7882	1.0180
ENSG00000077549	29796	642.1590	55.4546
ENSG00000077585	3495	115.0320	9.9337
ENSG00000078369	63042	770.5610	66.5430
ENSG00000078618	13806	156.4330	13.5090
ENSG00000078808	16745	267.3750	23.0896
ENSG00000078900	102	1.3762	0.1188
ENSG00000079277	9674	90.0220	7.7740
ENSG00000079335	6784	88.8085	7.6692
ENSG00000079739	5289	95.2675	8.2270
ENSG00000080910	0	0.0000	0.0000
ENSG00000080947	1627	17.9118	1.5468
ENSG00000081019	8632	94.9418	8.1988
ENSG00000081026	980	8.9814	0.7756
ENSG00000081237	85349	752.4580	64.9796
ENSG00000081248	2	0.0292	0.0025
ENSG00000081277	0	0.0000	0.0000
ENSG00000081692	2666	46.3451	4.0022
ENSG00000081721	4700	200.0730	17.2776
ENSG00000081870	2801	76.1493	6.5760
ENSG00000081985	353	6.2485	0.5396
ENSG00000082482	0	0.0000	0.0000
ENSG00000082497	2	0.0274	0.0024
ENSG00000082512	1891	15.7221	1.3577
ENSG00000083444	2639	37.1507	3.2082
ENSG00000084070	73350	1667.5600	144.0047
ENSG00000084072	3024	28.0979	2.4264
ENSG00000084073	5909	124.0730	10.7145
ENSG00000084623	16308	709.0260	61.2290
ENSG00000084628	22	0.5524	0.0477
ENSG00000084636	21	0.1624	0.0140
ENSG00000084652	22505	330.7580	28.5631
ENSG00000085433	4790	79.1918	6.8387
ENSG00000085465	5155	129.4030	11.1748
ENSG00000085491	5931	67.9378	5.8669
ENSG00000085552	425	4.8127	0.4156
ENSG00000085831	193	1.5422	0.1332
ENSG00000085832	18119	179.9670	15.5413
ENSG00000085840	8028	190.7080	16.4689
ENSG00000085998	1566	18.4488	1.5932
ENSG00000085999	2215	51.7214	4.4665
ENSG00000086015	7836	66.2163	5.7182
ENSG00000086619	3604	47.5248	4.1041
ENSG00000088035	1094	16.5843	1.4322
ENSG00000088280	84	1.2843	0.1109
ENSG00000090020	12379	155.3820	13.4183
ENSG00000090104	3330	60.6641	5.2387
ENSG00000090273	11487	301.5560	26.0413
ENSG00000090432	4634	142.6650	12.3201
ENSG00000090621	33671	372.3560	32.1554
ENSG00000090686	15779	124.6140	10.7612
ENSG00000091483	9429	330.1550	28.5110
ENSG00000092607	88	1.7341	0.1498
ENSG00000092621	1982	26.4409	2.2833
ENSG00000092847	72036	419.2670	36.2065
ENSG00000092850	64	2.4343	0.2102
ENSG00000092853	4189	58.0612	5.0140
ENSG00000092969	30	0.4331	0.0374
ENSG00000092978	3703	31.4234	2.7136
ENSG00000094963	0	0.0000	0.0000
ENSG00000094975	12764	148.0340	12.7837
ENSG00000097021	4684	71.8674	6.2062
ENSG00000097033	20661	232.0730	20.0410
ENSG00000097046	1877	39.1198	3.3783
ENSG00000097096	606	7.0443	0.6083
ENSG00000099260	4	0.0453	0.0039
ENSG00000107404	5399	116.1610	10.0312
ENSG00000116128	5374	62.7854	5.4219
ENSG00000116132	5	0.0455	0.0039
ENSG00000116133	2332	39.3747	3.4003
ENSG00000116138	4792	41.9709	3.6245
ENSG00000116141	8	0.0840	0.0073
ENSG00000116147	6	0.0850	0.0073
ENSG00000116151	685	9.8137	0.8475
ENSG00000116157	3764	166.9340	14.4158
ENSG00000116161	4501	74.8455	6.4634
ENSG00000116171	11726	105.8960	9.1448
ENSG00000116183	8	0.0516	0.0045
ENSG00000116191	4907	49.5825	4.2818
ENSG00000116194	157	3.4314	0.2963
ENSG00000116198	4726	45.0083	3.8868
ENSG00000116199	6074	75.4294	6.5138
ENSG00000116205	1857	23.9075	2.0646
ENSG00000116209	27619	498.4200	43.0418
ENSG00000116212	5425	168.7660	14.5741
ENSG00000116213	6517	64.2776	5.5508
ENSG00000116218	0	0.0000	0.0000
ENSG00000116219	0	0.0000	0.0000
ENSG00000116221	11527	392.2380	33.8723
ENSG00000116237	7135	108.9580	9.4093
ENSG00000116251	17715	271.1440	23.4151
ENSG00000116254	53	0.4016	0.0347
ENSG00000116260	82053	660.9320	57.0758
ENSG00000116266	10725	136.4500	11.7834
ENSG00000116273	13265	270.2800	23.3405
ENSG00000116285	655	11.7332	1.0132
ENSG00000116288	8220	257.1940	22.2104
ENSG00000116299	139	1.1252	0.0972
ENSG00000116329	2	0.0846	0.0073
ENSG00000116337	40360	443.3260	38.2841
ENSG00000116350	23019	543.2460	46.9128
ENSG00000116353	766	14.4933	1.2516
ENSG00000116396	645	5.1808	0.4474
ENSG00000116406	7149	71.1828	6.1471
ENSG00000116455	4622	123.5750	10.6715
ENSG00000116459	19515	432.6400	37.3613
ENSG00000116473	13501	176.6170	15.2520
ENSG00000116478	17308	323.8050	27.9626
ENSG00000116489	31607	573.9850	49.5673
ENSG00000116497	7257	59.2279	5.1147
ENSG00000116514	10403	298.9510	25.8164
ENSG00000116521	11036	338.9300	29.2688
ENSG00000116525	2596	49.0048	4.2319
ENSG00000116539	31652	178.5440	15.4184
ENSG00000116544	64	1.1976	0.1034
ENSG00000116560	118503	1196.8400	103.3551
ENSG00000116574	9184	157.5440	13.6049
ENSG00000116580	19174	118.2780	10.2141
ENSG00000116584	65122	658.7770	56.8897
ENSG00000116586	3840	200.2560	17.2934
ENSG00000116604	102455	1200.6500	103.6836
ENSG00000116641	1997	13.7750	1.1896
ENSG00000116649	9674	382.2710	33.0116
ENSG00000116652	73	4.7065	0.4064
ENSG00000116661	116	3.7252	0.3217
ENSG00000116663	3475	143.9190	12.4283
ENSG00000116667	660	4.5173	0.3901
ENSG00000116668	2514	46.5160	4.0170
ENSG00000116670	15371	338.7690	29.2549
ENSG00000116675	281	3.0533	0.2637
ENSG00000116678	712	4.6578	0.4022
ENSG00000116679	72287	683.7600	59.0472
ENSG00000116685	11879	271.5430	23.4495
ENSG00000116688	33688	507.5590	43.8311
ENSG00000116690	591	8.7745	0.7577
ENSG00000116691	3926	104.3770	9.0136
ENSG00000116698	27257	245.7990	21.2263
ENSG00000116701	29543	756.7390	65.3494
ENSG00000116703	32	1.7939	0.1549
ENSG00000116704	4072	42.6929	3.6868
ENSG00000116711	1903	49.6508	4.2877
ENSG00000116717	2242	81.2779	7.0189
ENSG00000116721	0	0.0000	0.0000
ENSG00000116726	0	0.0000	0.0000
ENSG00000116729	2378	39.5123	3.4121
ENSG00000116731	32158	221.0870	19.0923
ENSG00000116741	13307	478.4230	41.3150
ENSG00000116745	14	0.3916	0.0338
ENSG00000116747	13603	112.0880	9.6795
ENSG00000116748	3	0.0966	0.0083
ENSG00000116750	4485	93.4668	8.0715
ENSG00000116752	5565	321.3310	27.7490
ENSG00000116754	72982	645.7100	55.7613
ENSG00000116761	595	18.4880	1.5966
ENSG00000116771	96	2.8792	0.2486
ENSG00000116774	24	0.7912	0.0683
ENSG00000116783	355	4.5593	0.3937
ENSG00000116785	0	0.0000	0.0000
ENSG00000116786	53090	965.9820	83.4188
ENSG00000116791	774	14.2289	1.2288
ENSG00000116793	6474	67.7163	5.8477
ENSG00000116809	6766	119.6860	10.3357
ENSG00000116815	4251	178.8240	15.4426
ENSG00000116819	609	20.8762	1.8028
ENSG00000116824	1081	48.2710	4.1685
ENSG00000116830	5309	63.7031	5.5012
ENSG00000116833	1	0.0096	0.0008
ENSG00000116852	38044	234.8800	20.2835
ENSG00000116857	17729	339.6440	29.3305
ENSG00000116863	3380	151.7210	13.1021
ENSG00000116871	39511	562.1880	48.5486
ENSG00000116874	1152	22.4669	1.9402
ENSG00000116882	2	0.0799	0.0069
ENSG00000116883	809	33.0845	2.8571
ENSG00000116885	926	24.6159	2.1257
ENSG00000116898	7204	185.2830	16.0004
ENSG00000116903	7984	116.9690	10.1010
ENSG00000116906	6212	146.8280	12.6795
ENSG00000116918	12684	151.5080	13.0837
ENSG00000116922	1421	30.0211	2.5925
ENSG00000116954	12009	174.3160	15.0533
ENSG00000116957	5487	160.2610	13.8396
ENSG00000116962	45695	584.4290	50.4693
ENSG00000116977	42221	326.1110	28.1619
ENSG00000116981	11	0.7624	0.0658
ENSG00000116983	197	3.0459	0.2630
ENSG00000116984	13722	90.2621	7.7947
ENSG00000116985	570	8.3053	0.7172
ENSG00000116990	592	8.7607	0.7565
ENSG00000116991	6098	59.8563	5.1690
ENSG00000116996	0	0.0000	0.0000
ENSG00000117000	24609	291.3510	25.1600
ENSG00000117009	4132	52.1155	4.5005
ENSG00000117010	884	21.8170	1.8841
ENSG00000117013	256	4.5905	0.3964
ENSG00000117016	775	8.0355	0.6939
ENSG00000117020	1755	17.5573	1.5162
ENSG00000117036	8699	97.2715	8.4000
ENSG00000117054	3565	55.9408	4.8309
ENSG00000117069	0	0.0000	0.0000
ENSG00000117090	726	12.9080	1.1147
ENSG00000117091	4947	148.7600	12.8464
ENSG00000117114	4093	39.6465	3.4237
ENSG00000117115	10630	132.8280	11.4706
ENSG00000117118	10550	321.3760	27.7529
ENSG00000117122	80	2.0518	0.1772
ENSG00000117133	5729	248.6350	21.4713
ENSG00000117139	41811	341.3660	29.4792
ENSG00000117143	5258	115.7460	9.9954
ENSG00000117148	0	0.0000	0.0000
ENSG00000117151	7179	157.2570	13.5802
ENSG00000117152	0	0.0000	0.0000
ENSG00000117153	8416	177.7090	15.3463
ENSG00000117154	0	0.0000	0.0000
ENSG00000117155	6754	61.4194	5.3040
ENSG00000117174	2280	27.5963	2.3831
ENSG00000117215	26	0.7358	0.0635
ENSG00000117222	5375	91.5288	7.9041
ENSG00000117226	2579	45.0205	3.8878
ENSG00000117228	6693	100.5540	8.6835
ENSG00000117242	10466	176.6760	15.2571
ENSG00000117245	468	7.8559	0.6784
ENSG00000117262	863	11.5808	1.0001
ENSG00000117266	1126	11.1414	0.9621
ENSG00000117280	4067	78.5744	6.7854
ENSG00000117281	520	9.7657	0.8433
ENSG00000117289	100798	2084.8900	180.0441
ENSG00000117298	15193	156.8420	13.5444
ENSG00000117305	3154	40.7955	3.5230
ENSG00000117308	5454	103.4260	8.9315
ENSG00000117318	494	20.6327	1.7818
ENSG00000117322	263	4.0342	0.3484
ENSG00000117335	36810	317.0340	27.3780
ENSG00000117360	12305	171.7610	14.8327
ENSG00000117362	27942	604.2920	52.1846
ENSG00000117385	5155	57.1431	4.9347
ENSG00000117394	9480	190.0570	16.4127
ENSG00000117395	2531	53.7807	4.6443
ENSG00000117399	4359	160.4300	13.8542
ENSG00000117400	101	3.5503	0.3066
ENSG00000117407	44	1.2404	0.1071
ENSG00000117408	4944	72.9557	6.3002
ENSG00000117410	52885	1122.0200	96.8940
ENSG00000117411	2247	44.6096	3.8523
ENSG00000117419	2640	74.8884	6.4671
ENSG00000117425	351	5.1064	0.4410
ENSG00000117448	4640	111.5000	9.6288
ENSG00000117450	5129	252.7480	21.8264
ENSG00000117461	678	6.6228	0.5719
ENSG00000117472	37	1.1585	0.1001
ENSG00000117475	2745	53.9003	4.6546
ENSG00000117477	108	3.0745	0.2655
ENSG00000117479	2644	54.0125	4.6643
ENSG00000117480	709	19.1592	1.6545
ENSG00000117481	5227	46.2961	3.9980
ENSG00000117500	19448	154.7940	13.3675
ENSG00000117501	1	0.0219	0.0019
ENSG00000117505	11952	221.7120	19.1463
ENSG00000117507	0	0.0000	0.0000
ENSG00000117519	179	4.7501	0.4102
ENSG00000117523	105878	559.5290	48.3190
ENSG00000117525	306	7.9868	0.6897
ENSG00000117528	3176	31.0649	2.6827
ENSG00000117533	3620	52.6247	4.5445
ENSG00000117543	1795	45.3377	3.9152
ENSG00000117560	43	1.7083	0.1475
ENSG00000117569	6188	109.7420	9.4770
ENSG00000117586	124	2.3615	0.2039
ENSG00000117592	27070	857.7350	74.0710
ENSG00000117593	2406	48.9119	4.2239
ENSG00000117594	14	0.6776	0.0585
ENSG00000117595	327	5.1137	0.4416
ENSG00000117597	1364	20.3621	1.7584
ENSG00000117598	0	0.0000	0.0000
ENSG00000117600	4	0.0542	0.0047
ENSG00000117601	25	1.0675	0.0922
ENSG00000117602	3973	101.3600	8.7530
ENSG00000117614	21327	474.6430	40.9885
ENSG00000117616	17809	196.3030	16.9520
ENSG00000117620	5347	64.2536	5.5487
ENSG00000117625	23875	196.9480	17.0077
ENSG00000117632	12408	148.6290	12.8351
ENSG00000117640	7060	91.0397	7.8619
ENSG00000117643	937	7.7937	0.6730
ENSG00000117650	3236	80.1876	6.9247
ENSG00000117676	37521	478.2640	41.3013
ENSG00000117682	7759	103.9940	8.9806
ENSG00000117691	7179	417.3930	36.0446
ENSG00000117697	3292	60.3488	5.2115
ENSG00000117707	36	0.3035	0.0262
ENSG00000117713	57479	466.2470	40.2635
ENSG00000117724	13457	86.5379	7.4731
ENSG00000117748	9100	338.0200	29.1903
ENSG00000117751	6417	170.7340	14.7440
ENSG00000117758	9944	193.9170	16.7460
ENSG00000117791	170	4.9262	0.4254
ENSG00000117834	71	1.1751	0.1015
ENSG00000117859	21173	162.0710	13.9959
