gene	raw_counts	median_length_normalized	RPKM
ENSG00000000457	891	17.3868	2.7041
ENSG00000000460	1031	12.1750	1.8936
ENSG00000000938	26494	563.8530	87.6948
ENSG00000000971	731	6.7289	1.0465
ENSG00000001460	154	1.3557	0.2108
ENSG00000001461	629	5.0182	0.7805
ENSG00000004455	24381	321.7680	50.0438
ENSG00000004487	5077	111.4730	17.3372
ENSG00000006555	20	0.2479	0.0385
ENSG00000007341	761	7.0391	1.0948
ENSG00000007908	2	0.0356	0.0055
ENSG00000007923	1051	15.3093	2.3810
ENSG00000007933	1	0.0133	0.0021
ENSG00000007968	3502	48.1345	7.4863
ENSG00000008118	2	0.0561	0.0087
ENSG00000008128	2769	44.0233	6.8468
ENSG00000008130	10647	139.1410	21.6404
ENSG00000009307	76930	1002.5600	155.9265
ENSG00000009709	0	0.0000	0.0000
ENSG00000009724	0	0.0000	0.0000
ENSG00000009780	621	16.1815	2.5167
ENSG00000009790	3522	34.0660	5.2982
ENSG00000010072	1018	12.9294	2.0109
ENSG00000010165	488	9.5321	1.4825
ENSG00000010803	5609	94.6024	14.7133
ENSG00000010932	1	0.0210	0.0033
ENSG00000011007	3150	43.8165	6.8147
ENSG00000011009	2506	85.5779	13.3097
ENSG00000011021	2688	29.2882	4.5551
ENSG00000014914	6818	111.3730	17.3216
ENSG00000016490	0	0.0000	0.0000
ENSG00000016602	0	0.0000	0.0000
ENSG00000018625	0	0.0000	0.0000
ENSG00000020129	549	8.3760	1.3027
ENSG00000020633	6908	112.5110	17.4986
ENSG00000021852	0	0.0000	0.0000
ENSG00000023572	370	21.3464	3.3200
ENSG00000023902	2627	31.5869	4.9126
ENSG00000023909	282	3.9360	0.6122
ENSG00000024526	431	5.4754	0.8516
ENSG00000025800	9746	95.0864	14.7886
ENSG00000026751	262	4.2624	0.6629
ENSG00000027644	4	0.0592	0.0092
ENSG00000027869	99	2.9447	0.4580
ENSG00000028137	24946	496.8070	77.2673
ENSG00000031698	5431	106.1810	16.5140
ENSG00000033122	4	0.0250	0.0039
ENSG00000034971	2	0.0720	0.0112
ENSG00000035687	3313	67.7736	10.5407
ENSG00000036549	2329	19.3940	3.0163
ENSG00000037637	3988	33.2929	5.1780
ENSG00000040487	1401	39.1310	6.0859
ENSG00000041988	448	8.2441	1.2822
ENSG00000042781	0	0.0000	0.0000
ENSG00000043514	572	13.9726	2.1731
ENSG00000044012	0	0.0000	0.0000
ENSG00000047410	9607	70.7805	11.0083
ENSG00000048707	2883	10.6260	1.6526
ENSG00000049089	2524	45.5972	7.0916
ENSG00000049239	10922	89.8496	13.9741
ENSG00000049245	10759	292.3670	45.4711
ENSG00000049246	560	5.9147	0.9199
ENSG00000049247	23	0.9495	0.1477
ENSG00000049249	45	1.4750	0.2294
ENSG00000050628	7	0.0544	0.0085
ENSG00000052723	3293	41.8982	6.5163
ENSG00000053371	4184	176.1900	27.4024
ENSG00000053372	1607	42.7059	6.6419
ENSG00000054116	1743	39.4564	6.1366
ENSG00000054118	8072	127.8360	19.8820
ENSG00000054267	11313	76.6245	11.9172
ENSG00000054277	1152	24.8339	3.8624
ENSG00000054282	2618	37.4248	5.8206
ENSG00000054392	333	5.8222	0.9055
ENSG00000054523	2000	8.4766	1.3183
ENSG00000055070	8180	129.2420	20.1007
ENSG00000055732	0	0.0000	0.0000
ENSG00000057252	5146	54.8767	8.5348
ENSG00000057468	33	0.7603	0.1183
ENSG00000057757	2410	82.6995	12.8620
ENSG00000058085	0	0.0000	0.0000
ENSG00000058453	625	3.8227	0.5945
ENSG00000058668	6031	46.5317	7.2370
ENSG00000058673	12744	98.5343	15.3248
ENSG00000058799	1551	51.4374	8.0000
ENSG00000058804	2156	31.4878	4.8972
ENSG00000059588	6689	64.7948	10.0774
ENSG00000060642	622	13.8004	2.1464
ENSG00000060656	158	1.7724	0.2756
ENSG00000060688	2210	41.3231	6.4269
ENSG00000060718	0	0.0000	0.0000
ENSG00000064703	3503	43.6450	6.7880
ENSG00000064886	76	1.7250	0.2683
