gene	raw_counts	median_length_normalized	RPKM
ENSG00000000457	870	16.9784	2.7101
ENSG00000000460	469	5.5335	0.8833
ENSG00000000938	19893	423.3800	67.5800
ENSG00000000971	53	0.4887	0.0780
ENSG00000001460	189	1.6682	0.2663
ENSG00000001461	1317	10.5055	1.6769
ENSG00000004455	2233	29.4756	4.7049
ENSG00000004487	3450	75.7567	12.0923
ENSG00000006555	147	1.8155	0.2898
ENSG00000007341	816	7.5474	1.2047
ENSG00000007908	0	0.0000	0.0000
ENSG00000007923	1026	14.9493	2.3862
ENSG00000007933	4	0.0866	0.0138
ENSG00000007968	5720	78.6214	12.5495
ENSG00000008118	22	0.6151	0.0982
ENSG00000008128	2804	44.5799	7.1158
ENSG00000008130	5163	67.4787	10.7709
ENSG00000009307	31494	410.4340	65.5134
ENSG00000009709	0	0.0000	0.0000
ENSG00000009724	11	0.1891	0.0302
ENSG00000009780	564	14.7177	2.3492
ENSG00000009790	6257	60.5261	9.6612
ENSG00000010072	1522	19.3231	3.0844
ENSG00000010165	430	8.3893	1.3391
ENSG00000010803	1766	29.7828	4.7539
ENSG00000010932	0	0.0090	0.0014
ENSG00000011007	4553	63.3359	10.1097
ENSG00000011009	2147	73.3251	11.7042
ENSG00000011021	3187	34.7191	5.5419
ENSG00000014914	312	5.0982	0.8138
ENSG00000016490	0	0.0000	0.0000
ENSG00000016602	6	0.1233	0.0197
ENSG00000018625	0	0.0000	0.0000
ENSG00000020129	431	6.5768	1.0498
ENSG00000020633	20808	338.8900	54.0937
ENSG00000021852	0	0.0000	0.0000
ENSG00000023572	317	18.3095	2.9226
ENSG00000023902	10907	131.1380	20.9322
ENSG00000023909	1653	23.0659	3.6818
ENSG00000024526	895	11.3677	1.8145
ENSG00000025800	5302	51.7316	8.2574
ENSG00000026751	1375	22.4005	3.5756
ENSG00000027644	11	0.1600	0.0255
ENSG00000027869	617	18.4100	2.9386
ENSG00000028137	23272	463.4610	73.9776
ENSG00000031698	5841	114.1930	18.2275
ENSG00000033122	32	0.1993	0.0318
ENSG00000034971	0	0.0000	0.0000
ENSG00000035687	4065	83.1650	13.2748
ENSG00000036549	2625	21.8530	3.4882
ENSG00000037637	2978	24.8645	3.9689
ENSG00000040487	500	13.9736	2.2305
ENSG00000041988	700	12.8910	2.0576
ENSG00000042781	1	0.0031	0.0005
ENSG00000043514	652	15.9222	2.5415
ENSG00000044012	0	0.0000	0.0000
ENSG00000047410	12229	90.0965	14.3812
ENSG00000048707	5490	20.2360	3.2301
ENSG00000049089	240	4.3438	0.6933
ENSG00000049239	3735	30.7272	4.9047
ENSG00000049245	8144	221.3180	35.3267
ENSG00000049246	308	3.2501	0.5188
ENSG00000049247	556	23.3674	3.7299
ENSG00000049249	84	2.7583	0.4403
ENSG00000050628	10	0.0777	0.0124
ENSG00000052723	2418	30.7693	4.9114
ENSG00000053371	409	17.2128	2.7475
ENSG00000053372	420	11.1605	1.7814
ENSG00000054116	1634	37.0015	5.9062
ENSG00000054118	7604	120.4160	19.2208
ENSG00000054267	13064	88.4822	14.1235
ENSG00000054277	924	19.9069	3.1775
ENSG00000054282	907	12.9695	2.0702
ENSG00000054392	70	1.2232	0.1953
ENSG00000054523	3091	13.1046	2.0917
ENSG00000055070	6093	96.2718	15.3669
ENSG00000055732	2	0.0226	0.0036
ENSG00000057252	3083	32.8770	5.2478
ENSG00000057468	0	0.0003	0.0000
ENSG00000057757	5081	174.3100	27.8233
ENSG00000058085	0	0.0000	0.0000
ENSG00000058453	227	1.3883	0.2216
ENSG00000058668	4861	37.5044	5.9865
ENSG00000058673	13537	104.6700	16.7074
ENSG00000058799	1864	61.8275	9.8689
ENSG00000058804	1364	19.9188	3.1794
ENSG00000059588	2852	27.6202	4.4087
ENSG00000060642	369	8.1777	1.3053
ENSG00000060656	51	0.5734	0.0915
ENSG00000060688	2334	43.6355	6.9651
ENSG00000060718	36	0.3307	0.0528
ENSG00000064703	2892	36.0347	5.7519
ENSG00000064886	335	7.6222	1.2167
ENSG00000065135	8300	194.1560	30.9912
ENSG00000065183	807	14.5602	2.3241
ENSG00000065243	6575	70.3038	11.2219
ENSG00000065526	26306	148.4070	23.6888
ENSG00000065600	866	22.2780	3.5560
ENSG00000065978	28113	1092.4600	174.3792
ENSG00000066027	9419	182.8780	29.1910
ENSG00000066056	89	0.9931	0.1585
ENSG00000066135	1096	15.8917	2.5366
ENSG00000066136	3303	41.3715	6.6037
ENSG00000066185	21	0.7175	0.1145
ENSG00000066279	3867	26.6405	4.2524
ENSG00000066294	4137	33.5265	5.3515
ENSG00000066322	4879	148.8210	23.7547
ENSG00000066557	2824	73.4435	11.7231
ENSG00000067208	452	4.1003	0.6545
ENSG00000067334	8037	100.3830	16.0231
ENSG00000067533	1098	10.4489	1.6679
ENSG00000067606	357	3.5039	0.5593
ENSG00000067704	2079	37.4625	5.9798
ENSG00000069248	3205	47.5375	7.5879
ENSG00000069275	8358	95.7570	15.2847
ENSG00000069424	11290	104.2010	16.6325
ENSG00000069702	443	3.8387	0.6127
ENSG00000069712	249	4.0318	0.6436
ENSG00000069812	12	0.1665	0.0266
ENSG00000070759	1751	37.9529	6.0580
ENSG00000070785	240	5.9241	0.9456
ENSG00000070831	17583	380.0390	60.6619
ENSG00000070886	0	0.0000	0.0000
ENSG00000072694	280	3.0047	0.4796
ENSG00000073754	758	23.1592	3.6967
ENSG00000073756	6541	93.1070	14.8617
ENSG00000074800	40305	737.8290	117.7723
ENSG00000074964	139	1.3293	0.2122
ENSG00000075151	6829	60.7657	9.6994
ENSG00000075391	1211	7.6868	1.2270
ENSG00000075945	1165	17.4298	2.7821
ENSG00000076258	75	2.2328	0.3564
ENSG00000076321	1484	26.1723	4.1776
ENSG00000076356	292	1.5900	0.2538
ENSG00000076864	2565	30.3327	4.8417
ENSG00000077152	1239	87.2291	13.9235
ENSG00000077157	1277	6.6501	1.0615
ENSG00000077254	4298	46.5981	7.4380
ENSG00000077522	0	0.0000	0.0000
ENSG00000077549	14640	315.5070	50.3613
ENSG00000077585	1148	37.7894	6.0319
ENSG00000078369	22198	271.3240	43.3088
ENSG00000078618	5798	65.6932	10.4859
ENSG00000078808	4616	73.7136	11.7662
ENSG00000078900	6	0.0810	0.0129
ENSG00000079277	5041	46.9099	7.4878
ENSG00000079335	3595	47.0569	7.5112
ENSG00000079739	2562	46.1463	7.3659
ENSG00000080910	0	0.0000	0.0000
ENSG00000080947	59	0.6482	0.1035
ENSG00000081019	5729	63.0131	10.0581
ENSG00000081026	179	1.6406	0.2619
ENSG00000081237	74230	654.4330	104.4606
ENSG00000081248	0	0.0000	0.0000
ENSG00000081277	2	0.0242	0.0039
ENSG00000081692	352	6.1242	0.9776
ENSG00000081721	2134	90.8422	14.5003
ENSG00000081870	1645	44.7162	7.1376
ENSG00000081985	98	1.7364	0.2772
ENSG00000082482	0	0.0000	0.0000
ENSG00000082497	12	0.1646	0.0263
ENSG00000082512	2767	23.0057	3.6722
ENSG00000083444	869	12.2375	1.9534
ENSG00000084070	25050	569.4970	90.9030
ENSG00000084072	3415	31.7382	5.0660
ENSG00000084073	2181	45.7858	7.3083
ENSG00000084623	4493	195.3620	31.1837
ENSG00000084628	0	0.0000	0.0000
ENSG00000084636	4	0.0314	0.0050
ENSG00000084652	1820	26.7562	4.2708
ENSG00000085433	1716	28.3787	4.5298
ENSG00000085465	1169	29.3437	4.6838
ENSG00000085491	3020	34.5962	5.5222
ENSG00000085552	38	0.4305	0.0687
ENSG00000085831	114	0.9143	0.1459
ENSG00000085832	9025	89.6415	14.3086
ENSG00000085840	1570	37.2936	5.9528
ENSG00000085998	566	6.6651	1.0639
ENSG00000085999	499	11.6622	1.8615
ENSG00000086015	763	6.4513	1.0298
ENSG00000086619	1679	22.1355	3.5333
ENSG00000088035	1004	15.2262	2.4304
ENSG00000088280	28	0.4223	0.0674
ENSG00000090020	6125	76.8860	12.2725
ENSG00000090104	13944	254.0270	40.5478
ENSG00000090273	2661	69.8614	11.1513
ENSG00000090432	1636	50.3674	8.0396
ENSG00000090621	7727	85.4459	13.6389
ENSG00000090686	4097	32.3548	5.1645
ENSG00000091483	1336	46.7778	7.4667
ENSG00000092607	16	0.3153	0.0503
ENSG00000092621	437	5.8289	0.9304
ENSG00000092847	6894	40.1268	6.4050
ENSG00000092850	19	0.7336	0.1171
ENSG00000092853	660	9.1425	1.4593
ENSG00000092969	64	0.9346	0.1492
ENSG00000092978	788	6.6884	1.0676
ENSG00000094963	0	0.0000	0.0000
ENSG00000094975	6160	71.4449	11.4040
ENSG00000097021	607	9.3136	1.4866
ENSG00000097033	11656	130.9270	20.8985
ENSG00000097046	1022	21.2915	3.3986
ENSG00000097096	23	0.2621	0.0418
ENSG00000099260	0	0.0000	0.0000
ENSG00000107404	708	15.2375	2.4322
ENSG00000116128	2016	23.5561	3.7600
ENSG00000116132	3	0.0273	0.0044
ENSG00000116133	315	5.3193	0.8491
ENSG00000116138	1169	10.2431	1.6350
ENSG00000116141	3	0.0315	0.0050
ENSG00000116147	0	0.0000	0.0000
ENSG00000116151	70	1.0052	0.1604
ENSG00000116157	1675	74.3051	11.8606
ENSG00000116161	3053	50.7712	8.1041
ENSG00000116171	4119	37.1986	5.9376
ENSG00000116183	4	0.0275	0.0044
ENSG00000116191	2731	27.6017	4.4058
ENSG00000116194	0	0.0000	0.0000
ENSG00000116198	830	7.9021	1.2613
ENSG00000116199	2932	36.4085	5.8115
ENSG00000116205	276	3.5524	0.5670
ENSG00000116209	15534	280.3270	44.7458
ENSG00000116212	844	26.2484	4.1898
ENSG00000116213	1644	16.2138	2.5881
ENSG00000116218	0	0.0000	0.0000
ENSG00000116219	8	0.2978	0.0475
ENSG00000116221	3783	128.7200	20.5462
ENSG00000116237	779	11.8900	1.8979
ENSG00000116251	7262	111.1510	17.7419
ENSG00000116254	42	0.3185	0.0508
ENSG00000116260	14257	114.8390	18.3306
ENSG00000116266	7159	91.0846	14.5389
ENSG00000116273	1659	33.8006	5.3952
ENSG00000116285	150	2.6875	0.4290
ENSG00000116288	3817	119.4240	19.0625
ENSG00000116299	265	2.1400	0.3416
ENSG00000116329	0	0.0000	0.0000
ENSG00000116337	8061	88.5428	14.1332
ENSG00000116350	7847	185.1800	29.5584
ENSG00000116353	143	2.7062	0.4320
ENSG00000116396	163	1.3085	0.2089
ENSG00000116406	3299	32.8513	5.2437
ENSG00000116455	1330	35.5604	5.6762
ENSG00000116459	9401	208.4210	33.2681
ENSG00000116473	11149	145.8470	23.2800
ENSG00000116478	3783	70.7787	11.2977
ENSG00000116489	19891	361.2080	57.6560
ENSG00000116497	2649	21.6223	3.4513
ENSG00000116514	11341	325.8830	52.0175
ENSG00000116521	3098	95.1544	15.1886
ENSG00000116525	1911	36.0778	5.7587
ENSG00000116539	10975	61.9064	9.8815
ENSG00000116544	143	2.6988	0.4308
ENSG00000116560	30885	311.9300	49.7903
ENSG00000116574	1964	33.6974	5.3788
ENSG00000116580	4801	29.6165	4.7274
ENSG00000116584	11760	118.9650	18.9892
ENSG00000116586	1446	75.4019	12.0357
ENSG00000116604	19238	225.4450	35.9856
ENSG00000116641	1117	7.7082	1.2304
ENSG00000116649	1826	72.1401	11.5150
ENSG00000116652	14	0.9165	0.1463
ENSG00000116661	3	0.0964	0.0154
ENSG00000116663	787	32.5803	5.2005
ENSG00000116667	391	2.6713	0.4264
