gene	raw_counts	median_length_normalized	RPKM
ENSG00000000457	1460	28.4860	3.3692
ENSG00000000460	2013	23.7642	2.8108
ENSG00000000938	16537	351.9590	41.6289
ENSG00000000971	132	1.2140	0.1436
ENSG00000001460	787	6.9354	0.8203
ENSG00000001461	2575	20.5393	2.4293
ENSG00000004455	63726	841.0070	99.4722
ENSG00000004487	6763	148.4920	17.5632
ENSG00000006555	14	0.1734	0.0205
ENSG00000007341	2617	24.2003	2.8624
ENSG00000007908	10	0.1778	0.0210
ENSG00000007923	4974	72.4828	8.5731
ENSG00000007933	34	0.7329	0.0867
ENSG00000007968	677	9.2980	1.0997
ENSG00000008118	0	0.0000	0.0000
ENSG00000008128	4570	72.6418	8.5919
ENSG00000008130	5684	74.2788	8.7855
ENSG00000009307	75347	981.9300	116.1402
ENSG00000009709	0	0.0000	0.0000
ENSG00000009724	11	0.1962	0.0232
ENSG00000009780	500	13.0313	1.5413
ENSG00000009790	15697	151.8500	17.9605
ENSG00000010072	949	12.0494	1.4252
ENSG00000010165	2706	52.8069	6.2459
ENSG00000010803	5480	92.4171	10.9309
ENSG00000010932	2	0.0420	0.0050
ENSG00000011007	3521	48.9885	5.7942
ENSG00000011009	5820	198.7710	23.5101
ENSG00000011021	4699	51.1979	6.0556
ENSG00000014914	10521	171.8680	20.3281
ENSG00000016490	0	0.0000	0.0000
ENSG00000016602	0	0.0000	0.0000
ENSG00000018625	16	0.1896	0.0224
ENSG00000020129	4320	65.8949	7.7939
ENSG00000020633	8694	141.5890	16.7468
ENSG00000021852	0	0.0000	0.0000
ENSG00000023572	892	51.5135	6.0929
ENSG00000023902	5688	68.3847	8.0884
ENSG00000023909	392	5.4769	0.6478
ENSG00000024526	1162	14.7661	1.7465
ENSG00000025800	8676	84.6542	10.0127
ENSG00000026751	250	4.0725	0.4817
ENSG00000027644	2	0.0294	0.0035
ENSG00000027869	131	3.8997	0.4612
ENSG00000028137	8269	164.6740	19.4772
ENSG00000031698	13368	261.3640	30.9135
ENSG00000033122	18	0.1124	0.0133
ENSG00000034971	0	0.0000	0.0000
ENSG00000035687	4953	101.3230	11.9843
ENSG00000036549	6608	55.0177	6.5074
ENSG00000037637	4437	37.0398	4.3810
ENSG00000040487	8403	234.6450	27.7532
ENSG00000041988	989	18.2075	2.1535
ENSG00000042781	0	0.0000	0.0000
ENSG00000043514	2045	49.9515	5.9081
ENSG00000044012	0	0.0000	0.0000
ENSG00000047410	12697	93.5465	11.0644
ENSG00000048707	6807	25.0916	2.9678
ENSG00000049089	9624	173.8890	20.5671
ENSG00000049239	7160	58.8969	6.9662
ENSG00000049245	12224	332.1670	39.2879
ENSG00000049246	3335	35.2128	4.1649
