gene	raw_counts	median_length_normalized	RPKM
ENSG00000000457	3167	61.7820	6.6199
ENSG00000000460	496	5.8557	0.6274
ENSG00000000938	8977	191.0490	20.4708
ENSG00000000971	511	4.7070	0.5044
ENSG00000001460	388	3.4166	0.3661
ENSG00000001461	3609	28.7795	3.0837
ENSG00000004455	8508	112.2800	12.0308
ENSG00000004487	12184	267.4970	28.6622
ENSG00000006555	65	0.8071	0.0865
ENSG00000007341	1658	15.3277	1.6424
ENSG00000007908	42	0.7461	0.0799
ENSG00000007923	2051	29.8825	3.2019
ENSG00000007933	37	0.7950	0.0852
ENSG00000007968	11969	164.4940	17.6255
ENSG00000008118	12	0.3363	0.0360
ENSG00000008128	6638	105.5170	11.3061
ENSG00000008130	5640	73.7094	7.8979
ENSG00000009307	120930	1575.9800	168.8657
ENSG00000009709	0	0.0000	0.0000
ENSG00000009724	4	0.0703	0.0075
ENSG00000009780	1497	39.0504	4.1842
ENSG00000009790	2165	20.9442	2.2442
ENSG00000010072	3288	41.7548	4.4740
ENSG00000010165	864	16.8683	1.8074
ENSG00000010803	7202	121.4570	13.0140
ENSG00000010932	4	0.0839	0.0090
ENSG00000011007	9605	133.6300	14.3184
ENSG00000011009	3629	123.9570	13.2819
ENSG00000011021	4673	50.9070	5.4547
ENSG00000014914	381	6.2278	0.6673
ENSG00000016490	0	0.0000	0.0000
ENSG00000016602	0	0.0000	0.0000
ENSG00000018625	6	0.0715	0.0077
ENSG00000020129	1148	17.5119	1.8764
ENSG00000020633	51654	841.2700	90.1417
ENSG00000021852	0	0.0000	0.0000
ENSG00000023572	330	19.0362	2.0397
ENSG00000023902	22676	272.6300	29.2121
ENSG00000023909	2364	32.9879	3.5346
ENSG00000024526	881	11.1873	1.1987
ENSG00000025800	22962	224.0330	24.0050
ENSG00000026751	1790	29.1666	3.1252
ENSG00000027644	969	14.2482	1.5267
ENSG00000027869	11675	348.5780	37.3500
ENSG00000028137	23940	476.7720	51.0859
ENSG00000031698	8068	157.7380	16.9016
ENSG00000033122	2	0.0125	0.0013
ENSG00000034971	2	0.0720	0.0077
ENSG00000035687	4006	81.9553	8.7815
ENSG00000036549	5902	49.1379	5.2651
