gene	raw_counts	median_length_normalized	RPKM
ENSG00000000457	2075	40.4891	6.3494
ENSG00000000460	337	3.9786	0.6239
ENSG00000000938	5223	111.1500	17.4303
ENSG00000000971	12	0.1105	0.0173
ENSG00000001460	185	1.6330	0.2561
ENSG00000001461	1016	8.0994	1.2701
ENSG00000004455	6093	80.4047	12.6088
ENSG00000004487	8803	193.2770	30.3091
ENSG00000006555	22	0.2733	0.0429
ENSG00000007341	1521	14.0678	2.2061
ENSG00000007908	0	0.0000	0.0000
ENSG00000007923	474	6.9083	1.0833
ENSG00000007933	0	0.0000	0.0000
ENSG00000007968	2482	34.1151	5.3498
ENSG00000008118	14	0.3924	0.0615
ENSG00000008128	2457	39.0511	6.1239
ENSG00000008130	3649	47.6850	7.4778
ENSG00000009307	74579	971.9250	152.4142
ENSG00000009709	0	0.0000	0.0000
ENSG00000009724	6	0.1059	0.0166
ENSG00000009780	360	9.3870	1.4720
ENSG00000009790	2573	24.8879	3.9029
ENSG00000010072	1901	24.1448	3.7863
ENSG00000010165	133	2.5972	0.4073
ENSG00000010803	2199	37.0872	5.8159
ENSG00000010932	4	0.0839	0.0132
ENSG00000011007	3267	45.4576	7.1285
ENSG00000011009	1568	53.5387	8.3958
ENSG00000011021	5864	63.8881	10.0187
ENSG00000014914	2742	44.8011	7.0256
ENSG00000016490	0	0.0000	0.0000
ENSG00000016602	0	0.0000	0.0000
ENSG00000018625	0	0.0000	0.0000
ENSG00000020129	275	4.1956	0.6580
ENSG00000020633	3857	62.8235	9.8518
ENSG00000021852	0	0.0000	0.0000
ENSG00000023572	303	17.4981	2.7440
ENSG00000023902	8010	96.3025	15.1019
ENSG00000023909	1153	16.0893	2.5231
ENSG00000024526	243	3.0838	0.4836
ENSG00000025800	9055	88.3468	13.8543
ENSG00000026751	493	8.0263	1.2587
ENSG00000027644	17	0.2564	0.0402
ENSG00000027869	1376	41.0951	6.4444
ENSG00000028137	9884	196.8320	30.8666
ENSG00000031698	7453	145.7190	22.8512
ENSG00000033122	4	0.0250	0.0039
ENSG00000034971	0	0.0000	0.0000
ENSG00000035687	1549	31.6890	4.9694
ENSG00000036549	3502	29.1591	4.5726
ENSG00000037637	5441	45.4236	7.1232
ENSG00000040487	609	17.0022	2.6663
ENSG00000041988	1121	20.6469	3.2378
ENSG00000042781	0	0.0000	0.0000
ENSG00000043514	1088	26.5744	4.1673
ENSG00000044012	0	0.0000	0.0000
ENSG00000047410	10919	80.4440	12.6150
ENSG00000048707	3756	13.8466	2.1714
ENSG00000049089	1061	19.1701	3.0062
ENSG00000049239	1329	10.9364	1.7150
ENSG00000049245	8145	221.3210	34.7069
