gene	raw_counts	median_length_normalized	RPKM
ENSG00000000457	2186	42.6444	6.7744
ENSG00000000460	1308	15.4353	2.4520
ENSG00000000938	1012	21.5448	3.4225
ENSG00000000971	0	0.0000	0.0000
ENSG00000001460	522	4.5941	0.7298
ENSG00000001461	1432	11.4187	1.8139
ENSG00000004455	6573	86.7482	13.7806
ENSG00000004487	14632	321.2480	51.0325
ENSG00000006555	0	0.0000	0.0000
ENSG00000007341	1250	11.5549	1.8356
ENSG00000007908	0	0.0000	0.0000
ENSG00000007923	1921	27.9881	4.4461
ENSG00000007933	0	0.0000	0.0000
ENSG00000007968	273	3.7543	0.5964
ENSG00000008118	0	0.0000	0.0000
ENSG00000008128	7354	116.8960	18.5698
ENSG00000008130	2704	35.3316	5.6127
ENSG00000009307	90555	1180.1200	187.4704
ENSG00000009709	0	0.0000	0.0000
ENSG00000009724	9	0.1588	0.0252
ENSG00000009780	387	10.0876	1.6025
ENSG00000009790	1366	13.2153	2.0993
ENSG00000010072	3540	44.9501	7.1406
ENSG00000010165	434	8.4791	1.3470
ENSG00000010803	4556	76.8383	12.2063
ENSG00000010932	0	0.0000	0.0000
ENSG00000011007	6451	89.7492	14.2573
ENSG00000011009	2061	70.3953	11.1828
ENSG00000011021	9594	104.5210	16.6040
ENSG00000014914	26	0.4247	0.0675
ENSG00000016490	0	0.0000	0.0000
ENSG00000016602	0	0.0000	0.0000
ENSG00000018625	0	0.0000	0.0000
ENSG00000020129	459	7.0071	1.1131
ENSG00000020633	5763	93.8597	14.9103
ENSG00000021852	0	0.0000	0.0000
ENSG00000023572	608	35.0901	5.5743
ENSG00000023902	11874	142.7650	22.6792
ENSG00000023909	336	4.6840	0.7441
ENSG00000024526	78	0.9909	0.1574
ENSG00000025800	10596	103.3800	16.4227
ENSG00000026751	85	1.3847	0.2200
ENSG00000027644	35	0.5089	0.0808
ENSG00000027869	736	21.9889	3.4931
ENSG00000028137	1447	28.8208	4.5784
ENSG00000031698	7835	153.1860	24.3346
ENSG00000033122	0	0.0000	0.0000
ENSG00000034971	0	0.0000	0.0000
ENSG00000035687	2330	47.6656	7.5720
ENSG00000036549	4768	39.6944	6.3057
ENSG00000037637	7060	58.9344	9.3621
ENSG00000040487	1169	32.6504	5.1867
ENSG00000041988	1540	28.3635	4.5057
ENSG00000042781	0	0.0000	0.0000
ENSG00000043514	2298	56.1254	8.9159
ENSG00000044012	0	0.0000	0.0000
ENSG00000047410	22474	165.5740	26.3026
ENSG00000048707	7688	28.3413	4.5022
ENSG00000049089	325	5.8661	0.9319
ENSG00000049239	3497	28.7656	4.5696
ENSG00000049245	9292	252.4880	40.1095
ENSG00000049246	79	0.8340	0.1325
ENSG00000049247	21	0.8833	0.1403
ENSG00000049249	45	1.4790	0.2349
ENSG00000050628	48	0.3729	0.0592
ENSG00000052723	5590	71.1322	11.2998
ENSG00000053371	1083	45.5867	7.2418
ENSG00000053372	532	14.1513	2.2480
ENSG00000054116	3611	81.7468	12.9861
ENSG00000054118	8960	141.8860	22.5396
ENSG00000054267	23162	156.8840	24.9221
ENSG00000054277	388	8.3563	1.3274
ENSG00000054282	3171	45.3286	7.2008
ENSG00000054392	60	1.0533	0.1673
ENSG00000054523	606	2.5701	0.4083
ENSG00000055070	8541	134.9430	21.4366
ENSG00000055732	0	0.0000	0.0000
ENSG00000057252	1846	19.6851	3.1271
ENSG00000057468	51	1.1791	0.1873
ENSG00000057757	5733	196.7100	31.2488
ENSG00000058085	0	0.0000	0.0000
ENSG00000058453	343	2.0977	0.3332
ENSG00000058668	21664	167.1440	26.5519
ENSG00000058673	34205	264.4680	42.0126
ENSG00000058799	2068	68.5882	10.8957
ENSG00000058804	1878	27.4290	4.3573
ENSG00000059588	12996	125.8850	19.9977
ENSG00000060642	505	11.1954	1.7785
ENSG00000060656	2	0.0279	0.0044
ENSG00000060688	3824	71.5036	11.3588
ENSG00000060718	0	0.0000	0.0000
ENSG00000064703	7988	99.5295	15.8109
ENSG00000064886	17	0.3842	0.0610
ENSG00000065135	10197	238.5550	37.8961
ENSG00000065183	680	12.2647	1.9483
ENSG00000065243	10186	108.9170	17.3022
ENSG00000065526	35246	198.8440	31.5878
ENSG00000065600	2141	55.0927	8.7518
ENSG00000065978	31782	1235.0600	196.1979
ENSG00000066027	9770	189.6770	30.1315
ENSG00000066056	964	10.7967	1.7151
ENSG00000066135	2306	33.4418	5.3125
ENSG00000066136	2513	31.4789	5.0006
ENSG00000066185	53	1.8109	0.2877
ENSG00000066279	980	6.7492	1.0722
ENSG00000066294	8010	64.9103	10.3115
ENSG00000066322	4149	126.5530	20.1039
ENSG00000066557	4436	115.3640	18.3263
ENSG00000067208	600	5.4391	0.8640
ENSG00000067334	9034	112.8270	17.9233
ENSG00000067533	725	6.8978	1.0958
ENSG00000067606	859	8.4343	1.3398
ENSG00000067704	2013	36.2715	5.7620
ENSG00000069248	4852	71.9569	11.4308
ENSG00000069275	8545	97.9009	15.5522
ENSG00000069424	4539	41.8928	6.6550
ENSG00000069702	8	0.0693	0.0110
ENSG00000069712	221	3.5875	0.5699
ENSG00000069812	0	0.0000	0.0000
ENSG00000070759	1564	33.9038	5.3858
ENSG00000070785	409	10.0861	1.6023
ENSG00000070831	22770	492.1520	78.1818
ENSG00000070886	14	0.1960	0.0311
ENSG00000072694	1	0.0107	0.0017
ENSG00000073754	10	0.3054	0.0485
ENSG00000073756	3144	44.7538	7.1095
ENSG00000074800	24017	439.6510	69.8416
ENSG00000074964	0	0.0000	0.0000
ENSG00000075151	16471	146.5540	23.2811
ENSG00000075391	300	1.9037	0.3024
ENSG00000075945	1386	20.7385	3.2945
ENSG00000076258	0	0.0000	0.0000
ENSG00000076321	3232	56.9814	9.0519
ENSG00000076356	18	0.0980	0.0156
ENSG00000076864	42	0.4942	0.0785
ENSG00000077152	569	40.0704	6.3655
ENSG00000077157	5517	28.7329	4.5644
ENSG00000077254	8567	92.8727	14.7535
ENSG00000077522	0	0.0000	0.0000
ENSG00000077549	9241	199.1670	31.6391
ENSG00000077585	474	15.6090	2.4796
ENSG00000078369	20981	256.4530	40.7394
ENSG00000078618	9828	111.3630	17.6909
ENSG00000078808	5742	91.6875	14.5652
ENSG00000078900	30	0.4050	0.0643
ENSG00000079277	3902	36.3108	5.7682
ENSG00000079335	5598	73.2912	11.6428
ENSG00000079739	4184	75.3677	11.9727
ENSG00000080910	0	0.0000	0.0000
ENSG00000080947	77	0.8429	0.1339
ENSG00000081019	9035	99.3737	15.7862
ENSG00000081026	22	0.2017	0.0320
ENSG00000081237	48477	427.3870	67.8934
ENSG00000081248	0	0.0000	0.0000
ENSG00000081277	0	0.0000	0.0000
ENSG00000081692	295	5.1282	0.8146
ENSG00000081721	2280	97.0607	15.4188
ENSG00000081870	2217	60.2689	9.5741
ENSG00000081985	2636	46.6993	7.4185
ENSG00000082482	0	0.0000	0.0000
ENSG00000082497	0	0.0000	0.0000
ENSG00000082512	1273	10.5859	1.6816
ENSG00000083444	891	12.5453	1.9929
ENSG00000084070	9071	206.2250	32.7602
ENSG00000084072	1621	15.0675	2.3936
ENSG00000084073	3162	66.4006	10.5482
ENSG00000084623	13720	596.5130	94.7603
ENSG00000084628	69	1.7325	0.2752
ENSG00000084636	0	0.0000	0.0000
ENSG00000084652	3874	56.9432	9.0458
ENSG00000085433	4677	77.3267	12.2839
ENSG00000085465	2156	54.1212	8.5975
ENSG00000085491	2462	28.1982	4.4795
ENSG00000085552	2	0.0227	0.0036
ENSG00000085831	29	0.2285	0.0363
ENSG00000085832	10366	102.9640	16.3565
ENSG00000085840	1391	33.0491	5.2501
ENSG00000085998	669	7.8792	1.2517
ENSG00000085999	211	4.9203	0.7816
ENSG00000086015	2950	24.9272	3.9599
ENSG00000086619	3075	40.5501	6.4417
ENSG00000088035	437	6.6308	1.0534
ENSG00000088280	0	0.0000	0.0000
ENSG00000090020	3975	49.8909	7.9255
ENSG00000090104	6724	122.4890	19.4583
ENSG00000090273	4361	114.4800	18.1860
ENSG00000090432	1876	57.7615	9.1758
ENSG00000090621	18484	204.4100	32.4719
ENSG00000090686	8705	68.7461	10.9208
ENSG00000091483	1225	42.9085	6.8163
ENSG00000092607	0	0.0000	0.0000
ENSG00000092621	7	0.0877	0.0139
ENSG00000092847	9113	53.0403	8.4258
ENSG00000092850	147	5.5890	0.8878
ENSG00000092853	177	2.4484	0.3889
ENSG00000092969	14	0.2038	0.0324
ENSG00000092978	1186	10.0652	1.5989
ENSG00000094963	0	0.0000	0.0000
ENSG00000094975	12692	147.1890	23.3820
ENSG00000097021	215	3.2989	0.5241
ENSG00000097033	17740	199.2620	31.6542
ENSG00000097046	742	15.4682	2.4572
ENSG00000097096	0	0.0000	0.0000
ENSG00000099260	0	0.0000	0.0000
ENSG00000107404	976	20.9902	3.3345
ENSG00000116128	2071	24.1885	3.8425
ENSG00000116132	0	0.0000	0.0000
ENSG00000116133	64	1.0808	0.1717
ENSG00000116138	2982	26.1167	4.1488
ENSG00000116141	0	0.0000	0.0000
ENSG00000116147	0	0.0000	0.0000
ENSG00000116151	137	1.9677	0.3126
ENSG00000116157	2622	116.3050	18.4759
ENSG00000116161	3913	65.0792	10.3383
ENSG00000116171	7500	67.7314	10.7596
ENSG00000116183	0	0.0000	0.0000
ENSG00000116191	4506	45.5333	7.2333
ENSG00000116194	0	0.0000	0.0000
ENSG00000116198	3100	29.5157	4.6888
ENSG00000116199	1720	21.3651	3.3940
ENSG00000116205	806	10.3759	1.6483
ENSG00000116209	29989	541.1870	85.9713
ENSG00000116212	1475	45.8822	7.2887
ENSG00000116213	1266	12.4901	1.9841
ENSG00000116218	0	0.0000	0.0000
ENSG00000116219	0	0.0000	0.0000
ENSG00000116221	3986	135.6510	21.5491
ENSG00000116237	726	11.0922	1.7621
ENSG00000116251	19448	297.6780	47.2882
ENSG00000116254	216	1.6380	0.2602
ENSG00000116260	3434	27.6623	4.3944
ENSG00000116266	10839	137.8970	21.9058
ENSG00000116273	475	9.6781	1.5374
ENSG00000116285	92	1.6483	0.2619
ENSG00000116288	5646	176.6450	28.0614
ENSG00000116299	77	0.6214	0.0987
ENSG00000116329	0	0.0000	0.0000
ENSG00000116337	12347	135.6220	21.5445
ENSG00000116350	15523	366.3360	58.1950
ENSG00000116353	229	4.3316	0.6881
ENSG00000116396	107	0.8559	0.1360
ENSG00000116406	5253	52.3091	8.3097
ENSG00000116455	1423	38.0606	6.0462
ENSG00000116459	13183	292.2580	46.4272
ENSG00000116473	7739	101.2420	16.0831
ENSG00000116478	7890	147.6090	23.4487
ENSG00000116489	19172	348.1690	55.3090
ENSG00000116497	3091	25.2238	4.0070
ENSG00000116514	5211	149.7520	23.7891
ENSG00000116521	6215	190.8750	30.3218
ENSG00000116525	2434	45.9464	7.2989
ENSG00000116539	30400	171.4830	27.2412
ENSG00000116544	38	0.7166	0.1138
ENSG00000116560	76894	776.6040	123.3689
ENSG00000116574	400	6.8616	1.0900
ENSG00000116580	9197	56.7318	9.0122
ENSG00000116584	19565	197.9240	31.4415
ENSG00000116586	2579	134.5130	21.3682
ENSG00000116604	40221	471.3380	74.8753
ENSG00000116641	3478	23.9929	3.8114
ENSG00000116649	2339	92.4120	14.6803
ENSG00000116652	53	3.4251	0.5441
ENSG00000116661	0	0.0000	0.0000
ENSG00000116663	274	11.3462	1.8024
ENSG00000116667	18	0.1231	0.0196
ENSG00000116668	1193	22.0782	3.5073
ENSG00000116670	1775	39.1134	6.2135
ENSG00000116675	133	1.4474	0.2299
ENSG00000116678	894	5.8503	0.9294
ENSG00000116679	8649	81.8082	12.9958
ENSG00000116685	1880	42.9723	6.8264
ENSG00000116688	4212	63.4622	10.0814
ENSG00000116690	0	0.0000	0.0000
ENSG00000116691	1531	40.7136	6.4676
ENSG00000116698	16000	144.2810	22.9201
ENSG00000116701	131	3.3555	0.5330
ENSG00000116703	0	0.0000	0.0000
ENSG00000116704	3779	39.6146	6.2931
ENSG00000116711	3129	81.6313	12.9677
ENSG00000116717	9958	360.9890	57.3457
