gene	raw_counts	median_length_normalized	RPKM
ENSG00000000457	1433	27.9638	5.0569
ENSG00000000460	760	8.9703	1.6221
ENSG00000000938	991	21.0911	3.8140
ENSG00000000971	23	0.2118	0.0383
ENSG00000001460	173	1.5224	0.2753
ENSG00000001461	1784	14.2292	2.5732
ENSG00000004455	3625	47.8400	8.6512
ENSG00000004487	6309	138.5110	25.0478
ENSG00000006555	57	0.7078	0.1280
ENSG00000007341	828	7.6596	1.3851
ENSG00000007908	2	0.0356	0.0064
ENSG00000007923	2569	37.4284	6.7684
ENSG00000007933	2	0.0433	0.0078
ENSG00000007968	1249	17.1635	3.1038
ENSG00000008118	0	0.0000	0.0000
ENSG00000008128	4679	74.3754	13.4498
ENSG00000008130	3739	48.8610	8.8358
ENSG00000009307	67953	885.5760	160.1442
ENSG00000009709	0	0.0000	0.0000
ENSG00000009724	38	0.6671	0.1206
ENSG00000009780	601	15.6714	2.8340
ENSG00000009790	5599	54.1677	9.7955
ENSG00000010072	1368	17.3722	3.1415
ENSG00000010165	480	9.3666	1.6938
ENSG00000010803	3736	63.0049	11.3936
ENSG00000010932	0	0.0000	0.0000
ENSG00000011007	5017	69.7980	12.6220
ENSG00000011009	2407	82.2154	14.8675
ENSG00000011021	7844	85.4641	15.4550
ENSG00000014914	127	2.0671	0.3738
ENSG00000016490	0	0.0000	0.0000
ENSG00000016602	0	0.0000	0.0000
ENSG00000018625	0	0.0000	0.0000
ENSG00000020129	1236	18.8550	3.4097
ENSG00000020633	31407	511.5190	92.5012
ENSG00000021852	0	0.0000	0.0000
ENSG00000023572	194	11.1878	2.0231
ENSG00000023902	12383	148.8850	26.9237
ENSG00000023909	1831	25.5575	4.6217
ENSG00000024526	376	4.7761	0.8637
ENSG00000025800	10278	100.2810	18.1344
ENSG00000026751	1121	18.2604	3.3022
ENSG00000027644	2	0.0294	0.0053
ENSG00000027869	928	27.7150	5.0119
ENSG00000028137	4119	82.0358	14.8350
ENSG00000031698	12893	252.0700	45.5834
ENSG00000033122	4	0.0250	0.0045
ENSG00000034971	0	0.0000	0.0000
ENSG00000035687	3332	68.1604	12.3259
ENSG00000036549	5655	47.0849	8.5147
ENSG00000037637	3506	29.2666	5.2925
ENSG00000040487	583	16.2923	2.9462
ENSG00000041988	1241	22.8610	4.1341
ENSG00000042781	0	0.0000	0.0000
ENSG00000043514	1255	30.6438	5.5415
ENSG00000044012	0	0.0000	0.0000
ENSG00000047410	16918	124.6410	22.5396
ENSG00000048707	4640	17.1057	3.0933
ENSG00000049089	102	1.8446	0.3336
ENSG00000049239	3468	28.5321	5.1596
ENSG00000049245	6642	180.4850	32.6382
ENSG00000049246	438	4.6254	0.8364
ENSG00000049247	3	0.1279	0.0231
ENSG00000049249	79	2.6103	0.4720
ENSG00000050628	20	0.1554	0.0281
ENSG00000052723	4401	55.9988	10.1266
ENSG00000053371	1108	46.6609	8.4380
