gene	raw_counts	median_length_normalized	RPKM
ENSG00000000457	1742	33.9805	4.3051
ENSG00000000460	485	5.7199	0.7247
ENSG00000000938	5094	108.4150	13.7354
ENSG00000000971	117	1.0775	0.1365
ENSG00000001460	713	6.2833	0.7960
ENSG00000001461	1750	13.9603	1.7687
ENSG00000004455	3956	52.2073	6.6143
ENSG00000004487	9495	208.4750	26.4123
ENSG00000006555	55	0.6753	0.0856
ENSG00000007341	1781	16.4705	2.0867
ENSG00000007908	223	3.9614	0.5019
ENSG00000007923	1313	19.1372	2.4245
ENSG00000007933	2	0.0433	0.0055
ENSG00000007968	1100	15.1213	1.9158
ENSG00000008118	8	0.2242	0.0284
ENSG00000008128	4779	75.9638	9.6241
ENSG00000008130	5467	71.4492	9.0521
ENSG00000009307	114515	1492.3800	189.0738
ENSG00000009709	0	0.0000	0.0000
ENSG00000009724	8	0.1411	0.0179
ENSG00000009780	1630	42.5042	5.3850
ENSG00000009790	4027	38.9603	4.9360
ENSG00000010072	2372	30.1258	3.8167
ENSG00000010165	754	14.7218	1.8652
ENSG00000010803	8594	144.9400	18.3628
ENSG00000010932	3	0.0630	0.0080
ENSG00000011007	6655	92.5839	11.7297
ENSG00000011009	2411	82.3556	10.4339
ENSG00000011021	12957	141.1640	17.8845
ENSG00000014914	335	5.4731	0.6934
ENSG00000016490	0	0.0000	0.0000
ENSG00000016602	4	0.0822	0.0104
ENSG00000018625	0	0.0000	0.0000
ENSG00000020129	344	5.2534	0.6656
ENSG00000020633	6627	107.9310	13.6741
ENSG00000021852	0	0.0000	0.0000
ENSG00000023572	331	19.1363	2.4244
ENSG00000023902	19107	229.7230	29.1042
ENSG00000023909	453	6.3191	0.8006
ENSG00000024526	695	8.8240	1.1179
ENSG00000025800	15086	147.1900	18.6479
ENSG00000026751	438	7.1357	0.9040
ENSG00000027644	4	0.0588	0.0075
ENSG00000027869	869	25.9451	3.2871
ENSG00000028137	16847	335.5130	42.5071
ENSG00000031698	6312	123.4190	15.6363
ENSG00000033122	2	0.0125	0.0016
ENSG00000034971	0	0.0000	0.0000
ENSG00000035687	3562	72.8737	9.2326
ENSG00000036549	4086	34.0177	4.3098
ENSG00000037637	9815	81.9386	10.3810
ENSG00000040487	924	25.8083	3.2697
ENSG00000041988	1376	25.3480	3.2114
ENSG00000042781	0	0.0000	0.0000
ENSG00000043514	1758	42.9313	5.4391
ENSG00000044012	0	0.0000	0.0000
ENSG00000047410	20259	149.2580	18.9100
ENSG00000048707	13001	47.9240	6.0716
ENSG00000049089	929	16.7805	2.1260
ENSG00000049239	4708	38.7262	4.9063
ENSG00000049245	17435	473.7850	60.0252
ENSG00000049246	260	2.7416	0.3473
ENSG00000049247	74	3.1105	0.3941
ENSG00000049249	266	8.7299	1.1060
ENSG00000050628	17	0.1321	0.0167
ENSG00000052723	5671	72.1656	9.1429
ENSG00000053371	983	41.3756	5.2420
ENSG00000053372	449	11.9235	1.5106
ENSG00000054116	2318	52.4663	6.6471
ENSG00000054118	13776	218.1600	27.6394
ENSG00000054267	23829	161.4000	20.4482
ENSG00000054277	632	13.6106	1.7244
ENSG00000054282	2846	40.6787	5.1537
ENSG00000054392	52	0.9078	0.1150
ENSG00000054523	6377	27.0335	3.4249
ENSG00000055070	13384	211.4670	26.7914
ENSG00000055732	4	0.0453	0.0057
ENSG00000057252	9728	103.7390	13.1430
ENSG00000057468	7	0.1607	0.0204
ENSG00000057757	4995	171.3820	21.7129
ENSG00000058085	0	0.0000	0.0000
ENSG00000058453	411	2.5105	0.3181
ENSG00000058668	6760	52.1585	6.6081
ENSG00000058673	53672	414.9920	52.5766
ENSG00000058799	3815	126.5570	16.0339
ENSG00000058804	1430	20.8872	2.6463
ENSG00000059588	7164	69.3965	8.7920
ENSG00000060642	825	18.3054	2.3192
ENSG00000060656	60	0.6667	0.0845
ENSG00000060688	4482	83.8010	10.6170
ENSG00000060718	8	0.0726	0.0092
ENSG00000064703	5396	67.2427	8.5192
ENSG00000064886	118	2.6904	0.3409
ENSG00000065135	12616	295.1410	37.3922
ENSG00000065183	662	11.9339	1.5119
ENSG00000065243	23146	247.4970	31.3561
ENSG00000065526	48300	272.4920	34.5228
ENSG00000065600	2192	56.4259	7.1488
ENSG00000065978	44233	1718.9100	217.7742
ENSG00000066027	11387	221.0870	28.0102
ENSG00000066056	415	4.6519	0.5894
ENSG00000066135	3113	45.1429	5.7193
ENSG00000066136	3770	47.2263	5.9832
ENSG00000066185	65	2.2278	0.2822
ENSG00000066279	3070	21.1490	2.6794
ENSG00000066294	2966	24.0354	3.0451
ENSG00000066322	5021	153.1330	19.4009
ENSG00000066557	6586	171.2620	21.6977
ENSG00000067208	938	8.5023	1.0772
ENSG00000067334	9505	118.7130	15.0401
ENSG00000067533	1025	9.7555	1.2360
ENSG00000067606	181	1.7732	0.2246
ENSG00000067704	3570	64.3400	8.1514
ENSG00000069248	8459	125.4520	15.8939
ENSG00000069275	15951	182.7620	23.1546
ENSG00000069424	15713	145.0290	18.3741
ENSG00000069702	609	5.2777	0.6686
ENSG00000069712	311	5.0478	0.6395
ENSG00000069812	0	0.0000	0.0000
ENSG00000070759	3814	82.6685	10.4735
ENSG00000070785	186	4.5932	0.5819
ENSG00000070831	25464	550.3700	69.7280
ENSG00000070886	2	0.0280	0.0035
ENSG00000072694	10	0.1102	0.0140
ENSG00000073754	436	13.3094	1.6862
ENSG00000073756	7197	102.4480	12.9794
ENSG00000074800	51712	946.6380	119.9324
ENSG00000074964	161	1.5347	0.1944
ENSG00000075151	18583	165.3510	20.9488
ENSG00000075391	470	2.9834	0.3780
ENSG00000075945	2063	30.8602	3.9098
ENSG00000076258	76	2.2725	0.2879
ENSG00000076321	3939	69.4382	8.7973
