gene	raw_counts	median_length_normalized	RPKM
ENSG00000000457	1842	35.9339	3.4696
ENSG00000000460	1905	22.4830	2.1709
ENSG00000000938	6946	147.8220	14.2731
ENSG00000000971	21	0.1934	0.0187
ENSG00000001460	572	5.0345	0.4861
ENSG00000001461	3687	29.4056	2.8393
ENSG00000004455	15305	201.9790	19.5023
ENSG00000004487	17542	385.1510	37.1887
ENSG00000006555	16	0.1982	0.0191
ENSG00000007341	1695	15.6762	1.5136
ENSG00000007908	2	0.0356	0.0034
ENSG00000007923	7424	108.1810	10.4455
ENSG00000007933	0	0.0000	0.0000
ENSG00000007968	2410	33.1290	3.1988
ENSG00000008118	0	0.0000	0.0000
ENSG00000008128	5158	81.9896	7.9166
ENSG00000008130	3402	44.4597	4.2928
ENSG00000009307	169891	2214.0400	213.7790
ENSG00000009709	14	0.1663	0.0161
ENSG00000009724	3582	63.1908	6.1014
ENSG00000009780	511	13.3168	1.2858
ENSG00000009790	807	7.8020	0.7533
ENSG00000010072	4844	61.5081	5.9390
ENSG00000010165	653	12.7367	1.2298
ENSG00000010803	13718	231.3500	22.3383
ENSG00000010932	6	0.1175	0.0113
ENSG00000011007	9466	131.6860	12.7151
ENSG00000011009	3399	116.0910	11.2092
ENSG00000011021	20051	218.4480	21.0924
ENSG00000014914	54	0.8880	0.0857
ENSG00000016490	0	0.0000	0.0000
ENSG00000016602	0	0.0000	0.0000
ENSG00000018625	2	0.0216	0.0021
ENSG00000020129	818	12.4757	1.2046
ENSG00000020633	16641	271.0220	26.1688
ENSG00000021852	0	0.0000	0.0000
ENSG00000023572	381	22.0216	2.1263
ENSG00000023902	22447	269.8860	26.0592
ENSG00000023909	1116	15.5787	1.5042
ENSG00000024526	119	1.5064	0.1455
ENSG00000025800	26472	258.2800	24.9385
ENSG00000026751	93	1.5078	0.1456
ENSG00000027644	186	2.7420	0.2648
ENSG00000027869	338	10.0999	0.9752
ENSG00000028137	2168	43.1747	4.1688
ENSG00000031698	13075	255.6280	24.6824
ENSG00000033122	183	1.1456	0.1106
ENSG00000034971	7	0.2520	0.0243
ENSG00000035687	1505	30.7960	2.9735
ENSG00000036549	10000	83.2553	8.0388
ENSG00000037637	16516	137.8820	13.3133
ENSG00000040487	2880	80.4173	7.7648
ENSG00000041988	4322	79.6046	7.6863
ENSG00000042781	1	0.0045	0.0004
ENSG00000043514	1967	48.0290	4.6375
ENSG00000044012	4	0.4606	0.0445
ENSG00000047410	29045	213.9840	20.6615
ENSG00000048707	26238	96.7197	9.3389
ENSG00000049089	8234	148.7710	14.3647
ENSG00000049239	15862	130.4900	12.5996
ENSG00000049245	12282	333.7580	32.2264
ENSG00000049246	188	1.9859	0.1918
ENSG00000049247	409	17.2036	1.6611
ENSG00000049249	98	3.2080	0.3097
ENSG00000050628	21	0.1606	0.0155
ENSG00000052723	3522	44.8105	4.3267
ENSG00000053371	4616	194.3820	18.7687
ENSG00000053372	2062	54.7998	5.2912
ENSG00000054116	5223	118.2310	11.4159
ENSG00000054118	26216	415.1590	40.0861
ENSG00000054267	21566	146.0720	14.1041
ENSG00000054277	683	14.7236	1.4216
ENSG00000054282	3391	48.4683	4.6799
ENSG00000054392	1617	28.2218	2.7250
ENSG00000054523	5377	22.7921	2.2007
ENSG00000055070	30443	480.9840	46.4418
ENSG00000055732	6	0.0679	0.0066
ENSG00000057252	2214	23.6066	2.2794
ENSG00000057468	91	2.0827	0.2011
ENSG00000057757	7640	262.1150	25.3088
ENSG00000058085	0	0.0000	0.0000
ENSG00000058453	3993	24.4140	2.3573
ENSG00000058668	43674	336.9540	32.5349
ENSG00000058673	56478	436.6830	42.1644
ENSG00000058799	1760	58.3888	5.6378
