gene	raw_counts	median_length_normalized	RPKM
ENSG00000000457	426	8.3205	1.1677
ENSG00000000460	1067	12.5902	1.7670
ENSG00000000938	10365	220.5910	30.9586
ENSG00000000971	125	1.1511	0.1616
ENSG00000001460	287	2.5270	0.3547
ENSG00000001461	1388	11.0686	1.5534
ENSG00000004455	9675	127.6800	17.9191
ENSG00000004487	13593	298.4420	41.8845
ENSG00000006555	33	0.4040	0.0567
ENSG00000007341	1043	9.6432	1.3534
ENSG00000007908	0	0.0000	0.0000
ENSG00000007923	2852	41.5627	5.8331
ENSG00000007933	0	0.0000	0.0000
ENSG00000007968	9270	127.4100	17.8812
ENSG00000008118	5	0.1401	0.0197
ENSG00000008128	2315	36.8080	5.1658
ENSG00000008130	7630	99.7128	13.9941
ENSG00000009307	90843	1183.8800	166.1506
ENSG00000009709	14	0.1663	0.0233
ENSG00000009724	12	0.2150	0.0302
ENSG00000009780	745	19.4381	2.7280
ENSG00000009790	2582	24.9810	3.5059
ENSG00000010072	2148	27.2750	3.8279
ENSG00000010165	1234	24.0835	3.3800
ENSG00000010803	7506	126.5840	17.7653
ENSG00000010932	54	1.1332	0.1590
ENSG00000011007	12423	172.8360	24.2564
ENSG00000011009	3384	115.5630	16.2186
ENSG00000011021	2624	28.5834	4.0115
ENSG00000014914	1290	21.0673	2.9567
ENSG00000016490	50	1.1255	0.1579
ENSG00000016602	0	0.0000	0.0000
ENSG00000018625	0	0.0000	0.0000
ENSG00000020129	3454	52.6803	7.3934
ENSG00000020633	14333	233.4300	32.7605
ENSG00000021852	0	0.0000	0.0000
ENSG00000023572	410	23.6728	3.3223
ENSG00000023902	9936	119.4590	16.7653
ENSG00000023909	1913	26.7002	3.7472
ENSG00000024526	1320	16.7656	2.3530
ENSG00000025800	12126	118.3070	16.6036
ENSG00000026751	328	5.3362	0.7489
ENSG00000027644	62	0.9106	0.1278
ENSG00000027869	207	6.1899	0.8687
ENSG00000028137	6730	134.0260	18.8097
ENSG00000031698	5727	111.9720	15.7146
ENSG00000033122	27	0.1677	0.0235
ENSG00000034971	0	0.0000	0.0000
ENSG00000035687	3393	69.4113	9.7415
ENSG00000036549	5115	42.5876	5.9769
ENSG00000037637	2653	22.1467	3.1082
ENSG00000040487	545	15.2092	2.1345
ENSG00000041988	988	18.1955	2.5536
ENSG00000042781	0	0.0000	0.0000
ENSG00000043514	1157	28.2494	3.9646
ENSG00000044012	0	0.0000	0.0000
ENSG00000047410	27984	206.1710	28.9348
ENSG00000048707	5504	20.2883	2.8473
ENSG00000049089	531	9.5912	1.3461
ENSG00000049239	5677	46.6990	6.5539
ENSG00000049245	15977	434.1510	60.9305
ENSG00000049246	1075	11.3542	1.5935
ENSG00000049247	6	0.2524	0.0354
ENSG00000049249	98	3.2224	0.4522
ENSG00000050628	12	0.0932	0.0131
ENSG00000052723	5427	69.0614	9.6924
ENSG00000053371	5831	245.5300	34.4586
ENSG00000053372	3144	83.5521	11.7260
ENSG00000054116	1956	44.2871	6.2154
ENSG00000054118	7890	124.9510	17.5361
ENSG00000054267	23690	160.4600	22.5196
ENSG00000054277	2110	45.4845	6.3835
ENSG00000054282	2435	34.8092	4.8853
ENSG00000054392	198	3.4632	0.4860
ENSG00000054523	3175	13.4575	1.8887
ENSG00000055070	12673	200.2190	28.0996
ENSG00000055732	13	0.1472	0.0207
ENSG00000057252	3992	42.5727	5.9748
ENSG00000057468	17	0.4017	0.0564
ENSG00000057757	5170	177.3870	24.8952
ENSG00000058085	0	0.0000	0.0000
ENSG00000058453	1808	11.0567	1.5517
ENSG00000058668	15748	121.4990	17.0516
ENSG00000058673	28979	224.0610	31.4456
ENSG00000058799	1186	39.3437	5.5216
ENSG00000058804	5951	86.9165	12.1982
ENSG00000059588	8637	83.6571	11.7408
ENSG00000060642	642	14.2345	1.9977
ENSG00000060656	25	0.2799	0.0393
ENSG00000060688	3399	63.5567	8.9198
ENSG00000060718	10	0.0907	0.0127
ENSG00000064703	4680	58.3130	8.1839
ENSG00000064886	86	1.9678	0.2762
ENSG00000065135	14323	335.0740	47.0256
ENSG00000065183	1497	27.0036	3.7898
ENSG00000065243	6702	71.6648	10.0577
ENSG00000065526	31058	175.2190	24.5909
ENSG00000065600	1264	32.5388	4.5666
ENSG00000065978	78090	3034.6000	425.8873
ENSG00000066027	10406	202.0320	28.3540
ENSG00000066056	4569	51.1881	7.1839
ENSG00000066135	1323	19.1827	2.6922
ENSG00000066136	4050	50.7291	7.1195
ENSG00000066185	117	3.9977	0.5611
ENSG00000066279	6719	46.2873	6.4961
ENSG00000066294	2882	23.3526	3.2774
ENSG00000066322	5825	177.6580	24.9332
ENSG00000066557	3220	83.7438	11.7529
ENSG00000067208	814	7.3792	1.0356
ENSG00000067334	23722	296.2730	41.5801
ENSG00000067533	2521	23.9854	3.3662
ENSG00000067606	779	7.6548	1.0743
ENSG00000067704	12572	226.5570	31.7959
ENSG00000069248	5671	84.1003	11.8030
ENSG00000069275	28416	325.5740	45.6923
ENSG00000069424	20843	192.3740	26.9985
ENSG00000069702	422	3.6613	0.5138
ENSG00000069712	276	4.4737	0.6279
ENSG00000069812	0	0.0000	0.0000
ENSG00000070759	2076	44.9936	6.3146
ENSG00000070785	1403	34.5909	4.8546
ENSG00000070831	20512	443.3410	62.2202
ENSG00000070886	3	0.0420	0.0059
ENSG00000072694	133	1.4252	0.2000
ENSG00000073754	77	2.3493	0.3297
ENSG00000073756	3506	49.8998	7.0031
ENSG00000074800	211028	3863.0900	542.1611
ENSG00000074964	521	4.9760	0.6984
ENSG00000075151	7887	70.1777	9.8490
ENSG00000075391	1278	8.1103	1.1382
ENSG00000075945	1521	22.7497	3.1928
ENSG00000076258	128	3.8208	0.5362
ENSG00000076321	1464	25.8173	3.6233
ENSG00000076356	528	2.8743	0.4034
ENSG00000076864	159	1.8796	0.2638
ENSG00000077152	1114	78.4789	11.0140
ENSG00000077157	2465	12.8400	1.8020
ENSG00000077254	6017	65.2329	9.1550
ENSG00000077522	338	4.6824	0.6571
ENSG00000077549	19089	411.4100	57.7389
ENSG00000077585	790	25.9877	3.6472
ENSG00000078369	35980	439.7860	61.7212
ENSG00000078618	22049	249.8360	35.0630
ENSG00000078808	11548	184.3900	25.8781
ENSG00000078900	35	0.4675	0.0656
ENSG00000079277	4183	38.9266	5.4631
ENSG00000079335	3333	43.6343	6.1238
ENSG00000079739	3343	60.2101	8.4501
ENSG00000080910	0	0.0000	0.0000
ENSG00000080947	146	1.6102	0.2260
ENSG00000081019	5770	63.4663	8.9071
ENSG00000081026	120	1.0982	0.1541
ENSG00000081237	24861	219.1810	30.7607
ENSG00000081248	0	0.0000	0.0000
ENSG00000081277	0	0.0000	0.0000
ENSG00000081692	652	11.3356	1.5909
ENSG00000081721	4399	187.2480	26.2791
ENSG00000081870	2329	63.3092	8.8850
ENSG00000081985	256	4.5393	0.6371
ENSG00000082482	0	0.0000	0.0000
ENSG00000082497	0	0.0000	0.0000
ENSG00000082512	3353	27.8772	3.9124
ENSG00000083444	2166	30.4952	4.2798
ENSG00000084070	15315	348.1800	48.8649
ENSG00000084072	3708	34.4532	4.8353
ENSG00000084073	3510	73.7038	10.3439
ENSG00000084623	21282	925.3240	129.8635
ENSG00000084628	4	0.1004	0.0141
ENSG00000084636	5	0.0393	0.0055
ENSG00000084652	5886	86.5064	12.1406
ENSG00000085433	3302	54.5893	7.6613
ENSG00000085465	161	4.0438	0.5675
ENSG00000085491	4049	46.3790	6.5090
ENSG00000085552	40	0.4532	0.0636
ENSG00000085831	62	0.4967	0.0697
ENSG00000085832	18111	179.8890	25.2464
ENSG00000085840	6199	147.2590	20.6669
ENSG00000085998	2001	23.5779	3.3090
ENSG00000085999	1129	26.3671	3.7004
ENSG00000086015	2524	21.3274	2.9932
ENSG00000086619	2130	28.0912	3.9424
ENSG00000088035	1192	18.0700	2.5360
ENSG00000088280	30	0.4579	0.0643
ENSG00000090020	2221	27.8849	3.9135
ENSG00000090104	7885	143.6380	20.1588
ENSG00000090273	5043	132.3980	18.5812
ENSG00000090432	4001	123.1810	17.2877
ENSG00000090621	29686	328.2830	46.0725
ENSG00000090686	8312	65.6421	9.2125
ENSG00000091483	5709	199.9040	28.0553
ENSG00000092607	13	0.2562	0.0360
ENSG00000092621	1606	21.4281	3.0073
ENSG00000092847	7992	46.5144	6.5280
ENSG00000092850	65	2.4808	0.3482
ENSG00000092853	5531	76.6648	10.7594
ENSG00000092969	10	0.1454	0.0204
ENSG00000092978	825	7.0049	0.9831
ENSG00000094963	4	0.0481	0.0067
ENSG00000094975	23322	270.4770	37.9598
ENSG00000097021	3092	47.4425	6.6583
ENSG00000097033	16662	187.1530	26.2657
ENSG00000097046	2295	47.8297	6.7126
ENSG00000097096	206	2.3903	0.3355
ENSG00000099260	0	0.0000	0.0000
ENSG00000107404	3016	64.8982	9.1081
ENSG00000116128	2297	26.8371	3.7664
ENSG00000116132	2	0.0182	0.0026
ENSG00000116133	432	7.2954	1.0239
ENSG00000116138	1160	10.1617	1.4261
ENSG00000116141	0	0.0000	0.0000
ENSG00000116147	8	0.1120	0.0157
ENSG00000116151	195	2.7923	0.3919
ENSG00000116157	6429	285.1210	40.0149
ENSG00000116161	7612	126.5810	17.7648
ENSG00000116171	10278	92.8149	13.0260
ENSG00000116183	2	0.0137	0.0019
ENSG00000116191	4174	42.1800	5.9197
ENSG00000116194	0	0.0000	0.0000
ENSG00000116198	1963	18.6888	2.6229
ENSG00000116199	3913	48.5996	6.8207
ENSG00000116205	943	12.1411	1.7039
ENSG00000116209	20244	365.3320	51.2721
ENSG00000116212	1503	46.7661	6.5633
ENSG00000116213	2199	21.6932	3.0445
ENSG00000116218	0	0.0000	0.0000
ENSG00000116219	0	0.0000	0.0000
ENSG00000116221	11490	390.9960	54.8739
ENSG00000116237	3402	51.9615	7.2925
ENSG00000116251	36227	554.4930	77.8196
ENSG00000116254	449	3.4029	0.4776
ENSG00000116260	13635	109.8290	15.4138
ENSG00000116266	4251	54.0845	7.5904
ENSG00000116273	1750	35.6550	5.0040
ENSG00000116285	62	1.1108	0.1559
ENSG00000116288	11291	353.2700	49.5793
ENSG00000116299	81	0.6514	0.0914
ENSG00000116329	4	0.1691	0.0237
ENSG00000116337	12495	137.2420	19.2611
ENSG00000116350	9993	235.8430	33.0991
ENSG00000116353	747	14.1327	1.9834
ENSG00000116396	382	3.0681	0.4306
ENSG00000116406	3324	33.1026	4.6458
ENSG00000116455	2755	73.6663	10.3386
ENSG00000116459	15612	346.1030	48.5735
ENSG00000116473	6509	85.1462	11.9497
ENSG00000116478	10568	197.7050	27.7467
ENSG00000116489	15660	284.3860	39.9118
ENSG00000116497	2765	22.5635	3.1667
ENSG00000116514	7363	211.5740	29.6931
ENSG00000116521	6571	201.8170	28.3238
ENSG00000116525	1259	23.7616	3.3348
ENSG00000116539	10848	61.1921	8.5879
ENSG00000116544	2056	38.7677	5.4408
ENSG00000116560	91956	928.7220	130.3405
ENSG00000116574	2987	51.2365	7.1907
ENSG00000116580	4153	25.6211	3.5958
ENSG00000116584	9952	100.6770	14.1294
ENSG00000116586	3713	193.6520	27.1779
ENSG00000116604	33305	390.2930	54.7753
ENSG00000116641	2374	16.3774	2.2985
ENSG00000116649	15467	611.1970	85.7778
ENSG00000116652	32	2.0508	0.2878
ENSG00000116661	24	0.7613	0.1068
ENSG00000116663	1076	44.5660	6.2546
ENSG00000116667	999	6.8323	0.9589
ENSG00000116668	805	14.8976	2.0908
ENSG00000116670	4361	96.1158	13.4892
ENSG00000116675	652	7.0841	0.9942
ENSG00000116678	2936	19.2225	2.6978
ENSG00000116679	20188	190.9590	26.7999
ENSG00000116685	4556	104.1340	14.6146
ENSG00000116688	8583	129.3140	18.1485
ENSG00000116690	0	0.0000	0.0000
ENSG00000116691	4088	108.6870	15.2536
ENSG00000116698	23626	213.0540	29.9008
ENSG00000116701	4377	112.1170	15.7349
ENSG00000116703	0	0.0000	0.0000
ENSG00000116704	6449	67.6101	9.4887
ENSG00000116711	596	15.5562	2.1832
ENSG00000116717	6092	220.8270	30.9917
ENSG00000116721	0	0.0000	0.0000
ENSG00000116726	0	0.0000	0.0000
ENSG00000116729	256	4.2466	0.5960
ENSG00000116731	21348	146.7660	20.5978
ENSG00000116741	18282	657.3060	92.2489
ENSG00000116745	0	0.0000	0.0000
ENSG00000116747	6862	56.5432	7.9355
ENSG00000116748	1	0.0300	0.0042
ENSG00000116750	2677	55.7822	7.8287
ENSG00000116752	4090	236.1290	33.1392
ENSG00000116754	47680	421.8450	59.2034
ENSG00000116761	299	9.2854	1.3032
ENSG00000116771	227	6.8180	0.9569
ENSG00000116774	14	0.4764	0.0669
ENSG00000116783	96	1.2366	0.1736
ENSG00000116785	0	0.0000	0.0000
ENSG00000116786	18935	344.5240	48.3518
ENSG00000116791	746	13.7177	1.9252
ENSG00000116793	2398	25.0817	3.5201
ENSG00000116809	6968	123.2620	17.2991
ENSG00000116815	1935	81.3791	11.4210
ENSG00000116819	152	5.1955	0.7292
ENSG00000116824	443	19.7719	2.7749
ENSG00000116830	4992	59.8959	8.4060
ENSG00000116833	561	5.3977	0.7575
ENSG00000116852	6616	40.8436	5.7321
ENSG00000116857	2440	46.7410	6.5598
ENSG00000116863	1465	65.7409	9.2263
ENSG00000116871	18085	257.3250	36.1139
ENSG00000116874	1017	19.8297	2.7830
ENSG00000116882	0	0.0000	0.0000
ENSG00000116883	523	21.3959	3.0028
ENSG00000116885	113	2.9965	0.4205
ENSG00000116898	5997	154.2400	21.6467
ENSG00000116903	3627	53.1350	7.4572
ENSG00000116906	4851	114.6650	16.0926
ENSG00000116918	3086	36.8618	5.1733
ENSG00000116922	826	17.4587	2.4502
ENSG00000116954	4205	61.0346	8.5658
ENSG00000116957	1123	32.7870	4.6015
ENSG00000116962	3804	48.6467	6.8273
ENSG00000116977	13328	102.9480	14.4481
ENSG00000116981	0	0.0000	0.0000
ENSG00000116983	191	2.9493	0.4139
ENSG00000116984	4852	31.9139	4.4789
ENSG00000116985	383	5.5816	0.7833
ENSG00000116990	124	1.8306	0.2569
ENSG00000116991	2611	25.6303	3.5970
ENSG00000116996	0	0.0000	0.0000
ENSG00000117000	14410	170.5940	23.9418
ENSG00000117009	193	2.4349	0.3417
ENSG00000117010	601	14.8365	2.0822
ENSG00000117013	177	3.1762	0.4458
ENSG00000117016	2311	23.9513	3.3614
ENSG00000117020	192	1.9153	0.2688
ENSG00000117036	2082	23.2855	3.2680
ENSG00000117054	5814	91.2390	12.8048
ENSG00000117069	0	0.0000	0.0000
ENSG00000117090	256	4.5470	0.6382
ENSG00000117091	10115	304.1900	42.6912
ENSG00000117114	11	0.1066	0.0150
ENSG00000117115	5978	74.6983	10.4834
ENSG00000117118	7759	236.3770	33.1740
ENSG00000117122	158	4.0755	0.5720
ENSG00000117133	6683	290.0650	40.7089
ENSG00000117139	19637	160.3250	22.5007
ENSG00000117143	3752	82.5994	11.5923
ENSG00000117148	0	0.0000	0.0000
ENSG00000117151	4202	92.0435	12.9177
