gene	raw_counts	median_length_normalized	RPKM
ENSG00000000457	2733	53.3314	4.0028
ENSG00000000460	1414	16.6906	1.2527
ENSG00000000938	41058	873.8250	65.5856
ENSG00000000971	1479	13.6179	1.0221
ENSG00000001460	455	4.0104	0.3010
ENSG00000001461	2299	18.3328	1.3760
ENSG00000004455	19898	262.6050	19.7100
ENSG00000004487	12851	282.1600	21.1777
ENSG00000006555	38	0.4697	0.0353
ENSG00000007341	2666	24.6508	1.8502
ENSG00000007908	1082	19.2368	1.4438
ENSG00000007923	2830	41.2366	3.0950
ENSG00000007933	53	1.1476	0.0861
ENSG00000007968	22782	313.1180	23.5013
ENSG00000008118	104	2.9032	0.2179
ENSG00000008128	5085	80.8355	6.0672
ENSG00000008130	13979	182.6860	13.7116
ENSG00000009307	137885	1796.9300	134.8704
ENSG00000009709	0	0.0000	0.0000
ENSG00000009724	912	16.0821	1.2071
ENSG00000009780	748	19.5118	1.4645
ENSG00000009790	3922	37.9405	2.8477
ENSG00000010072	2401	30.4887	2.2884
ENSG00000010165	1761	34.3604	2.5790
ENSG00000010803	6810	114.8550	8.6206
ENSG00000010932	15	0.3067	0.0230
ENSG00000011007	6217	86.4925	6.4918
ENSG00000011009	3722	127.1260	9.5415
ENSG00000011021	8599	93.6838	7.0315
ENSG00000014914	1005	16.4223	1.2326
ENSG00000016490	0	0.0000	0.0000
ENSG00000016602	0	0.0000	0.0000
ENSG00000018625	5	0.0543	0.0041
ENSG00000020129	1600	24.4061	1.8318
ENSG00000020633	9258	150.7840	11.3172
ENSG00000021852	6	0.1649	0.0124
ENSG00000023572	460	26.5396	1.9920
ENSG00000023902	20163	242.4200	18.1950
ENSG00000023909	1930	26.9319	2.0214
ENSG00000024526	1080	13.7163	1.0295
ENSG00000025800	15701	153.1930	11.4980
ENSG00000026751	503	8.1940	0.6150
ENSG00000027644	34	0.5023	0.0377
ENSG00000027869	1547	46.1943	3.4671
ENSG00000028137	75297	1499.5400	112.5491
ENSG00000031698	11945	233.5390	17.5285
ENSG00000033122	191	1.1944	0.0896
ENSG00000034971	0	0.0000	0.0000
ENSG00000035687	3708	75.8644	5.6941
ENSG00000036549	4619	38.4609	2.8867
ENSG00000037637	10880	90.8261	6.8170
ENSG00000040487	2737	76.4319	5.7367
ENSG00000041988	2478	45.6469	3.4261
ENSG00000042781	13	0.0485	0.0036
ENSG00000043514	1499	36.6066	2.7475
ENSG00000044012	0	0.0000	0.0000
ENSG00000047410	25682	189.2100	14.2013
ENSG00000048707	14998	55.2874	4.1496
ENSG00000049089	9272	167.5280	12.5740
ENSG00000049239	10371	85.3141	6.4033
ENSG00000049245	12053	327.5140	24.5819
ENSG00000049246	154	1.6230	0.1218
ENSG00000049247	12	0.5222	0.0392
ENSG00000049249	537	17.6410	1.3241
ENSG00000050628	74	0.5761	0.0432
ENSG00000052723	3596	45.7570	3.4343
ENSG00000053371	5043	212.3600	15.9389
ENSG00000053372	2540	67.4996	5.0662
ENSG00000054116	3934	89.0489	6.6836
ENSG00000054118	22691	359.3420	26.9707
ENSG00000054267	19809	134.1700	10.0702
ENSG00000054277	1460	31.4747	2.3624
ENSG00000054282	2413	34.4904	2.5887
ENSG00000054392	749	13.0694	0.9809
ENSG00000054523	7648	32.4199	2.4333
ENSG00000055070	22426	354.3200	26.5938
ENSG00000055732	2	0.0226	0.0017
ENSG00000057252	8407	89.6498	6.7287
ENSG00000057468	13	0.2949	0.0221
ENSG00000057757	8791	301.6160	22.6380
ENSG00000058085	0	0.0000	0.0000
ENSG00000058453	1906	11.6563	0.8749
ENSG00000058668	14796	114.1520	8.5678
ENSG00000058673	33524	259.2100	19.4552
ENSG00000058799	2143	71.0854	5.3354
ENSG00000058804	2806	40.9895	3.0765
ENSG00000059588	27671	268.0300	20.1172
ENSG00000060642	919	20.3865	1.5301
ENSG00000060656	213	2.3897	0.1794
ENSG00000060688	4397	82.2172	6.1709
ENSG00000060718	107	0.9712	0.0729
ENSG00000064703	4203	52.3700	3.9307
ENSG00000064886	236	5.3791	0.4037
ENSG00000065135	11373	266.0630	19.9696
ENSG00000065183	1695	30.5679	2.2943
ENSG00000065243	13311	142.3290	10.6827
ENSG00000065526	69672	393.0660	29.5019
ENSG00000065600	4240	109.1330	8.1910
ENSG00000065978	82606	3210.0800	240.9348
ENSG00000066027	7994	155.2050	11.6490
ENSG00000066056	2978	33.3703	2.5046
ENSG00000066135	10014	145.2130	10.8991
ENSG00000066136	3980	49.8567	3.7420
ENSG00000066185	77	2.6387	0.1981
ENSG00000066279	5611	38.6558	2.9013
ENSG00000066294	11308	91.6347	6.8777
ENSG00000066322	6991	213.2290	16.0040
ENSG00000066557	2744	71.3464	5.3550
ENSG00000067208	1154	10.4671	0.7856
ENSG00000067334	11315	141.3190	10.6068
ENSG00000067533	1129	10.7418	0.8062
ENSG00000067606	910	8.9420	0.6711
ENSG00000067704	5989	107.9300	8.1008
ENSG00000069248	6430	95.3702	7.1581
ENSG00000069275	20401	233.7470	17.5440
ENSG00000069424	48884	451.1850	33.8641
ENSG00000069702	944	8.1822	0.6141
ENSG00000069712	224	3.6334	0.2727
ENSG00000069812	37	0.5071	0.0381
ENSG00000070759	1943	42.1116	3.1607
ENSG00000070785	1340	33.0283	2.4790
ENSG00000070831	33117	715.7890	53.7241
ENSG00000070886	7	0.1006	0.0076
ENSG00000072694	165	1.7683	0.1327
ENSG00000073754	1550	47.3343	3.5527
ENSG00000073756	28435	404.7520	30.3790
ENSG00000074800	232141	4249.5900	318.9562
ENSG00000074964	2995	28.6229	2.1483
ENSG00000075151	13675	121.6760	9.1325
ENSG00000075391	1305	8.2841	0.6218
ENSG00000075945	1585	23.7026	1.7790
ENSG00000076258	211	6.2801	0.4714
ENSG00000076321	3250	57.3018	4.3008
ENSG00000076356	527	2.8707	0.2155
ENSG00000076864	11093	131.1660	9.8448
ENSG00000077152	1556	109.5450	8.2219
ENSG00000077157	5052	26.3128	1.9749
ENSG00000077254	5900	63.9682	4.8012
ENSG00000077522	43	0.5935	0.0445
ENSG00000077549	29503	635.8460	47.7240
ENSG00000077585	1592	52.3813	3.9315
ENSG00000078369	76495	934.9930	70.1766
ENSG00000078618	20388	231.0220	17.3396
ENSG00000078808	27184	434.0650	32.5791
ENSG00000078900	393	5.2997	0.3978
ENSG00000079277	10307	95.9134	7.1989
ENSG00000079335	4946	64.7544	4.8602
ENSG00000079739	6253	112.6340	8.4539
ENSG00000080910	0	0.0000	0.0000
ENSG00000080947	496	5.4578	0.4096
ENSG00000081019	4503	49.5306	3.7176
ENSG00000081026	141	1.2960	0.0973
ENSG00000081237	122223	1077.5500	80.8764
ENSG00000081248	1	0.0122	0.0009
ENSG00000081277	2	0.0242	0.0018
ENSG00000081692	1717	29.8415	2.2398
ENSG00000081721	2524	107.4520	8.0649
ENSG00000081870	1635	44.4491	3.3362
ENSG00000081985	47	0.8335	0.0626
ENSG00000082482	0	0.0000	0.0000
ENSG00000082497	0	0.0000	0.0000
ENSG00000082512	5607	46.6145	3.4987
ENSG00000083444	8863	124.7890	9.3661
ENSG00000084070	38787	881.7930	66.1837
ENSG00000084072	3834	35.6245	2.6738
