gene	raw_counts	median_length_normalized	RPKM
ENSG00000000457	1301	25.3809	3.6350
ENSG00000000460	798	9.4207	1.3492
ENSG00000000938	1062	22.6007	3.2368
ENSG00000000971	35	0.3179	0.0455
ENSG00000001460	191	1.6813	0.2408
ENSG00000001461	795	6.3428	0.9084
ENSG00000004455	1793	23.6606	3.3886
ENSG00000004487	6466	141.9600	20.3313
ENSG00000006555	28	0.3521	0.0504
ENSG00000007341	680	6.2917	0.9011
ENSG00000007908	9	0.1564	0.0224
ENSG00000007923	406	5.9091	0.8463
ENSG00000007933	0	0.0000	0.0000
ENSG00000007968	213	2.9274	0.4193
ENSG00000008118	0	0.0000	0.0000
ENSG00000008128	4272	67.9031	9.7250
ENSG00000008130	2567	33.5508	4.8051
ENSG00000009307	144646	1885.0400	269.9737
ENSG00000009709	0	0.0000	0.0000
ENSG00000009724	14	0.2470	0.0354
ENSG00000009780	712	18.5748	2.6603
ENSG00000009790	1374	13.2875	1.9030
ENSG00000010072	1009	12.8173	1.8357
ENSG00000010165	816	15.9269	2.2810
ENSG00000010803	4108	69.2746	9.9214
ENSG00000010932	31	0.6505	0.0932
ENSG00000011007	4354	60.5754	8.6755
ENSG00000011009	2142	73.1457	10.4759
ENSG00000011021	4384	47.7592	6.8400
ENSG00000014914	507	8.2788	1.1857
ENSG00000016490	0	0.0000	0.0000
ENSG00000016602	10	0.2055	0.0294
ENSG00000018625	0	0.0000	0.0000
ENSG00000020129	256	3.9107	0.5601
ENSG00000020633	3227	52.5585	7.5274
ENSG00000021852	6	0.1583	0.0227
ENSG00000023572	356	20.5389	2.9415
ENSG00000023902	17142	206.0940	29.5166
ENSG00000023909	192	2.6731	0.3828
ENSG00000024526	166	2.1079	0.3019
ENSG00000025800	15723	153.4000	21.9698
ENSG00000026751	582	9.4741	1.3569
ENSG00000027644	0	0.0000	0.0000
ENSG00000027869	318	9.4940	1.3597
ENSG00000028137	6791	135.2500	19.3703
ENSG00000031698	4335	84.7492	12.1377
ENSG00000033122	0	0.0000	0.0000
ENSG00000034971	0	0.0000	0.0000
ENSG00000035687	1909	39.0456	5.5921
ENSG00000036549	2955	24.6025	3.5235
ENSG00000037637	5593	46.6953	6.6877
ENSG00000040487	988	27.5808	3.9501
ENSG00000041988	862	15.8755	2.2737
ENSG00000042781	23	0.0838	0.0120
ENSG00000043514	970	23.6890	3.3927
ENSG00000044012	0	0.0000	0.0000
ENSG00000047410	14812	109.1290	15.6293
ENSG00000048707	4651	17.1463	2.4557
ENSG00000049089	1192	21.5310	3.0836
ENSG00000049239	595	4.8914	0.7005
ENSG00000049245	10663	289.7610	41.4993
ENSG00000049246	125	1.3190	0.1889
ENSG00000049247	237	9.9523	1.4254
ENSG00000049249	70	2.3017	0.3296
ENSG00000050628	4	0.0311	0.0045
ENSG00000052723	5765	73.3578	10.5062
ENSG00000053371	1089	45.8619	6.5683
ENSG00000053372	972	25.8260	3.6988
ENSG00000054116	1531	34.6568	4.9635
ENSG00000054118	6152	97.4288	13.9537
ENSG00000054267	29882	202.3960	28.9869
ENSG00000054277	670	14.4391	2.0679
ENSG00000054282	700	10.0042	1.4328
ENSG00000054392	30	0.5298	0.0759
ENSG00000054523	3950	16.7452	2.3982
ENSG00000055070	11356	179.4230	25.6968
ENSG00000055732	4	0.0453	0.0065
ENSG00000057252	6209	66.2150	9.4832
ENSG00000057468	12	0.2716	0.0389
ENSG00000057757	3757	128.9010	18.4610
ENSG00000058085	0	0.0000	0.0000
ENSG00000058453	302	1.8442	0.2641
ENSG00000058668	494	3.8094	0.5456
ENSG00000058673	24938	192.8170	27.6150
ENSG00000058799	1932	64.0703	9.1761
ENSG00000058804	1357	19.8175	2.8382
ENSG00000059588	3830	37.1023	5.3138
ENSG00000060642	280	6.2096	0.8893
ENSG00000060656	50	0.5609	0.0803
ENSG00000060688	4048	75.6978	10.8414
ENSG00000060718	7	0.0611	0.0087
ENSG00000064703	3823	47.6358	6.8223
ENSG00000064886	64	1.4540	0.2082
ENSG00000065135	8454	197.7610	28.3232
ENSG00000065183	449	8.0880	1.1584
ENSG00000065243	9648	103.1620	14.7747
ENSG00000065526	21053	118.7760	17.0110
ENSG00000065600	3303	85.0024	12.1740
ENSG00000065978	76050	2955.2900	423.2542
ENSG00000066027	12057	234.0790	33.5246
ENSG00000066056	615	6.8866	0.9863
ENSG00000066135	2402	34.8389	4.9896
ENSG00000066136	2357	29.5215	4.2280
ENSG00000066185	8	0.2733	0.0391
ENSG00000066279	479	3.3017	0.4729
ENSG00000066294	1490	12.0721	1.7289
ENSG00000066322	5375	163.9290	23.4777
ENSG00000066557	4818	125.3020	17.9456
ENSG00000067208	988	8.9556	1.2826
ENSG00000067334	7096	88.6276	12.6932
ENSG00000067533	1080	10.2712	1.4710
ENSG00000067606	18	0.1798	0.0258
ENSG00000067704	2150	38.7518	5.5500
ENSG00000069248	4514	66.9468	9.5881
ENSG00000069275	16158	185.1320	26.5145
ENSG00000069424	4939	45.5844	6.5286
ENSG00000069702	376	3.2603	0.4669
ENSG00000069712	106	1.7158	0.2457
ENSG00000069812	8	0.1110	0.0159
ENSG00000070759	2806	60.8150	8.7099
ENSG00000070785	266	6.5587	0.9393
ENSG00000070831	36639	791.9180	113.4177
ENSG00000070886	12	0.1680	0.0241
ENSG00000072694	51	0.5439	0.0779
ENSG00000073754	0	0.0000	0.0000
ENSG00000073756	19545	278.2050	39.8443
ENSG00000074800	37914	694.0580	99.4023
ENSG00000074964	28	0.2676	0.0383
ENSG00000075151	4901	43.6091	6.2456
ENSG00000075391	82	0.5204	0.0745
ENSG00000075945	2568	38.4103	5.5011
ENSG00000076258	81	2.4056	0.3445
ENSG00000076321	2620	46.1841	6.6144
ENSG00000076356	23	0.1260	0.0181
ENSG00000076864	41	0.4807	0.0688
ENSG00000077152	164	11.5211	1.6500
ENSG00000077157	1526	7.9467	1.1381
ENSG00000077254	2673	28.9809	4.1506
ENSG00000077522	24	0.3277	0.0469
ENSG00000077549	9522	205.2150	29.3907
ENSG00000077585	2076	68.3177	9.7844
ENSG00000078369	24675	301.5970	43.1945
ENSG00000078618	3047	34.5242	4.9445
ENSG00000078808	3854	61.5463	8.8146
ENSG00000078900	0	0.0000	0.0000
ENSG00000079277	1894	17.6262	2.5244
ENSG00000079335	11368	148.8230	21.3143
ENSG00000079739	2411	43.4234	6.2191
ENSG00000080910	0	0.0000	0.0000
ENSG00000080947	148	1.6314	0.2337
ENSG00000081019	5533	60.8539	8.7154
ENSG00000081026	440	4.0385	0.5784
ENSG00000081237	61246	539.9590	77.3324
ENSG00000081248	2	0.0282	0.0040
ENSG00000081277	5	0.0604	0.0086
ENSG00000081692	311	5.4042	0.7740
ENSG00000081721	2400	102.1660	14.6322
ENSG00000081870	1230	33.4317	4.7881
ENSG00000081985	59	1.0397	0.1489
ENSG00000082482	2	0.0409	0.0059
ENSG00000082497	0	0.0000	0.0000
ENSG00000082512	4967	41.2916	5.9137
ENSG00000083444	210	2.9576	0.4236
ENSG00000084070	10481	238.2800	34.1262
ENSG00000084072	2377	22.0866	3.1632
ENSG00000084073	3064	64.3337	9.2138
ENSG00000084623	19605	852.3810	122.0772
ENSG00000084628	18	0.4520	0.0647
ENSG00000084636	23	0.1806	0.0259
ENSG00000084652	1719	25.2677	3.6188
ENSG00000085433	3190	52.7436	7.5539
ENSG00000085465	526	13.2085	1.8917
ENSG00000085491	4908	56.2162	8.0512
ENSG00000085552	15	0.1699	0.0243
ENSG00000085831	24	0.1923	0.0275
ENSG00000085832	18466	183.4110	26.2680
ENSG00000085840	918	21.8160	3.1245
ENSG00000085998	388	4.5697	0.6545
ENSG00000085999	89	2.0735	0.2970
ENSG00000086015	1936	16.3629	2.3435
ENSG00000086619	4115	54.2648	7.7717
ENSG00000088035	167	2.5251	0.3616
ENSG00000088280	8	0.1226	0.0176
ENSG00000090020	4156	52.1685	7.4715
ENSG00000090104	20658	376.3380	53.8988
ENSG00000090273	5649	148.2940	21.2385
ENSG00000090432	1889	58.1601	8.3296
ENSG00000090621	32898	363.8080	52.1043
ENSG00000090686	3878	30.6277	4.3865
ENSG00000091483	1788	62.6125	8.9673
ENSG00000092607	10	0.1971	0.0282
ENSG00000092621	173	2.3123	0.3312
ENSG00000092847	18834	109.6180	15.6993
ENSG00000092850	39	1.4813	0.2122
ENSG00000092853	120	1.6611	0.2379
ENSG00000092969	27	0.3931	0.0563
ENSG00000092978	1574	13.3610	1.9135
ENSG00000094963	0	0.0000	0.0000
ENSG00000094975	4780	55.4300	7.9386
ENSG00000097021	377	5.7790	0.8277
ENSG00000097033	27226	305.8190	43.7991
ENSG00000097046	371	7.7297	1.1070
ENSG00000097096	26	0.3023	0.0433
ENSG00000099260	0	0.0000	0.0000
ENSG00000107404	659	14.1738	2.0300
ENSG00000116128	3030	35.4006	5.0700
ENSG00000116132	2	0.0182	0.0026
ENSG00000116133	290	4.8975	0.7014
ENSG00000116138	1722	15.0798	2.1597
ENSG00000116141	6	0.0580	0.0083
ENSG00000116147	0	0.0000	0.0000
ENSG00000116151	168	2.4042	0.3443
ENSG00000116157	4413	195.7460	28.0346
ENSG00000116161	4578	76.1299	10.9033
ENSG00000116171	5359	48.3984	6.9316
ENSG00000116183	0	0.0000	0.0000
ENSG00000116191	2187	22.0986	3.1649
ENSG00000116194	0	0.0000	0.0000
ENSG00000116198	926	8.8226	1.2636
ENSG00000116199	1820	22.6074	3.2378
ENSG00000116205	335	4.3160	0.6181
ENSG00000116209	29533	532.9570	76.3296
ENSG00000116212	1520	47.2791	6.7713
ENSG00000116213	846	8.3443	1.1951
ENSG00000116218	0	0.0000	0.0000
ENSG00000116219	0	0.0000	0.0000
ENSG00000116221	7172	244.0540	34.9532
ENSG00000116237	415	6.3321	0.9069
ENSG00000116251	41545	635.8860	91.0709
ENSG00000116254	7	0.0531	0.0076
ENSG00000116260	17394	140.1080	20.0662
ENSG00000116266	9377	119.2980	17.0857
ENSG00000116273	676	13.7753	1.9729
ENSG00000116285	86	1.5375	0.2202
ENSG00000116288	6393	200.0430	28.6500
ENSG00000116299	33	0.2644	0.0379
ENSG00000116329	0	0.0000	0.0000
ENSG00000116337	8988	98.7241	14.1392
ENSG00000116350	15471	365.1230	52.2925
ENSG00000116353	81	1.5382	0.2203
ENSG00000116396	95	0.7634	0.1093
ENSG00000116406	1094	10.8897	1.5596
ENSG00000116455	793	21.2135	3.0382
ENSG00000116459	20200	447.8330	64.1381
ENSG00000116473	10007	130.9170	18.7498
ENSG00000116478	7958	148.8740	21.3215
ENSG00000116489	14870	270.0310	38.6736
ENSG00000116497	2287	18.6644	2.6731
ENSG00000116514	1606	46.1475	6.6092
ENSG00000116521	3550	109.0240	15.6143
ENSG00000116525	1157	21.8455	3.1287
ENSG00000116539	9890	55.7888	7.9900
ENSG00000116544	1513	28.5245	4.0853
ENSG00000116560	74454	751.9540	107.6941
ENSG00000116574	167	2.8648	0.4103
ENSG00000116580	9870	60.8845	8.7198
ENSG00000116584	19682	199.1040	28.5155
ENSG00000116586	1323	69.0153	9.8843
ENSG00000116604	18442	216.1220	30.9528
ENSG00000116641	4873	33.6097	4.8135
ENSG00000116649	2351	92.9015	13.3053
ENSG00000116652	27	1.7461	0.2500
ENSG00000116661	2	0.0643	0.0092
ENSG00000116663	511	21.1789	3.0332
ENSG00000116667	507	3.4654	0.4963
ENSG00000116668	780	14.4285	2.0664
ENSG00000116670	3728	82.1651	11.7676
ENSG00000116675	176	1.9089	0.2734
ENSG00000116678	578	3.7856	0.5422
ENSG00000116679	11357	107.4270	15.3856
ENSG00000116685	2258	51.6181	7.3927
ENSG00000116688	9511	143.3030	20.5236
ENSG00000116690	18	0.2715	0.0389
ENSG00000116691	721	19.1567	2.7436
ENSG00000116698	18173	163.8770	23.4703
ENSG00000116701	1988	50.9173	7.2923
ENSG00000116703	0	0.0000	0.0000
ENSG00000116704	3588	37.6145	5.3871
ENSG00000116711	424	11.0522	1.5829
ENSG00000116717	6915	250.6510	35.8980
ENSG00000116721	0	0.0000	0.0000
ENSG00000116726	0	0.0000	0.0000
ENSG00000116729	0	0.0000	0.0000
ENSG00000116731	14697	101.0410	14.4710
ENSG00000116741	55650	2000.8400	286.5579
ENSG00000116745	0	0.0000	0.0000
ENSG00000116747	11571	95.3404	13.6546
ENSG00000116748	0	0.0000	0.0000
ENSG00000116750	1628	33.9283	4.8592
