gene	raw_counts	median_length_normalized	RPKM
ENSG00000000457	296	5.7752	0.7846
ENSG00000000460	636	7.5127	1.0207
ENSG00000000938	11770	250.5070	34.0335
ENSG00000000971	0	0.0000	0.0000
ENSG00000001460	367	3.2314	0.4390
ENSG00000001461	930	7.4199	1.0081
ENSG00000004455	6517	86.0127	11.6856
ENSG00000004487	5235	114.9450	15.6163
ENSG00000006555	2	0.0248	0.0034
ENSG00000007341	1552	14.3505	1.9496
ENSG00000007908	0	0.0000	0.0000
ENSG00000007923	1929	28.1020	3.8179
ENSG00000007933	0	0.0000	0.0000
ENSG00000007968	1436	19.7391	2.6817
ENSG00000008118	0	0.0000	0.0000
ENSG00000008128	1810	28.7749	3.9093
ENSG00000008130	5976	78.0979	10.6103
ENSG00000009307	20812	271.2270	36.8485
ENSG00000009709	0	0.0000	0.0000
ENSG00000009724	3	0.0513	0.0070
ENSG00000009780	310	8.0848	1.0984
ENSG00000009790	5444	52.6618	7.1546
ENSG00000010072	413	5.2492	0.7132
ENSG00000010165	667	13.0211	1.7690
ENSG00000010803	10828	182.6090	24.8091
ENSG00000010932	0	0.0000	0.0000
ENSG00000011007	3678	51.1671	6.9515
ENSG00000011009	3647	124.5710	16.9241
ENSG00000011021	1805	19.6610	2.6711
ENSG00000014914	9920	162.0570	22.0168
ENSG00000016490	0	0.0000	0.0000
ENSG00000016602	0	0.0000	0.0000
ENSG00000018625	2	0.0238	0.0032
ENSG00000020129	2040	31.1121	4.2268
ENSG00000020633	759	12.3579	1.6789
ENSG00000021852	0	0.0000	0.0000
ENSG00000023572	619	35.7352	4.8549
ENSG00000023902	13890	166.9960	22.6878
ENSG00000023909	409	5.7054	0.7751
ENSG00000024526	51	0.6423	0.0873
ENSG00000025800	7256	70.7943	9.6180
ENSG00000026751	118	1.9296	0.2621
ENSG00000027644	25	0.3676	0.0499
ENSG00000027869	194	5.7914	0.7868
ENSG00000028137	10653	212.1470	28.8219
ENSG00000031698	6474	126.5760	17.1965
ENSG00000033122	0	0.0000	0.0000
ENSG00000034971	0	0.0000	0.0000
ENSG00000035687	1916	39.1948	5.3249
ENSG00000036549	2042	16.9993	2.3095
ENSG00000037637	2708	22.6090	3.0716
ENSG00000040487	1166	32.5514	4.4224
ENSG00000041988	1426	26.2650	3.5683
ENSG00000042781	0	0.0000	0.0000
ENSG00000043514	311	7.5979	1.0322
ENSG00000044012	0	0.0000	0.0000
ENSG00000047410	2438	17.9648	2.4407
ENSG00000048707	1724	6.3558	0.8635
ENSG00000049089	1766	31.9010	4.3340
ENSG00000049239	2380	19.5817	2.6603
ENSG00000049245	7890	214.4130	29.1298
ENSG00000049246	26	0.2745	0.0373
ENSG00000049247	33	1.3876	0.1885
ENSG00000049249	28	0.9194	0.1249
ENSG00000050628	0	0.0000	0.0000
ENSG00000052723	1411	17.9505	2.4387
ENSG00000053371	7129	300.1970	40.7843
ENSG00000053372	1874	49.8072	6.7667
ENSG00000054116	2861	64.7766	8.8005
ENSG00000054118	3648	57.7703	7.8486
ENSG00000054267	3556	24.0889	3.2727
ENSG00000054277	2203	47.4845	6.4512
ENSG00000054282	2525	36.0852	4.9025
ENSG00000054392	145	2.5391	0.3450
ENSG00000054523	1293	5.4796	0.7445
ENSG00000055070	15396	243.2470	33.0471
ENSG00000055732	0	0.0000	0.0000
ENSG00000057252	1524	16.2488	2.2075
ENSG00000057468	12	0.2756	0.0374
ENSG00000057757	6303	216.2420	29.3783
ENSG00000058085	0	0.0000	0.0000
ENSG00000058453	231	1.4129	0.1919
ENSG00000058668	5305	40.9314	5.5609
ENSG00000058673	4572	35.3491	4.8025
ENSG00000058799	2203	73.0805	9.9286
ENSG00000058804	1028	15.0199	2.0406
ENSG00000059588	2108	20.4217	2.7745
ENSG00000060642	1068	23.6907	3.2186
ENSG00000060656	9	0.1022	0.0139
ENSG00000060688	1707	31.9180	4.3363
ENSG00000060718	0	0.0000	0.0000
ENSG00000064703	1191	14.8447	2.0168
ENSG00000064886	83	1.8892	0.2567
ENSG00000065135	3192	74.6656	10.1440
ENSG00000065183	229	4.1358	0.5619
ENSG00000065243	1301	13.9120	1.8901
ENSG00000065526	15376	86.7447	11.7850
ENSG00000065600	2485	63.9660	8.6903
ENSG00000065978	63994	2486.8000	337.8525
ENSG00000066027	3807	73.9040	10.0405
ENSG00000066056	1058	11.8566	1.6108
ENSG00000066135	694	10.0655	1.3675
ENSG00000066136	5152	64.5437	8.7688
ENSG00000066185	200	6.8337	0.9284
ENSG00000066279	220	1.5173	0.2061
ENSG00000066294	2998	24.2986	3.3012
ENSG00000066322	9597	292.7030	39.7662
ENSG00000066557	763	19.8467	2.6963
ENSG00000067208	381	3.4565	0.4696
