gene	raw_counts	median_length_normalized	RPKM
ENSG00000000457	1887	36.8236	4.9177
ENSG00000000460	2148	25.3593	3.3867
ENSG00000000938	5732	121.9940	16.2922
ENSG00000000971	24	0.2210	0.0295
ENSG00000001460	1290	11.3629	1.5175
ENSG00000001461	2698	21.5214	2.8742
ENSG00000004455	26298	347.0630	46.3499
ENSG00000004487	8778	192.7160	25.7370
ENSG00000006555	18	0.2230	0.0298
ENSG00000007341	1672	15.4580	2.0644
ENSG00000007908	0	0.0000	0.0000
ENSG00000007923	4019	58.5625	7.8210
ENSG00000007933	69	1.4906	0.1991
ENSG00000007968	1222	16.7916	2.2425
ENSG00000008118	0	0.0000	0.0000
ENSG00000008128	2543	40.4175	5.3977
ENSG00000008130	3073	40.1605	5.3634
ENSG00000009307	54605	711.6160	95.0356
ENSG00000009709	4	0.0475	0.0063
ENSG00000009724	21	0.3651	0.0487
ENSG00000009780	860	22.4398	2.9968
ENSG00000009790	10828	104.7500	13.9892
ENSG00000010072	1305	16.5767	2.2138
ENSG00000010165	3311	64.6248	8.6306
ENSG00000010803	5227	88.1633	11.7741
ENSG00000010932	9	0.1835	0.0245
ENSG00000011007	3932	54.6975	7.3048
ENSG00000011009	4419	150.9210	20.1554
ENSG00000011021	3690	40.2003	5.3687
ENSG00000014914	856	13.9900	1.8683
ENSG00000016490	0	0.0000	0.0000
ENSG00000016602	0	0.0000	0.0000
ENSG00000018625	0	0.0000	0.0000
ENSG00000020129	3439	52.4550	7.0053
ENSG00000020633	8470	137.9500	18.4231
ENSG00000021852	7	0.1924	0.0257
ENSG00000023572	841	48.5651	6.4858
ENSG00000023902	6086	73.1781	9.7729
ENSG00000023909	610	8.5182	1.1376
ENSG00000024526	1149	14.5955	1.9492
ENSG00000025800	8816	86.0189	11.4877
ENSG00000026751	39	0.6353	0.0848
ENSG00000027644	15	0.2205	0.0295
ENSG00000027869	302	9.0076	1.2029
ENSG00000028137	5126	102.0830	13.6331
ENSG00000031698	7897	154.3970	20.6196
ENSG00000033122	6	0.0375	0.0050
ENSG00000034971	0	0.0000	0.0000
ENSG00000035687	6218	127.2180	16.9898
ENSG00000036549	5625	46.8347	6.2547
