gene	raw_counts	median_length_normalized	RPKM
ENSG00000000457	421	8.2201	1.8241
ENSG00000000460	1328	15.6758	3.4786
ENSG00000000938	3533	75.1986	16.6871
ENSG00000000971	92	0.8469	0.1879
ENSG00000001460	121	1.0659	0.2365
ENSG00000001461	606	4.8345	1.0728
ENSG00000004455	2989	39.4450	8.7531
ENSG00000004487	4689	102.9460	22.8445
ENSG00000006555	25	0.3097	0.0687
ENSG00000007341	1071	9.9036	2.1977
ENSG00000007908	14	0.2489	0.0552
ENSG00000007923	827	12.0540	2.6749
ENSG00000007933	135	2.9229	0.6486
ENSG00000007968	528	7.2501	1.6089
ENSG00000008118	0	0.0000	0.0000
ENSG00000008128	1354	21.5223	4.7759
ENSG00000008130	2157	28.1948	6.2566
ENSG00000009307	46713	608.7650	135.0894
ENSG00000009709	0	0.0000	0.0000
ENSG00000009724	19	0.3364	0.0747
ENSG00000009780	849	22.1519	4.9157
ENSG00000009790	3303	31.9475	7.0894
ENSG00000010072	972	12.3451	2.7395
ENSG00000010165	285	5.5714	1.2363
ENSG00000010803	3602	60.7443	13.4796
ENSG00000010932	2	0.0422	0.0094
ENSG00000011007	3529	49.0937	10.8942
ENSG00000011009	1239	42.3297	9.3932
ENSG00000011021	1435	15.6331	3.4691
ENSG00000014914	211	3.4518	0.7660
ENSG00000016490	0	0.0000	0.0000
ENSG00000016602	0	0.0000	0.0000
ENSG00000018625	26	0.3112	0.0691
ENSG00000020129	938	14.3130	3.1762
ENSG00000020633	1686	27.4647	6.0946
ENSG00000021852	0	0.0000	0.0000
ENSG00000023572	189	10.9392	2.4275
ENSG00000023902	3982	47.8801	10.6249
ENSG00000023909	144	2.0115	0.4464
ENSG00000024526	36	0.4573	0.1015
ENSG00000025800	6529	63.7005	14.1356
ENSG00000026751	74	1.1983	0.2659
ENSG00000027644	1	0.0125	0.0028
ENSG00000027869	63	1.8885	0.4191
ENSG00000028137	821	16.3431	3.6266
ENSG00000031698	2924	57.1718	12.6868
ENSG00000033122	0	0.0000	0.0000
ENSG00000034971	12	0.4364	0.0968
ENSG00000035687	1455	29.7602	6.6040
ENSG00000036549	2231	18.5774	4.1225
ENSG00000037637	1437	11.9923	2.6612
ENSG00000040487	273	7.6296	1.6931
ENSG00000041988	956	17.6058	3.9069
ENSG00000042781	43	0.1558	0.0346
ENSG00000043514	367	8.9674	1.9900
ENSG00000044012	0	0.0000	0.0000
ENSG00000047410	8776	64.6552	14.3475
ENSG00000048707	2987	11.0095	2.4431
ENSG00000049089	594	10.7239	2.3797
ENSG00000049239	705	5.7985	1.2867
ENSG00000049245	7384	200.6450	44.5245
ENSG00000049246	63	0.6664	0.1479
ENSG00000049247	19	0.8082	0.1793
ENSG00000049249	35	1.1445	0.2539
ENSG00000050628	5	0.0388	0.0086
ENSG00000052723	2660	33.8498	7.5115
ENSG00000053371	2107	88.7215	19.6879
ENSG00000053372	330	8.7725	1.9467
ENSG00000054116	1248	28.2605	6.2712
ENSG00000054118	2674	42.3442	9.3965
ENSG00000054267	10397	70.4227	15.6273
