gene	raw_counts	median_length_normalized	RPKM
ENSG00000000457	3226	62.9357	5.4889
ENSG00000000460	3370	39.7812	3.4695
ENSG00000000938	14572	310.1210	27.0472
ENSG00000000971	118	1.0877	0.0949
ENSG00000001460	896	7.8906	0.6882
ENSG00000001461	7765	61.9274	5.4010
ENSG00000004455	43446	573.3700	50.0065
ENSG00000004487	14566	319.7940	27.8908
ENSG00000006555	30	0.3685	0.0321
ENSG00000007341	3996	36.9544	3.2230
ENSG00000007908	4	0.0749	0.0065
ENSG00000007923	7715	112.4230	9.8049
ENSG00000007933	4	0.0866	0.0076
ENSG00000007968	1126	15.4744	1.3496
ENSG00000008118	0	0.0000	0.0000
ENSG00000008128	5829	92.6554	8.0809
ENSG00000008130	9215	120.4270	10.5031
ENSG00000009307	109486	1426.8400	124.4416
ENSG00000009709	0	0.0000	0.0000
ENSG00000009724	1607	28.3587	2.4733
ENSG00000009780	1262	32.9044	2.8697
ENSG00000009790	19326	186.9510	16.3050
ENSG00000010072	1955	24.8297	2.1655
ENSG00000010165	4808	93.8324	8.1836
ENSG00000010803	10669	179.9430	15.6938
ENSG00000010932	19	0.3900	0.0340
ENSG00000011007	6623	92.1400	8.0360
ENSG00000011009	4391	149.9790	13.0804
ENSG00000011021	6307	68.7134	5.9928
ENSG00000014914	243	3.9651	0.3458
ENSG00000016490	2	0.0449	0.0039
ENSG00000016602	2	0.0411	0.0036
ENSG00000018625	5	0.0549	0.0048
ENSG00000020129	5479	83.5782	7.2893
ENSG00000020633	6324	102.9940	8.9826
ENSG00000021852	0	0.0000	0.0000
ENSG00000023572	734	42.3826	3.6964
ENSG00000023902	11526	138.5780	12.0861
ENSG00000023909	1167	16.2804	1.4199
ENSG00000024526	453	5.7578	0.5022
ENSG00000025800	11773	114.8670	10.0181
ENSG00000026751	189	3.0795	0.2686
ENSG00000027644	4	0.0565	0.0049
ENSG00000027869	199	5.9435	0.5184
ENSG00000028137	9259	184.3880	16.0814
ENSG00000031698	13168	257.4590	22.4543
ENSG00000033122	171	1.0669	0.0930
ENSG00000034971	0	0.0000	0.0000
ENSG00000035687	6478	132.5260	11.5583
ENSG00000036549	8743	72.7974	6.3490
ENSG00000037637	8532	71.2252	6.2119
ENSG00000040487	2608	72.8150	6.3506
ENSG00000041988	4773	87.9194	7.6679
ENSG00000042781	38	0.1398	0.0122
ENSG00000043514	3335	81.4432	7.1031
ENSG00000044012	0	0.0000	0.0000
ENSG00000047410	26119	192.4270	16.7825
ENSG00000048707	17476	64.4201	5.6184
ENSG00000049089	5598	101.1410	8.8211
ENSG00000049239	12101	99.5439	8.6817
ENSG00000049245	7952	216.0970	18.8470
ENSG00000049246	138	1.4607	0.1274
ENSG00000049247	38	1.5906	0.1387
ENSG00000049249	22	0.7075	0.0617
ENSG00000050628	2	0.0155	0.0014
ENSG00000052723	5403	68.7520	5.9962
ENSG00000053371	9259	389.9050	34.0055
ENSG00000053372	5776	153.5160	13.3889
ENSG00000054116	7278	164.7620	14.3697
ENSG00000054118	15759	249.5650	21.7658
ENSG00000054267	15024	101.7600	8.8750
ENSG00000054277	3854	83.0644	7.2445
ENSG00000054282	7610	108.7790	9.4872
ENSG00000054392	1636	28.5591	2.4908
ENSG00000054523	5186	21.9823	1.9172
ENSG00000055070	19904	314.4720	27.4267
ENSG00000055732	8	0.0906	0.0079
ENSG00000057252	4304	45.8973	4.0029
ENSG00000057468	32	0.7275	0.0634
ENSG00000057757	6659	228.4590	19.9251
ENSG00000058085	0	0.0000	0.0000
ENSG00000058453	2270	13.8832	1.2108
ENSG00000058668	25574	197.3140	17.2087
ENSG00000058673	29599	228.8550	19.9596
ENSG00000058799	3399	112.7580	9.8342
ENSG00000058804	3606	52.6623	4.5929
ENSG00000059588	33405	323.5680	28.2200
ENSG00000060642	3431	76.0911	6.6363
ENSG00000060656	5	0.0560	0.0049
ENSG00000060688	4324	80.8514	7.0515
ENSG00000060718	0	0.0000	0.0000
ENSG00000064703	3476	43.3153	3.7777
ENSG00000064886	140	3.1973	0.2789
ENSG00000065135	11892	278.1960	24.2629
ENSG00000065183	4118	74.2590	6.4765
ENSG00000065243	9176	98.1182	8.5574
ENSG00000065526	32504	183.3750	15.9931
ENSG00000065600	4621	118.9420	10.3735
ENSG00000065978	77496	3011.5000	262.6484
ENSG00000066027	9249	179.5670	15.6609
ENSG00000066056	3553	39.8068	3.4718
ENSG00000066135	12891	186.9390	16.3039
ENSG00000066136	5560	69.6497	6.0745
ENSG00000066185	350	11.9708	1.0440
ENSG00000066279	3216	22.1577	1.9325
ENSG00000066294	34502	279.5910	24.3846
ENSG00000066322	9399	286.6640	25.0014
ENSG00000066557	2521	65.5610	5.7179
ENSG00000067208	1704	15.4515	1.3476
ENSG00000067334	11253	140.5490	12.2579
ENSG00000067533	1989	18.9282	1.6508
ENSG00000067606	1427	14.0141	1.2222
ENSG00000067704	14823	267.1140	23.2963
ENSG00000069248	6516	96.6330	8.4279
ENSG00000069275	17613	201.7980	17.5998
ENSG00000069424	68300	630.3800	54.9786
ENSG00000069702	33	0.2866	0.0250
ENSG00000069712	1272	20.6427	1.8003
ENSG00000069812	2	0.0277	0.0024
ENSG00000070759	3352	72.6578	6.3369
ENSG00000070785	3517	86.6865	7.5604
ENSG00000070831	34854	753.3300	65.7017
ENSG00000070886	1	0.0153	0.0013
ENSG00000072694	383	4.1018	0.3577
ENSG00000073754	12	0.3664	0.0320
ENSG00000073756	14652	208.5540	18.1890
ENSG00000074800	348104	6372.4100	555.7703
ENSG00000074964	484	4.6293	0.4037
ENSG00000075151	20358	181.1390	15.7981
ENSG00000075391	2648	16.8021	1.4654
ENSG00000075945	1356	20.2796	1.7687
ENSG00000076258	678	20.1979	1.7616
ENSG00000076321	2237	39.4431	3.4400
ENSG00000076356	94	0.5124	0.0447
ENSG00000076864	60	0.7126	0.0622
ENSG00000077152	803	56.5812	4.9347
ENSG00000077157	10282	53.5514	4.6705
ENSG00000077254	8704	94.3588	8.2295
ENSG00000077522	0	0.0000	0.0000
ENSG00000077549	31556	680.0870	59.3138
ENSG00000077585	483	15.9065	1.3873
ENSG00000078369	60171	735.4650	64.1436
ENSG00000078618	38419	435.3310	37.9674
ENSG00000078808	19345	308.8940	26.9402
ENSG00000078900	242	3.2643	0.2847
ENSG00000079277	10506	97.7563	8.5258
ENSG00000079335	5713	74.7958	6.5233
ENSG00000079739	4202	75.6813	6.6006
ENSG00000080910	0	0.0000	0.0000
ENSG00000080947	1429	15.7357	1.3724
ENSG00000081019	4439	48.8193	4.2578
ENSG00000081026	159	1.4559	0.1270
ENSG00000081237	54532	480.7680	41.9302
ENSG00000081248	0	0.0000	0.0000
ENSG00000081277	0	0.0000	0.0000
ENSG00000081692	2909	50.5645	4.4100
ENSG00000081721	2640	112.3690	9.8003
ENSG00000081870	3280	89.1555	7.7757
ENSG00000081985	81	1.4340	0.1251
ENSG00000082482	0	0.0000	0.0000
ENSG00000082497	0	0.0000	0.0000
ENSG00000082512	6925	57.5671	5.0207
ENSG00000083444	12795	180.1480	15.7116
ENSG00000084070	45086	1025.0000	89.3957
ENSG00000084072	9270	86.1426	7.5129
ENSG00000084073	1915	40.2027	3.5063
ENSG00000084623	28747	1249.8700	109.0071
ENSG00000084628	0	0.0000	0.0000
ENSG00000084636	6	0.0470	0.0041
ENSG00000084652	10574	155.4030	13.5535
ENSG00000085433	2358	38.9894	3.4005
ENSG00000085465	616	15.4655	1.3488
ENSG00000085491	5776	66.1570	5.7699
ENSG00000085552	534	6.0551	0.5281
ENSG00000085831	350	2.8061	0.2447
ENSG00000085832	16098	159.8910	13.9449
ENSG00000085840	2678	63.6155	5.5482
ENSG00000085998	5402	63.6387	5.5502
ENSG00000085999	1820	42.4938	3.7061
ENSG00000086015	8443	71.3452	6.2224
ENSG00000086619	1890	24.9267	2.1740
ENSG00000088035	2047	31.0437	2.7075
ENSG00000088280	9	0.1380	0.0120
ENSG00000090020	4614	57.9125	5.0508
ENSG00000090104	3223	58.7187	5.1212
ENSG00000090273	12525	328.8070	28.6769
ENSG00000090432	2472	76.1006	6.6371
ENSG00000090621	42124	465.8370	40.6280
ENSG00000090686	24195	191.0770	16.6648
ENSG00000091483	7962	278.7910	24.3148
ENSG00000092607	4	0.0788	0.0069
ENSG00000092621	1933	25.7828	2.2486
ENSG00000092847	20232	117.7570	10.2701
ENSG00000092850	188	7.1406	0.6228
ENSG00000092853	2497	34.6101	3.0185
ENSG00000092969	6	0.0897	0.0078
ENSG00000092978	2305	19.5595	1.7059
ENSG00000094963	0	0.0000	0.0000
ENSG00000094975	12344	143.1580	12.4855
ENSG00000097021	4541	69.6811	6.0772
ENSG00000097033	13926	156.4220	13.6424
ENSG00000097046	2620	54.6035	4.7622
ENSG00000097096	31	0.3604	0.0314
ENSG00000099260	0	0.0000	0.0000
ENSG00000107404	4531	97.4931	8.5029
ENSG00000116128	1867	21.8128	1.9024
ENSG00000116132	0	0.0000	0.0000
ENSG00000116133	1526	25.7791	2.2483
ENSG00000116138	4610	40.3792	3.5217
ENSG00000116141	4	0.0419	0.0037
ENSG00000116147	4	0.0560	0.0049
ENSG00000116151	1288	18.4659	1.6105
ENSG00000116157	4509	199.9880	17.4420
ENSG00000116161	10109	168.1090	14.6616
ENSG00000116171	12755	115.1900	10.0463
ENSG00000116183	17	0.1167	0.0102
ENSG00000116191	4547	45.9492	4.0075
ENSG00000116194	215	4.7010	0.4100
ENSG00000116198	7556	71.9498	6.2751
ENSG00000116199	8231	102.2260	8.9157
ENSG00000116205	3631	46.7415	4.0766
ENSG00000116209	24813	447.7840	39.0535
ENSG00000116212	1335	41.5326	3.6223
ENSG00000116213	3922	38.6883	3.3742
ENSG00000116218	0	0.0000	0.0000
ENSG00000116219	21	0.7921	0.0691
ENSG00000116221	12925	439.8150	38.3585
ENSG00000116237	4377	66.8442	5.8298
ENSG00000116251	51551	789.0430	68.8165
ENSG00000116254	931	7.0572	0.6155
ENSG00000116260	41693	335.8380	29.2902
ENSG00000116266	6649	84.5873	7.3773
ENSG00000116273	975	19.8615	1.7322
ENSG00000116285	44	0.7826	0.0683
ENSG00000116288	20989	656.7360	57.2773
ENSG00000116299	34	0.2764	0.0241
ENSG00000116329	0	0.0000	0.0000
ENSG00000116337	19264	211.5950	18.4543
ENSG00000116350	10897	257.1710	22.4292
ENSG00000116353	2119	40.0878	3.4963
ENSG00000116396	1904	15.2802	1.3327
ENSG00000116406	7929	78.9565	6.8862
ENSG00000116455	5865	156.8310	13.6780
ENSG00000116459	22143	490.8950	42.8134
ENSG00000116473	7903	103.3830	9.0165
ENSG00000116478	16235	303.7260	26.4895
ENSG00000116489	10009	181.7590	15.8521
ENSG00000116497	10333	84.3251	7.3544
ENSG00000116514	3194	91.7705	8.0038
ENSG00000116521	8710	267.5060	23.3305
ENSG00000116525	989	18.6733	1.6286
ENSG00000116539	23159	130.6370	11.3935
ENSG00000116544	58	1.0870	0.0948
ENSG00000116560	111229	1123.3700	97.9751
ENSG00000116574	796	13.6510	1.1906
ENSG00000116580	14921	92.0430	8.0275
ENSG00000116584	34836	352.3960	30.7343
ENSG00000116586	8681	452.7450	39.4862
ENSG00000116604	32075	375.8820	32.7826
ENSG00000116641	6168	42.5462	3.7107
ENSG00000116649	14831	586.0380	51.1114
ENSG00000116652	90	5.8408	0.5094
ENSG00000116661	29	0.9327	0.0813
ENSG00000116663	2234	92.5351	8.0704
ENSG00000116667	2	0.0137	0.0012
ENSG00000116668	1069	19.7706	1.7243
ENSG00000116670	3882	85.5677	7.4628
ENSG00000116675	80	0.8642	0.0754
ENSG00000116678	917	6.0029	0.5235
ENSG00000116679	12690	120.0330	10.4687
ENSG00000116685	5802	132.6230	11.5667
ENSG00000116688	10118	152.4390	13.2950
ENSG00000116690	489	7.2564	0.6329
ENSG00000116691	5428	144.3170	12.5866
ENSG00000116698	22418	202.1550	17.6309
ENSG00000116701	11791	302.0260	26.3412
ENSG00000116703	51	2.8730	0.2506
ENSG00000116704	2085	21.8629	1.9068
ENSG00000116711	3375	88.0470	7.6790
ENSG00000116717	7521	272.6300	23.7775
ENSG00000116721	0	0.0000	0.0000
ENSG00000116726	0	0.0000	0.0000
ENSG00000116729	0	0.0000	0.0000
ENSG00000116731	14371	98.7991	8.6168
ENSG00000116741	6647	238.9930	20.8438
ENSG00000116745	0	0.0000	0.0000
ENSG00000116747	5675	46.7614	4.0783
ENSG00000116748	0	0.0000	0.0000
ENSG00000116750	4154	86.5646	7.5497
ENSG00000116752	3320	191.6730	16.7167
ENSG00000116754	44184	390.9190	34.0940
ENSG00000116761	246	7.6570	0.6678
ENSG00000116771	803	24.0912	2.1011
ENSG00000116774	27	0.8932	0.0779
ENSG00000116783	607	7.7899	0.6794
ENSG00000116785	0	0.0000	0.0000
ENSG00000116786	17098	311.0900	27.1318
ENSG00000116791	2173	39.9314	3.4826
ENSG00000116793	6925	72.4400	6.3179
ENSG00000116809	6786	120.0410	10.4694
ENSG00000116815	2896	121.8080	10.6235
ENSG00000116819	1494	51.1923	4.4647
ENSG00000116824	948	42.3568	3.6942
ENSG00000116830	6877	82.5086	7.1960
ENSG00000116833	648	6.2308	0.5434
ENSG00000116852	10105	62.3878	5.4412
ENSG00000116857	3973	76.1068	6.6377
ENSG00000116863	3087	138.5660	12.0850
ENSG00000116871	17658	251.2470	21.9125
ENSG00000116874	1808	35.2433	3.0738
ENSG00000116882	0	0.0000	0.0000
ENSG00000116883	1403	57.3806	5.0045
ENSG00000116885	314	8.3519	0.7284
ENSG00000116898	7309	188.0010	16.3965
ENSG00000116903	4919	72.0658	6.2852
ENSG00000116906	10381	245.3660	21.3996
ENSG00000116918	5291	63.2021	5.5122
ENSG00000116922	1606	33.9312	2.9593
ENSG00000116954	2867	41.6123	3.6292
ENSG00000116957	4231	123.5600	10.7763
ENSG00000116962	627	8.0170	0.6992
ENSG00000116977	23352	180.3710	15.7311
ENSG00000116981	3	0.2023	0.0177
ENSG00000116983	107	1.6532	0.1442
ENSG00000116984	11865	78.0455	6.8067
ENSG00000116985	657	9.5759	0.8352
ENSG00000116990	181	2.6847	0.2342
ENSG00000116991	769	7.5527	0.6587
ENSG00000116996	0	0.0000	0.0000
ENSG00000117000	6025	71.3247	6.2206
ENSG00000117009	2682	33.8261	2.9501
ENSG00000117010	414	10.2205	0.8914
ENSG00000117013	28	0.4984	0.0435
ENSG00000117016	433	4.4854	0.3912
ENSG00000117020	5614	56.1439	4.8966
ENSG00000117036	3330	37.2320	3.2472
ENSG00000117054	7107	111.5420	9.7282
ENSG00000117069	0	0.0000	0.0000
ENSG00000117090	210	3.7348	0.3257
ENSG00000117091	2309	69.4234	6.0548
ENSG00000117114	2	0.0194	0.0017
ENSG00000117115	2085	26.0600	2.2728
ENSG00000117118	8814	268.5090	23.4180
ENSG00000117122	4	0.0985	0.0086
ENSG00000117133	5721	248.2930	21.6549
ENSG00000117139	17060	139.2870	12.1480
ENSG00000117143	2150	47.3367	4.1285
ENSG00000117148	0	0.0000	0.0000
ENSG00000117151	6102	133.6570	11.6569
ENSG00000117152	2	0.0310	0.0027
ENSG00000117153	3759	79.3604	6.9214
ENSG00000117154	0	0.0000	0.0000
ENSG00000117155	4410	40.1099	3.4982
ENSG00000117174	4761	57.6264	5.0259
ENSG00000117215	28	0.7859	0.0685
ENSG00000117222	2497	42.5257	3.7089
ENSG00000117226	1612	28.1401	2.4542
ENSG00000117228	90	1.3540	0.1181
ENSG00000117242	9080	153.2770	13.3680
ENSG00000117245	1102	18.4855	1.6122
ENSG00000117262	827	11.1078	0.9688
ENSG00000117266	1603	15.8598	1.3832
ENSG00000117280	2285	44.1399	3.8497
ENSG00000117281	666	12.5159	1.0916
ENSG00000117289	138225	2859.0400	249.3513
ENSG00000117298	580	5.9927	0.5227
ENSG00000117305	3686	47.6784	4.1583
ENSG00000117308	1178	22.3338	1.9478
ENSG00000117318	227	9.4752	0.8264
ENSG00000117322	31	0.4827	0.0421
ENSG00000117335	22662	195.1860	17.0231
ENSG00000117360	9702	135.4280	11.8114
ENSG00000117362	20173	436.2620	38.0486
ENSG00000117385	11149	123.5860	10.7785
ENSG00000117394	9531	191.0730	16.6644
ENSG00000117395	7870	167.2180	14.5839
ENSG00000117399	3164	116.4460	10.1559
ENSG00000117400	198	6.9953	0.6101
ENSG00000117407	2224	62.7427	5.4721
ENSG00000117408	8323	122.8070	10.7106
ENSG00000117410	22681	481.2180	41.9694
ENSG00000117411	2968	58.9179	5.1385
ENSG00000117419	7652	217.0440	18.9295
ENSG00000117425	900	13.1074	1.1432
ENSG00000117448	17842	428.7620	37.3945
ENSG00000117450	18783	925.5940	80.7257
ENSG00000117461	124	1.2079	0.1054
ENSG00000117472	14	0.4577	0.0399
ENSG00000117475	2910	57.1353	4.9831
ENSG00000117477	32	0.9175	0.0800
ENSG00000117479	915	18.6976	1.6307
ENSG00000117480	4217	113.9450	9.9377
ENSG00000117481	8790	77.8526	6.7899
ENSG00000117500	13148	104.6460	9.1267
ENSG00000117501	0	0.0000	0.0000
ENSG00000117505	6114	113.4190	9.8918
ENSG00000117507	0	0.0000	0.0000
ENSG00000117519	14	0.3712	0.0324
ENSG00000117523	65358	345.3930	30.1235
ENSG00000117525	402	10.4911	0.9150
ENSG00000117528	2318	22.6662	1.9768
ENSG00000117533	4055	58.9508	5.1414
