gene	raw_counts	median_length_normalized	RPKM
ENSG00000000457	629	12.2810	1.9621
ENSG00000000460	574	6.7748	1.0824
ENSG00000000938	1558	33.1598	5.2978
ENSG00000000971	24	0.2210	0.0353
ENSG00000001460	413	3.6381	0.5812
ENSG00000001461	363	2.8913	0.4619
ENSG00000004455	2165	28.5728	4.5650
ENSG00000004487	3445	75.6259	12.0825
ENSG00000006555	0	0.0000	0.0000
ENSG00000007341	607	5.6163	0.8973
ENSG00000007908	2	0.0356	0.0057
ENSG00000007923	838	12.2083	1.9505
ENSG00000007933	27	0.5874	0.0938
ENSG00000007968	1121	15.4032	2.4609
ENSG00000008118	12	0.3363	0.0537
ENSG00000008128	957	15.2206	2.4317
ENSG00000008130	1459	19.0634	3.0457
ENSG00000009307	46110	600.9060	96.0045
ENSG00000009709	0	0.0000	0.0000
ENSG00000009724	0	0.0000	0.0000
ENSG00000009780	433	11.2889	1.8036
ENSG00000009790	629	6.0873	0.9726
ENSG00000010072	1045	13.2753	2.1210
ENSG00000010165	361	7.0463	1.1258
ENSG00000010803	3528	59.4999	9.5061
ENSG00000010932	0	0.0000	0.0000
ENSG00000011007	2233	31.0677	4.9636
ENSG00000011009	1692	57.7700	9.2297
ENSG00000011021	1553	16.9246	2.7040
ENSG00000014914	556	9.0754	1.4499
ENSG00000016490	0	0.0000	0.0000
ENSG00000016602	0	0.0000	0.0000
ENSG00000018625	1	0.0119	0.0019
ENSG00000020129	846	12.9113	2.0628
ENSG00000020633	3359	54.7031	8.7397
ENSG00000021852	0	0.0000	0.0000
ENSG00000023572	327	18.9038	3.0202
ENSG00000023902	9955	119.6870	19.1220
ENSG00000023909	90	1.2626	0.2017
ENSG00000024526	213	2.7058	0.4323
ENSG00000025800	3144	30.6705	4.9001
ENSG00000026751	22	0.3584	0.0573
ENSG00000027644	24	0.3601	0.0575
ENSG00000027869	2192	65.4475	10.4563
ENSG00000028137	2909	57.9411	9.2570
ENSG00000031698	3152	61.6337	9.8470
ENSG00000033122	0	0.0000	0.0000
ENSG00000034971	0	0.0000	0.0000
ENSG00000035687	952	19.4861	3.1132
