gene	raw_counts	median_length_normalized	RPKM
ENSG00000000457	618	12.0648	1.1359
ENSG00000000460	742	8.7587	0.8247
ENSG00000000938	36402	774.7310	72.9432
ENSG00000000971	14	0.1289	0.0121
ENSG00000001460	428	3.7740	0.3553
ENSG00000001461	2442	19.4778	1.8339
ENSG00000004455	45920	606.0220	57.0588
ENSG00000004487	9023	198.0990	18.6516
ENSG00000006555	18	0.2230	0.0210
ENSG00000007341	1648	15.2413	1.4350
ENSG00000007908	0	0.0000	0.0000
ENSG00000007923	4571	66.6029	6.2709
ENSG00000007933	0	0.0000	0.0000
ENSG00000007968	1602	22.0176	2.0730
ENSG00000008118	0	0.0000	0.0000
ENSG00000008128	4262	67.7516	6.3790
ENSG00000008130	7108	92.8946	8.7463
ENSG00000009307	50641	659.9600	62.1372
ENSG00000009709	0	0.0000	0.0000
ENSG00000009724	31	0.5469	0.0515
ENSG00000009780	770	20.0741	1.8900
ENSG00000009790	8827	85.3937	8.0401
ENSG00000010072	686	8.7059	0.8197
ENSG00000010165	1430	27.8998	2.6269
ENSG00000010803	5828	98.2955	9.2548
ENSG00000010932	0	0.0000	0.0000
ENSG00000011007	7527	104.7120	9.8590
ENSG00000011009	7616	260.1260	24.4917
ENSG00000011021	2107	22.9589	2.1616
ENSG00000014914	10789	176.2490	16.5944
ENSG00000016490	2	0.0449	0.0042
ENSG00000016602	0	0.0000	0.0000
ENSG00000018625	0	0.0000	0.0000
ENSG00000020129	2480	37.8326	3.5621
ENSG00000020633	7872	128.2050	12.0709
ENSG00000021852	0	0.0000	0.0000
ENSG00000023572	503	29.0216	2.7324
ENSG00000023902	1776	21.3572	2.0108
ENSG00000023909	740	10.3258	0.9722
ENSG00000024526	515	6.5410	0.6159
ENSG00000025800	6959	67.8949	6.3925
ENSG00000026751	339	5.5204	0.5198
ENSG00000027644	0	0.0000	0.0000
ENSG00000027869	169	5.0414	0.4747
ENSG00000028137	12935	257.6060	24.2544
ENSG00000031698	15459	302.2550	28.4582
ENSG00000033122	7	0.0432	0.0041
ENSG00000034971	0	0.0000	0.0000
ENSG00000035687	6331	129.5280	12.1954
ENSG00000036549	4049	33.7157	3.1744
ENSG00000037637	3159	26.3748	2.4833
ENSG00000040487	5118	142.9130	13.4556
ENSG00000041988	685	12.6108	1.1873
ENSG00000042781	0	0.0000	0.0000
ENSG00000043514	1269	30.9840	2.9172
ENSG00000044012	0	0.0000	0.0000
ENSG00000047410	9148	67.3955	6.3455
ENSG00000048707	1444	5.3230	0.5012
ENSG00000049089	8610	155.5720	14.6475
ENSG00000049239	11860	97.5609	9.1857
ENSG00000049245	17403	472.9210	44.5269
ENSG00000049246	99	1.0452	0.0984
ENSG00000049247	231	9.7011	0.9134
ENSG00000049249	10	0.3284	0.0309
ENSG00000050628	0	0.0000	0.0000
ENSG00000052723	6316	80.3712	7.5672
ENSG00000053371	17495	736.7200	69.3645
ENSG00000053372	5150	136.8580	12.8856
ENSG00000054116	6552	148.3180	13.9645
ENSG00000054118	7959	126.0350	11.8666
ENSG00000054267	10793	73.1048	6.8830
ENSG00000054277	5592	120.5170	11.3470
ENSG00000054282	3220	46.0240	4.3333
ENSG00000054392	558	9.7407	0.9171
ENSG00000054523	1222	5.1804	0.4878
ENSG00000055070	14606	230.7710	21.7278
ENSG00000055732	7	0.0793	0.0075
ENSG00000057252	6602	70.4014	6.6285
ENSG00000057468	36	0.8252	0.0777
ENSG00000057757	4465	153.1990	14.4242
ENSG00000058085	0	0.0000	0.0000
ENSG00000058453	1133	6.9260	0.6521
ENSG00000058668	20853	160.8830	15.1476
ENSG00000058673	10441	80.7307	7.6010
ENSG00000058799	3504	116.2240	10.9428
ENSG00000058804	4315	63.0253	5.9340
ENSG00000059588	15860	153.6220	14.4640
ENSG00000060642	1072	23.7655	2.2376
ENSG00000060656	20	0.2239	0.0211
ENSG00000060688	3354	62.7215	5.9054
ENSG00000060718	2907	26.3759	2.4834
ENSG00000064703	1822	22.6988	2.1372
ENSG00000064886	88	2.0076	0.1890
ENSG00000065135	12727	297.7350	28.0326
ENSG00000065183	1091	19.6821	1.8531
ENSG00000065243	3447	36.8563	3.4701
ENSG00000065526	9495	53.5681	5.0436
ENSG00000065600	5240	134.8650	12.6980
ENSG00000065978	146613	5697.3800	536.4260
ENSG00000066027	18876	366.4840	34.5055
ENSG00000066056	874	9.7968	0.9224
ENSG00000066135	824	11.9470	1.1249
ENSG00000066136	11770	147.4480	13.8826
ENSG00000066185	198	6.7768	0.6380
ENSG00000066279	713	4.9104	0.4623
ENSG00000066294	12790	103.6450	9.7584
ENSG00000066322	14620	445.9010	41.9829
ENSG00000066557	1828	47.5340	4.4755
ENSG00000067208	2471	22.4032	2.1093
ENSG00000067334	9836	122.8510	11.5668
ENSG00000067533	1922	18.2875	1.7218
ENSG00000067606	449	4.4112	0.4153
ENSG00000067704	14979	269.9200	25.4138
ENSG00000069248	2492	36.9527	3.4792
ENSG00000069275	21356	244.6830	23.0376
ENSG00000069424	28136	259.6870	24.4503
ENSG00000069702	1030	8.9288	0.8407
ENSG00000069712	297	4.8207	0.4539
ENSG00000069812	11	0.1526	0.0144
ENSG00000070759	3168	68.6685	6.4654
ENSG00000070785	1787	44.0506	4.1475
ENSG00000070831	72722	1571.8100	147.9908
ENSG00000070886	6	0.0840	0.0079
ENSG00000072694	592	6.3460	0.5975
ENSG00000073754	13	0.3970	0.0374
ENSG00000073756	1177	16.7538	1.5774
ENSG00000074800	244897	4483.1000	422.0978
ENSG00000074964	4315	41.2396	3.8828
ENSG00000075151	6910	61.4883	5.7893
ENSG00000075391	393	2.4959	0.2350
ENSG00000075945	588	8.7912	0.8277
ENSG00000076258	292	8.7124	0.8203
ENSG00000076321	2074	36.5588	3.4421
ENSG00000076356	171	0.9279	0.0874
ENSG00000076864	129	1.5218	0.1433
ENSG00000077152	1246	87.7653	8.2634
ENSG00000077157	1173	6.1110	0.5754
ENSG00000077254	6604	71.5908	6.7405
ENSG00000077522	13	0.1799	0.0169
ENSG00000077549	52845	1138.9000	107.2314
ENSG00000077585	730	24.0114	2.2608
